	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034636_Ogataea_nitratoaversa
10	OG0000010	YBR015C	augustus_masked-flattened_line_12-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.74&CDS=1-2160, augustus_masked-flattened_line_20-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.60&CDS=1-2139, augustus_masked-flattened_line_40-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.98&CDS=1-1902, augustus_masked-flattened_line_48-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.38&CDS=1-2172, maker-flattened_line_14-snap-gene-1.110-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.110&CDS=1-3420, snap_masked-flattened_line_48-processed-gene-0.147-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.147&CDS=1-2391
11	OG0000011	YDL037C, YIR019C	augustus_masked-flattened_line_329-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_329-processed-gene-0.1&CDS=1-201, augustus_masked-flattened_line_684-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_684-processed-gene-0.0&CDS=1-471, genemark-flattened_line_72-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.27&CDS=1-450, maker-flattened_line_410-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_410-snap-gene-0.2&CDS=1-780, snap_masked-flattened_line_321-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_321-processed-gene-0.3&CDS=1-3456
12	OG0000012	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_380-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_380-processed-gene-0.1&CDS=1-1545, snap_masked-flattened_line_388-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_388-processed-gene-0.0&CDS=1-462, snap_masked-flattened_line_768-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_768-processed-gene-0.1&CDS=1-354
13	OG0000013	YHR176W	augustus_masked-flattened_line_110-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.8&CDS=1-1494, augustus_masked-flattened_line_134-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.60&CDS=1-1644, augustus_masked-flattened_line_190-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.5&CDS=1-1620, augustus_masked-flattened_line_38-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.55&CDS=1-1407, augustus_masked-flattened_line_58-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.39&CDS=1-1560, augustus_masked-flattened_line_62-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.188&CDS=1-1635
14	OG0000014	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_0-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.68&CDS=1-2475, augustus_masked-flattened_line_120-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.80&CDS=1-2247, snap_masked-flattened_line_10-processed-gene-2.121-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.121&CDS=1-2226, snap_masked-flattened_line_22-processed-gene-1.216-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.216&CDS=1-2151
15	OG0000015	YPL088W	augustus_masked-flattened_line_62-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.172&CDS=1-1062, augustus_masked-flattened_line_68-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.36&CDS=1-1071, augustus_masked-flattened_line_86-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.126&CDS=1-1062, maker-flattened_line_138-augustus-gene-0.66-mRNA-1_1&gene=maker-flattened_line_138-augustus-gene-0.66&CDS=1-1044, maker-flattened_line_68-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.3&CDS=1-2049, maker-flattened_line_68-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.4&CDS=1-1098
16	OG0000016	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
17	OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_50-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.125&CDS=1-1449
18	OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_58-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.14&CDS=1-2988, maker-flattened_line_18-snap-gene-0.71-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-0.71&CDS=1-5445
19	OG0000019	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	augustus_masked-flattened_line_132-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.31&CDS=1-705
20	OG0000020	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_126-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.44&CDS=1-1815, augustus_masked-flattened_line_281-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_281-processed-gene-0.4&CDS=1-1740
21	OG0000021	YCR028C	augustus_masked-flattened_line_10-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.63&CDS=1-1605, augustus_masked-flattened_line_20-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.62&CDS=1-1524, augustus_masked-flattened_line_248-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_248-processed-gene-0.11&CDS=1-1539, augustus_masked-flattened_line_38-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.56&CDS=1-1575, genemark-flattened_line_84-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.88&CDS=1-3264
22	OG0000022	YJR152W	augustus_masked-flattened_line_12-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.62&CDS=1-1566, augustus_masked-flattened_line_30-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.93&CDS=1-1557, augustus_masked-flattened_line_84-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.133&CDS=1-1587, augustus_masked-flattened_line_86-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.110&CDS=1-1518, augustus_masked-flattened_line_94-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.85&CDS=1-1512
23	OG0000023	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_76-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.26&CDS=1-2331
24	OG0000024	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_222-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_222-snap-gene-0.3&CDS=1-234, maker-flattened_line_222-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_222-snap-gene-0.4&CDS=1-1896
25	OG0000025		augustus_masked-flattened_line_120-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.75&CDS=1-1104, augustus_masked-flattened_line_54-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.167&CDS=1-2400, genemark-flattened_line_146-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_146-processed-gene-0.23&CDS=1-1575, genemark-flattened_line_289-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_289-processed-gene-0.2&CDS=1-1152, genemark-flattened_line_62-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.110&CDS=1-1251, genemark-flattened_line_94-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.103&CDS=1-2616
26	OG0000026	YAL030W, YLR093C, YOR327C	augustus_masked-flattened_line_32-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.55&CDS=1-1065, snap_masked-flattened_line_14-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.21&CDS=1-354
27	OG0000027	YBR132C	augustus_masked-flattened_line_186-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.26&CDS=1-1779, augustus_masked-flattened_line_186-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.32&CDS=1-1782, augustus_masked-flattened_line_54-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.181&CDS=1-1701, maker-flattened_line_14-augustus-gene-1.4-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-1.4&CDS=1-3348
28	OG0000028	YBR175W, YMR146C	augustus_masked-flattened_line_114-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.49&CDS=1-1026, augustus_masked-flattened_line_116-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.52&CDS=1-1029, augustus_masked-flattened_line_24-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.86&CDS=1-3129
29	OG0000029	YBR199W	augustus_masked-flattened_line_112-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.75&CDS=1-1341, augustus_masked-flattened_line_20-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.23&CDS=1-1398, augustus_masked-flattened_line_52-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.43&CDS=1-1275, augustus_masked-flattened_line_56-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.95&CDS=1-1431
30	OG0000030	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_24-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.148&CDS=1-1695
31	OG0000031	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_4-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.61&CDS=1-3723, augustus_masked-flattened_line_42-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.29&CDS=1-4113
32	OG0000032	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_50-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.103&CDS=1-2571, snap_masked-flattened_line_8-processed-gene-2.228-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.228&CDS=1-2511
33	OG0000033	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_228-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_228-processed-gene-0.5&CDS=1-978
34	OG0000034	YDR207C	augustus_masked-flattened_line_319-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_319-processed-gene-0.0&CDS=1-1602, augustus_masked-flattened_line_78-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.66&CDS=1-1599, maker-flattened_line_226-snap-gene-0.14-mRNA-1_1&gene=maker-flattened_line_226-snap-gene-0.14&CDS=1-2148, maker-flattened_line_30-augustus-gene-1.1-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-1.1&CDS=1-2187
35	OG0000035	YDR326C, YFL042C, YHR080C	genemark-flattened_line_66-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.110&CDS=1-2523, snap_masked-flattened_line_2-processed-gene-2.8-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.8&CDS=1-3231
36	OG0000036	YDR385W, YKL173W, YOR133W	augustus_masked-flattened_line_10-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.117&CDS=1-2988, maker-flattened_line_50-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_50-augustus-gene-0.0&CDS=1-3465
37	OG0000037	YER067W, YIL057C	augustus_masked-flattened_line_116-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.51&CDS=1-540, augustus_masked-flattened_line_14-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.74&CDS=1-567, augustus_masked-flattened_line_78-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.97&CDS=1-600
38	OG0000038	YGL092W, YKL068W, YMR047C	augustus_masked-flattened_line_24-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.119&CDS=1-4017, augustus_masked-flattened_line_90-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.117&CDS=1-3321
39	OG0000039	YGL257C, YIL014W, YNR059W	augustus_masked-flattened_line_34-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.157&CDS=1-3318, augustus_masked-flattened_line_4-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.44&CDS=1-2139
40	OG0000040	YGR087C, YLR044C, YLR134W	augustus_masked-flattened_line_22-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.20&CDS=1-1722, augustus_masked-flattened_line_72-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.63&CDS=1-1704
41	OG0000041	YGR201C, YKL081W, YPL048W	augustus_masked-flattened_line_94-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.80&CDS=1-654, augustus_masked-flattened_line_94-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.81&CDS=1-5247
42	OG0000042	YHR179W, YPL171C	augustus_masked-flattened_line_2-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.65&CDS=1-1218, augustus_masked-flattened_line_58-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.40&CDS=1-1182, maker-flattened_line_50-snap-gene-0.81-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.81&CDS=1-2358
43	OG0000043	YJL089W, YMR280C	augustus_masked-flattened_line_26-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.55&CDS=1-3756, augustus_masked-flattened_line_62-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.153&CDS=1-2295, maker-flattened_line_72-snap-gene-0.120-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.120&CDS=1-3591
44	OG0000044	YJR061W, YKL201C	augustus_masked-flattened_line_0-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.102&CDS=1-2442, augustus_masked-flattened_line_130-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.54&CDS=1-2439, augustus_masked-flattened_line_28-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.16&CDS=1-2718
45	OG0000045	YLR144C, YNR067C	augustus_masked-flattened_line_52-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.61&CDS=1-2424, augustus_masked-flattened_line_72-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.78&CDS=1-3165, maker-flattened_line_0-augustus-gene-0.114-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.114&CDS=1-2139
46	OG0000046	YML072C, YNL087W, YOR086C	augustus_masked-flattened_line_10-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.53&CDS=1-3489, snap_masked-flattened_line_100-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.117&CDS=1-4101
47	OG0000047	YML116W, YMR279C, YOR378W	augustus_masked-flattened_line_206-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_206-processed-gene-0.20&CDS=1-1671, genemark-flattened_line_80-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.131&CDS=1-1680
