	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034932_Kuraishia_ogatae
10	OG0000010	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-1.79&CDS=1-1833, augustus_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-1.23&CDS=1-1773, genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-1.104-mRNA-1_1&gene=genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-1.104&CDS=1-1758
11	OG0000011	YDR011W, YOR153W	genemark-NODE_20_length_328297_cov_11.5211_ID_39-processed-gene-1.50-mRNA-1_1&gene=genemark-NODE_20_length_328297_cov_11.5211_ID_39-processed-gene-1.50&CDS=1-4488, genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-7.71-mRNA-1_1&gene=genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-7.71&CDS=1-4620, genemark-NODE_32_length_168628_cov_12.5934_ID_63-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_32_length_168628_cov_12.5934_ID_63-processed-gene-0.144&CDS=1-4578, genemark-NODE_46_length_31911_cov_11.0678_ID_91-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_46_length_31911_cov_11.0678_ID_91-processed-gene-0.10&CDS=1-4473, maker-NODE_6_length_592426_cov_11.8006_ID_11-snap-gene-4.244-mRNA-1_1&gene=maker-NODE_6_length_592426_cov_11.8006_ID_11-snap-gene-4.244&CDS=1-9024
12	OG0000012	YJR061W, YKL201C	genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-3.73-mRNA-1_1&gene=genemark-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-3.73&CDS=1-3141, genemark-NODE_30_length_200628_cov_11.5194_ID_59-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_30_length_200628_cov_11.5194_ID_59-processed-gene-0.90&CDS=1-2613, genemark-NODE_33_length_158598_cov_17.8103_ID_65-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_33_length_158598_cov_17.8103_ID_65-processed-gene-0.70&CDS=1-2442, genemark-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-2.42-mRNA-1_1&gene=genemark-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-2.42&CDS=1-2691, genemark-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-4.19-mRNA-1_1&gene=genemark-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-4.19&CDS=1-2169
13	OG0000013	YLR144C, YNR067C	genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-0.67&CDS=1-3000, genemark-NODE_14_length_375947_cov_14.1806_ID_27-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_14_length_375947_cov_14.1806_ID_27-processed-gene-0.13&CDS=1-2919, genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-1.79-mRNA-1_1&gene=genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-1.79&CDS=1-2409, genemark-NODE_28_length_230499_cov_10.9408_ID_55-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_28_length_230499_cov_10.9408_ID_55-processed-gene-1.31&CDS=1-2913, genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-9.53-mRNA-1_1&gene=genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-9.53&CDS=1-2598
14	OG0000014	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-6.62&CDS=1-1368
15	OG0000015	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_15_length_350517_cov_11.3523_ID_29-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NODE_15_length_350517_cov_11.3523_ID_29-processed-gene-2.121&CDS=1-2655, augustus_masked-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-2.58&CDS=1-4716
16	OG0000016	YBR237W, YDR243C, YNL112W	genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-1.28&CDS=1-1665, genemark-NODE_17_length_343940_cov_11.2238_ID_33-processed-gene-1.67-mRNA-1_1&gene=genemark-NODE_17_length_343940_cov_11.2238_ID_33-processed-gene-1.67&CDS=1-3093, genemark-NODE_4_length_633363_cov_13.7207_ID_7-processed-gene-1.95-mRNA-1_1&gene=genemark-NODE_4_length_633363_cov_13.7207_ID_7-processed-gene-1.95&CDS=1-2067
17	OG0000017	YBR245C, YFR038W, YOR304W	genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-14.78-mRNA-1_1&gene=genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-14.78&CDS=1-3306, genemark-NODE_24_length_260337_cov_11.7136_ID_47-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_24_length_260337_cov_11.7136_ID_47-processed-gene-0.81&CDS=1-3111, genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-1.19-mRNA-1_1&gene=genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-1.19&CDS=1-2526
18	OG0000018	YDL025C, YNL183C, YOR267C	genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-0.52&CDS=1-2424, maker-NODE_29_length_218192_cov_12.6781_ID_57-snap-gene-0.29-mRNA-1_1&gene=maker-NODE_29_length_218192_cov_12.6781_ID_57-snap-gene-0.29&CDS=1-3798, maker-NODE_4_length_633363_cov_13.7207_ID_7-snap-gene-2.39-mRNA-1_1&gene=maker-NODE_4_length_633363_cov_13.7207_ID_7-snap-gene-2.39&CDS=1-1818
19	OG0000019	YDL138W, YDL194W	augustus_masked-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-0.76&CDS=1-3666, genemark-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-2.100-mRNA-1_1&gene=genemark-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-2.100&CDS=1-1641, genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-0.8&CDS=1-1632, genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-0.9&CDS=1-1626
20	OG0000020	YDL230W, YER075C, YOR208W	augustus_masked-NODE_20_length_328297_cov_11.5211_ID_39-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-NODE_20_length_328297_cov_11.5211_ID_39-processed-gene-2.77&CDS=1-2412, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.59-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.59&CDS=1-1005, snap_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NODE_3_length_726065_cov_12.1226_ID_5-processed-gene-4.118&CDS=1-2052
21	OG0000021	YDR069C, YER144C, YIL156W, YKR098C	augustus_masked-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-9.73&CDS=1-3615, maker-NODE_17_length_343940_cov_11.2238_ID_33-snap-gene-1.146-mRNA-1_1&gene=maker-NODE_17_length_343940_cov_11.2238_ID_33-snap-gene-1.146&CDS=1-2601
22	OG0000022	YDR125C, YGR110W, YLR099C	genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-4.1-mRNA-1_1&gene=genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-4.1&CDS=1-1425, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-3.51-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-3.51&CDS=1-1407, genemark-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-3.88-mRNA-1_1&gene=genemark-NODE_9_length_529929_cov_11.5501_ID_17-processed-gene-3.88&CDS=1-1518
23	OG0000023	YDR326C, YFL042C, YHR080C, YLR072W	genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-2.124-mRNA-1_1&gene=genemark-NODE_2_length_1005779_cov_12.3914_ID_3-processed-gene-2.124&CDS=1-3003, genemark-NODE_8_length_530029_cov_13.7433_ID_15-processed-gene-3.83-mRNA-1_1&gene=genemark-NODE_8_length_530029_cov_13.7433_ID_15-processed-gene-3.83&CDS=1-4482
24	OG0000024	YDR338C, YHR032W	genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-2.94-mRNA-1_1&gene=genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-2.94&CDS=1-1530, genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-9.21-mRNA-1_1&gene=genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-9.21&CDS=1-1815, genemark-NODE_47_length_30978_cov_11.4807_ID_93-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_47_length_30978_cov_11.4807_ID_93-processed-gene-0.10&CDS=1-1764, genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-3.86&CDS=1-1962
25	OG0000025	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-1.54-mRNA-1_1&gene=genemark-NODE_26_length_249273_cov_11.2895_ID_51-processed-gene-1.54&CDS=1-1632
26	OG0000026	YHR050W, YLR034C, YOL122C	genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.6-mRNA-1_1&gene=genemark-NODE_5_length_595991_cov_12.8905_ID_9-processed-gene-4.6&CDS=1-1539, genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-3.44-mRNA-1_1&gene=genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-3.44&CDS=1-1839, snap_masked-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.155-mRNA-1_1&gene=snap_masked-NODE_22_length_275689_cov_11.6014_ID_43-processed-gene-1.155&CDS=1-1872
27	OG0000027	YKL139W, YPL031C, YPR161C	augustus_masked-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_10_length_452332_cov_11.3725_ID_19-processed-gene-1.61&CDS=1-1962, genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-9.12-mRNA-1_1&gene=genemark-NODE_1_length_1514969_cov_12.2952_ID_1-processed-gene-9.12&CDS=1-2592, snap_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-0.18&CDS=1-960
28	OG0000028	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-2.152-mRNA-1_1&gene=genemark-NODE_19_length_328470_cov_11.3744_ID_37-processed-gene-2.152&CDS=1-2265
29	OG0000029	YLL005C, YMR266W, YOL084W	genemark-NODE_14_length_375947_cov_14.1806_ID_27-processed-gene-2.97-mRNA-1_1&gene=genemark-NODE_14_length_375947_cov_14.1806_ID_27-processed-gene-2.97&CDS=1-2844, genemark-NODE_38_length_83454_cov_19.1171_ID_75-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_38_length_83454_cov_19.1171_ID_75-processed-gene-0.57&CDS=1-2619, genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_7_length_544973_cov_11.384_ID_13-processed-gene-0.95&CDS=1-2748
30	OG0000030	YNL274C, YPL113C	genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-3.62-mRNA-1_1&gene=genemark-NODE_12_length_401901_cov_12.886_ID_23-processed-gene-3.62&CDS=1-1029, genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_16_length_348894_cov_13.2096_ID_31-processed-gene-2.83&CDS=1-1062, genemark-NODE_35_length_98270_cov_18.2768_ID_69-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_35_length_98270_cov_18.2768_ID_69-processed-gene-0.38&CDS=1-1005, maker-NODE_7_length_544973_cov_11.384_ID_13-snap-gene-4.187-mRNA-1_1&gene=maker-NODE_7_length_544973_cov_11.384_ID_13-snap-gene-4.187&CDS=1-2172
31	OG0000031	YNR063W	genemark-NODE_15_length_350517_cov_11.3523_ID_29-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_15_length_350517_cov_11.3523_ID_29-processed-gene-2.54&CDS=1-4089, genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.133-mRNA-1_1&gene=genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.133&CDS=1-1959, genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.156-mRNA-1_1&gene=genemark-NODE_27_length_243254_cov_11.9412_ID_53-processed-gene-1.156&CDS=1-2409, genemark-NODE_33_length_158598_cov_17.8103_ID_65-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_33_length_158598_cov_17.8103_ID_65-processed-gene-0.69&CDS=1-2463, snap_masked-NODE_4_length_633363_cov_13.7207_ID_7-processed-gene-5.87-mRNA-1_1&gene=snap_masked-NODE_4_length_633363_cov_13.7207_ID_7-processed-gene-5.87&CDS=1-2076
