	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035022_Candida_emberorum
10	OG0000010	YCL024W, YDR477W, YDR507C, YKL101W	genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-1.43&CDS=1-4554, genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.53-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.53&CDS=1-1752, maker-NODE_4_length_917787_cov_18.057_ID_7-snap-gene-4.115-mRNA-1_1&gene=maker-NODE_4_length_917787_cov_18.057_ID_7-snap-gene-4.115&CDS=1-4335
11	OG0000011	YLR144C, YNR067C	augustus_masked-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-9.185-mRNA-1_1&gene=augustus_masked-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-9.185&CDS=1-4236, genemark-NODE_5_length_904875_cov_16.44_ID_9-processed-gene-8.123-mRNA-1_1&gene=genemark-NODE_5_length_904875_cov_16.44_ID_9-processed-gene-8.123&CDS=1-2646, maker-NODE_4_length_917787_cov_18.057_ID_7-snap-gene-8.1-mRNA-1_1&gene=maker-NODE_4_length_917787_cov_18.057_ID_7-snap-gene-8.1&CDS=1-8655, maker-NODE_6_length_870134_cov_17.5615_ID_11-snap-gene-4.5-mRNA-1_1&gene=maker-NODE_6_length_870134_cov_17.5615_ID_11-snap-gene-4.5&CDS=1-3534, maker-NODE_7_length_860677_cov_18.1149_ID_13-snap-gene-7.204-mRNA-1_1&gene=maker-NODE_7_length_860677_cov_18.1149_ID_13-snap-gene-7.204&CDS=1-4299
12	OG0000012	YLR256W, YML015C	genemark-NODE_13_length_452004_cov_15.9803_ID_25-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_13_length_452004_cov_15.9803_ID_25-processed-gene-0.98&CDS=1-2913, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-3.45-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-3.45&CDS=1-2952, genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.40-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.40&CDS=1-4065, genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.41-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-5.41&CDS=1-3762, snap_masked-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-3.97-mRNA-1_1&gene=snap_masked-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-3.97&CDS=1-3345
13	OG0000013	Q0045, Q0060, Q0065, Q0070	genemark-NODE_30_length_33795_cov_1857.58_ID_59-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_30_length_33795_cov_1857.58_ID_59-processed-gene-0.12&CDS=1-432, maker-NODE_30_length_33795_cov_1857.58_ID_59-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_30_length_33795_cov_1857.58_ID_59-snap-gene-0.3&CDS=1-198, maker-NODE_30_length_33795_cov_1857.58_ID_59-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_30_length_33795_cov_1857.58_ID_59-snap-gene-0.4&CDS=1-1368
14	OG0000014	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-7.12-mRNA-1_1&gene=genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-7.12&CDS=1-1383
15	OG0000015	YBR015C, YJL186W	genemark-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-0.100&CDS=1-1776, genemark-NODE_19_length_310056_cov_16.1103_ID_37-processed-gene-1.116-mRNA-1_1&gene=genemark-NODE_19_length_310056_cov_16.1103_ID_37-processed-gene-1.116&CDS=1-2178, genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-7.45-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-7.45&CDS=1-1683, genemark-NODE_8_length_602038_cov_19.6922_ID_15-processed-gene-1.95-mRNA-1_1&gene=genemark-NODE_8_length_602038_cov_19.6922_ID_15-processed-gene-1.95&CDS=1-1749
16	OG0000016	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	
17	OG0000017	YBR189W, YBR191W, YPL079W, YPL081W	genemark-NODE_5_length_904875_cov_16.44_ID_9-processed-gene-3.75-mRNA-1_1&gene=genemark-NODE_5_length_904875_cov_16.44_ID_9-processed-gene-3.75&CDS=1-480, maker-NODE_6_length_870134_cov_17.5615_ID_11-augustus-gene-7.208-mRNA-1_1&gene=maker-NODE_6_length_870134_cov_17.5615_ID_11-augustus-gene-7.208&CDS=1-1026
18	OG0000018	YBR207W, YER145C	genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.84&CDS=1-1239, genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.21&CDS=1-1236, genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-6.52-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-6.52&CDS=1-1170, genemark-NODE_8_length_602038_cov_19.6922_ID_15-processed-gene-2.128-mRNA-1_1&gene=genemark-NODE_8_length_602038_cov_19.6922_ID_15-processed-gene-2.128&CDS=1-1173
19	OG0000019	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-0.1&CDS=1-807, genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-0.54&CDS=1-2241
20	OG0000020	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-1.91&CDS=1-1737, augustus_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-1.92&CDS=1-1734
21	OG0000021	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-2.8&CDS=1-2142, genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-4.87-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-4.87&CDS=1-2505, maker-NODE_3_length_1003618_cov_17.3652_ID_5-snap-gene-9.138-mRNA-1_1&gene=maker-NODE_3_length_1003618_cov_17.3652_ID_5-snap-gene-9.138&CDS=1-1740
22	OG0000022	YDR134C, YLR110C	augustus_masked-NODE_18_length_340110_cov_19.9439_ID_35-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-NODE_18_length_340110_cov_19.9439_ID_35-processed-gene-2.165&CDS=1-1272, genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.5&CDS=1-669, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-2.116-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-2.116&CDS=1-1653, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-2.95-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-2.95&CDS=1-684
23	OG0000023	YDR338C, YHR032W	genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-2.75-mRNA-1_1&gene=genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-2.75&CDS=1-1761, genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-0.120&CDS=1-1440, genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-2.30&CDS=1-1800, genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-4.93-mRNA-1_1&gene=genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-4.93&CDS=1-1647
24	OG0000024	YER054C, YIL045W, YLR273C, YOR178C	genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-6.81-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-6.81&CDS=1-1728, genemark-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_9_length_515618_cov_16.019_ID_17-processed-gene-1.32&CDS=1-1902
25	OG0000025	YGL073W, YGR249W, YOR140W	genemark-NODE_14_length_432756_cov_16.3425_ID_27-processed-gene-3.8-mRNA-1_1&gene=genemark-NODE_14_length_432756_cov_16.3425_ID_27-processed-gene-3.8&CDS=1-2808, genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-8.4-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-8.4&CDS=1-2178, maker-NODE_4_length_917787_cov_18.057_ID_7-snap-gene-3.69-mRNA-1_1&gene=maker-NODE_4_length_917787_cov_18.057_ID_7-snap-gene-3.69&CDS=1-1926
26	OG0000026	YJR004C	augustus_masked-NODE_26_length_66546_cov_20.6561_ID_51-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_26_length_66546_cov_20.6561_ID_51-processed-gene-0.12&CDS=1-3006, augustus_masked-NODE_36_length_9557_cov_37.4251_ID_71-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_36_length_9557_cov_37.4251_ID_71-processed-gene-0.5&CDS=1-1332, genemark-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.12-mRNA-1_1&gene=genemark-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-4.12&CDS=1-2145, genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-7.36-mRNA-1_1&gene=genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-7.36&CDS=1-3204, maker-NODE_34_length_12650_cov_29.3347_ID_67-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_34_length_12650_cov_29.3347_ID_67-snap-gene-0.11&CDS=1-2784
27	OG0000027	YLL005C, YMR266W, YOL084W	genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-2.10-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-2.10&CDS=1-2460, genemark-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-3.208-mRNA-1_1&gene=genemark-NODE_15_length_426850_cov_21.9543_ID_29-processed-gene-3.208&CDS=1-2706, genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-6.57-mRNA-1_1&gene=genemark-NODE_2_length_1087163_cov_17.8293_ID_3-processed-gene-6.57&CDS=1-2574
28	OG0000028	YMR169C, YMR170C, YOR374W	genemark-NODE_19_length_310056_cov_16.1103_ID_37-processed-gene-2.7-mRNA-1_1&gene=genemark-NODE_19_length_310056_cov_16.1103_ID_37-processed-gene-2.7&CDS=1-1503, genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-2.70-mRNA-1_1&gene=genemark-NODE_1_length_1097105_cov_18.1395_ID_1-processed-gene-2.70&CDS=1-1941, genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-5.91-mRNA-1_1&gene=genemark-NODE_7_length_860677_cov_18.1149_ID_13-processed-gene-5.91&CDS=1-1587
29	OG0000029		augustus_masked-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.9&CDS=1-2202, genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.87&CDS=1-2094, genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-3.75-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-3.75&CDS=1-2136, genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-4.95-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-4.95&CDS=1-2235, genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-5.7-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-5.7&CDS=1-2025, snap_masked-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-0.48&CDS=1-2289
30	OG0000030	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-3.179-mRNA-1_1&gene=augustus_masked-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-3.179&CDS=1-4608
31	OG0000031	YBL056W, YBR125C, YER089C	genemark-NODE_14_length_432756_cov_16.3425_ID_27-processed-gene-3.18-mRNA-1_1&gene=genemark-NODE_14_length_432756_cov_16.3425_ID_27-processed-gene-3.18&CDS=1-1029, genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_17_length_370782_cov_16.0799_ID_33-processed-gene-0.16&CDS=1-1371
32	OG0000032	YBL068W, YER099C, YHL011C	genemark-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-3.79-mRNA-1_1&gene=genemark-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-3.79&CDS=1-969, genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-1.81-mRNA-1_1&gene=genemark-NODE_11_length_491709_cov_15.873_ID_21-processed-gene-1.81&CDS=1-960
33	OG0000033	YBL089W, YER119C, YIL088C	genemark-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-2.6-mRNA-1_1&gene=genemark-NODE_10_length_510655_cov_18.7954_ID_19-processed-gene-2.6&CDS=1-1326, genemark-NODE_5_length_904875_cov_16.44_ID_9-processed-gene-2.110-mRNA-1_1&gene=genemark-NODE_5_length_904875_cov_16.44_ID_9-processed-gene-2.110&CDS=1-1416
34	OG0000034	YBR038W, YNL192W	genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-2.78-mRNA-1_1&gene=genemark-NODE_12_length_467700_cov_19.8081_ID_23-processed-gene-2.78&CDS=1-3003, genemark-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.34&CDS=1-2916, snap_masked-NODE_26_length_66546_cov_20.6561_ID_51-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_26_length_66546_cov_20.6561_ID_51-processed-gene-0.20&CDS=1-3387
