	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034673_Blastobotrys_nivea
10	OG0000010	YOL119C	augustus_masked-NODE_1053_length_4017_cov_2.9682_ID_2105-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_1053_length_4017_cov_2.9682_ID_2105-processed-gene-0.5&CDS=1-1563, augustus_masked-NODE_1210_length_3705_cov_3.10301_ID_2419-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_1210_length_3705_cov_3.10301_ID_2419-processed-gene-0.7&CDS=1-507, augustus_masked-NODE_1516_length_3224_cov_3.574_ID_3031-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_1516_length_3224_cov_3.574_ID_3031-processed-gene-0.5&CDS=1-1452, augustus_masked-NODE_4724_length_1026_cov_2.79403_ID_9447-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_4724_length_1026_cov_2.79403_ID_9447-processed-gene-0.3&CDS=1-507, genemark-NODE_4331_length_1208_cov_3.37381_ID_8661-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_4331_length_1208_cov_3.37381_ID_8661-processed-gene-0.2&CDS=1-795, genemark-NODE_4468_length_1144_cov_1.90174_ID_8935-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_4468_length_1144_cov_1.90174_ID_8935-processed-gene-0.2&CDS=1-855, genemark-NODE_6878_length_304_cov_3.38956_ID_13755-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_6878_length_304_cov_3.38956_ID_13755-processed-gene-0.0&CDS=1-246
11	OG0000011	YOR126C	augustus_masked-NODE_1007_length_4102_cov_3.60835_ID_2013-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_1007_length_4102_cov_3.60835_ID_2013-processed-gene-0.10&CDS=1-306, augustus_masked-NODE_1062_length_3994_cov_3.69205_ID_2123-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1062_length_3994_cov_3.69205_ID_2123-processed-gene-0.2&CDS=1-672, augustus_masked-NODE_2564_length_2192_cov_3.33926_ID_5127-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_2564_length_2192_cov_3.33926_ID_5127-processed-gene-0.2&CDS=1-879, augustus_masked-NODE_3140_length_1797_cov_2.36452_ID_6279-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3140_length_1797_cov_2.36452_ID_6279-processed-gene-0.0&CDS=1-618, maker-NODE_1007_length_4102_cov_3.60835_ID_2013-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_1007_length_4102_cov_3.60835_ID_2013-snap-gene-0.11&CDS=1-1368, snap_masked-NODE_2363_length_2345_cov_2.7607_ID_4725-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_2363_length_2345_cov_2.7607_ID_4725-processed-gene-0.1&CDS=1-672, snap_masked-NODE_2363_length_2345_cov_2.7607_ID_4725-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_2363_length_2345_cov_2.7607_ID_4725-processed-gene-0.2&CDS=1-327
12	OG0000012		augustus_masked-NODE_2211_length_2473_cov_3.18031_ID_4421-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2211_length_2473_cov_3.18031_ID_4421-processed-gene-0.1&CDS=1-2436, augustus_masked-NODE_255_length_6929_cov_3.63035_ID_509-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_255_length_6929_cov_3.63035_ID_509-processed-gene-0.4&CDS=1-1662, augustus_masked-NODE_261_length_6862_cov_3.52931_ID_521-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_261_length_6862_cov_3.52931_ID_521-processed-gene-0.3&CDS=1-2646, augustus_masked-NODE_324_length_6409_cov_16.9992_ID_647-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_324_length_6409_cov_16.9992_ID_647-processed-gene-0.3&CDS=1-3225, augustus_masked-NODE_771_length_4592_cov_3.2495_ID_1541-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_771_length_4592_cov_3.2495_ID_1541-processed-gene-0.6&CDS=1-882, maker-NODE_468_length_5570_cov_5.17026_ID_935-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_468_length_5570_cov_5.17026_ID_935-augustus-gene-0.5&CDS=1-2844, snap_masked-NODE_1487_length_3262_cov_4.11537_ID_2973-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_1487_length_3262_cov_4.11537_ID_2973-processed-gene-0.3&CDS=1-213, snap_masked-NODE_5116_length_878_cov_2.6051_ID_10231-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_5116_length_878_cov_2.6051_ID_10231-processed-gene-0.0&CDS=1-210
13	OG0000013	YBR114W, YOR191W	augustus_masked-NODE_1464_length_3294_cov_4.17351_ID_2927-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_1464_length_3294_cov_4.17351_ID_2927-processed-gene-0.6&CDS=1-1356, augustus_masked-NODE_3518_length_1584_cov_2.69261_ID_7035-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_3518_length_1584_cov_2.69261_ID_7035-processed-gene-0.3&CDS=1-474, genemark-NODE_2396_length_2309_cov_3.29636_ID_4791-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_2396_length_2309_cov_3.29636_ID_4791-processed-gene-0.8&CDS=1-1092, snap_masked-NODE_1074_length_3976_cov_3.49987_ID_2147-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_1074_length_3976_cov_3.49987_ID_2147-processed-gene-0.9&CDS=1-345, snap_masked-NODE_472_length_5533_cov_3.71194_ID_943-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_472_length_5533_cov_3.71194_ID_943-processed-gene-0.14&CDS=1-1068
14	OG0000014	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_1127_length_3865_cov_2.78478_ID_2253-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1127_length_3865_cov_2.78478_ID_2253-processed-gene-0.0&CDS=1-1518, augustus_masked-NODE_5066_length_898_cov_1.84342_ID_10131-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_5066_length_898_cov_1.84342_ID_10131-processed-gene-0.0&CDS=1-897, snap_masked-NODE_5559_length_699_cov_1.96118_ID_11117-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_5559_length_699_cov_1.96118_ID_11117-processed-gene-0.1&CDS=1-594, snap_masked-NODE_746_length_4644_cov_2.95794_ID_1491-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_746_length_4644_cov_2.95794_ID_1491-processed-gene-0.5&CDS=1-1584
15	OG0000015	YER073W, YMR169C, YMR170C	augustus_masked-NODE_1679_length_3010_cov_4.45651_ID_3357-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_1679_length_3010_cov_4.45651_ID_3357-processed-gene-0.7&CDS=1-1497, augustus_masked-NODE_290_length_6678_cov_3.49872_ID_579-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_290_length_6678_cov_3.49872_ID_579-processed-gene-0.5&CDS=1-1482, augustus_masked-NODE_3661_length_1511_cov_3.04808_ID_7321-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3661_length_1511_cov_3.04808_ID_7321-processed-gene-0.1&CDS=1-1149, snap_masked-NODE_1257_length_3615_cov_3.61376_ID_2513-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_1257_length_3615_cov_3.61376_ID_2513-processed-gene-0.1&CDS=1-1479
16	OG0000016	YFL021W, YKR034W	augustus_masked-NODE_4183_length_1271_cov_1.75822_ID_8365-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4183_length_1271_cov_1.75822_ID_8365-processed-gene-0.0&CDS=1-840, augustus_masked-NODE_4558_length_1099_cov_2.84962_ID_9115-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4558_length_1099_cov_2.84962_ID_9115-processed-gene-0.0&CDS=1-351, augustus_masked-NODE_949_length_4231_cov_3.03257_ID_1897-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_949_length_4231_cov_3.03257_ID_1897-processed-gene-0.1&CDS=1-2028, snap_masked-NODE_2471_length_2259_cov_3.09392_ID_4941-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_2471_length_2259_cov_3.09392_ID_4941-processed-gene-0.1&CDS=1-1362, snap_masked-NODE_3066_length_1851_cov_2.07795_ID_6131-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_3066_length_1851_cov_2.07795_ID_6131-processed-gene-0.1&CDS=1-594
17	OG0000017	YHR179W, YPL171C	augustus_masked-NODE_1632_length_3065_cov_2.60432_ID_3263-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_1632_length_3065_cov_2.60432_ID_3263-processed-gene-0.3&CDS=1-1083, augustus_masked-NODE_2171_length_2514_cov_3.04026_ID_4341-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_2171_length_2514_cov_3.04026_ID_4341-processed-gene-0.2&CDS=1-1155, augustus_masked-NODE_298_length_6598_cov_3.48678_ID_595-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_298_length_6598_cov_3.48678_ID_595-processed-gene-0.2&CDS=1-1134, augustus_masked-NODE_3230_length_1755_cov_2.56294_ID_6459-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3230_length_1755_cov_2.56294_ID_6459-processed-gene-0.0&CDS=1-1149, augustus_masked-NODE_516_length_5342_cov_3.02232_ID_1031-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_516_length_5342_cov_3.02232_ID_1031-processed-gene-0.0&CDS=1-1140
18	OG0000018	YKL174C	augustus_masked-NODE_3314_length_1708_cov_3.40956_ID_6627-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3314_length_1708_cov_3.40956_ID_6627-processed-gene-0.1&CDS=1-1557, augustus_masked-NODE_6652_length_354_cov_2.98328_ID_13303-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_6652_length_354_cov_2.98328_ID_13303-processed-gene-0.2&CDS=1-294, augustus_masked-NODE_821_length_4470_cov_3.49943_ID_1641-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_821_length_4470_cov_3.49943_ID_1641-processed-gene-0.0&CDS=1-291, augustus_masked-NODE_821_length_4470_cov_3.49943_ID_1641-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_821_length_4470_cov_3.49943_ID_1641-processed-gene-0.1&CDS=1-1596, augustus_masked-NODE_919_length_4298_cov_5.32571_ID_1837-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_919_length_4298_cov_5.32571_ID_1837-processed-gene-0.7&CDS=1-1533, genemark-NODE_317_length_6476_cov_3.33936_ID_633-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_317_length_6476_cov_3.33936_ID_633-processed-gene-0.0&CDS=1-2058
19	OG0000019	YMR126C	augustus_masked-NODE_1343_length_3469_cov_4.52373_ID_2685-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_1343_length_3469_cov_4.52373_ID_2685-processed-gene-0.4&CDS=1-1554, augustus_masked-NODE_164_length_7861_cov_3.85076_ID_327-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_164_length_7861_cov_3.85076_ID_327-processed-gene-0.18&CDS=1-579, augustus_masked-NODE_5700_length_651_cov_1.58557_ID_11399-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5700_length_651_cov_1.58557_ID_11399-processed-gene-0.1&CDS=1-354, augustus_masked-NODE_6293_length_441_cov_2.45337_ID_12585-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6293_length_441_cov_2.45337_ID_12585-processed-gene-0.1&CDS=1-354, genemark-NODE_5661_length_663_cov_3.58059_ID_11321-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_5661_length_663_cov_3.58059_ID_11321-processed-gene-0.2&CDS=1-513, maker-NODE_5_length_18505_cov_3.56596_ID_9-snap-gene-0.27-mRNA-1_1&gene=maker-NODE_5_length_18505_cov_3.56596_ID_9-snap-gene-0.27&CDS=1-1761
20	OG0000020	YOL137W	augustus_masked-NODE_1259_length_3607_cov_4.55687_ID_2517-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1259_length_3607_cov_4.55687_ID_2517-processed-gene-0.0&CDS=1-1380, augustus_masked-NODE_4291_length_1226_cov_3.0111_ID_8581-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4291_length_1226_cov_3.0111_ID_8581-processed-gene-0.1&CDS=1-657, augustus_masked-NODE_763_length_4612_cov_3.15888_ID_1525-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_763_length_4612_cov_3.15888_ID_1525-processed-gene-0.6&CDS=1-1260, augustus_masked-NODE_943_length_4244_cov_3.3323_ID_1885-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_943_length_4244_cov_3.3323_ID_1885-processed-gene-0.7&CDS=1-627, maker-NODE_3274_length_1733_cov_3.09595_ID_6547-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_3274_length_1733_cov_3.09595_ID_6547-snap-gene-0.1&CDS=1-1125, snap_masked-NODE_3038_length_1868_cov_2.97849_ID_6075-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_3038_length_1868_cov_2.97849_ID_6075-processed-gene-0.0&CDS=1-678
21	OG0000021	YPR127W	augustus_masked-NODE_1883_length_2802_cov_2.87332_ID_3765-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1883_length_2802_cov_2.87332_ID_3765-processed-gene-0.2&CDS=1-765, augustus_masked-NODE_2458_length_2270_cov_3.74673_ID_4915-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_2458_length_2270_cov_3.74673_ID_4915-processed-gene-0.0&CDS=1-276, augustus_masked-NODE_2458_length_2270_cov_3.74673_ID_4915-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2458_length_2270_cov_3.74673_ID_4915-processed-gene-0.1&CDS=1-996, augustus_masked-NODE_3488_length_1600_cov_2.57994_ID_6975-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3488_length_1600_cov_2.57994_ID_6975-processed-gene-0.1&CDS=1-720, augustus_masked-NODE_4161_length_1285_cov_2.98699_ID_8321-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_4161_length_1285_cov_2.98699_ID_8321-processed-gene-0.2&CDS=1-282, snap_masked-NODE_2804_length_2030_cov_2.87544_ID_5607-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_2804_length_2030_cov_2.87544_ID_5607-processed-gene-0.3&CDS=1-627
22	OG0000022		augustus_masked-NODE_3742_length_1465_cov_3.56809_ID_7483-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3742_length_1465_cov_3.56809_ID_7483-processed-gene-0.1&CDS=1-369, augustus_masked-NODE_4306_length_1219_cov_1.48797_ID_8611-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4306_length_1219_cov_1.48797_ID_8611-processed-gene-0.1&CDS=1-738, augustus_masked-NODE_773_length_4581_cov_3.77088_ID_1545-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_773_length_4581_cov_3.77088_ID_1545-processed-gene-0.4&CDS=1-1038, snap_masked-NODE_1465_length_3294_cov_3.13152_ID_2929-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_1465_length_3294_cov_3.13152_ID_2929-processed-gene-0.3&CDS=1-1074, snap_masked-NODE_2591_length_2168_cov_3.11595_ID_5181-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_2591_length_2168_cov_3.11595_ID_5181-processed-gene-0.1&CDS=1-1068, snap_masked-NODE_773_length_4581_cov_3.77088_ID_1545-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_773_length_4581_cov_3.77088_ID_1545-processed-gene-0.6&CDS=1-864, snap_masked-NODE_988_length_4136_cov_2.99902_ID_1975-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_988_length_4136_cov_2.99902_ID_1975-processed-gene-0.1&CDS=1-309
