	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035639_Wickerhamomyces_canadensis
10	OG0000010	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_36_length_124891_cov_26.2673_ID_4935-processed-gene-0.157-mRNA-1_1&gene=genemark-NODE_36_length_124891_cov_26.2673_ID_4935-processed-gene-0.157&CDS=1-1764, genemark-NODE_37_length_123255_cov_27.4088_ID_5039-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_37_length_123255_cov_27.4088_ID_5039-processed-gene-0.114&CDS=1-1740, genemark-NODE_4_length_439725_cov_27.3288_ID_2529-processed-gene-3.95-mRNA-1_1&gene=genemark-NODE_4_length_439725_cov_27.3288_ID_2529-processed-gene-3.95&CDS=1-1704
11	OG0000011	YDR242W	genemark-NODE_14_length_315331_cov_26.7591_ID_8109-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_14_length_315331_cov_26.7591_ID_8109-processed-gene-0.44&CDS=1-1722, genemark-NODE_14_length_315331_cov_26.7591_ID_8109-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_14_length_315331_cov_26.7591_ID_8109-processed-gene-0.45&CDS=1-1713, genemark-NODE_27_length_196956_cov_27.3112_ID_3548-processed-gene-0.158-mRNA-1_1&gene=genemark-NODE_27_length_196956_cov_27.3112_ID_3548-processed-gene-0.158&CDS=1-1695, genemark-NODE_33_length_163460_cov_29.9326_ID_2934-processed-gene-0.167-mRNA-1_1&gene=genemark-NODE_33_length_163460_cov_29.9326_ID_2934-processed-gene-0.167&CDS=1-1596, genemark-NODE_37_length_123255_cov_27.4088_ID_5039-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_37_length_123255_cov_27.4088_ID_5039-processed-gene-0.120&CDS=1-1620, genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.99-mRNA-1_1&gene=genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.99&CDS=1-1722
12	OG0000012	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	genemark-NODE_45_length_93153_cov_27.3459_ID_4791-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_45_length_93153_cov_27.3459_ID_4791-processed-gene-0.101&CDS=1-1689
13	OG0000013	YER073W, YOR374W, YPL061W	genemark-NODE_18_length_300324_cov_33.0673_ID_3349-processed-gene-0.124-mRNA-1_1&gene=genemark-NODE_18_length_300324_cov_33.0673_ID_3349-processed-gene-0.124&CDS=1-1491, genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-1.22-mRNA-1_1&gene=genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-1.22&CDS=1-1488, genemark-NODE_40_length_112547_cov_27.7886_ID_5269-processed-gene-0.138-mRNA-1_1&gene=genemark-NODE_40_length_112547_cov_27.7886_ID_5269-processed-gene-0.138&CDS=1-1590, maker-NODE_24_length_239806_cov_27.8773_ID_2434-snap-gene-1.17-mRNA-1_1&gene=maker-NODE_24_length_239806_cov_27.8773_ID_2434-snap-gene-1.17&CDS=1-1962
14	OG0000014	YGL257C, YNR059W	genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.43-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.43&CDS=1-2466, maker-NODE_1_length_612986_cov_28.1025_ID_2117-snap-gene-3.174-mRNA-1_1&gene=maker-NODE_1_length_612986_cov_28.1025_ID_2117-snap-gene-3.174&CDS=1-5691, maker-NODE_3_length_456944_cov_26.3675_ID_2053-snap-gene-1.53-mRNA-1_1&gene=maker-NODE_3_length_456944_cov_26.3675_ID_2053-snap-gene-1.53&CDS=1-3636, snap_masked-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-0.17&CDS=1-1425, snap_masked-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.201-mRNA-1_1&gene=snap_masked-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-3.201&CDS=1-2094
15	OG0000015	YJR152W	genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-1.80-mRNA-1_1&gene=genemark-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-1.80&CDS=1-1617, genemark-NODE_33_length_163460_cov_29.9326_ID_2934-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_33_length_163460_cov_29.9326_ID_2934-processed-gene-0.120&CDS=1-1554, genemark-NODE_3_length_456944_cov_26.3675_ID_2053-processed-gene-3.79-mRNA-1_1&gene=genemark-NODE_3_length_456944_cov_26.3675_ID_2053-processed-gene-3.79&CDS=1-1566, genemark-NODE_58_length_34683_cov_42.6186_ID_6065-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_58_length_34683_cov_42.6186_ID_6065-processed-gene-0.40&CDS=1-1587, genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.108-mRNA-1_1&gene=genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.108&CDS=1-1563, genemark-NODE_69_length_7197_cov_49.773_ID_6432-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_69_length_7197_cov_49.773_ID_6432-processed-gene-0.0&CDS=1-1536
16	OG0000016	YKL071W	genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.36-mRNA-1_1&gene=genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.36&CDS=1-765, genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.37-mRNA-1_1&gene=genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.37&CDS=1-765, genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.38-mRNA-1_1&gene=genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.38&CDS=1-765, genemark-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-1.109-mRNA-1_1&gene=genemark-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-1.109&CDS=1-771, genemark-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-2.153-mRNA-1_1&gene=genemark-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-2.153&CDS=1-768, maker-NODE_10_length_349559_cov_27.2631_ID_4606-snap-gene-2.232-mRNA-1_1&gene=maker-NODE_10_length_349559_cov_27.2631_ID_4606-snap-gene-2.232&CDS=1-2976
17	OG0000017	YKL220C, YNR060W, YOR381W	genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-4.11-mRNA-1_1&gene=genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-4.11&CDS=1-1887, genemark-NODE_3_length_456944_cov_26.3675_ID_2053-processed-gene-3.21-mRNA-1_1&gene=genemark-NODE_3_length_456944_cov_26.3675_ID_2053-processed-gene-3.21&CDS=1-2142, genemark-NODE_3_length_456944_cov_26.3675_ID_2053-processed-gene-3.59-mRNA-1_1&gene=genemark-NODE_3_length_456944_cov_26.3675_ID_2053-processed-gene-3.59&CDS=1-2076, genemark-NODE_7_length_386955_cov_27.8819_ID_1857-processed-gene-0.162-mRNA-1_1&gene=genemark-NODE_7_length_386955_cov_27.8819_ID_1857-processed-gene-0.162&CDS=1-2226
18	OG0000018	YLR152C, YNL095C, YOR092W	genemark-NODE_31_length_165873_cov_33.8282_ID_5571-processed-gene-0.209-mRNA-1_1&gene=genemark-NODE_31_length_165873_cov_33.8282_ID_5571-processed-gene-0.209&CDS=1-1347, genemark-NODE_44_length_95309_cov_26.4891_ID_4675-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_44_length_95309_cov_26.4891_ID_4675-processed-gene-0.75&CDS=1-1566, maker-NODE_10_length_349559_cov_27.2631_ID_4606-snap-gene-1.6-mRNA-1_1&gene=maker-NODE_10_length_349559_cov_27.2631_ID_4606-snap-gene-1.6&CDS=1-3201, maker-NODE_31_length_165873_cov_33.8282_ID_5571-snap-gene-0.14-mRNA-1_1&gene=maker-NODE_31_length_165873_cov_33.8282_ID_5571-snap-gene-0.14&CDS=1-1479
19	OG0000019		genemark-NODE_22_length_258992_cov_29.6238_ID_4382-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_22_length_258992_cov_29.6238_ID_4382-processed-gene-1.114&CDS=1-2541, genemark-NODE_25_length_218279_cov_26.8857_ID_3877-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_25_length_218279_cov_26.8857_ID_3877-processed-gene-0.108&CDS=1-2772, genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.0&CDS=1-2697, genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.22&CDS=1-2661, genemark-NODE_52_length_53239_cov_27.2071_ID_5849-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_52_length_53239_cov_27.2071_ID_5849-processed-gene-0.48&CDS=1-2346, genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_6_length_405598_cov_26.5625_ID_1891-processed-gene-0.25&CDS=1-2487, snap_masked-NODE_35_length_154330_cov_27.0039_ID_4733-processed-gene-0.210-mRNA-1_1&gene=snap_masked-NODE_35_length_154330_cov_27.0039_ID_4733-processed-gene-0.210&CDS=1-2397
20	OG0000020	YAL067C, YGR065C	genemark-NODE_22_length_258992_cov_29.6238_ID_4382-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_22_length_258992_cov_29.6238_ID_4382-processed-gene-1.111&CDS=1-1824, genemark-NODE_22_length_258992_cov_29.6238_ID_4382-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_22_length_258992_cov_29.6238_ID_4382-processed-gene-1.131&CDS=1-1677, genemark-NODE_24_length_239806_cov_27.8773_ID_2434-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_24_length_239806_cov_27.8773_ID_2434-processed-gene-0.39&CDS=1-1701, genemark-NODE_27_length_196956_cov_27.3112_ID_3548-processed-gene-0.199-mRNA-1_1&gene=genemark-NODE_27_length_196956_cov_27.3112_ID_3548-processed-gene-0.199&CDS=1-1689
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-2.138-mRNA-1_1&gene=genemark-NODE_1_length_612986_cov_28.1025_ID_2117-processed-gene-2.138&CDS=1-4590, genemark-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-2.129-mRNA-1_1&gene=genemark-NODE_9_length_364649_cov_30.6862_ID_2274-processed-gene-2.129&CDS=1-4494
22	OG0000022	YCL037C, YDL051W, YDR515W	genemark-NODE_28_length_184384_cov_26.2919_ID_2487-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_28_length_184384_cov_26.2919_ID_2487-processed-gene-0.19&CDS=1-1683, genemark-NODE_39_length_115182_cov_33.6475_ID_3930-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_39_length_115182_cov_33.6475_ID_3930-processed-gene-0.65&CDS=1-777, genemark-NODE_8_length_370894_cov_26.6736_ID_4498-processed-gene-2.142-mRNA-1_1&gene=genemark-NODE_8_length_370894_cov_26.6736_ID_4498-processed-gene-2.142&CDS=1-1533
23	OG0000023	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.60-mRNA-1_1&gene=genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.60&CDS=1-1830, genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-1.210-mRNA-1_1&gene=genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-1.210&CDS=1-1713
24	OG0000024	YDL037C, YIR019C	augustus_masked-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NODE_11_length_339300_cov_28.1809_ID_2658-processed-gene-2.112&CDS=1-666, augustus_masked-NODE_24_length_239806_cov_27.8773_ID_2434-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_24_length_239806_cov_27.8773_ID_2434-processed-gene-0.16&CDS=1-2766, genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.70-mRNA-1_1&gene=genemark-NODE_10_length_349559_cov_27.2631_ID_4606-processed-gene-2.70&CDS=1-1326, genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-0.26&CDS=1-3546
25	OG0000025	YDL056W, YER111C, YLR182W	genemark-NODE_12_length_324642_cov_27.6806_ID_3716-processed-gene-2.115-mRNA-1_1&gene=genemark-NODE_12_length_324642_cov_27.6806_ID_3716-processed-gene-2.115&CDS=1-2193, genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-1.246-mRNA-1_1&gene=genemark-NODE_19_length_296107_cov_26.668_ID_2223-processed-gene-1.246&CDS=1-2175, maker-NODE_12_length_324642_cov_27.6806_ID_3716-snap-gene-0.12-mRNA-1_1&gene=maker-NODE_12_length_324642_cov_27.6806_ID_3716-snap-gene-0.12&CDS=1-1899
26	OG0000026	YER103W, YJL034W, YLL024C	genemark-NODE_16_length_307170_cov_26.9969_ID_3217-processed-gene-2.112-mRNA-1_1&gene=genemark-NODE_16_length_307170_cov_26.9969_ID_3217-processed-gene-2.112&CDS=1-1932, genemark-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-1.170-mRNA-1_1&gene=genemark-NODE_26_length_203028_cov_26.4146_ID_2343-processed-gene-1.170&CDS=1-2010, genemark-NODE_55_length_41377_cov_26.4858_ID_6189-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_55_length_41377_cov_26.4858_ID_6189-processed-gene-0.41&CDS=1-1935
27	OG0000027	YGL185C, YPL113C	genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.31&CDS=1-1101, genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_2_length_480179_cov_29.7846_ID_3050-processed-gene-0.32&CDS=1-1095, genemark-NODE_35_length_154330_cov_27.0039_ID_4733-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_35_length_154330_cov_27.0039_ID_4733-processed-gene-0.109&CDS=1-1101, maker-NODE_56_length_38009_cov_27.9597_ID_5921-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_56_length_38009_cov_27.9597_ID_5921-augustus-gene-0.5&CDS=1-1107
28	OG0000028	YGR249W, YHR206W, YOR140W	genemark-NODE_27_length_196956_cov_27.3112_ID_3548-processed-gene-0.195-mRNA-1_1&gene=genemark-NODE_27_length_196956_cov_27.3112_ID_3548-processed-gene-0.195&CDS=1-2250, genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-3.124-mRNA-1_1&gene=genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-3.124&CDS=1-2412, genemark-NODE_8_length_370894_cov_26.6736_ID_4498-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_8_length_370894_cov_26.6736_ID_4498-processed-gene-0.10&CDS=1-1332
29	OG0000029	YHR050W, YLR034C, YOL122C	genemark-NODE_16_length_307170_cov_26.9969_ID_3217-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_16_length_307170_cov_26.9969_ID_3217-processed-gene-0.17&CDS=1-1632, genemark-NODE_18_length_300324_cov_33.0673_ID_3349-processed-gene-2.136-mRNA-1_1&gene=genemark-NODE_18_length_300324_cov_33.0673_ID_3349-processed-gene-2.136&CDS=1-1485, genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.109-mRNA-1_1&gene=genemark-NODE_5_length_415768_cov_29.9136_ID_5361-processed-gene-1.109&CDS=1-1731
