	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035643_Yarrowia_bubula
10	OG0000010	YHR179W, YPL171C	snap_masked-flattened_line_0-processed-gene-8.65-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.65&CDS=1-1101, snap_masked-flattened_line_147-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_147-processed-gene-0.35&CDS=1-1122, snap_masked-flattened_line_191-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_191-processed-gene-0.43&CDS=1-1113, snap_masked-flattened_line_2-processed-gene-3.32-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.32&CDS=1-1125, snap_masked-flattened_line_25-processed-gene-1.51-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.51&CDS=1-1116, snap_masked-flattened_line_273-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_273-processed-gene-0.19&CDS=1-987, snap_masked-flattened_line_303-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_303-processed-gene-0.29&CDS=1-1119, snap_masked-flattened_line_379-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_379-processed-gene-0.5&CDS=1-1086
11	OG0000011	YKR039W	snap_masked-flattened_line_0-processed-gene-1.15-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.15&CDS=1-1806, snap_masked-flattened_line_0-processed-gene-2.51-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.51&CDS=1-1758, snap_masked-flattened_line_11-processed-gene-2.96-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.96&CDS=1-1776, snap_masked-flattened_line_15-processed-gene-2.23-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.23&CDS=1-1740, snap_masked-flattened_line_2-processed-gene-2.89-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.89&CDS=1-1737, snap_masked-flattened_line_21-processed-gene-1.141-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.141&CDS=1-1746, snap_masked-flattened_line_49-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.102&CDS=1-1731, snap_masked-flattened_line_9-processed-gene-1.4-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.4&CDS=1-1746
12	OG0000012	YLR214W	augustus_masked-flattened_line_89-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.60&CDS=1-2091, genemark-flattened_line_27-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.98&CDS=1-1236, maker-flattened_line_173-snap-gene-0.35-mRNA-1_1&gene=maker-flattened_line_173-snap-gene-0.35&CDS=1-2034, snap_masked-flattened_line_11-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.35&CDS=1-2091, snap_masked-flattened_line_161-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_161-processed-gene-0.73&CDS=1-2064, snap_masked-flattened_line_27-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.58&CDS=1-2151, snap_masked-flattened_line_27-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.59&CDS=1-2145, snap_masked-flattened_line_35-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-1.78&CDS=1-2112
13	OG0000013	YDR406W, YOR153W, YOR328W	maker-flattened_line_0-snap-gene-8.79-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-8.79&CDS=1-4392, maker-flattened_line_6-snap-gene-1.56-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-1.56&CDS=1-4677, maker-flattened_line_6-snap-gene-2.203-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-2.203&CDS=1-4677, maker-flattened_line_75-snap-gene-0.67-mRNA-1_1&gene=maker-flattened_line_75-snap-gene-0.67&CDS=1-4437, maker-flattened_line_9-augustus-gene-2.0-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-2.0&CDS=1-4410
14	OG0000014	YJR152W	augustus_masked-flattened_line_311-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_311-processed-gene-0.1&CDS=1-1272, maker-flattened_line_95-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_95-snap-gene-0.8&CDS=1-2916, snap_masked-flattened_line_111-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.37&CDS=1-1506, snap_masked-flattened_line_171-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_171-processed-gene-0.45&CDS=1-1515, snap_masked-flattened_line_19-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.48&CDS=1-1533, snap_masked-flattened_line_2-processed-gene-3.40-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.40&CDS=1-1476, snap_masked-flattened_line_95-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_95-processed-gene-0.121&CDS=1-1470
15	OG0000015	YDL210W	snap_masked-flattened_line_101-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_101-processed-gene-0.49&CDS=1-1584, snap_masked-flattened_line_201-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_201-processed-gene-0.14&CDS=1-1629, snap_masked-flattened_line_221-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_221-processed-gene-0.20&CDS=1-1569, snap_masked-flattened_line_249-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_249-processed-gene-0.25&CDS=1-1566, snap_masked-flattened_line_63-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.91&CDS=1-1644, snap_masked-flattened_line_65-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.84&CDS=1-1641
16	OG0000016	YDR536W	maker-flattened_line_179-snap-gene-0.31-mRNA-1_1&gene=maker-flattened_line_179-snap-gene-0.31&CDS=1-3336, snap_masked-flattened_line_165-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.66&CDS=1-1716, snap_masked-flattened_line_273-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_273-processed-gene-0.16&CDS=1-1779, snap_masked-flattened_line_37-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.45&CDS=1-1734, snap_masked-flattened_line_49-processed-gene-0.156-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.156&CDS=1-1749, snap_masked-flattened_line_71-processed-gene-0.174-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.174&CDS=1-1683
17	OG0000017	YGL205W	snap_masked-flattened_line_285-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_285-processed-gene-0.24&CDS=1-2103, snap_masked-flattened_line_303-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_303-processed-gene-0.37&CDS=1-2106, snap_masked-flattened_line_4-processed-gene-3.89-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.89&CDS=1-2067, snap_masked-flattened_line_47-processed-gene-0.209-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.209&CDS=1-2070, snap_masked-flattened_line_57-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.92&CDS=1-2100, snap_masked-flattened_line_61-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.74&CDS=1-2094
18	OG0000018	YKL217W	snap_masked-flattened_line_0-processed-gene-2.52-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.52&CDS=1-1590, snap_masked-flattened_line_129-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_129-processed-gene-0.47&CDS=1-1500, snap_masked-flattened_line_133-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.22&CDS=1-1509, snap_masked-flattened_line_19-processed-gene-1.19-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.19&CDS=1-1578, snap_masked-flattened_line_285-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_285-processed-gene-0.26&CDS=1-1494, snap_masked-flattened_line_47-processed-gene-0.211-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.211&CDS=1-1557
19	OG0000019	YMR083W, YMR303C, YOL086C	snap_masked-flattened_line_161-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_161-processed-gene-0.64&CDS=1-1059, snap_masked-flattened_line_211-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_211-processed-gene-0.19&CDS=1-1053, snap_masked-flattened_line_223-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_223-processed-gene-0.42&CDS=1-1044, snap_masked-flattened_line_85-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.50&CDS=1-1053
20	OG0000020	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_15-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.46&CDS=1-1746
21	OG0000021	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_127-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_127-processed-gene-0.122&CDS=1-552, snap_masked-flattened_line_125-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_125-processed-gene-0.96&CDS=1-1554
22	OG0000022	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_71-processed-gene-0.155-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.155&CDS=1-1803, snap_masked-flattened_line_87-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.80&CDS=1-1950
23	OG0000023	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_405-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_405-processed-gene-0.1&CDS=1-1011, snap_masked-flattened_line_0-processed-gene-4.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.54&CDS=1-1086, snap_masked-flattened_line_141-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_141-processed-gene-0.42&CDS=1-999
24	OG0000024	YDR368W, YOR120W	snap_masked-flattened_line_0-processed-gene-3.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.57&CDS=1-927, snap_masked-flattened_line_167-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_167-processed-gene-0.89&CDS=1-927, snap_masked-flattened_line_199-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_199-processed-gene-0.23&CDS=1-927, snap_masked-flattened_line_307-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_307-processed-gene-0.3&CDS=1-927
25	OG0000025	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-flattened_line_219-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_219-processed-gene-0.42&CDS=1-750, snap_masked-flattened_line_37-processed-gene-1.67-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.67&CDS=1-717
