	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035652_Torulaspora_maleeae
10	OG0000010	YCL025C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_16_length_214003_cov_71.8808_ID_2032-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_16_length_214003_cov_71.8808_ID_2032-processed-gene-0.2&CDS=1-1749, genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-1.55&CDS=1-1791, genemark-NODE_15_length_217993_cov_65.6312_ID_2278-processed-gene-1.142-mRNA-1_1&gene=genemark-NODE_15_length_217993_cov_65.6312_ID_2278-processed-gene-1.142&CDS=1-1932, genemark-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.238-mRNA-1_1&gene=genemark-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.238&CDS=1-1752
11	OG0000011	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_10_length_348408_cov_56.7795_ID_2216-processed-gene-2.266-mRNA-1_1&gene=genemark-NODE_10_length_348408_cov_56.7795_ID_2216-processed-gene-2.266&CDS=1-3390, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.41-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.41&CDS=1-3261, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-6.19-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-6.19&CDS=1-2316, genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-2.108-mRNA-1_1&gene=genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-2.108&CDS=1-2655
12	OG0000012	YDR483W, YKR008W, YOR099W	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-0.68&CDS=1-1131, augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.125&CDS=1-3543, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.51-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.51&CDS=1-1473, maker-NODE_7_length_482624_cov_60.8826_ID_1816-augustus-gene-2.43-mRNA-1_1&gene=maker-NODE_7_length_482624_cov_60.8826_ID_1816-augustus-gene-2.43&CDS=1-3456
13	OG0000013	YEL063C, YGL043W, YNL267W	augustus_masked-NODE_15_length_217993_cov_65.6312_ID_2278-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_15_length_217993_cov_65.6312_ID_2278-processed-gene-0.26&CDS=1-5886, augustus_masked-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.257-mRNA-1_1&gene=augustus_masked-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.257&CDS=1-2847, genemark-NODE_15_length_217993_cov_65.6312_ID_2278-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_15_length_217993_cov_65.6312_ID_2278-processed-gene-0.93&CDS=1-1767
14	OG0000014	YER133W, YML016C, YPL179W	genemark-NODE_12_length_283993_cov_55.3027_ID_1785-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_12_length_283993_cov_55.3027_ID_1785-processed-gene-0.36&CDS=1-1701, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.12-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.12&CDS=1-2031, genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-3.88-mRNA-1_1&gene=genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-3.88&CDS=1-936
15	OG0000015	YGR289C	genemark-NODE_28_length_13106_cov_100.316_ID_2725-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_28_length_13106_cov_100.316_ID_2725-processed-gene-0.5&CDS=1-1806, genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.74-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.74&CDS=1-1791, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.29&CDS=1-1788, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.76-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.76&CDS=1-1815, genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.83&CDS=1-1836
16	OG0000016	YHR050W, YLR034C, YOL122C	augustus_masked-NODE_12_length_283993_cov_55.3027_ID_1785-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NODE_12_length_283993_cov_55.3027_ID_1785-processed-gene-1.181&CDS=1-1437, genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-1.141&CDS=1-1614, maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-2.121-mRNA-1_1&gene=maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-2.121&CDS=1-2331
17	OG0000017	YIL123W, YJL116C, YKR042W, YNL066W	genemark-NODE_18_length_125337_cov_58.0426_ID_2127-processed-gene-0.189-mRNA-1_1&gene=genemark-NODE_18_length_125337_cov_58.0426_ID_2127-processed-gene-0.189&CDS=1-1155, genemark-NODE_9_length_398456_cov_55.0791_ID_1860-processed-gene-2.231-mRNA-1_1&gene=genemark-NODE_9_length_398456_cov_55.0791_ID_1860-processed-gene-2.231&CDS=1-1311
18	OG0000018	YJL184W, YLR069C, YMR058W	augustus_masked-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-0.15&CDS=1-3990, augustus_masked-NODE_6_length_541168_cov_59.8263_ID_1634-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-NODE_6_length_541168_cov_59.8263_ID_1634-processed-gene-2.108&CDS=1-2289, genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.17-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.17&CDS=1-1902
19	OG0000019	YLR266C, YOR162C, YOR172W	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-0.58&CDS=1-3744, snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-7.51-mRNA-1_1&gene=snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-7.51&CDS=1-2028, snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-7.52-mRNA-1_1&gene=snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-7.52&CDS=1-2079
20	OG0000020	YMR083W, YMR303C, YOL086C	augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-7.15&CDS=1-3408, genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-8.128-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-8.128&CDS=1-1050, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-0.37&CDS=1-1119
21	OG0000021	YOL151W	genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-0.108&CDS=1-1029, genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-0.112&CDS=1-1029, genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-0.95&CDS=1-1029, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.35-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.35&CDS=1-1041, genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.100&CDS=1-1023
22	OG0000022	Q0105, Q0110, Q0115, Q0120	maker-NODE_19_length_91131_cov_1276.79_ID_3449-snap-gene-0.23-mRNA-1_1&gene=maker-NODE_19_length_91131_cov_1276.79_ID_3449-snap-gene-0.23&CDS=1-357, maker-NODE_19_length_91131_cov_1276.79_ID_3449-snap-gene-0.24-mRNA-1_1&gene=maker-NODE_19_length_91131_cov_1276.79_ID_3449-snap-gene-0.24&CDS=1-354
23	OG0000023		augustus_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.136&CDS=1-876, augustus_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.40-mRNA-1_1&gene=augustus_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.40&CDS=1-963, augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.209-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.209&CDS=1-924, augustus_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-0.58&CDS=1-867, snap_masked-NODE_26_length_14688_cov_110.97_ID_2856-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_26_length_14688_cov_110.97_ID_2856-processed-gene-0.7&CDS=1-909, snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.82&CDS=1-861
24	OG0000024	YBL015W, YBL016W, YGR040W	augustus_masked-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-3.265-mRNA-1_1&gene=augustus_masked-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-3.265&CDS=1-2619, maker-NODE_1_length_1102252_cov_58.3912_ID_1431-augustus-gene-4.181-mRNA-1_1&gene=maker-NODE_1_length_1102252_cov_58.3912_ID_1431-augustus-gene-4.181&CDS=1-3594
25	OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_7_length_482624_cov_60.8826_ID_1816-processed-gene-3.86&CDS=1-4986
26	OG0000026	YBL030C, YBR085W, YMR056C	augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-9.113&CDS=1-1770, maker-NODE_12_length_283993_cov_55.3027_ID_1785-augustus-gene-0.47-mRNA-1_1&gene=maker-NODE_12_length_283993_cov_55.3027_ID_1785-augustus-gene-0.47&CDS=1-1239
27	OG0000027	YBR019C, YHR210C, YNR071C	genemark-NODE_33_length_7478_cov_199.252_ID_4922-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_33_length_7478_cov_199.252_ID_4922-processed-gene-0.0&CDS=1-1002, snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.63&CDS=1-2103
28	OG0000028	YDL080C, YLR044C	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-0.91&CDS=1-1410, genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-5.150-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-5.150&CDS=1-1689, maker-NODE_12_length_283993_cov_55.3027_ID_1785-augustus-gene-1.199-mRNA-1_1&gene=maker-NODE_12_length_283993_cov_55.3027_ID_1785-augustus-gene-1.199&CDS=1-3135
29	OG0000029	YDL244W, YFL058W, YJR156C, YNL332W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-3.43-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-3.43&CDS=1-1020
30	OG0000030	YDR256C, YGR088W	augustus_masked-NODE_30_length_8038_cov_210.212_ID_4878-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_30_length_8038_cov_210.212_ID_4878-processed-gene-0.3&CDS=1-1542, augustus_masked-NODE_9_length_398456_cov_55.0791_ID_1860-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_9_length_398456_cov_55.0791_ID_1860-processed-gene-0.61&CDS=1-2703, snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.97&CDS=1-1551
31	OG0000031	YDR533C, YMR322C, YOR391C, YPL280W	genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-0.73&CDS=1-702
32	OG0000032	YEL065W, YHL047C	genemark-NODE_23_length_39239_cov_105.011_ID_4499-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_23_length_39239_cov_105.011_ID_4499-processed-gene-0.33&CDS=1-1887, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-0.11&CDS=1-1911, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-8.62-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-8.62&CDS=1-1797
33	OG0000033	YER040W, YKR035W-A	augustus_masked-NODE_29_length_10116_cov_51.2136_ID_2800-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_29_length_10116_cov_51.2136_ID_2800-processed-gene-0.10&CDS=1-1803, genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_13_length_246656_cov_69.2189_ID_1990-processed-gene-1.14&CDS=1-1365, snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-10.24-mRNA-1_1&gene=snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-10.24&CDS=1-2064
34	OG0000034	YHR030C, YKL161C, YML061C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-5.26-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-5.26&CDS=1-2961, maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-2.122-mRNA-1_1&gene=maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-2.122&CDS=1-4410
35	OG0000035	YHR179W, YPL171C	augustus_masked-NODE_36_length_4187_cov_200.936_ID_4175-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_36_length_4187_cov_200.936_ID_4175-processed-gene-0.3&CDS=1-1167, genemark-NODE_10_length_348408_cov_56.7795_ID_2216-processed-gene-2.271-mRNA-1_1&gene=genemark-NODE_10_length_348408_cov_56.7795_ID_2216-processed-gene-2.271&CDS=1-1191, genemark-NODE_6_length_541168_cov_59.8263_ID_1634-processed-gene-4.151-mRNA-1_1&gene=genemark-NODE_6_length_541168_cov_59.8263_ID_1634-processed-gene-4.151&CDS=1-1194
36	OG0000036	YIR013C, YLR013W, YMR136W	genemark-NODE_12_length_283993_cov_55.3027_ID_1785-processed-gene-1.42-mRNA-1_1&gene=genemark-NODE_12_length_283993_cov_55.3027_ID_1785-processed-gene-1.42&CDS=1-1647, snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-6.105-mRNA-1_1&gene=snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-6.105&CDS=1-1089
37	OG0000037	YJR126C, YML078W	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.215-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-6.215&CDS=1-5100, genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.48&CDS=1-546, maker-NODE_4_length_856739_cov_59.0822_ID_2094-augustus-gene-6.90-mRNA-1_1&gene=maker-NODE_4_length_856739_cov_59.0822_ID_2094-augustus-gene-6.90&CDS=1-1512
38	OG0000038	YAL023C, YGR199W	genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_14_length_225007_cov_72.3175_ID_1902-processed-gene-1.53&CDS=1-2247, maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-5.7-mRNA-1_1&gene=maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-5.7&CDS=1-4533
39	OG0000039	YAL054C, YLR153C	augustus_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-7.3&CDS=1-2049, maker-NODE_14_length_225007_cov_72.3175_ID_1902-augustus-gene-0.31-mRNA-1_1&gene=maker-NODE_14_length_225007_cov_72.3175_ID_1902-augustus-gene-0.31&CDS=1-2718
40	OG0000040	YAR066W, YHR214W, YIL169C, YOL155C	
41	OG0000041	YBL003C, YDR225W	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-6.156-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-6.156&CDS=1-396, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-3.50-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-3.50&CDS=1-396
42	OG0000042	YBL011W, YKR067W	genemark-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_17_length_187938_cov_73.6788_ID_2166-processed-gene-0.64&CDS=1-2193, genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-5.117-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-5.117&CDS=1-2190
43	OG0000043	YBL042C, YIR028W	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-6.152-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-6.152&CDS=1-1875, genemark-NODE_20_length_85425_cov_54.9917_ID_2514-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_20_length_85425_cov_54.9917_ID_2514-processed-gene-0.34&CDS=1-1809
44	OG0000044	YBL052C, YOR244W	augustus_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-3.261-mRNA-1_1&gene=augustus_masked-NODE_8_length_450478_cov_63.2418_ID_1511-processed-gene-3.261&CDS=1-2538, genemark-NODE_11_length_317607_cov_55.1254_ID_1952-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_11_length_317607_cov_55.1254_ID_1952-processed-gene-0.42&CDS=1-2106
