	OrthologID	Saccharomyces_cerevisiae	Saprochaete_clavata
10	OG0000010	YDR144C, YDR349C, YLR120C, YLR121C	-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-gi|736520390|emb|CBXB010000031.1|-processed-gene-0.101&CDS=1-2007, -processed-gene-3.76-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-3.76&CDS=1-1614
11	OG0000011	YDR541C, YGL039W, YGL157W, YOL151W	-processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|736520268|emb|CBXB010000128.1|-processed-gene-0.20&CDS=1-1089, -snap-gene-0.60-mRNA-1_1&gene=maker-gi|736520376|emb|CBXB010000040.1|-snap-gene-0.60&CDS=1-2895
12	OG0000012	YGL120C, YKR086W, YNR011C	-processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|736520401|emb|CBXB010000024.1|-processed-gene-0.17&CDS=1-3201, -processed-gene-0.59-mRNA-1_1&gene=snap_masked-gi|736520413|emb|CBXB010000017.1|-processed-gene-0.59&CDS=1-2235, -processed-gene-1.48-mRNA-1_1&gene=snap_masked-gi|736520339|emb|CBXB010000059.1|-processed-gene-1.48&CDS=1-3672
13	OG0000013	YGR070W, YLR371W, YLR425W	-processed-gene-0.71-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-0.71&CDS=1-4104, -snap-gene-0.28-mRNA-1_1&gene=maker-gi|736520379|emb|CBXB010000038.1|-snap-gene-0.28&CDS=1-5862, -snap-gene-0.78-mRNA-1_1&gene=maker-gi|736520422|emb|CBXB010000012.1|-snap-gene-0.78&CDS=1-4689
14	OG0000014	YJL212C, YPR194C	-processed-gene-0.2-mRNA-1_1&gene=snap_masked-gi|736520145|emb|CBXB010000229.1|-processed-gene-0.2&CDS=1-2571, -processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|736520229|emb|CBXB010000155.1|-processed-gene-0.26&CDS=1-2637, -processed-gene-1.185-mRNA-1_1&gene=augustus_masked-gi|736520378|emb|CBXB010000039.1|-processed-gene-1.185&CDS=1-3177, -processed-gene-1.92-mRNA-1_1&gene=augustus_masked-gi|736520300|emb|CBXB010000096.1|-processed-gene-1.92&CDS=1-2538
15	OG0000015	YKL107W	-processed-gene-0.24-mRNA-1_1&gene=snap_masked-gi|736520255|emb|CBXB010000139.1|-processed-gene-0.24&CDS=1-276, -processed-gene-0.25-mRNA-1_1&gene=snap_masked-gi|736520255|emb|CBXB010000139.1|-processed-gene-0.25&CDS=1-966, -processed-gene-0.63-mRNA-1_1&gene=augustus_masked-gi|736520306|emb|CBXB010000090.1|-processed-gene-0.63&CDS=1-969, -processed-gene-1.83-mRNA-1_1&gene=snap_masked-gi|736520339|emb|CBXB010000059.1|-processed-gene-1.83&CDS=1-984, -processed-gene-3.31-mRNA-1_1&gene=augustus_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-3.31&CDS=1-1011
16	OG0000016	YAL053W, YGL139W, YPL221W	-processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|736520155|emb|CBXB010000220.1|-processed-gene-0.17&CDS=1-2298, -processed-gene-0.63-mRNA-1_1&gene=snap_masked-gi|736520438|emb|CBXB010000003.1|-processed-gene-0.63&CDS=1-2568
17	OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-0.76-mRNA-1_1&gene=snap_masked-gi|736520396|emb|CBXB010000027.1|-processed-gene-0.76&CDS=1-4569
18	OG0000018	YBR008C	-processed-gene-0.114-mRNA-1_1&gene=snap_masked-gi|736520373|emb|CBXB010000042.1|-processed-gene-0.114&CDS=1-1839, -processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|736520065|emb|CBXB010000283.1|-processed-gene-0.2&CDS=1-1095, -processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-0.20&CDS=1-978, -processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|736520065|emb|CBXB010000283.1|-processed-gene-0.3&CDS=1-648
19	OG0000019	YBR038W, YNL192W	-processed-gene-0.11-mRNA-1_1&gene=snap_masked-gi|736520234|emb|CBXB010000152.1|-processed-gene-0.11&CDS=1-3000, -processed-gene-0.14-mRNA-1_1&gene=snap_masked-gi|736520381|emb|CBXB010000037.1|-processed-gene-0.14&CDS=1-3174, -processed-gene-1.111-mRNA-1_1&gene=snap_masked-gi|736520383|emb|CBXB010000036.1|-processed-gene-1.111&CDS=1-3435
20	OG0000020	YBR054W, YDR033W	-processed-gene-0.116-mRNA-1_1&gene=snap_masked-gi|736520283|emb|CBXB010000113.1|-processed-gene-0.116&CDS=1-930, -processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|736520309|emb|CBXB010000087.1|-processed-gene-0.20&CDS=1-936, -processed-gene-1.91-mRNA-1_1&gene=snap_masked-gi|736520339|emb|CBXB010000059.1|-processed-gene-1.91&CDS=1-951
21	OG0000021	YBR118W, YKR084C, YPR080W	-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-gi|736520322|emb|CBXB010000074.1|-processed-gene-1.136&CDS=1-1377, -snap-gene-1.99-mRNA-1_1&gene=maker-gi|736520339|emb|CBXB010000059.1|-snap-gene-1.99&CDS=1-2634
22	OG0000022	YBR298C, YDL247W, YGR289C, YJR160C	-snap-gene-0.19-mRNA-1_1&gene=maker-gi|736520202|emb|CBXB010000177.1|-snap-gene-0.19&CDS=1-3342
23	OG0000023	YCL074W	-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-gi|736520193|emb|CBXB010000185.1|-processed-gene-0.4&CDS=1-1302, -processed-gene-0.5-mRNA-1_1&gene=snap_masked-gi|736520022|emb|CBXB010000314.1|-processed-gene-0.5&CDS=1-714, -processed-gene-0.6-mRNA-1_1&gene=snap_masked-gi|736520022|emb|CBXB010000314.1|-processed-gene-0.6&CDS=1-1080, -processed-gene-0.7-mRNA-1_1&gene=augustus_masked-gi|736520152|emb|CBXB010000222.1|-processed-gene-0.7&CDS=1-2055
24	OG0000024	YDL106C, YDR451C, YML027W	-processed-gene-0.19-mRNA-1_1&gene=snap_masked-gi|736520327|emb|CBXB010000069.1|-processed-gene-0.19&CDS=1-1311, -processed-gene-0.71-mRNA-1_1&gene=snap_masked-gi|736520396|emb|CBXB010000027.1|-processed-gene-0.71&CDS=1-1752
25	OG0000025	YDR107C, YER113C, YLR083C	-processed-gene-0.82-mRNA-1_1&gene=snap_masked-gi|736520374|emb|CBXB010000041.1|-processed-gene-0.82&CDS=1-1884, -processed-gene-1.111-mRNA-1_1&gene=snap_masked-gi|736520422|emb|CBXB010000012.1|-processed-gene-1.111&CDS=1-1893
26	OG0000026	YDR338C, YHR032W	-processed-gene-0.119-mRNA-1_1&gene=snap_masked-gi|736520329|emb|CBXB010000067.1|-processed-gene-0.119&CDS=1-1929, -processed-gene-1.69-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-1.69&CDS=1-2649, -processed-gene-1.71-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-1.71&CDS=1-1869
27	OG0000027	YDR385W, YKL173W, YOR133W	-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-gi|736520411|emb|CBXB010000018.1|-processed-gene-0.44&CDS=1-2526, -processed-gene-0.56-mRNA-1_1&gene=snap_masked-gi|736520438|emb|CBXB010000003.1|-processed-gene-0.56&CDS=1-3018
28	OG0000028	YDR533C, YMR322C, YOR391C, YPL280W	-processed-gene-0.53-mRNA-1_1&gene=snap_masked-gi|736520297|emb|CBXB010000099.1|-processed-gene-0.53&CDS=1-729
29	OG0000029	YER015W	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|736520299|emb|CBXB010000097.1|-processed-gene-0.22&CDS=1-2154, -processed-gene-0.61-mRNA-1_1&gene=snap_masked-gi|736520299|emb|CBXB010000097.1|-processed-gene-0.61&CDS=1-2211, -processed-gene-0.64-mRNA-1_1&gene=snap_masked-gi|736520354|emb|CBXB010000052.1|-processed-gene-0.64&CDS=1-2205, -processed-gene-0.89-mRNA-1_1&gene=snap_masked-gi|736520323|emb|CBXB010000073.1|-processed-gene-0.89&CDS=1-2208
30	OG0000030	YER062C, YHR043C, YHR044C, YIL053W	-processed-gene-0.72-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-0.72&CDS=1-1548
31	OG0000031	YER073W, YOR374W	-processed-gene-0.70-mRNA-1_1&gene=snap_masked-gi|736520354|emb|CBXB010000052.1|-processed-gene-0.70&CDS=1-1482, -snap-gene-0.10-mRNA-1_1&gene=maker-gi|736520354|emb|CBXB010000052.1|-snap-gene-0.10&CDS=1-3711, -snap-gene-0.8-mRNA-1_1&gene=maker-gi|736520354|emb|CBXB010000052.1|-snap-gene-0.8&CDS=1-1587
32	OG0000032	YER133W, YML016C	-processed-gene-0.13-mRNA-1_1&gene=snap_masked-gi|736520246|emb|CBXB010000144.1|-processed-gene-0.13&CDS=1-2301, -processed-gene-0.62-mRNA-1_1&gene=snap_masked-gi|736520324|emb|CBXB010000072.1|-processed-gene-0.62&CDS=1-1974, -processed-gene-1.89-mRNA-1_1&gene=snap_masked-gi|736520378|emb|CBXB010000039.1|-processed-gene-1.89&CDS=1-909
33	OG0000033	YFL037W, YLR212C	-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-gi|736520329|emb|CBXB010000067.1|-processed-gene-0.158&CDS=1-1392, -processed-gene-0.74-mRNA-1_1&gene=snap_masked-gi|736520300|emb|CBXB010000096.1|-processed-gene-0.74&CDS=1-1341, -processed-gene-1.166-mRNA-1_1&gene=snap_masked-gi|736520387|emb|CBXB010000033.1|-processed-gene-1.166&CDS=1-1344
34	OG0000034	YFL050C, YKL064W, YOL130W	-processed-gene-0.31-mRNA-1_1&gene=snap_masked-gi|736520184|emb|CBXB010000194.1|-processed-gene-0.31&CDS=1-1716, -snap-gene-1.149-mRNA-1_1&gene=maker-gi|736520242|emb|CBXB010000147.1|-snap-gene-1.149&CDS=1-3291
35	OG0000035	YGL092W, YKL068W, YMR047C	-processed-gene-2.112-mRNA-1_1&gene=snap_masked-gi|736520316|emb|CBXB010000080.1|-processed-gene-2.112&CDS=1-3342, -snap-gene-0.129-mRNA-1_1&gene=maker-gi|736520279|emb|CBXB010000117.1|-snap-gene-0.129&CDS=1-3519
36	OG0000036	YGL166W, YMR021C, YPR008W	-processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|736520363|emb|CBXB010000048.1|-processed-gene-0.45&CDS=1-2568, -processed-gene-2.144-mRNA-1_1&gene=snap_masked-gi|736520316|emb|CBXB010000080.1|-processed-gene-2.144&CDS=1-2214
37	OG0000037	YHL007C, YNL298W, YOL113W	-snap-gene-0.30-mRNA-1_1&gene=maker-gi|736520379|emb|CBXB010000038.1|-snap-gene-0.30&CDS=1-2793, -snap-gene-0.63-mRNA-1_1&gene=maker-gi|736520384|emb|CBXB010000035.1|-snap-gene-0.63&CDS=1-4059
38	OG0000038	YKL088W, YKR072C, YOR054C	-processed-gene-0.23-mRNA-1_1&gene=snap_masked-gi|736520275|emb|CBXB010000121.1|-processed-gene-0.23&CDS=1-2220, -processed-gene-0.88-mRNA-1_1&gene=snap_masked-gi|736520358|emb|CBXB010000050.1|-processed-gene-0.88&CDS=1-2709
39	OG0000039	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
40	OG0000040	YKR039W	-processed-gene-0.104-mRNA-1_1&gene=snap_masked-gi|736520424|emb|CBXB010000011.1|-processed-gene-0.104&CDS=1-2307, -processed-gene-0.90-mRNA-1_1&gene=augustus_masked-gi|736520335|emb|CBXB010000062.1|-processed-gene-0.90&CDS=1-2478, -processed-gene-1.90-mRNA-1_1&gene=snap_masked-gi|736520376|emb|CBXB010000040.1|-processed-gene-1.90&CDS=1-1734, -processed-gene-2.107-mRNA-1_1&gene=snap_masked-gi|736520316|emb|CBXB010000080.1|-processed-gene-2.107&CDS=1-1740
41	OG0000041	YKR050W	-processed-gene-0.124-mRNA-1_1&gene=snap_masked-gi|736520373|emb|CBXB010000042.1|-processed-gene-0.124&CDS=1-2652, -processed-gene-0.135-mRNA-1_1&gene=snap_masked-gi|736520371|emb|CBXB010000043.1|-processed-gene-0.135&CDS=1-3171, -processed-gene-0.5-mRNA-1_1&gene=snap_masked-gi|736520232|emb|CBXB010000153.1|-processed-gene-0.5&CDS=1-2472, -snap-gene-1.11-mRNA-1_1&gene=maker-gi|736520422|emb|CBXB010000012.1|-snap-gene-1.11&CDS=1-3603
42	OG0000042	YLR034C, YOL122C	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|736520292|emb|CBXB010000104.1|-processed-gene-0.1&CDS=1-1782, -processed-gene-0.107-mRNA-1_1&gene=augustus_masked-gi|736520438|emb|CBXB010000003.1|-processed-gene-0.107&CDS=1-2352, -processed-gene-1.77-mRNA-1_1&gene=snap_masked-gi|736520300|emb|CBXB010000096.1|-processed-gene-1.77&CDS=1-2358
43	OG0000043	Q0105, Q0110, Q0115, Q0120	-snap-gene-0.16-mRNA-1_1&gene=maker-gi|736520440|emb|CBXB010000002.1|-snap-gene-0.16&CDS=1-198
44	OG0000044	YAL005C	-processed-gene-0.10-mRNA-1_1&gene=snap_masked-gi|736520291|emb|CBXB010000105.1|-processed-gene-0.10&CDS=1-1935, -processed-gene-0.21-mRNA-1_1&gene=snap_masked-gi|736520431|emb|CBXB010000008.1|-processed-gene-0.21&CDS=1-1923, -processed-gene-0.83-mRNA-1_1&gene=snap_masked-gi|736520271|emb|CBXB010000125.1|-processed-gene-0.83&CDS=1-1932
45	OG0000045	YBR010W, YNL031C	-processed-gene-0.25-mRNA-1_1&gene=snap_masked-gi|736520313|emb|CBXB010000083.1|-processed-gene-0.25&CDS=1-414, -processed-gene-0.4-mRNA-1_1&gene=snap_masked-gi|736520298|emb|CBXB010000098.1|-processed-gene-0.4&CDS=1-414
46	OG0000046	YBR026C	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|736520321|emb|CBXB010000075.1|-processed-gene-0.0&CDS=1-1086, -processed-gene-1.57-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-1.57&CDS=1-1080, -snap-gene-0.24-mRNA-1_1&gene=maker-gi|736520347|emb|CBXB010000055.1|-snap-gene-0.24&CDS=1-1158
47	OG0000047	YBR073W, YGL163C	-processed-gene-0.82-mRNA-1_1&gene=snap_masked-gi|736520286|emb|CBXB010000110.1|-processed-gene-0.82&CDS=1-2601, -processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|736520254|emb|CBXB010000140.1|-processed-gene-0.9&CDS=1-3147
48	OG0000048	YBR078W, YDR055W	-processed-gene-0.3-mRNA-1_1&gene=snap_masked-gi|736520186|emb|CBXB010000192.1|-processed-gene-0.3&CDS=1-1392, -processed-gene-1.72-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-1.72&CDS=1-1212
49	OG0000049	YBR114W, YOR191W	-processed-gene-4.28-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-4.28&CDS=1-2562, -snap-gene-0.3-mRNA-1_1&gene=maker-gi|736520383|emb|CBXB010000036.1|-snap-gene-0.3&CDS=1-4200
50	OG0000050	YBR207W, YER145C	-processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|736520410|emb|CBXB010000019.1|-processed-gene-0.45&CDS=1-1182, -processed-gene-2.85-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-2.85&CDS=1-1410
51	OG0000051	YBR237W, YNL112W	-processed-gene-1.4-mRNA-1_1&gene=snap_masked-gi|736520370|emb|CBXB010000044.1|-processed-gene-1.4&CDS=1-3060, -snap-gene-1.8-mRNA-1_1&gene=maker-gi|736520422|emb|CBXB010000012.1|-snap-gene-1.8&CDS=1-1653
52	OG0000052	YBR263W, YLR058C	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|736520222|emb|CBXB010000160.1|-processed-gene-0.15&CDS=1-1410, -snap-gene-0.1-mRNA-1_1&gene=maker-gi|736520429|emb|CBXB010000009.1|-snap-gene-0.1&CDS=1-1476
53	OG0000053	YCR010C, YNR002C	-processed-gene-0.18-mRNA-1_1&gene=snap_masked-gi|736520191|emb|CBXB010000187.1|-processed-gene-0.18&CDS=1-795, -processed-gene-1.130-mRNA-1_1&gene=snap_masked-gi|736520378|emb|CBXB010000039.1|-processed-gene-1.130&CDS=1-813
54	OG0000054	YDL056W, YLR182W	-snap-gene-0.7-mRNA-1_1&gene=maker-gi|736520420|emb|CBXB010000014.1|-snap-gene-0.7&CDS=1-2961, -snap-gene-1.12-mRNA-1_1&gene=maker-gi|736520422|emb|CBXB010000012.1|-snap-gene-1.12&CDS=1-2334
55	OG0000055	YDL114W, YLR426W	-processed-gene-2.41-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-2.41&CDS=1-1074, -snap-gene-1.68-mRNA-1_1&gene=maker-gi|736520335|emb|CBXB010000062.1|-snap-gene-1.68&CDS=1-2340
56	OG0000056	YDL161W, YLR206W	-snap-gene-0.230-mRNA-1_1&gene=maker-gi|736520329|emb|CBXB010000067.1|-snap-gene-0.230&CDS=1-1194, -snap-gene-0.43-mRNA-1_1&gene=maker-gi|736520316|emb|CBXB010000080.1|-snap-gene-0.43&CDS=1-1632
57	OG0000057	YDL174C	-processed-gene-2.110-mRNA-1_1&gene=snap_masked-gi|736520435|emb|CBXB010000005.1|-processed-gene-2.110&CDS=1-1731, -processed-gene-2.82-mRNA-1_1&gene=snap_masked-gi|736520376|emb|CBXB010000040.1|-processed-gene-2.82&CDS=1-1890, -processed-gene-3.58-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-3.58&CDS=1-1896
58	OG0000058	YDR037W, YNL073W	-processed-gene-0.50-mRNA-1_1&gene=snap_masked-gi|736520413|emb|CBXB010000017.1|-processed-gene-0.50&CDS=1-1731, -processed-gene-0.97-mRNA-1_1&gene=snap_masked-gi|736520354|emb|CBXB010000052.1|-processed-gene-0.97&CDS=1-1956
59	OG0000059	YDR038C, YDR039C, YDR040C	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|736520344|emb|CBXB010000057.1|-processed-gene-0.40&CDS=1-3234
60	OG0000060	YDR457W, YER125W	-processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|736520259|emb|CBXB010000137.1|-processed-gene-0.20&CDS=1-3948, -processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|736520302|emb|CBXB010000094.1|-processed-gene-0.28&CDS=1-2472
61	OG0000061	YDR523C, YHR102W	-processed-gene-0.42-mRNA-1_1&gene=snap_masked-gi|736520266|emb|CBXB010000130.1|-processed-gene-0.42&CDS=1-1971, -snap-gene-0.199-mRNA-1_1&gene=maker-gi|736520371|emb|CBXB010000043.1|-snap-gene-0.199&CDS=1-2748
62	OG0000062	YDR524C, YIL044C	-augustus-gene-0.131-mRNA-1_1&gene=maker-gi|736520212|emb|CBXB010000169.1|-augustus-gene-0.131&CDS=1-1440, -snap-gene-0.0-mRNA-1_1&gene=maker-gi|736520394|emb|CBXB010000028.1|-snap-gene-0.0&CDS=1-3714
63	OG0000063	YEL036C, YML115C	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|736520328|emb|CBXB010000068.1|-processed-gene-0.8&CDS=1-1905, -processed-gene-1.102-mRNA-1_1&gene=snap_masked-gi|736520422|emb|CBXB010000012.1|-processed-gene-1.102&CDS=1-1362
64	OG0000064	YEL066W, YPR193C	-processed-gene-0.49-mRNA-1_1&gene=snap_masked-gi|736520421|emb|CBXB010000013.1|-processed-gene-0.49&CDS=1-468, -processed-gene-0.76-mRNA-1_1&gene=snap_masked-gi|736520421|emb|CBXB010000013.1|-processed-gene-0.76&CDS=1-480
65	OG0000065	YER056C, YER060W, YER060W-A	-processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|736520424|emb|CBXB010000011.1|-processed-gene-0.58&CDS=1-1542
66	OG0000066	YER065C, YPR006C	-processed-gene-0.102-mRNA-1_1&gene=snap_masked-gi|736520277|emb|CBXB010000119.1|-processed-gene-0.102&CDS=1-1632, -processed-gene-0.42-mRNA-1_1&gene=snap_masked-gi|736520308|emb|CBXB010000088.1|-processed-gene-0.42&CDS=1-1713
67	OG0000067	YER099C, YHL011C	-processed-gene-0.60-mRNA-1_1&gene=snap_masked-gi|736520284|emb|CBXB010000112.1|-processed-gene-0.60&CDS=1-954, -processed-gene-1.74-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-1.74&CDS=1-957
68	OG0000068	YFL060C, YMR095C, YNL334C	-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-gi|736520373|emb|CBXB010000042.1|-processed-gene-0.229&CDS=1-1020
