	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034632_Candida_athensensis
10	OG0000010	YBR084W, YGR204W, YNL271C	genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-1.117-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-1.117&CDS=1-2832, maker-NODE_12_length_144101_cov_15.7091_ID_23-augustus-gene-0.187-mRNA-1_1&gene=maker-NODE_12_length_144101_cov_15.7091_ID_23-augustus-gene-0.187&CDS=1-7434, maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-14.45-mRNA-1_1&gene=maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-14.45&CDS=1-6888
11	OG0000011	YBR150C, YOL089C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-13.61-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-13.61&CDS=1-1248, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.36&CDS=1-2460, snap_masked-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-2.135&CDS=1-2940, snap_masked-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.79&CDS=1-2448
12	OG0000012	YBR189W, YBR191W, YPL079W, YPL081W	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.71&CDS=1-3369, genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-2.22-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-2.22&CDS=1-480
13	OG0000013	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-3.101&CDS=1-2982, genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.85-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.85&CDS=1-2271, maker-NODE_9_length_677365_cov_14.4922_ID_17-snap-gene-5.203-mRNA-1_1&gene=maker-NODE_9_length_677365_cov_14.4922_ID_17-snap-gene-5.203&CDS=1-4185
14	OG0000014	YDL170W, YEL066W, YPR193C	augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.63&CDS=1-2154, genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-7.19-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-7.19&CDS=1-1884, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-3.25-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-3.25&CDS=1-2181
15	OG0000015	YDL230W, YER075C, YOR208W	genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-7.51-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-7.51&CDS=1-1812, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-2.163-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-2.163&CDS=1-2271, snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-3.73&CDS=1-957
16	OG0000016	YDR034C, YLR237W, YOR071C, YOR192C	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-3.110-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-3.110&CDS=1-2292, snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-7.131-mRNA-1_1&gene=snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-7.131&CDS=1-2166
17	OG0000017	YDR135C, YLL015W	genemark-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.61&CDS=1-4335, genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-1.130-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-1.130&CDS=1-4926, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.143-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.143&CDS=1-4614, snap_masked-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-2.130&CDS=1-4566
18	OG0000018	YDR144C, YIL015W, YIR039C, YLR120C, YLR121C	augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.1&CDS=1-4941
19	OG0000019	YER054C, YIL045W, YLR273C, YOR178C	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.49-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.49&CDS=1-1773, snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-6.88-mRNA-1_1&gene=snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-6.88&CDS=1-1389
20	OG0000020	YER059W, YIL050W, YOR049C	augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.144-mRNA-1_1&gene=augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.144&CDS=1-2601, augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.282-mRNA-1_1&gene=augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.282&CDS=1-1305, genemark-NODE_13_length_49352_cov_18.0191_ID_25-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_13_length_49352_cov_18.0191_ID_25-processed-gene-0.48&CDS=1-1314
21	OG0000021	YFL021W, YKR034W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.188-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.188&CDS=1-1302, genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.94-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.94&CDS=1-1605, genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-4.102-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-4.102&CDS=1-1512, snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-3.23&CDS=1-1623
22	OG0000022	YGL130W, YHR176W	genemark-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.59&CDS=1-1299, genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-10.57-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-10.57&CDS=1-2601, genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-7.65-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-7.65&CDS=1-1428, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.25&CDS=1-1428
23	OG0000023	YGL257C, YNR059W	augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-4.43&CDS=1-2130, genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-6.66-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-6.66&CDS=1-2391, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-4.39-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-4.39&CDS=1-2301, snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-4.134&CDS=1-2151
24	OG0000024	YIL126W, YKR008W, YOR290C	augustus_masked-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.116&CDS=1-1680, genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.165-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.165&CDS=1-3669, snap_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-5.134-mRNA-1_1&gene=snap_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-5.134&CDS=1-4854
25	OG0000025	YJL139C, YKR061W, YOR099W	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-9.27-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-9.27&CDS=1-1233, genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-9.28-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-9.28&CDS=1-1278, maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-11.126-mRNA-1_1&gene=maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-11.126&CDS=1-1896
26	OG0000026	YKR039W	augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-3.123&CDS=1-6072, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-4.15-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-4.15&CDS=1-1740, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-1.12&CDS=1-1740, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-4.17-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-4.17&CDS=1-1758, maker-NODE_5_length_808207_cov_12.9991_ID_9-augustus-gene-7.56-mRNA-1_1&gene=maker-NODE_5_length_808207_cov_12.9991_ID_9-augustus-gene-7.56&CDS=1-3450
27	OG0000027	YLR129W, YMR006C, YMR008C, YOL011W	maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-14.41-mRNA-1_1&gene=maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-14.41&CDS=1-4797, maker-NODE_8_length_678611_cov_12.7469_ID_15-augustus-gene-5.123-mRNA-1_1&gene=maker-NODE_8_length_678611_cov_12.7469_ID_15-augustus-gene-5.123&CDS=1-2589
28	OG0000028	YMR130W, YOL062C, YPL259C	augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.149&CDS=1-3054, augustus_masked-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-5.277-mRNA-1_1&gene=augustus_masked-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-5.277&CDS=1-5367, genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.16-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.16&CDS=1-1314
29	OG0000029	YMR169C, YMR170C, YOR374W	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-1.99-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-1.99&CDS=1-1503, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-1.107-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-1.107&CDS=1-1926, maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-13.12-mRNA-1_1&gene=maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-13.12&CDS=1-6699
30	OG0000030		augustus_masked-NODE_13_length_49352_cov_18.0191_ID_25-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_13_length_49352_cov_18.0191_ID_25-processed-gene-0.36&CDS=1-1173, genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-7.150-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-7.150&CDS=1-1167, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-5.182-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-5.182&CDS=1-1242, maker-NODE_14_length_36272_cov_15.7489_ID_27-snap-gene-0.62-mRNA-1_1&gene=maker-NODE_14_length_36272_cov_15.7489_ID_27-snap-gene-0.62&CDS=1-2256, maker-NODE_5_length_808207_cov_12.9991_ID_9-augustus-gene-5.3-mRNA-1_1&gene=maker-NODE_5_length_808207_cov_12.9991_ID_9-augustus-gene-5.3&CDS=1-3588, snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-0.78&CDS=1-1164
31	OG0000031	YAL053W, YGL139W, YPL221W	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-2.16-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-2.16&CDS=1-2277, snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-11.59-mRNA-1_1&gene=snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-11.59&CDS=1-2355
32	OG0000032	YAR019C, YDR523C	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.44&CDS=1-1218, genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-5.53-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-5.53&CDS=1-3357, genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.217-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.217&CDS=1-2562
33	OG0000033	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-0.61&CDS=1-4533
34	OG0000034	YBL056W, YBR125C, YER089C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.118-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.118&CDS=1-1095, genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.90-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.90&CDS=1-1347
35	OG0000035	YBL089W, YER119C, YIL088C	genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-6.60-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-6.60&CDS=1-1383, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-1.72-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-1.72&CDS=1-1227
36	OG0000036	YBR008C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-15.152-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-15.152&CDS=1-1656, genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-0.26&CDS=1-1608, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.191-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.191&CDS=1-1707, snap_masked-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_14_length_36272_cov_15.7489_ID_27-processed-gene-0.14&CDS=1-3222
37	OG0000037	YBR015C, YJL186W	augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-4.28&CDS=1-3045, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.154-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.154&CDS=1-1884, maker-NODE_1_length_1722945_cov_13.4341_ID_1-snap-gene-6.161-mRNA-1_1&gene=maker-NODE_1_length_1722945_cov_13.4341_ID_1-snap-gene-6.161&CDS=1-3411
38	OG0000038	YBR038W, YNL192W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-9.91-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-9.91&CDS=1-2862, genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-3.95-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-3.95&CDS=1-3033, genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-6.17-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-6.17&CDS=1-2973
39	OG0000039	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.127-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.127&CDS=1-1743
