	OrthologID	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-ari-_s134-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.100&CDS=1-1779, augustus_masked-ari-_s34-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.105&CDS=1-1770	YBR293W, YCL069W, YGR224W, YKR105C, YMR088C, YPR198W
11	OG0000011	augustus_masked-ari-_s144-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s144-processed-gene-0.4&CDS=1-939, augustus_masked-ari-_s22-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s22-processed-gene-0.0&CDS=1-2034, augustus_masked-ari-_s265-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s265-processed-gene-0.8&CDS=1-960, augustus_masked-ari-_s50-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.82&CDS=1-2454, augustus_masked-ari-_s73-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s73-processed-gene-0.30&CDS=1-1902, augustus_masked-ari-_s78-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.132&CDS=1-1623, genemark-ari-_s62-processed-gene-0.7-mRNA-1_1&gene=genemark-ari-_s62-processed-gene-0.7&CDS=1-990, maker-ari-_s6-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s6-augustus-gene-0.0&CDS=1-2946	
12	OG0000012	maker-ari-_s1-snap-gene-0.63-mRNA-1_1&gene=maker-ari-_s1-snap-gene-0.63&CDS=1-177, maker-ari-_s105-snap-gene-0.2-mRNA-1_1&gene=maker-ari-_s105-snap-gene-0.2&CDS=1-762, snap_masked-ari-_s37-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ari-_s37-processed-gene-0.15&CDS=1-192	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
13	OG0000013	augustus_masked-ari-_s228-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s228-processed-gene-0.14&CDS=1-2376, augustus_masked-ari-_s3-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-2.72&CDS=1-1539, augustus_masked-ari-_s387-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.33&CDS=1-2268, augustus_masked-ari-_s44-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.33&CDS=1-2253, genemark-ari-_s115-processed-gene-0.67-mRNA-1_1&gene=genemark-ari-_s115-processed-gene-0.67&CDS=1-717	YJR061W, YKL201C
14	OG0000014	augustus_masked-ari-_s50-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.71&CDS=1-930, augustus_masked-ari-_s65-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-ari-_s65-processed-gene-0.60&CDS=1-663, augustus_masked-ari-_s78-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.113&CDS=1-594, snap_masked-ari-_s13-processed-gene-5.10-mRNA-1_1&gene=snap_masked-ari-_s13-processed-gene-5.10&CDS=1-663	YIL118W, YKR055W, YPR165W
15	OG0000015	augustus_masked-ari-_s181-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s181-processed-gene-0.14&CDS=1-3435, augustus_masked-ari-_s204-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s204-processed-gene-0.36&CDS=1-1755, augustus_masked-ari-_s34-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.98&CDS=1-1155, augustus_masked-ari-_s95-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.14&CDS=1-2496	YAR019C, YDR523C, YHR102W
16	OG0000016	augustus_masked-ari-_s50-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.90&CDS=1-1818, augustus_masked-ari-_s64-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s64-processed-gene-0.49&CDS=1-1857, maker-ari-_s370-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s370-augustus-gene-0.0&CDS=1-3984, snap_masked-ari-_s263-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ari-_s263-processed-gene-0.32&CDS=1-1278	YLR098C, YNL101W, YOR337W
17	OG0000017	augustus_masked-ari-_s4-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.71&CDS=1-966, augustus_masked-ari-_s445-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s445-processed-gene-0.12&CDS=1-1170, augustus_masked-ari-_s78-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-0.64&CDS=1-957	YBL068W, YER099C, YHL011C, YOL061W
18	OG0000018	augustus_masked-ari-_s1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.50&CDS=1-2193, augustus_masked-ari-_s13-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-0.112&CDS=1-2142, augustus_masked-ari-_s9-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.84&CDS=1-1545, maker-ari-_s96-snap-gene-0.53-mRNA-1_1&gene=maker-ari-_s96-snap-gene-0.53&CDS=1-1590, snap_masked-ari-_s91-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ari-_s91-processed-gene-0.9&CDS=1-198	YKR034W
19	OG0000019	augustus_masked-ari-_s106-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.49&CDS=1-2664, augustus_masked-ari-_s188-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s188-processed-gene-0.3&CDS=1-2550, augustus_masked-ari-_s340-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s340-processed-gene-0.5&CDS=1-2742	YLL005C, YMR266W, YOL084W
20	OG0000020	augustus_masked-ari-_s11-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.6&CDS=1-1386, augustus_masked-ari-_s134-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-0.12&CDS=1-2364, augustus_masked-ari-_s3-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-1.65&CDS=1-2121	YGR249W, YHR206W, YOR140W
21	OG0000021	augustus_masked-ari-_s114-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s114-processed-gene-0.15&CDS=1-867, augustus_masked-ari-_s272-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.18&CDS=1-954, augustus_masked-ari-_s78-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.136&CDS=1-909	YDR368W, YJR096W, YOR120W
22	OG0000022	augustus_masked-ari-_s125-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s125-processed-gene-0.63&CDS=1-1092, augustus_masked-ari-_s134-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-0.19&CDS=1-618, augustus_masked-ari-_s32-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-0.59&CDS=1-486	YDR155C, YDR304C, YLR216C
23	OG0000023	augustus_masked-ari-_s134-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-1.68&CDS=1-711, augustus_masked-ari-_s29-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s29-processed-gene-0.13&CDS=1-1092, augustus_masked-ari-_s299-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s299-processed-gene-0.5&CDS=1-600, augustus_masked-ari-_s345-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s345-processed-gene-0.28&CDS=1-1815, snap_masked-ari-_s13-processed-gene-2.21-mRNA-1_1&gene=snap_masked-ari-_s13-processed-gene-2.21&CDS=1-546	YDR207C
24	OG0000024	augustus_masked-ari-_s13-processed-gene-7.209-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-7.209&CDS=1-3069, augustus_masked-ari-_s152-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s152-processed-gene-0.11&CDS=1-2721, augustus_masked-ari-_s184-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ari-_s184-processed-gene-0.40&CDS=1-3087	YBR245C, YFR038W, YOR304W
25	OG0000025	augustus_masked-ari-_s58-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-0.10&CDS=1-1695, maker-ari-_s168-augustus-gene-0.82-mRNA-1_1&gene=maker-ari-_s168-augustus-gene-0.82&CDS=1-1659, maker-ari-_s297-augustus-gene-0.163-mRNA-1_1&gene=maker-ari-_s297-augustus-gene-0.163&CDS=1-3492	YBR237W, YDR243C, YNL112W
26	OG0000026	augustus_masked-ari-_s171-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s171-processed-gene-0.32&CDS=1-1905, augustus_masked-ari-_s46-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s46-processed-gene-0.1&CDS=1-2124	YER054C, YIL045W, YLR273C, YOR178C
27	OG0000027	augustus_masked-ari-_s181-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s181-processed-gene-0.17&CDS=1-1650, augustus_masked-ari-_s96-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s96-processed-gene-0.9&CDS=1-1653	YDR342C, YDR343C, YDR345C, YHR092C
28	OG0000028	augustus_masked-ari-_s234-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s234-processed-gene-0.11&CDS=1-948, augustus_masked-ari-_s268-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.30&CDS=1-1251, augustus_masked-ari-_s3-processed-gene-4.218-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-4.218&CDS=1-1851	YDL108W, YKL139W, YPR161C
29	OG0000029	augustus_masked-ari-_s413-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s413-processed-gene-0.5&CDS=1-2346, augustus_masked-ari-_s45-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s45-processed-gene-0.2&CDS=1-2229, maker-ari-_s3-snap-gene-4.18-mRNA-1_1&gene=maker-ari-_s3-snap-gene-4.18&CDS=1-1452	YDL025C, YNL183C, YOR267C
30	OG0000030	augustus_masked-ari-_s339-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s339-processed-gene-0.12&CDS=1-1839, augustus_masked-ari-_s5-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s5-processed-gene-0.5&CDS=1-1932	YAL005C, YDL229W, YLL024C, YNL209W
31	OG0000031	augustus_masked-ari-_s350-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s350-processed-gene-0.3&CDS=1-1038, augustus_masked-ari-_s78-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-3.26&CDS=1-978	YDR541C, YGL039W, YGL157W, YOL151W
32	OG0000032	augustus_masked-ari-_s50-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-3.84&CDS=1-1266, augustus_masked-ari-_s95-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.65&CDS=1-1065	YIL123W, YJL116C, YKR042W, YNL066W
33	OG0000033	augustus_masked-ari-_s9-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.126&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
34	OG0000034	maker-ari-_s97-snap-gene-0.1-mRNA-1_1&gene=maker-ari-_s97-snap-gene-0.1&CDS=1-963	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
35	OG0000035	augustus_masked-ari-_C33993-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C33993-processed-gene-0.2&CDS=1-1725, augustus_masked-ari-_s58-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-2.18&CDS=1-1746, maker-ari-_s258-augustus-gene-0.1-mRNA-1_1&gene=maker-ari-_s258-augustus-gene-0.1&CDS=1-852	YJL172W, YOL153C
36	OG0000036	augustus_masked-ari-_C34463-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_C34463-processed-gene-0.1&CDS=1-408, augustus_masked-ari-_s5-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-ari-_s5-processed-gene-0.42&CDS=1-408, maker-ari-_s34-augustus-gene-2.2-mRNA-1_1&gene=maker-ari-_s34-augustus-gene-2.2&CDS=1-843	YBR010W, YNL031C
37	OG0000037	augustus_masked-ari-_C35247-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_C35247-processed-gene-0.5&CDS=1-2823, augustus_masked-ari-_s106-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.62&CDS=1-2466	YCR037C, YJL198W, YNR013C
38	OG0000038	augustus_masked-ari-_s106-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.69&CDS=1-3066, snap_masked-ari-_s380-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ari-_s380-processed-gene-0.3&CDS=1-3573	YIL002C, YNL106C, YOR109W
39	OG0000039	augustus_masked-ari-_s196-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s196-processed-gene-0.0&CDS=1-600, augustus_masked-ari-_s58-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-1.69&CDS=1-693, maker-ari-_s107-augustus-gene-1.0-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-1.0&CDS=1-2208	YFR042W, YJL097W
40	OG0000040	augustus_masked-ari-_s107-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.34&CDS=1-1263, augustus_masked-ari-_s58-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-1.76&CDS=1-1383, augustus_masked-ari-_s95-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.64&CDS=1-1422	YJL081C, YPR034W
41	OG0000041	augustus_masked-ari-_s107-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.20&CDS=1-1113, augustus_masked-ari-_s111-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.14&CDS=1-1101, augustus_masked-ari-_s50-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.93&CDS=1-1563	YBL016W, YHR030C
42	OG0000042	augustus_masked-ari-_s107-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.22&CDS=1-1260, augustus_masked-ari-_s9-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.43&CDS=1-1200, augustus_masked-ari-_s96-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s96-processed-gene-0.8&CDS=1-1272	YKL106W, YLR027C
43	OG0000043	augustus_masked-ari-_s13-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.129&CDS=1-1656, augustus_masked-ari-_s78-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.56&CDS=1-1527, maker-ari-_s107-augustus-gene-1.1-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-1.1&CDS=1-1209	YER133W, YML016C
44	OG0000044	augustus_masked-ari-_s115-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.1&CDS=1-1191, augustus_masked-ari-_s50-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.67&CDS=1-1188	YDR021W, YJL138C, YKR059W
45	OG0000045	augustus_masked-ari-_s115-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.6&CDS=1-2958, augustus_masked-ari-_s318-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s318-processed-gene-0.7&CDS=1-4308, snap_masked-ari-_s23-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ari-_s23-processed-gene-0.18&CDS=1-3249	YBR038W, YNL192W
46	OG0000046	augustus_masked-ari-_s115-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.9&CDS=1-1278, augustus_masked-ari-_s32-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-0.69&CDS=1-1428, snap_masked-ari-_s387-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ari-_s387-processed-gene-0.116&CDS=1-1596	YHR135C, YPL204W
47	OG0000047	augustus_masked-ari-_s115-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.29&CDS=1-288	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
48	OG0000048	augustus_masked-ari-_s125-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-ari-_s125-processed-gene-0.61&CDS=1-1437, augustus_masked-ari-_s31-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s31-processed-gene-0.62&CDS=1-1734, augustus_masked-ari-_s50-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-0.80&CDS=1-1809	YDR338C, YHR032W
49	OG0000049	augustus_masked-ari-_s13-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-1.23&CDS=1-5292, augustus_masked-ari-_s9-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-0.53&CDS=1-2187	YIL095W, YNL020C, YNL313C
50	OG0000050	augustus_masked-ari-_s13-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.119&CDS=1-1914, augustus_masked-ari-_s50-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-3.89&CDS=1-1953	YDR107C, YER113C, YLR083C
51	OG0000051	augustus_masked-ari-_s13-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.125&CDS=1-1437, augustus_masked-ari-_s13-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-3.103&CDS=1-1353, augustus_masked-ari-_s442-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s442-processed-gene-0.7&CDS=1-1266	YDR463W, YHR006W
52	OG0000052	augustus_masked-ari-_s13-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-6.142&CDS=1-1026, augustus_masked-ari-_s9-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-0.46&CDS=1-993, augustus_masked-ari-_s9-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.83&CDS=1-1002	YDL078C, YKL085W
53	OG0000053	augustus_masked-ari-_s134-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-2.109&CDS=1-3552, snap_masked-ari-_s369-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ari-_s369-processed-gene-0.32&CDS=1-4203	YML072C, YNL087W, YOR086C
54	OG0000054	augustus_masked-ari-_s134-processed-gene-4.150-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.150&CDS=1-3267, augustus_masked-ari-_s437-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.14&CDS=1-1155, augustus_masked-ari-_s95-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.13&CDS=1-1248	YHR016C, YJL020C
55	OG0000055	augustus_masked-ari-_s134-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.151&CDS=1-1056, augustus_masked-ari-_s277-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.63&CDS=1-975, genemark-ari-_s9-processed-gene-2.11-mRNA-1_1&gene=genemark-ari-_s9-processed-gene-2.11&CDS=1-777	YJL079C, YKR013W
