	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035675_Kregervanrija_fluxuum
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.231&CDS=1-1392, snap_masked-NODE_25_length_163307_cov_38.207_ID_16192-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_25_length_163307_cov_38.207_ID_16192-processed-gene-0.69&CDS=1-1368
11	OG0000011	YDL170W	augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.186&CDS=1-2394, augustus_masked-NODE_34_length_128199_cov_43.1447_ID_15142-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NODE_34_length_128199_cov_43.1447_ID_15142-processed-gene-0.129&CDS=1-2241, augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.81&CDS=1-1629, augustus_masked-NODE_94_length_22582_cov_42.9497_ID_22844-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_94_length_22582_cov_42.9497_ID_22844-processed-gene-0.0&CDS=1-1713, maker-NODE_27_length_156879_cov_38.324_ID_11372-snap-gene-0.149-mRNA-1_1&gene=maker-NODE_27_length_156879_cov_38.324_ID_11372-snap-gene-0.149&CDS=1-2298, maker-NODE_53_length_74688_cov_39.8702_ID_37054-snap-gene-0.110-mRNA-1_1&gene=maker-NODE_53_length_74688_cov_39.8702_ID_37054-snap-gene-0.110&CDS=1-1884
12	OG0000012	YJR061W, YKL201C	augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.42&CDS=1-2379, augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.16&CDS=1-2376, augustus_masked-NODE_90_length_24846_cov_54.4109_ID_21022-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_90_length_24846_cov_54.4109_ID_21022-processed-gene-0.2&CDS=1-2232, augustus_masked-NODE_90_length_24846_cov_54.4109_ID_21022-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_90_length_24846_cov_54.4109_ID_21022-processed-gene-0.3&CDS=1-2103, snap_masked-NODE_46_length_87417_cov_39.1084_ID_23451-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_46_length_87417_cov_39.1084_ID_23451-processed-gene-0.62&CDS=1-2466
13	OG0000013	Q0045, Q0065, Q0070	augustus_masked-NODE_47_length_84776_cov_763.785_ID_16979-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_47_length_84776_cov_763.785_ID_16979-processed-gene-0.26&CDS=1-1617, maker-NODE_146_length_3576_cov_2.06773_ID_26320-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_146_length_3576_cov_2.06773_ID_26320-snap-gene-0.4&CDS=1-210, maker-NODE_147_length_3322_cov_1.70103_ID_26412-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_147_length_3322_cov_1.70103_ID_26412-snap-gene-0.1&CDS=1-381, maker-NODE_149_length_3227_cov_2.1378_ID_26426-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_149_length_3227_cov_2.1378_ID_26426-snap-gene-0.0&CDS=1-264
14	OG0000014	YAL051W, YOR363C	augustus_masked-NODE_129_length_7833_cov_50.0253_ID_25250-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_129_length_7833_cov_50.0253_ID_25250-processed-gene-0.4&CDS=1-2211, augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.33&CDS=1-1980, augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.117&CDS=1-2799, snap_masked-NODE_58_length_59207_cov_38.8906_ID_16098-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_58_length_59207_cov_38.8906_ID_16098-processed-gene-0.52&CDS=1-2550
15	OG0000015	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
16	OG0000016	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_27_length_156879_cov_38.324_ID_11372-processed-gene-0.17&CDS=1-1437, augustus_masked-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.25&CDS=1-993, augustus_masked-NODE_60_length_57921_cov_51.9033_ID_36354-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_60_length_57921_cov_51.9033_ID_36354-processed-gene-0.69&CDS=1-744
17	OG0000017	YDL210W	augustus_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_18_length_210819_cov_39.5738_ID_14898-processed-gene-1.25&CDS=1-1662, augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_21_length_199737_cov_39.4463_ID_14280-processed-gene-0.35&CDS=1-1665, augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.131&CDS=1-1665, augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-2.161&CDS=1-1680, snap_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.135&CDS=1-1641
18	OG0000018	YDR242W	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.194&CDS=1-1716, augustus_masked-NODE_53_length_74688_cov_39.8702_ID_37054-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_53_length_74688_cov_39.8702_ID_37054-processed-gene-0.18&CDS=1-1692, augustus_masked-NODE_86_length_26690_cov_49.833_ID_32455-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_86_length_26690_cov_49.833_ID_32455-processed-gene-0.17&CDS=1-1662, genemark-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.23&CDS=1-1668, snap_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.42&CDS=1-1611
19	OG0000019	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.70&CDS=1-1638
20	OG0000020	YDR380W, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.193-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-2.193&CDS=1-1746, augustus_masked-NODE_52_length_75366_cov_41.9773_ID_15542-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_52_length_75366_cov_41.9773_ID_15542-processed-gene-0.3&CDS=1-1728
21	OG0000021	YGR249W, YHR206W, YOR140W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-0.26&CDS=1-2085, augustus_masked-NODE_93_length_23172_cov_45.2745_ID_23536-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_93_length_23172_cov_45.2745_ID_23536-processed-gene-0.25&CDS=1-2637, snap_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.212-mRNA-1_1&gene=snap_masked-NODE_24_length_176600_cov_41.8587_ID_12679-processed-gene-0.212&CDS=1-2079
22	OG0000022	YGR260W	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.195&CDS=1-1551, augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NODE_33_length_128489_cov_37.6364_ID_12872-processed-gene-0.160&CDS=1-3081, augustus_masked-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_40_length_110026_cov_40.4293_ID_13392-processed-gene-0.4&CDS=1-1527, augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.240-mRNA-1_1&gene=augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.240&CDS=1-1476, augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.236-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.236&CDS=1-1569
23	OG0000023	YHR023W, YOR326W	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.208-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.208&CDS=1-2601, maker-NODE_15_length_219373_cov_38.4414_ID_13220-augustus-gene-1.134-mRNA-1_1&gene=maker-NODE_15_length_219373_cov_38.4414_ID_13220-augustus-gene-1.134&CDS=1-4431, maker-NODE_15_length_219373_cov_38.4414_ID_13220-augustus-gene-1.135-mRNA-1_1&gene=maker-NODE_15_length_219373_cov_38.4414_ID_13220-augustus-gene-1.135&CDS=1-4593, maker-NODE_22_length_196581_cov_37.2978_ID_11317-snap-gene-0.104-mRNA-1_1&gene=maker-NODE_22_length_196581_cov_37.2978_ID_11317-snap-gene-0.104&CDS=1-4428
