	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035651_Torulaspora_microellipsoides
44	OG0000044	Q0045, Q0065, Q0070	maker-flattened_line_68-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.3&CDS=1-222
45	OG0000045	YAL001C	genemark-flattened_line_0-processed-gene-1.81-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.81&CDS=1-3336, genemark-flattened_line_0-processed-gene-7.93-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.93&CDS=1-3336
46	OG0000046	YAL002W	genemark-flattened_line_0-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.109&CDS=1-4407, genemark-flattened_line_0-processed-gene-7.66-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.66&CDS=1-4407
47	OG0000047	YAL005C, YLL024C	genemark-flattened_line_64-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.39&CDS=1-1926
48	OG0000048	YAL023C, YOR321W	augustus_masked-flattened_line_58-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.93&CDS=1-3537
49	OG0000049	YAL049C	genemark-flattened_line_60-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.104&CDS=1-735, genemark-flattened_line_72-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.30&CDS=1-738
50	OG0000050	YAL060W, YAL061W	maker-flattened_line_60-snap-gene-0.91-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.91&CDS=1-2283
51	OG0000051	YAL062W, YOR375C	genemark-flattened_line_60-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.133&CDS=1-1377
52	OG0000052	YAR002C-A	genemark-flattened_line_0-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.80&CDS=1-618, genemark-flattened_line_0-processed-gene-7.94-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.94&CDS=1-618
53	OG0000053	YAR002W	snap_masked-flattened_line_0-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.54&CDS=1-1668, snap_masked-flattened_line_0-processed-gene-7.119-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.119&CDS=1-1668
54	OG0000054	YAR007C	genemark-flattened_line_0-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.78&CDS=1-1863, genemark-flattened_line_0-processed-gene-7.96-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.96&CDS=1-1863
55	OG0000055	YAR008W	genemark-flattened_line_0-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.98&CDS=1-864, genemark-flattened_line_0-processed-gene-7.74-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.74&CDS=1-864
56	OG0000056	YBL002W, YDR224C	genemark-flattened_line_11-processed-gene-2.114-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.114&CDS=1-396
57	OG0000057	YBL006C	snap_masked-flattened_line_0-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.46&CDS=1-597, snap_masked-flattened_line_0-processed-gene-7.127-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.127&CDS=1-597
58	OG0000058	YBL007C	genemark-flattened_line_0-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.92&CDS=1-3831, genemark-flattened_line_0-processed-gene-8.1-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.1&CDS=1-3831
59	OG0000059	YBL008W	genemark-flattened_line_0-processed-gene-1.72-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.72&CDS=1-2556, genemark-flattened_line_0-processed-gene-8.3-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.3&CDS=1-2556
60	OG0000060	YBL009W	augustus_masked-flattened_line_0-processed-gene-8.187-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.187&CDS=1-2355, snap_masked-flattened_line_0-processed-gene-1.20-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.20&CDS=1-2355
61	OG0000061	YBL010C	genemark-flattened_line_0-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.89&CDS=1-813, genemark-flattened_line_0-processed-gene-8.7-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.7&CDS=1-813
62	OG0000062	YBL011W	augustus_masked-flattened_line_0-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.115&CDS=1-3213, augustus_masked-flattened_line_0-processed-gene-8.189-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.189&CDS=1-3213
63	OG0000063	YBL014C	augustus_masked-flattened_line_0-processed-gene-8.162-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.162&CDS=1-2685, snap_masked-flattened_line_0-processed-gene-1.36-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.36&CDS=1-2685
64	OG0000064	YBL027W, YBR084C-A	genemark-flattened_line_11-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.45&CDS=1-609
65	OG0000065	YBL030C, YBR085W	genemark-flattened_line_33-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-1.61&CDS=1-912
66	OG0000066	YBL067C, YER098W	genemark-flattened_line_1-processed-gene-3.133-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.133&CDS=1-2364
67	OG0000067	YBL072C, YER102W	genemark-flattened_line_1-processed-gene-3.131-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.131&CDS=1-603
68	OG0000068	YBL075C, YER103W	genemark-flattened_line_1-processed-gene-3.129-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.129&CDS=1-1938
69	OG0000069	YBL087C, YER117W	maker-flattened_line_1-snap-gene-2.43-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-2.43&CDS=1-411
70	OG0000070	YBL089W, YER119C	augustus_masked-flattened_line_1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.19&CDS=1-2346
71	OG0000071	YBR001C, YDR001C	genemark-flattened_line_11-processed-gene-2.136-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.136&CDS=1-2652
72	OG0000072	YBR005W, YDR003W	genemark-flattened_line_11-processed-gene-2.117-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.117&CDS=1-675
73	OG0000073	YBR016W, YDL012C	genemark-flattened_line_3-processed-gene-2.33-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.33&CDS=1-360
74	OG0000074	YBR021W, YIR028W	maker-flattened_line_11-augustus-gene-2.49-mRNA-1_1&gene=maker-flattened_line_11-augustus-gene-2.49&CDS=1-2448
75	OG0000075	YBR031W, YDR012W	maker-flattened_line_11-augustus-gene-1.108-mRNA-1_1&gene=maker-flattened_line_11-augustus-gene-1.108&CDS=1-2649
76	OG0000076	YBR048W, YDR025W	genemark-flattened_line_11-processed-gene-1.41-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.41&CDS=1-465
77	OG0000077	YBR054W, YDR033W	genemark-flattened_line_11-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.39&CDS=1-948
78	OG0000078	YBR078W, YDR055W	snap_masked-flattened_line_11-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.32&CDS=1-1290
79	OG0000079	YBR082C, YDR059C	snap_masked-flattened_line_11-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.4&CDS=1-441
80	OG0000080	YBR118W, YPR080W	genemark-flattened_line_27-processed-gene-1.15-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.15&CDS=1-2169
81	OG0000081	YBR161W, YPL057C	genemark-flattened_line_11-processed-gene-3.61-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-3.61&CDS=1-1131
82	OG0000082	YBR181C, YPL090C	snap_masked-flattened_line_5-processed-gene-2.115-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.115&CDS=1-708
83	OG0000083	YBR182C, YPL089C	snap_masked-flattened_line_5-processed-gene-2.114-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.114&CDS=1-2181
84	OG0000084	YBR189W, YPL081W	maker-flattened_line_11-snap-gene-3.153-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-3.153&CDS=1-990
85	OG0000085	YBR218C, YGL062W	genemark-flattened_line_9-processed-gene-4.125-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.125&CDS=1-3531
86	OG0000086	YBR294W	genemark-flattened_line_19-processed-gene-2.126-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-2.126&CDS=1-2604, genemark-flattened_line_9-processed-gene-2.34-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.34&CDS=1-2664
87	OG0000087	YCL066W, YCR040W	snap_masked-flattened_line_128-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.6&CDS=1-513
88	OG0000088	YCL068C, YCR038C	snap_masked-flattened_line_27-processed-gene-1.142-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.142&CDS=1-4092
89	OG0000089	YCR010C, YNR002C	maker-flattened_line_7-snap-gene-2.155-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-2.155&CDS=1-1641
90	OG0000090	YCR028C-A	genemark-flattened_line_0-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.9&CDS=1-399, genemark-flattened_line_0-processed-gene-8.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.63&CDS=1-399
91	OG0000091	YCR030C	genemark-flattened_line_0-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.8&CDS=1-2496, genemark-flattened_line_0-processed-gene-8.64-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.64&CDS=1-2496
92	OG0000092	YCR032W	genemark-flattened_line_0-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.28&CDS=1-6420, genemark-flattened_line_0-processed-gene-8.33-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.33&CDS=1-6420
93	OG0000093	YCR033W	genemark-flattened_line_0-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.27&CDS=1-4047, genemark-flattened_line_0-processed-gene-8.34-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.34&CDS=1-4047
94	OG0000094	YDL049C	augustus_masked-flattened_line_0-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.141&CDS=1-786, augustus_masked-flattened_line_0-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.40&CDS=1-786
95	OG0000095	YDL051W	genemark-flattened_line_0-processed-gene-3.50-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.50&CDS=1-822, genemark-flattened_line_0-processed-gene-5.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.68&CDS=1-822
96	OG0000096	YDL052C	genemark-flattened_line_0-processed-gene-3.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.26&CDS=1-891, genemark-flattened_line_0-processed-gene-5.88-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.88&CDS=1-891
97	OG0000097	YDL054C	augustus_masked-flattened_line_0-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.38&CDS=1-1764, maker-flattened_line_0-augustus-gene-3.114-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.114&CDS=1-2001
98	OG0000098	YDL055C	genemark-flattened_line_0-processed-gene-4.45-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.45&CDS=1-1083, genemark-flattened_line_0-processed-gene-5.83-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.83&CDS=1-1083
99	OG0000099	YDL056W	genemark-flattened_line_0-processed-gene-4.49-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.49&CDS=1-2337, genemark-flattened_line_0-processed-gene-5.64-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.64&CDS=1-2337
100	OG0000100	YDL057W	genemark-flattened_line_0-processed-gene-4.50-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.50&CDS=1-1899, genemark-flattened_line_0-processed-gene-5.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.63&CDS=1-1899
101	OG0000101	YDL058W	genemark-flattened_line_0-processed-gene-4.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.68&CDS=1-5088, genemark-flattened_line_0-processed-gene-5.61-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.61&CDS=1-5088
102	OG0000102	YDL059C	genemark-flattened_line_0-processed-gene-4.52-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.52&CDS=1-606, genemark-flattened_line_0-processed-gene-5.79-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.79&CDS=1-606
103	OG0000103	YDL060W	genemark-flattened_line_0-processed-gene-4.71-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.71&CDS=1-3585, maker-flattened_line_0-augustus-gene-5.152-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-5.152&CDS=1-3585
