	OrthologID	Lachancea_kluyveri	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-SAKL0C-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.3&CDS=1-2499, augustus_masked-SAKL0E-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-0.108&CDS=1-1293, maker-SAKL0E-snap-gene-0.75-mRNA-1_1&gene=maker-SAKL0E-snap-gene-0.75&CDS=1-1611, snap_masked-SAKL0D-processed-gene-0.72-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-0.72&CDS=1-2763, snap_masked-SAKL0E-processed-gene-0.39-mRNA-1_1&gene=snap_masked-SAKL0E-processed-gene-0.39&CDS=1-897	YBL005W, YER184C, YGL013C
11	OG0000011	augustus_masked-SAKL0H-processed-gene-17.128-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-17.128&CDS=1-4653	YBL017C, YCR099C, YCR100C, YIL173W, YJL222W, YNR065C, YNR066C
12	OG0000012	augustus_masked-SAKL0B-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-6.143&CDS=1-1389, augustus_masked-SAKL0G-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-14.105&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
13	OG0000013	augustus_masked-SAKL0B-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-7.2&CDS=1-1119, augustus_masked-SAKL0E-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-2.16&CDS=1-1131, augustus_masked-SAKL0F-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.28&CDS=1-1053, maker-SAKL0C-augustus-gene-9.2-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-9.2&CDS=1-1917	YMR083W, YMR303C, YOL086C
14	OG0000014	augustus_masked-SAKL0C-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.10&CDS=1-1833, augustus_masked-SAKL0H-processed-gene-19.45-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-19.45&CDS=1-5574, snap_masked-SAKL0C-processed-gene-8.113-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-8.113&CDS=1-2037, snap_masked-SAKL0C-processed-gene-9.116-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-9.116&CDS=1-1824	YAL002W, YBR015C, YJL186W
15	OG0000015	augustus_masked-SAKL0C-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-9.15&CDS=1-996, augustus_masked-SAKL0G-processed-gene-12.124-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.124&CDS=1-996, augustus_masked-SAKL0G-processed-gene-15.2-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-15.2&CDS=1-996, maker-SAKL0H-augustus-gene-21.81-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-21.81&CDS=1-2739	YGL186C, YGR192C, YJR009C
16	OG0000016	augustus_masked-SAKL0C-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-10.26&CDS=1-1806, augustus_masked-SAKL0F-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.100&CDS=1-1866, augustus_masked-SAKL0G-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-3.154&CDS=1-1821, augustus_masked-SAKL0H-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-3.112&CDS=1-1839, augustus_masked-SAKL0H-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-3.95&CDS=1-1797	YBL042C, YBR021W
17	OG0000017	augustus_masked-SAKL0E-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-4.9&CDS=1-1833, augustus_masked-SAKL0F-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.40&CDS=1-1692, augustus_masked-SAKL0G-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.120&CDS=1-1692, augustus_masked-SAKL0G-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-8.141&CDS=1-1692	YDL080C, YLR044C, YLR134W
18	OG0000018	augustus_masked-SAKL0F-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-9.119&CDS=1-1965, augustus_masked-SAKL0G-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-10.118&CDS=1-2037, augustus_masked-SAKL0H-processed-gene-17.129-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-17.129&CDS=1-1923	YAL005C, YER103W, YJL034W, YLL024C
19	OG0000019	augustus_masked-SAKL0A-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.34&CDS=1-2154, augustus_masked-SAKL0A-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-7.14&CDS=1-1992, snap_masked-SAKL0A-processed-gene-0.104-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-0.104&CDS=1-765	YKL222C, YOR162C, YOR172W
20	OG0000020	augustus_masked-SAKL0A-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.9&CDS=1-1437, augustus_masked-SAKL0G-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-4.118&CDS=1-1962, maker-SAKL0H-augustus-gene-22.42-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-22.42&CDS=1-1035	YER133W, YML016C, YPL179W
21	OG0000021	augustus_masked-SAKL0B-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-0.102&CDS=1-1038, augustus_masked-SAKL0D-processed-gene-11.256-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.256&CDS=1-1035	YDR541C, YGL039W, YGL157W, YOL151W
22	OG0000022	augustus_masked-SAKL0B-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-4.128&CDS=1-1086, augustus_masked-SAKL0B-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-5.126&CDS=1-2634, augustus_masked-SAKL0E-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-7.26&CDS=1-2469, genemark-SAKL0C-processed-gene-3.131-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-3.131&CDS=1-2340	YIL130W, YJL206C
23	OG0000023	augustus_masked-SAKL0E-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-7.13&CDS=1-2703, snap_masked-SAKL0B-processed-gene-10.114-mRNA-1_1&gene=snap_masked-SAKL0B-processed-gene-10.114&CDS=1-558, snap_masked-SAKL0C-processed-gene-4.80-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-4.80&CDS=1-2529, snap_masked-SAKL0H-processed-gene-0.3-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-0.3&CDS=1-1779	YIL135C, YNL074C
24	OG0000024	augustus_masked-SAKL0C-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.120&CDS=1-1839, augustus_masked-SAKL0C-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.95&CDS=1-1839, augustus_masked-SAKL0H-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.5&CDS=1-1794, genemark-SAKL0G-processed-gene-7.18-mRNA-1_1&gene=genemark-SAKL0G-processed-gene-7.18&CDS=1-1815, maker-SAKL0D-augustus-gene-2.94-mRNA-1_1&gene=maker-SAKL0D-augustus-gene-2.94&CDS=1-5268	YCL025C
25	OG0000025	augustus_masked-SAKL0C-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.43&CDS=1-1146, augustus_masked-SAKL0E-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-7.20&CDS=1-1431	YIL123W, YJL116C, YKR042W, YNL066W
26	OG0000026	augustus_masked-SAKL0E-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-0.90&CDS=1-1860, augustus_masked-SAKL0F-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.76&CDS=1-1860, augustus_masked-SAKL0F-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.90&CDS=1-1851, augustus_masked-SAKL0G-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-2.31&CDS=1-1848	YHL040C, YHL047C
27	OG0000027	augustus_masked-SAKL0E-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-8.117&CDS=1-1170, augustus_masked-SAKL0H-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.118&CDS=1-1245, augustus_masked-SAKL0H-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.145&CDS=1-1332	YBR205W, YDR483W, YOR099W
28	OG0000028		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
29	OG0000029	augustus_masked-SAKL0B-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-3.107&CDS=1-5709, augustus_masked-SAKL0H-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-0.59&CDS=1-5364, snap_masked-SAKL0A-processed-gene-1.117-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-1.117&CDS=1-5082	YLR342W, YMR306W
30	OG0000030	augustus_masked-SAKL0B-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-8.16&CDS=1-603, augustus_masked-SAKL0B-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-8.17&CDS=1-690, snap_masked-SAKL0B-processed-gene-8.65-mRNA-1_1&gene=snap_masked-SAKL0B-processed-gene-8.65&CDS=1-915	YAL018C, YOL048C
31	OG0000031	augustus_masked-SAKL0C-processed-gene-11.22-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-11.22&CDS=1-1500, augustus_masked-SAKL0F-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.101&CDS=1-1716, augustus_masked-SAKL0H-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.22&CDS=1-1395, snap_masked-SAKL0B-processed-gene-10.88-mRNA-1_1&gene=snap_masked-SAKL0B-processed-gene-10.88&CDS=1-1503	YOL119C
32	OG0000032	augustus_masked-SAKL0B-processed-gene-10.49-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.49&CDS=1-1458, augustus_masked-SAKL0G-processed-gene-16.191-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-16.191&CDS=1-1458, augustus_masked-SAKL0H-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.142&CDS=1-1383, maker-SAKL0G-snap-gene-0.30-mRNA-1_1&gene=maker-SAKL0G-snap-gene-0.30&CDS=1-2511	YBR158W
33	OG0000033	augustus_masked-SAKL0C-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.19&CDS=1-1710, augustus_masked-SAKL0C-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.17&CDS=1-1722, augustus_masked-SAKL0F-processed-gene-12.186-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-12.186&CDS=1-1758	YJL172W, YOL153C
34	OG0000034	augustus_masked-SAKL0C-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.22&CDS=1-1200, augustus_masked-SAKL0H-processed-gene-19.21-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-19.21&CDS=1-1200, maker-SAKL0H-augustus-gene-0.84-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-0.84&CDS=1-1119	YHR179W, YPL171C
35	OG0000035	augustus_masked-SAKL0C-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.23&CDS=1-1092, augustus_masked-SAKL0C-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-11.53&CDS=1-1017, augustus_masked-SAKL0H-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-0.66&CDS=1-795	YCL064C, YIL167W
36	OG0000036	augustus_masked-SAKL0C-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.86&CDS=1-1776, augustus_masked-SAKL0H-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-13.15&CDS=1-1668	YDR144C, YLR120C, YLR121C
37	OG0000037	augustus_masked-SAKL0C-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.0&CDS=1-2091, genemark-SAKL0F-processed-gene-8.82-mRNA-1_1&gene=genemark-SAKL0F-processed-gene-8.82&CDS=1-2085, maker-SAKL0F-snap-gene-12.264-mRNA-1_1&gene=maker-SAKL0F-snap-gene-12.264&CDS=1-8328, snap_masked-SAKL0F-processed-gene-12.85-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-12.85&CDS=1-2022	YLR214W
38	OG0000038	augustus_masked-SAKL0D-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-8.100&CDS=1-4056, maker-SAKL0H-augustus-gene-18.90-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-18.90&CDS=1-9015, snap_masked-SAKL0C-processed-gene-3.67-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-3.67&CDS=1-2061	YDL037C, YIR019C
39	OG0000039	augustus_masked-SAKL0C-processed-gene-9.42-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-9.42&CDS=1-1485, augustus_masked-SAKL0H-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-1.37&CDS=1-1584, augustus_masked-SAKL0H-processed-gene-17.116-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-17.116&CDS=1-1461	YBR139W, YMR297W
40	OG0000040	augustus_masked-SAKL0D-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-0.113&CDS=1-1803, augustus_masked-SAKL0D-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-3.143&CDS=1-1779, augustus_masked-SAKL0G-processed-gene-12.102-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.102&CDS=1-1815	YGR191W, YKR039W
41	OG0000041	augustus_masked-SAKL0D-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-1.9&CDS=1-1722, augustus_masked-SAKL0E-processed-gene-11.219-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-11.219&CDS=1-1734, augustus_masked-SAKL0G-processed-gene-12.140-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.140&CDS=1-1695, augustus_masked-SAKL0G-processed-gene-13.121-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-13.121&CDS=1-1707	YDL210W
42	OG0000042	augustus_masked-SAKL0E-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-9.16&CDS=1-1116, augustus_masked-SAKL0E-processed-gene-9.40-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-9.40&CDS=1-1116	YCR102C, YLR460C, YNL134C
43	OG0000043	augustus_masked-SAKL0G-processed-gene-16.171-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-16.171&CDS=1-1947, augustus_masked-SAKL0G-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-4.111&CDS=1-1512, snap_masked-SAKL0F-processed-gene-1.67-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-1.67&CDS=1-2427	YGL216W, YKL079W
44	OG0000044	augustus_masked-SAKL0G-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-10.122&CDS=1-1023	YDL244W, YFL058W, YJR156C, YNL332W
45	OG0000045	augustus_masked-SAKL0G-processed-gene-14.82-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-14.82&CDS=1-684	YDR533C, YMR322C, YOR391C, YPL280W
46	OG0000046		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
47	OG0000047	augustus_masked-SAKL0A-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.30&CDS=1-3348, augustus_masked-SAKL0H-processed-gene-14.4-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-14.4&CDS=1-381	YDR134C, YLR110C
48	OG0000048	augustus_masked-SAKL0A-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.5&CDS=1-5172, augustus_masked-SAKL0F-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.143&CDS=1-1149	YCR081W, YDL168W
49	OG0000049	augustus_masked-SAKL0A-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.13&CDS=1-2889, augustus_masked-SAKL0H-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-2.119&CDS=1-2943	YGR240C, YMR205C
50	OG0000050	maker-SAKL0A-snap-gene-4.54-mRNA-1_1&gene=maker-SAKL0A-snap-gene-4.54&CDS=1-2454	YJL164C, YKL166C, YPL203W
51	OG0000051	augustus_masked-SAKL0A-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.25&CDS=1-375, augustus_masked-SAKL0A-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-6.121&CDS=1-435	YGL089C, YPL187W
52	OG0000052	augustus_masked-SAKL0A-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.12&CDS=1-1839, augustus_masked-SAKL0E-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-4.15&CDS=1-1848	YBR298C, YGR289C
53	OG0000053	augustus_masked-SAKL0A-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.18&CDS=1-3162, genemark-SAKL0B-processed-gene-4.78-mRNA-1_1&gene=genemark-SAKL0B-processed-gene-4.78&CDS=1-3087	YBR245C, YOR304W
