	OrthologID	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
10	OG0000010	snap_masked-NADE0S03-processed-gene-8.1-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.1&CDS=1-2610, snap_masked-NADE0S04-processed-gene-5.6-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-5.6&CDS=1-2058, snap_masked-NADE0S05-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-1.55&CDS=1-3144, snap_masked-NADE0S17-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.15&CDS=1-1884	YBR059C, YIL095W
11	OG0000011	snap_masked-NADE0S04-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.94&CDS=1-1572, snap_masked-NADE0S06-processed-gene-6.14-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-6.14&CDS=1-1608, snap_masked-NADE0S12-processed-gene-10.90-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-10.90&CDS=1-1560	YER056C, YER060W, YER060W-A
12	OG0000012	augustus_masked-NADE0S06-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-NADE0S06-processed-gene-5.125&CDS=1-1521, snap_masked-NADE0S04-processed-gene-10.170-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-10.170&CDS=1-1764, snap_masked-NADE0S09-processed-gene-8.114-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-8.114&CDS=1-837, snap_masked-NADE0S12-processed-gene-11.127-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-11.127&CDS=1-930	YER130C, YKL062W
13	OG0000013	augustus_masked-NADE0S12-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-4.110&CDS=1-3372, genemark-NADE0S12-processed-gene-12.93-mRNA-1_1&gene=genemark-NADE0S12-processed-gene-12.93&CDS=1-2199, snap_masked-NADE0S05-processed-gene-4.28-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-4.28&CDS=1-2202	YAL023C, YGR199W, YOR321W
14	OG0000014	augustus_masked-NADE0S01-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-0.17&CDS=1-4560	YBL017C, YIL173W, YJL222W, YNR065C
15	OG0000015	augustus_masked-NADE0S06-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-NADE0S06-processed-gene-5.130&CDS=1-1701, snap_masked-NADE0S03-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.25&CDS=1-1680, snap_masked-NADE0S03-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.27&CDS=1-1614	YLR343W, YMR307W
16	OG0000016	snap_masked-NADE0S03-processed-gene-4.1-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.1&CDS=1-1986, snap_masked-NADE0S03-processed-gene-4.28-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.28&CDS=1-1980, snap_masked-NADE0S25-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-4.34&CDS=1-1863, snap_masked-NADE0S25-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-4.35&CDS=1-1893	YIL014W
17	OG0000017	maker-NADE0S03-snap-gene-4.40-mRNA-1_1&gene=maker-NADE0S03-snap-gene-4.40&CDS=1-282	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
18	OG0000018	snap_masked-NADE0S03-processed-gene-9.121-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.121&CDS=1-921, snap_masked-NADE0S04-processed-gene-5.31-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-5.31&CDS=1-936, snap_masked-NADE0S18-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NADE0S18-processed-gene-0.20&CDS=1-939	YGR086C, YPL004C
19	OG0000019	augustus_masked-NADE0S03-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.96&CDS=1-201, snap_masked-NADE0S05-processed-gene-8.120-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-8.120&CDS=1-1434	YLR264W, YOR166C, YOR167C
20	OG0000020	augustus_masked-NADE0S04-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.145&CDS=1-1668, augustus_masked-NADE0S12-processed-gene-11.12-mRNA-1_1&gene=augustus_masked-NADE0S12-processed-gene-11.12&CDS=1-1578, snap_masked-NADE0S15-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-1.6&CDS=1-1626	YER123W, YHR135C
21	OG0000021	snap_masked-NADE0S04-processed-gene-5.36-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-5.36&CDS=1-1269, snap_masked-NADE0S04-processed-gene-8.23-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-8.23&CDS=1-1233, snap_masked-NADE0S09-processed-gene-6.11-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-6.11&CDS=1-1236	YDL066W, YLR174W
22	OG0000022	snap_masked-NADE0S04-processed-gene-6.106-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-6.106&CDS=1-2997, snap_masked-NADE0S04-processed-gene-6.96-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-6.96&CDS=1-1272, snap_masked-NADE0S17-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.33&CDS=1-1029	YGR067C, YMR182C
23	OG0000023	snap_masked-NADE0S05-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-1.77&CDS=1-1035, snap_masked-NADE0S06-processed-gene-7.101-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-7.101&CDS=1-1023, snap_masked-NADE0S17-processed-gene-6.172-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-6.172&CDS=1-1047	YDR541C, YOL151W
24	OG0000024	snap_masked-NADE0S05-processed-gene-9.127-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-9.127&CDS=1-1965, snap_masked-NADE0S13-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NADE0S13-processed-gene-1.111&CDS=1-1941, snap_masked-NADE0S27-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-2.21&CDS=1-1944	YJR045C, YLR369W
25	OG0000025	genemark-NADE0S06-processed-gene-5.61-mRNA-1_1&gene=genemark-NADE0S06-processed-gene-5.61&CDS=1-579, snap_masked-NADE0S06-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-0.77&CDS=1-522	YCL067C, YCR039C, YCR096C
26	OG0000026	augustus_masked-NADE0S06-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NADE0S06-processed-gene-3.18&CDS=1-4179, snap_masked-NADE0S13-processed-gene-2.167-mRNA-1_1&gene=snap_masked-NADE0S13-processed-gene-2.167&CDS=1-1593, snap_masked-NADE0S25-processed-gene-4.54-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-4.54&CDS=1-1431	YOL119C, YOR306C
27	OG0000027	snap_masked-NADE0S06-processed-gene-6.12-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-6.12&CDS=1-738, snap_masked-NADE0S09-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-3.37&CDS=1-741, snap_masked-NADE0S17-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.77&CDS=1-744	YER062C, YIL053W
28	OG0000028	augustus_masked-NADE0S09-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-4.63&CDS=1-309, snap_masked-NADE0S25-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-4.52&CDS=1-309, snap_masked-NADE0S27-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-4.134&CDS=1-309	YBR009C, YNL030W
29	OG0000029	maker-NADE0S10-snap-gene-0.2-mRNA-1_1&gene=maker-NADE0S10-snap-gene-0.2&CDS=1-312, maker-NADE0S10-snap-gene-0.5-mRNA-1_1&gene=maker-NADE0S10-snap-gene-0.5&CDS=1-810	Q0045, Q0065, Q0070
30	OG0000030	genemark-NADE0S15-processed-gene-2.32-mRNA-1_1&gene=genemark-NADE0S15-processed-gene-2.32&CDS=1-2079, snap_masked-NADE0S13-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NADE0S13-processed-gene-0.23&CDS=1-2091	YIL009W, YMR246W, YOR317W
31	OG0000031	maker-NADE0S27-snap-gene-1.94-mRNA-1_1&gene=maker-NADE0S27-snap-gene-1.94&CDS=1-4029, snap_masked-NADE0S27-processed-gene-6.58-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-6.58&CDS=1-2319	YOR231W, YPL140C, YPL141C
32	OG0000032	snap_masked-NADE0S01-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-0.124&CDS=1-1356, snap_masked-NADE0S27-processed-gene-1.104-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-1.104&CDS=1-1278	YOR229W, YOR230W
33	OG0000033	augustus_masked-NADE0S01-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-0.32&CDS=1-3621, snap_masked-NADE0S27-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-6.55&CDS=1-3498	YOR227W, YPL137C
34	OG0000034	snap_masked-NADE0S01-processed-gene-1.63-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.63&CDS=1-1197, snap_masked-NADE0S06-processed-gene-8.161-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-8.161&CDS=1-1299	YLR449W, YML074C
35	OG0000035	maker-NADE0S03-augustus-gene-0.70-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-0.70&CDS=1-9780, snap_masked-NADE0S06-processed-gene-7.84-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-7.84&CDS=1-6408	YER172C, YGR271W
36	OG0000036	maker-NADE0S17-augustus-gene-0.0-mRNA-1_1&gene=maker-NADE0S17-augustus-gene-0.0&CDS=1-1830, snap_masked-NADE0S03-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.21&CDS=1-1314	YGR254W, YHR174W
37	OG0000037	snap_masked-NADE0S03-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.35&CDS=1-969, snap_masked-NADE0S05-processed-gene-7.116-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-7.116&CDS=1-2160	YGR249W, YOR140W
38	OG0000038	snap_masked-NADE0S03-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.3&CDS=1-1527, snap_masked-NADE0S17-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.5&CDS=1-2103	YGR241C, YHR161C
39	OG0000039	snap_masked-NADE0S03-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.7&CDS=1-3015, snap_masked-NADE0S17-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.7&CDS=1-3357	YGR238C, YHR158C
40	OG0000040	snap_masked-NADE0S03-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.17&CDS=1-393, snap_masked-NADE0S09-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NADE0S09-processed-gene-4.22&CDS=1-393	YBL003C, YDR225W
41	OG0000041	augustus_masked-NADE0S09-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-NADE0S09-processed-gene-2.91&CDS=1-1335, maker-NADE0S03-snap-gene-1.54-mRNA-1_1&gene=maker-NADE0S03-snap-gene-1.54&CDS=1-1482	YDR247W, YPL026C
42	OG0000042	snap_masked-NADE0S03-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.27&CDS=1-1677, snap_masked-NADE0S12-processed-gene-7.3-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-7.3&CDS=1-2886	YMR192W, YPL249C
43	OG0000043	maker-NADE0S03-snap-gene-1.57-mRNA-1_1&gene=maker-NADE0S03-snap-gene-1.57&CDS=1-1587	YHR216W, YLR432W, YML056C
44	OG0000044	snap_masked-NADE0S03-processed-gene-2.1-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.1&CDS=1-2082, snap_masked-NADE0S17-processed-gene-6.136-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-6.136&CDS=1-2097	YFR015C, YLR258W
45	OG0000045	augustus_masked-NADE0S03-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-2.108&CDS=1-2217, snap_masked-NADE0S17-processed-gene-6.163-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-6.163&CDS=1-2010	YFR013W, YOL017W
46	OG0000046	snap_masked-NADE0S03-processed-gene-2.30-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.30&CDS=1-924, snap_masked-NADE0S12-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-2.102&CDS=1-930	YDR368W, YOR120W
47	OG0000047	augustus_masked-NADE0S03-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-2.120&CDS=1-2184, snap_masked-NADE0S03-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.27&CDS=1-822, snap_masked-NADE0S13-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NADE0S13-processed-gene-0.6&CDS=1-375	YKR011C
48	OG0000048	augustus_masked-NADE0S03-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.115&CDS=1-1230, snap_masked-NADE0S03-processed-gene-8.39-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.39&CDS=1-1245	YJL134W, YKR053C
49	OG0000049	augustus_masked-NADE0S03-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.93&CDS=1-1098, snap_masked-NADE0S05-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-0.117&CDS=1-1221	YJL139C, YKR061W
50	OG0000050	snap_masked-NADE0S03-processed-gene-3.40-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.40&CDS=1-876, snap_masked-NADE0S12-processed-gene-5.103-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-5.103&CDS=1-822	YBR024W, YBR037C
51	OG0000051	snap_masked-NADE0S03-processed-gene-4.4-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.4&CDS=1-1323, snap_masked-NADE0S05-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-0.87&CDS=1-855	YJL110C, YKR034W
52	OG0000052	maker-NADE0S03-augustus-gene-4.73-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-4.73&CDS=1-2628, snap_masked-NADE0S06-processed-gene-5.34-mRNA-1_1&gene=snap_masked-NADE0S06-processed-gene-5.34&CDS=1-1836	YLR188W, YPL270W
53	OG0000053	snap_masked-NADE0S03-processed-gene-5.4-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.4&CDS=1-2664, snap_masked-NADE0S04-processed-gene-3.107-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.107&CDS=1-1788	YGR041W, YLR353W
54	OG0000054	snap_masked-NADE0S03-processed-gene-5.20-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.20&CDS=1-2520, snap_masked-NADE0S25-processed-gene-2.119-mRNA-1_1&gene=snap_masked-NADE0S25-processed-gene-2.119&CDS=1-4200	YDR420W, YGR014W
55	OG0000055	snap_masked-NADE0S03-processed-gene-6.6-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.6&CDS=1-1620, snap_masked-NADE0S05-processed-gene-5.28-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-5.28&CDS=1-1698	YML116W, YMR279C
56	OG0000056	augustus_masked-NADE0S03-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.81&CDS=1-891, augustus_masked-NADE0S13-processed-gene-2.221-mRNA-1_1&gene=augustus_masked-NADE0S13-processed-gene-2.221&CDS=1-1149	YDR309C, YHR061C
57	OG0000057	augustus_masked-NADE0S03-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-7.62&CDS=1-1086, snap_masked-NADE0S18-processed-gene-1.182-mRNA-1_1&gene=snap_masked-NADE0S18-processed-gene-1.182&CDS=1-1251	YBR161W, YPL057C
58	OG0000058	snap_masked-NADE0S03-processed-gene-7.108-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.108&CDS=1-4539, snap_masked-NADE0S12-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-8.105&CDS=1-4584	YDR011W, YPL058C
59	OG0000059	snap_masked-NADE0S03-processed-gene-7.132-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.132&CDS=1-2460, snap_masked-NADE0S12-processed-gene-10.96-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-10.96&CDS=1-2868	YER047C, YPL074W
60	OG0000060	snap_masked-NADE0S03-processed-gene-7.113-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.113&CDS=1-951, snap_masked-NADE0S18-processed-gene-1.188-mRNA-1_1&gene=snap_masked-NADE0S18-processed-gene-1.188&CDS=1-834	YBR197C, YPL077C
61	OG0000061	snap_masked-NADE0S03-processed-gene-7.118-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.118&CDS=1-1926, snap_masked-NADE0S18-processed-gene-1.171-mRNA-1_1&gene=snap_masked-NADE0S18-processed-gene-1.171&CDS=1-2034	YBR182C, YPL089C
62	OG0000062	augustus_masked-NADE0S18-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NADE0S18-processed-gene-1.95&CDS=1-1209, snap_masked-NADE0S03-processed-gene-7.119-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.119&CDS=1-708	YBR181C, YPL090C
63	OG0000063	snap_masked-NADE0S03-processed-gene-7.120-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.120&CDS=1-927, snap_masked-NADE0S05-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-1.86&CDS=1-972	YBR054W, YDR033W
64	OG0000064	snap_masked-NADE0S03-processed-gene-8.2-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.2&CDS=1-3258	YDR038C, YDR039C, YDR040C
65	OG0000065	snap_masked-NADE0S03-processed-gene-8.7-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.7&CDS=1-933, snap_masked-NADE0S12-processed-gene-6.105-mRNA-1_1&gene=snap_masked-NADE0S12-processed-gene-6.105&CDS=1-918	YBR104W, YPR058W
66	OG0000066	snap_masked-NADE0S03-processed-gene-9.147-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.147&CDS=1-1716, snap_masked-NADE0S04-processed-gene-5.16-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-5.16&CDS=1-1647	YGR092W, YPR111W
67	OG0000067	snap_masked-NADE0S03-processed-gene-9.155-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.155&CDS=1-2286, snap_masked-NADE0S05-processed-gene-8.121-mRNA-1_1&gene=snap_masked-NADE0S05-processed-gene-8.121&CDS=1-1737	YLR260W, YOR171C
68	OG0000068	maker-NADE0S04-snap-gene-7.99-mRNA-1_1&gene=maker-NADE0S04-snap-gene-7.99&CDS=1-1851, snap_masked-NADE0S03-processed-gene-9.131-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.131&CDS=1-2733	YDR213W, YLR228C
69	OG0000069	augustus_masked-NADE0S04-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.124&CDS=1-2028, snap_masked-NADE0S27-processed-gene-1.101-mRNA-1_1&gene=snap_masked-NADE0S27-processed-gene-1.101&CDS=1-1350	YBL052C, YOR244W
70	OG0000070	snap_masked-NADE0S04-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.74&CDS=1-1992, snap_masked-NADE0S15-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-0.66&CDS=1-2010	YDL224C, YNL197C
