	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034886_Ogataea_trehalophila
11	OG0000011		augustus_masked-NODE_160_length_1632_cov_484.193_ID_319-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_160_length_1632_cov_484.193_ID_319-processed-gene-0.0&CDS=1-570, augustus_masked-NODE_204_length_911_cov_588.228_ID_407-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_204_length_911_cov_588.228_ID_407-processed-gene-0.0&CDS=1-750, augustus_masked-NODE_256_length_515_cov_136.862_ID_511-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_256_length_515_cov_136.862_ID_511-processed-gene-0.2&CDS=1-510, snap_masked-NODE_188_length_1136_cov_576.369_ID_375-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_188_length_1136_cov_576.369_ID_375-processed-gene-0.1&CDS=1-921, snap_masked-NODE_189_length_1136_cov_594.847_ID_377-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_189_length_1136_cov_594.847_ID_377-processed-gene-0.1&CDS=1-921, snap_masked-NODE_199_length_968_cov_481.05_ID_397-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_199_length_968_cov_481.05_ID_397-processed-gene-0.2&CDS=1-783, snap_masked-NODE_221_length_752_cov_677.18_ID_441-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_221_length_752_cov_677.18_ID_441-processed-gene-0.0&CDS=1-549, snap_masked-NODE_30_length_174647_cov_23.7437_ID_59-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_30_length_174647_cov_23.7437_ID_59-processed-gene-0.51&CDS=1-2235
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_56_length_78183_cov_12.81_ID_111-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_56_length_78183_cov_12.81_ID_111-processed-gene-0.70&CDS=1-1374, genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.98-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.98&CDS=1-1395
13	OG0000013	YDR242W	genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-0.55&CDS=1-1719, genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.38&CDS=1-1695, genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-0.34&CDS=1-1671, genemark-NODE_54_length_84458_cov_12.8659_ID_107-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_54_length_84458_cov_12.8659_ID_107-processed-gene-0.26&CDS=1-1725, genemark-NODE_67_length_64695_cov_15.4663_ID_133-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_67_length_64695_cov_15.4663_ID_133-processed-gene-0.9&CDS=1-1611, genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.54&CDS=1-1722
14	OG0000014	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.6-mRNA-1_1&gene=genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.6&CDS=1-1017, genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.27&CDS=1-1017, genemark-NODE_60_length_72684_cov_14.121_ID_119-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_60_length_72684_cov_14.121_ID_119-processed-gene-0.67&CDS=1-1014
15	OG0000015	YKL220C, YNR060W, YOR381W	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.47&CDS=1-2298, genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.111&CDS=1-2121, genemark-NODE_72_length_57871_cov_23.988_ID_143-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_72_length_57871_cov_23.988_ID_143-processed-gene-0.29&CDS=1-2079, maker-NODE_96_length_23889_cov_21.4491_ID_191-snap-gene-0.19-mRNA-1_1&gene=maker-NODE_96_length_23889_cov_21.4491_ID_191-snap-gene-0.19&CDS=1-3987
16	OG0000016	YML116W, YMR279C, YOR378W	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.31&CDS=1-1680, genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.87-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.87&CDS=1-1668, genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.90&CDS=1-1695, genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-1.88-mRNA-1_1&gene=genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-1.88&CDS=1-1692
17	OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-2.95-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-2.95&CDS=1-4560, maker-NODE_17_length_257632_cov_12.7806_ID_33-snap-gene-0.111-mRNA-1_1&gene=maker-NODE_17_length_257632_cov_12.7806_ID_33-snap-gene-0.111&CDS=1-5181
18	OG0000018	YBL060W, YDR170C, YPR095C	genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.7&CDS=1-5613, genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.61&CDS=1-2559, genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.4-mRNA-1_1&gene=genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.4&CDS=1-3354
19	OG0000019	YBR205W, YDR483W, YOR099W	genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.83&CDS=1-1230, genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.75&CDS=1-990, genemark-NODE_50_length_87668_cov_15.6136_ID_99-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_50_length_87668_cov_15.6136_ID_99-processed-gene-0.40&CDS=1-1452
20	OG0000020	YBR245C, YFR038W, YOR304W	genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.51&CDS=1-2295, genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-0.87&CDS=1-3117, snap_masked-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.13&CDS=1-3225
21	OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.83-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.83&CDS=1-1710, genemark-NODE_61_length_72254_cov_12.639_ID_121-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_61_length_72254_cov_12.639_ID_121-processed-gene-0.40&CDS=1-1641
22	OG0000022	YDL025C, YNL183C, YOR267C	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.104-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.104&CDS=1-2274, genemark-NODE_88_length_41501_cov_14.5778_ID_175-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_88_length_41501_cov_14.5778_ID_175-processed-gene-0.26&CDS=1-2679, maker-NODE_22_length_195135_cov_21.5797_ID_43-snap-gene-0.135-mRNA-1_1&gene=maker-NODE_22_length_195135_cov_21.5797_ID_43-snap-gene-0.135&CDS=1-1815
23	OG0000023	YDL037C, YIR019C	augustus_masked-NODE_165_length_1526_cov_19.3948_ID_329-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_165_length_1526_cov_19.3948_ID_329-processed-gene-0.2&CDS=1-1524, augustus_masked-NODE_245_length_575_cov_10.3104_ID_489-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_245_length_575_cov_10.3104_ID_489-processed-gene-0.0&CDS=1-573, genemark-NODE_120_length_6223_cov_11.0785_ID_239-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_120_length_6223_cov_11.0785_ID_239-processed-gene-0.0&CDS=1-1983, maker-NODE_7_length_341278_cov_13.0664_ID_13-snap-gene-0.34-mRNA-1_1&gene=maker-NODE_7_length_341278_cov_13.0664_ID_13-snap-gene-0.34&CDS=1-864
24	OG0000024	YFR014C, YKL171W, YOL016C	genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.11&CDS=1-2622, genemark-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.40&CDS=1-1326, snap_masked-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.188-mRNA-1_1&gene=snap_masked-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.188&CDS=1-1212
25	OG0000025	YGR184C	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-1.95-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-1.95&CDS=1-5511, genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-0.77&CDS=1-708, genemark-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.49&CDS=1-5736, maker-NODE_13_length_297526_cov_12.7474_ID_25-augustus-gene-0.51-mRNA-1_1&gene=maker-NODE_13_length_297526_cov_12.7474_ID_25-augustus-gene-0.51&CDS=1-4461, snap_masked-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.27&CDS=1-5511
26	OG0000026	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-2.202-mRNA-1_1&gene=augustus_masked-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-2.202&CDS=1-3309, genemark-NODE_59_length_73137_cov_13.0456_ID_117-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_59_length_73137_cov_13.0456_ID_117-processed-gene-0.15&CDS=1-2178
27	OG0000027	YJR061W, YKL201C	augustus_masked-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.115&CDS=1-2748, genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-2.81-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-2.81&CDS=1-2415, genemark-NODE_29_length_175933_cov_13.7951_ID_57-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_29_length_175933_cov_13.7951_ID_57-processed-gene-0.64&CDS=1-2427, genemark-NODE_30_length_174647_cov_23.7437_ID_59-processed-gene-0.210-mRNA-1_1&gene=genemark-NODE_30_length_174647_cov_23.7437_ID_59-processed-gene-0.210&CDS=1-2328
28	OG0000028	YLR130C	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.113-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.113&CDS=1-1062, genemark-NODE_44_length_104249_cov_23.1018_ID_87-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_44_length_104249_cov_23.1018_ID_87-processed-gene-0.24&CDS=1-1062, genemark-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.35&CDS=1-1269, genemark-NODE_89_length_38732_cov_25.7741_ID_177-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_89_length_38732_cov_25.7741_ID_177-processed-gene-0.13&CDS=1-1068, snap_masked-NODE_72_length_57871_cov_23.988_ID_143-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_72_length_57871_cov_23.988_ID_143-processed-gene-0.10&CDS=1-813
29	OG0000029	YLR256W	genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.18-mRNA-1_1&gene=genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.18&CDS=1-3033, maker-NODE_20_length_238563_cov_12.5791_ID_39-augustus-gene-1.60-mRNA-1_1&gene=maker-NODE_20_length_238563_cov_12.5791_ID_39-augustus-gene-1.60&CDS=1-2484, maker-NODE_34_length_160508_cov_14.9514_ID_67-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_34_length_160508_cov_14.9514_ID_67-snap-gene-0.4&CDS=1-2226, maker-NODE_8_length_322607_cov_12.9308_ID_15-augustus-gene-2.68-mRNA-1_1&gene=maker-NODE_8_length_322607_cov_12.9308_ID_15-augustus-gene-2.68&CDS=1-3732, maker-NODE_8_length_322607_cov_12.9308_ID_15-snap-gene-2.4-mRNA-1_1&gene=maker-NODE_8_length_322607_cov_12.9308_ID_15-snap-gene-2.4&CDS=1-4146
