	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026256_Zygotorulaspora_mrakii
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.131-mRNA-1_1&gene=genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.131&CDS=1-1410, genemark-NODE_54_length_9987_cov_18.2864_ID_8735-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_54_length_9987_cov_18.2864_ID_8735-processed-gene-0.4&CDS=1-1365, snap_masked-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.34&CDS=1-1359
11	OG0000011	YEL065W, YHL040C, YHL047C	genemark-NODE_20_length_176722_cov_18.3094_ID_4060-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_20_length_176722_cov_18.3094_ID_4060-processed-gene-0.83&CDS=1-1857, genemark-NODE_32_length_66654_cov_19.2289_ID_6427-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_32_length_66654_cov_19.2289_ID_6427-processed-gene-0.66&CDS=1-1899, genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-4.136-mRNA-1_1&gene=genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-4.136&CDS=1-1836, genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-5.118-mRNA-1_1&gene=genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-5.118&CDS=1-1821, maker-NODE_13_length_271224_cov_18.1621_ID_4967-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_13_length_271224_cov_18.1621_ID_4967-snap-gene-0.4&CDS=1-1845
12	OG0000012	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-0.54&CDS=1-2691, genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.110-mRNA-1_1&gene=genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.110&CDS=1-3357, genemark-NODE_15_length_245419_cov_17.8024_ID_3878-processed-gene-1.178-mRNA-1_1&gene=genemark-NODE_15_length_245419_cov_17.8024_ID_3878-processed-gene-1.178&CDS=1-2328, genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-1.127-mRNA-1_1&gene=genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-1.127&CDS=1-3420
13	OG0000013	YBL042C, YBR021W, YIR028W	augustus_masked-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.162&CDS=1-2328, genemark-NODE_10_length_344192_cov_17.9972_ID_4796-processed-gene-2.19-mRNA-1_1&gene=genemark-NODE_10_length_344192_cov_17.9972_ID_4796-processed-gene-2.19&CDS=1-1842, genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-5.125-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-5.125&CDS=1-1851
14	OG0000014	YDL243C, YJR155W, YNL331C	genemark-NODE_16_length_242885_cov_18.2149_ID_3109-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_16_length_242885_cov_18.2149_ID_3109-processed-gene-0.85&CDS=1-1125, genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.24&CDS=1-1125, genemark-NODE_30_length_72909_cov_19.772_ID_8197-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_30_length_72909_cov_19.772_ID_8197-processed-gene-0.85&CDS=1-1125
15	OG0000015	YER133W, YML016C, YPL179W	augustus_masked-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-2.133&CDS=1-2451, genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-2.30&CDS=1-936, genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-2.83&CDS=1-1614
16	OG0000016	YHR050W, YLR034C, YOL122C	genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-4.44-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-4.44&CDS=1-1620, genemark-NODE_21_length_169601_cov_17.579_ID_3687-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_21_length_169601_cov_17.579_ID_3687-processed-gene-0.7&CDS=1-1584, snap_masked-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-0.75&CDS=1-1425
17	OG0000017	YLR266C, YOR162C, YOR172W	augustus_masked-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-4.139&CDS=1-2916, genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-4.122-mRNA-1_1&gene=genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-4.122&CDS=1-2439, snap_masked-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-4.8-mRNA-1_1&gene=snap_masked-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-4.8&CDS=1-2382
18	OG0000018	Q0105, Q0110, Q0115, Q0120	maker-NODE_45_length_27265_cov_848.006_ID_13825-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_45_length_27265_cov_848.006_ID_13825-snap-gene-0.3&CDS=1-300, maker-NODE_45_length_27265_cov_848.006_ID_13825-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_45_length_27265_cov_848.006_ID_13825-snap-gene-0.4&CDS=1-570
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-0.56&CDS=1-4923
20	OG0000020	YBR019C, YHR210C, YNR071C	genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.36&CDS=1-2100, genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.15-mRNA-1_1&gene=genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.15&CDS=1-1008
21	OG0000021	YDL080C, YLR044C, YLR134W	genemark-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-0.19&CDS=1-1692, maker-NODE_6_length_500760_cov_17.8614_ID_5473-augustus-gene-1.163-mRNA-1_1&gene=maker-NODE_6_length_500760_cov_17.8614_ID_5473-augustus-gene-1.163&CDS=1-2913
22	OG0000022	YDL244W, YFL058W, YJR156C, YNL332W	genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-3.124-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-3.124&CDS=1-1020
23	OG0000023	YDR021W, YJL138C, YKR059W	augustus_masked-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.153&CDS=1-1194, maker-NODE_20_length_176722_cov_18.3094_ID_4060-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_20_length_176722_cov_18.3094_ID_4060-snap-gene-0.2&CDS=1-4119
24	OG0000024	YGR032W, YLR342W, YMR306W	genemark-NODE_14_length_266788_cov_18.0247_ID_4167-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_14_length_266788_cov_18.0247_ID_4167-processed-gene-0.20&CDS=1-7167, genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.10-mRNA-1_1&gene=genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.10&CDS=1-5568
25	OG0000025	YGR281W, YKR104W	augustus_masked-NODE_75_length_2751_cov_39.4863_ID_14919-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_75_length_2751_cov_39.4863_ID_14919-processed-gene-0.1&CDS=1-2724, genemark-NODE_107_length_1000_cov_35.3458_ID_14899-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_107_length_1000_cov_35.3458_ID_14899-processed-gene-0.1&CDS=1-582, genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.12-mRNA-1_1&gene=genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.12&CDS=1-4446
26	OG0000026	YGR287C, YIL172C, YJL221C, YOL157C	genemark-NODE_10_length_344192_cov_17.9972_ID_4796-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_10_length_344192_cov_17.9972_ID_4796-processed-gene-1.52&CDS=1-1779
27	OG0000027	YIL166C, YOL162W	genemark-NODE_14_length_266788_cov_18.0247_ID_4167-processed-gene-1.1-mRNA-1_1&gene=genemark-NODE_14_length_266788_cov_18.0247_ID_4167-processed-gene-1.1&CDS=1-1674, genemark-NODE_37_length_49052_cov_19.6207_ID_6762-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_37_length_49052_cov_19.6207_ID_6762-processed-gene-0.15&CDS=1-1659, genemark-NODE_55_length_8568_cov_20.4906_ID_8589-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_55_length_8568_cov_20.4906_ID_8589-processed-gene-0.3&CDS=1-1674
28	OG0000028	YLR155C, YLR157C, YLR158C, YLR160C	genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.29&CDS=1-1086
29	OG0000029	YOL151W	augustus_masked-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.22&CDS=1-1023, genemark-NODE_20_length_176722_cov_18.3094_ID_4060-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_20_length_176722_cov_18.3094_ID_4060-processed-gene-0.46&CDS=1-1029, genemark-NODE_46_length_23978_cov_40.5615_ID_13941-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_46_length_23978_cov_40.5615_ID_13941-processed-gene-0.6&CDS=1-1038, genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.61&CDS=1-630
30	OG0000030	YPL088W	genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.47&CDS=1-1014, genemark-NODE_30_length_72909_cov_19.772_ID_8197-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_30_length_72909_cov_19.772_ID_8197-processed-gene-0.96&CDS=1-1014, genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.38&CDS=1-1011, genemark-NODE_60_length_5449_cov_19.8514_ID_8901-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_60_length_5449_cov_19.8514_ID_8901-processed-gene-0.1&CDS=1-1020
31	OG0000031	Q0045, Q0065, Q0070	augustus_masked-NODE_101_length_1156_cov_0.84058_ID_10001-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_101_length_1156_cov_0.84058_ID_10001-processed-gene-0.2&CDS=1-1125, maker-NODE_45_length_27265_cov_848.006_ID_13825-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_45_length_27265_cov_848.006_ID_13825-snap-gene-0.1&CDS=1-486
32	OG0000032	YAL023C, YGR199W	augustus_masked-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-0.111&CDS=1-2133, genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-1.43&CDS=1-2253
33	OG0000033	YAL054C, YLR153C	genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-2.107-mRNA-1_1&gene=genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-2.107&CDS=1-2208, maker-NODE_23_length_150654_cov_17.9008_ID_3990-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_23_length_150654_cov_17.9008_ID_3990-augustus-gene-0.0&CDS=1-2934
34	OG0000034	YAR023C, YCR007C, YHL044W	augustus_masked-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.88&CDS=1-678
35	OG0000035	YBL002W, YDR224C	genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-0.29&CDS=1-396, genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.45&CDS=1-396
36	OG0000036	YBL003C, YDR225W	genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-0.9&CDS=1-393, genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.81&CDS=1-393
37	OG0000037	YBL011W, YKR067W	augustus_masked-NODE_12_length_282192_cov_18.97_ID_9233-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_12_length_282192_cov_18.97_ID_9233-processed-gene-1.137&CDS=1-2217, genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-1.16-mRNA-1_1&gene=genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-1.16&CDS=1-2214
38	OG0000038	YBL016W, YGR040W	genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_25_length_111172_cov_23.1056_ID_5719-processed-gene-0.1&CDS=1-1098, genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-0.26&CDS=1-1041
39	OG0000039	YBL052C, YOR244W	genemark-NODE_14_length_266788_cov_18.0247_ID_4167-processed-gene-1.5-mRNA-1_1&gene=genemark-NODE_14_length_266788_cov_18.0247_ID_4167-processed-gene-1.5&CDS=1-2451, genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-2.123-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-2.123&CDS=1-1332
40	OG0000040	YBL063W, YEL061C	genemark-NODE_13_length_271224_cov_18.1621_ID_4967-processed-gene-1.235-mRNA-1_1&gene=genemark-NODE_13_length_271224_cov_18.1621_ID_4967-processed-gene-1.235&CDS=1-3411, maker-NODE_3_length_705464_cov_18.5159_ID_3568-snap-gene-4.113-mRNA-1_1&gene=maker-NODE_3_length_705464_cov_18.5159_ID_3568-snap-gene-4.113&CDS=1-2877
41	OG0000041	YBR009C, YNL030W	genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.151-mRNA-1_1&gene=genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-2.151&CDS=1-309, genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-0.105&CDS=1-309
42	OG0000042	YBR015C, YCR030C	augustus_masked-NODE_10_length_344192_cov_17.9972_ID_4796-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_10_length_344192_cov_17.9972_ID_4796-processed-gene-0.86&CDS=1-4089, genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-0.101&CDS=1-1812
43	OG0000043	YBR025C, YHL014C	genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.36&CDS=1-1179, maker-NODE_14_length_266788_cov_18.0247_ID_4167-augustus-gene-0.85-mRNA-1_1&gene=maker-NODE_14_length_266788_cov_18.0247_ID_4167-augustus-gene-0.85&CDS=1-2142
44	OG0000044	YBR038W, YNL192W	genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_19_length_181514_cov_18.2001_ID_3407-processed-gene-0.37&CDS=1-2871, genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-1.18-mRNA-1_1&gene=genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-1.18&CDS=1-4635
45	OG0000045	YBR059C, YNL020C	augustus_masked-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-6.91&CDS=1-3330, genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-3.96-mRNA-1_1&gene=genemark-NODE_6_length_500760_cov_17.8614_ID_5473-processed-gene-3.96&CDS=1-2040
46	OG0000046	YBR139W, YMR297W	genemark-NODE_17_length_215592_cov_17.9152_ID_3339-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_17_length_215592_cov_17.9152_ID_3339-processed-gene-1.51&CDS=1-1479, genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.5-mRNA-1_1&gene=genemark-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-6.5&CDS=1-1602
47	OG0000047	YBR245C, YOR304W	augustus_masked-NODE_12_length_282192_cov_18.97_ID_9233-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_12_length_282192_cov_18.97_ID_9233-processed-gene-1.118&CDS=1-3183, genemark-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-2.79-mRNA-1_1&gene=genemark-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-2.79&CDS=1-3201
48	OG0000048	YBR248C, YDR035W	augustus_masked-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-2.297-mRNA-1_1&gene=augustus_masked-NODE_9_length_376274_cov_18.1217_ID_6834-processed-gene-2.297&CDS=1-2688, genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-6.15-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-6.15&CDS=1-1116
49	OG0000049	YBR263W, YLR058C	genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-1.110&CDS=1-1407, genemark-NODE_7_length_402487_cov_18.3106_ID_7148-processed-gene-1.123-mRNA-1_1&gene=genemark-NODE_7_length_402487_cov_18.3106_ID_7148-processed-gene-1.123&CDS=1-1521
50	OG0000050	YCL025C, YKR039W	augustus_masked-NODE_13_length_271224_cov_18.1621_ID_4967-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_13_length_271224_cov_18.1621_ID_4967-processed-gene-1.48&CDS=1-1806, genemark-NODE_28_length_89861_cov_18.1069_ID_5605-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_28_length_89861_cov_18.1069_ID_5605-processed-gene-0.96&CDS=1-1953
51	OG0000051	YCL067C, YCR039C, YCR096C	maker-NODE_87_length_1955_cov_30.4858_ID_9592-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_87_length_1955_cov_30.4858_ID_9592-augustus-gene-0.2&CDS=1-519
52	OG0000052	YCR037C, YNR013C	genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-0.87&CDS=1-2586, genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-10.115-mRNA-1_1&gene=genemark-NODE_1_length_1100707_cov_17.8797_ID_2461-processed-gene-10.115&CDS=1-2709
53	OG0000053	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-0.14&CDS=1-1110
