	OrthologID	Lodderomyces_elongisporus	Saccharomyces_cerevisiae
10	OG0000010	maker-NW_001813676.1-snap-gene-3.150-mRNA-1_1&gene=maker-NW_001813676.1-snap-gene-3.150&CDS=1-5130, maker-NW_001813677.1-snap-gene-3.109-mRNA-1_1&gene=maker-NW_001813677.1-snap-gene-3.109&CDS=1-3417, maker-NW_001813682.1-snap-gene-15.2-mRNA-1_1&gene=maker-NW_001813682.1-snap-gene-15.2&CDS=1-3567, maker-NW_001813685.1-snap-gene-13.87-mRNA-1_1&gene=maker-NW_001813685.1-snap-gene-13.87&CDS=1-3474	YBR008C, YLL028W
11	OG0000011	augustus_masked-NW_001813683.1-processed-gene-19.4-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-19.4&CDS=1-957, augustus_masked-NW_001813685.1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NW_001813685.1-processed-gene-1.23&CDS=1-1860, snap_masked-NW_001813677.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-0.92&CDS=1-969, snap_masked-NW_001813685.1-processed-gene-10.65-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-10.65&CDS=1-993	YKL128C, YOR340C
12	OG0000012	snap_masked-NW_001813677.1-processed-gene-4.76-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-4.76&CDS=1-177, snap_masked-NW_001813677.1-processed-gene-4.77-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-4.77&CDS=1-177, snap_masked-NW_001813677.1-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-4.79&CDS=1-177, snap_masked-NW_001813677.1-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-4.82&CDS=1-177, snap_masked-NW_001813677.1-processed-gene-4.84-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-4.84&CDS=1-177	YLR154W-E
13	OG0000013	maker-NW_001813685.1-snap-gene-17.109-mRNA-1_1&gene=maker-NW_001813685.1-snap-gene-17.109&CDS=1-9879, snap_masked-NW_001813678.1-processed-gene-2.31-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.31&CDS=1-4590, snap_masked-NW_001813682.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-1.10&CDS=1-4725, snap_masked-NW_001813684.1-processed-gene-24.74-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-24.74&CDS=1-4590	YDR135C, YLL015W
14	OG0000014	augustus_masked-NW_001813683.1-processed-gene-12.0-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-12.0&CDS=1-3279, augustus_masked-NW_001813683.1-processed-gene-17.97-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-17.97&CDS=1-2799, maker-NW_001813681.1-augustus-gene-4.2-mRNA-1_1&gene=maker-NW_001813681.1-augustus-gene-4.2&CDS=1-8328, maker-NW_001813683.1-snap-gene-12.91-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-12.91&CDS=1-6207, snap_masked-NW_001813678.1-processed-gene-4.104-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.104&CDS=1-3381	YLR256W
15	OG0000015	snap_masked-NW_001813678.1-processed-gene-4.109-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.109&CDS=1-3021, snap_masked-NW_001813682.1-processed-gene-11.73-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-11.73&CDS=1-2943	YFR040W, YGL229C, YJL098W, YKR028W
16	OG0000016	augustus_masked-NW_001813680.1-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-9.3&CDS=1-1065, augustus_masked-NW_001813680.1-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-9.4&CDS=1-1044, snap_masked-NW_001813683.1-processed-gene-5.53-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-5.53&CDS=1-2469	YMR316W, YNL165W, YOR385W
17	OG0000017	genemark-NW_001813680.1-processed-gene-9.42-mRNA-1_1&gene=genemark-NW_001813680.1-processed-gene-9.42&CDS=1-2616, snap_masked-NW_001813683.1-processed-gene-8.50-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-8.50&CDS=1-2814, snap_masked-NW_001813685.1-processed-gene-11.34-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-11.34&CDS=1-2616	YLL005C, YMR266W, YOL084W
18	OG0000018	augustus_masked-NW_001813685.1-processed-gene-11.10-mRNA-1_1&gene=augustus_masked-NW_001813685.1-processed-gene-11.10&CDS=1-1851, snap_masked-NW_001813681.1-processed-gene-3.86-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-3.86&CDS=1-2142	YCL069W, YGR224W, YKR105C, YPR198W
19	OG0000019	snap_masked-NW_001813683.1-processed-gene-10.81-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-10.81&CDS=1-3264, snap_masked-NW_001813684.1-processed-gene-19.57-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-19.57&CDS=1-2808, snap_masked-NW_001813685.1-processed-gene-28.1-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-28.1&CDS=1-3081	YBR245C, YFR038W, YOR304W
20	OG0000020	maker-NW_001813685.1-augustus-gene-5.42-mRNA-1_1&gene=maker-NW_001813685.1-augustus-gene-5.42&CDS=1-1656, snap_masked-NW_001813683.1-processed-gene-18.55-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-18.55&CDS=1-2982, snap_masked-NW_001813685.1-processed-gene-24.45-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-24.45&CDS=1-1791	YBR237W, YDR243C, YNL112W
21	OG0000021	snap_masked-NW_001813685.1-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-3.105&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
22	OG0000022	augustus_masked-NW_001813681.1-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-NW_001813681.1-processed-gene-8.32&CDS=1-1578, snap_masked-NW_001813676.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NW_001813676.1-processed-gene-1.54&CDS=1-1569, snap_masked-NW_001813680.1-processed-gene-10.68-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-10.68&CDS=1-1608, snap_masked-NW_001813685.1-processed-gene-4.29-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-4.29&CDS=1-1569	YJR152W
23	OG0000023	snap_masked-NW_001813677.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-1.62&CDS=1-1743, snap_masked-NW_001813677.1-processed-gene-1.63-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-1.63&CDS=1-1713, snap_masked-NW_001813679.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.58&CDS=1-1734	YCL025C, YDR508C
24	OG0000024	snap_masked-NW_001813677.1-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-3.39&CDS=1-1893, snap_masked-NW_001813683.1-processed-gene-19.56-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-19.56&CDS=1-2637, snap_masked-NW_001813685.1-processed-gene-10.64-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-10.64&CDS=1-2217	YMR008C, YOL011W
25	OG0000025	augustus_masked-NW_001813678.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-0.6&CDS=1-3279, snap_masked-NW_001813677.1-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-3.60&CDS=1-3078, snap_masked-NW_001813684.1-processed-gene-23.36-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-23.36&CDS=1-3438	YBR038W, YNL192W
26	OG0000026	augustus_masked-NW_001813678.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-0.31&CDS=1-2274, genemark-NW_001813683.1-processed-gene-12.48-mRNA-1_1&gene=genemark-NW_001813683.1-processed-gene-12.48&CDS=1-2256, maker-NW_001813684.1-snap-gene-20.2-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-20.2&CDS=1-4332, snap_masked-NW_001813678.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.68&CDS=1-2238	YER015W
27	OG0000027	snap_masked-NW_001813678.1-processed-gene-3.93-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.93&CDS=1-3588, snap_masked-NW_001813683.1-processed-gene-6.39-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-6.39&CDS=1-2970	YIL002C, YNL106C, YOR109W
28	OG0000028	snap_masked-NW_001813679.1-processed-gene-3.40-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.40&CDS=1-1218, snap_masked-NW_001813679.1-processed-gene-3.52-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.52&CDS=1-1224, snap_masked-NW_001813685.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-0.67&CDS=1-1254	YHR179W, YPL171C
29	OG0000029	augustus_masked-NW_001813685.1-processed-gene-17.75-mRNA-1_1&gene=augustus_masked-NW_001813685.1-processed-gene-17.75&CDS=1-4812, snap_masked-NW_001813679.1-processed-gene-4.59-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.59&CDS=1-1623, snap_masked-NW_001813684.1-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-6.67&CDS=1-1599	YAR019C, YDR523C
30	OG0000030	snap_masked-NW_001813679.1-processed-gene-6.52-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.52&CDS=1-1029	YDR541C, YGL039W, YGL157W, YOL151W
31	OG0000031	maker-NW_001813680.1-snap-gene-5.94-mRNA-1_1&gene=maker-NW_001813680.1-snap-gene-5.94&CDS=1-4326, snap_masked-NW_001813682.1-processed-gene-11.98-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-11.98&CDS=1-4011	YDR216W, YJR127C, YML081W
32	OG0000032	augustus_masked-NW_001813685.1-processed-gene-25.27-mRNA-1_1&gene=augustus_masked-NW_001813685.1-processed-gene-25.27&CDS=1-2379, augustus_masked-NW_001813685.1-processed-gene-25.28-mRNA-1_1&gene=augustus_masked-NW_001813685.1-processed-gene-25.28&CDS=1-2274, augustus_masked-NW_001813685.1-processed-gene-25.29-mRNA-1_1&gene=augustus_masked-NW_001813685.1-processed-gene-25.29&CDS=1-2214, maker-NW_001813683.1-snap-gene-5.117-mRNA-1_1&gene=maker-NW_001813683.1-snap-gene-5.117&CDS=1-4467, snap_masked-NW_001813680.1-processed-gene-6.8-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-6.8&CDS=1-2139	
33	OG0000033	augustus_masked-NW_001813681.1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NW_001813681.1-processed-gene-6.35&CDS=1-1227, augustus_masked-NW_001813681.1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-NW_001813681.1-processed-gene-7.18&CDS=1-1230, snap_masked-NW_001813681.1-processed-gene-7.72-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-7.72&CDS=1-1287, snap_masked-NW_001813685.1-processed-gene-31.90-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-31.90&CDS=1-1170	YGR263C
34	OG0000034	snap_masked-NW_001813681.1-processed-gene-6.87-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-6.87&CDS=1-4245, snap_masked-NW_001813685.1-processed-gene-10.50-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-10.50&CDS=1-2964	YHL007C, YNL298W, YOL113W
35	OG0000035	snap_masked-NW_001813681.1-processed-gene-11.29-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-11.29&CDS=1-4875, snap_masked-NW_001813685.1-processed-gene-24.35-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-24.35&CDS=1-4164	YCL024W, YDR507C, YKL101W
36	OG0000036	snap_masked-NW_001813682.1-processed-gene-12.101-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-12.101&CDS=1-4776	YBL017C, YIL173W, YJL222W, YNR065C
37	OG0000037	snap_masked-NW_001813682.1-processed-gene-15.37-mRNA-1_1&gene=snap_masked-NW_001813682.1-processed-gene-15.37&CDS=1-1827	YBR297W, YFL052W, YGR288W, YPR196W
38	OG0000038	maker-NW_001813683.1-augustus-gene-4.0-mRNA-1_1&gene=maker-NW_001813683.1-augustus-gene-4.0&CDS=1-3363, snap_masked-NW_001813684.1-processed-gene-17.44-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-17.44&CDS=1-3270, snap_masked-NW_001813685.1-processed-gene-17.16-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-17.16&CDS=1-3318	YJL089W, YMR280C
39	OG0000039	snap_masked-NW_001813684.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-0.45&CDS=1-4143, snap_masked-NW_001813685.1-processed-gene-12.69-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-12.69&CDS=1-4302	YML072C, YNL087W, YOR086C
40	OG0000040	snap_masked-NW_001813684.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-1.36&CDS=1-1752	YBR298C, YDL247W, YGR289C, YJR160C
41	OG0000041	snap_masked-NW_001813684.1-processed-gene-6.43-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-6.43&CDS=1-2037, snap_masked-NW_001813685.1-processed-gene-28.28-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-28.28&CDS=1-2583	YFR022W, YGR068C, YOR018W
42	OG0000042	maker-NW_001813684.1-snap-gene-9.94-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-9.94&CDS=1-2904, snap_masked-NW_001813684.1-processed-gene-8.64-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.64&CDS=1-2739	YCR037C, YJL198W, YNR013C
43	OG0000043	maker-NW_001813684.1-snap-gene-18.82-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-18.82&CDS=1-2058	YDR533C, YMR322C, YOR391C, YPL280W
44	OG0000044	genemark-NW_001813685.1-processed-gene-19.6-mRNA-1_1&gene=genemark-NW_001813685.1-processed-gene-19.6&CDS=1-504, maker-NW_001813685.1-snap-gene-21.103-mRNA-1_1&gene=maker-NW_001813685.1-snap-gene-21.103&CDS=1-1626, snap_masked-NW_001813685.1-processed-gene-21.44-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-21.44&CDS=1-1200	YJL079C, YKR013W
45	OG0000045	snap_masked-NW_001813686.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NW_001813686.1-processed-gene-0.11&CDS=1-315	Q0105, Q0110, Q0115, Q0120
46	OG0000046		YBR067C, YDR542W, YER011W, YIL011W, YOR010C
47	OG0000047		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
48	OG0000048	augustus_masked-NW_001813675.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NW_001813675.1-processed-gene-1.64&CDS=1-6048, snap_masked-NW_001813681.1-processed-gene-8.91-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-8.91&CDS=1-5808	YER172C, YGR271W
49	OG0000049	augustus_masked-NW_001813675.1-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NW_001813675.1-processed-gene-2.115&CDS=1-1581, genemark-NW_001813680.1-processed-gene-7.24-mRNA-1_1&gene=genemark-NW_001813680.1-processed-gene-7.24&CDS=1-1503, snap_masked-NW_001813683.1-processed-gene-18.67-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-18.67&CDS=1-1593	YKL217W
50	OG0000050	augustus_masked-NW_001813680.1-processed-gene-10.17-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-10.17&CDS=1-1521, snap_masked-NW_001813675.1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NW_001813675.1-processed-gene-3.98&CDS=1-1881	YDL091C, YML013W
51	OG0000051	maker-NW_001813676.1-snap-gene-0.108-mRNA-1_1&gene=maker-NW_001813676.1-snap-gene-0.108&CDS=1-2049, snap_masked-NW_001813683.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-0.20&CDS=1-2208	YDR389W, YOR134W
52	OG0000052	snap_masked-NW_001813676.1-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NW_001813676.1-processed-gene-1.59&CDS=1-1032, snap_masked-NW_001813676.1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NW_001813676.1-processed-gene-1.60&CDS=1-1500	YCL036W, YDR514C
53	OG0000053	snap_masked-NW_001813676.1-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NW_001813676.1-processed-gene-3.85&CDS=1-1230, snap_masked-NW_001813684.1-processed-gene-11.31-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.31&CDS=1-1188	YBR025C, YHL014C
54	OG0000054	augustus_masked-NW_001813677.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NW_001813677.1-processed-gene-0.5&CDS=1-984, snap_masked-NW_001813685.1-processed-gene-25.71-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-25.71&CDS=1-984	YIL035C, YOR061W
55	OG0000055	augustus_masked-NW_001813677.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NW_001813677.1-processed-gene-0.37&CDS=1-1509	YDL246C, YJR159W, YLR070C
56	OG0000056	augustus_masked-NW_001813683.1-processed-gene-17.110-mRNA-1_1&gene=augustus_masked-NW_001813683.1-processed-gene-17.110&CDS=1-1542, snap_masked-NW_001813677.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-1.49&CDS=1-2058	YDR398W, YHR196W
57	OG0000057	augustus_masked-NW_001813684.1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-6.39&CDS=1-762, snap_masked-NW_001813677.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-2.76&CDS=1-1233	YGL044C, YGR156W
58	OG0000058	snap_masked-NW_001813677.1-processed-gene-4.86-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-4.86&CDS=1-885, snap_masked-NW_001813683.1-processed-gene-19.66-mRNA-1_1&gene=snap_masked-NW_001813683.1-processed-gene-19.66&CDS=1-885	YDR368W, YOR120W
59	OG0000059	snap_masked-NW_001813677.1-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NW_001813677.1-processed-gene-4.113&CDS=1-2955, snap_masked-NW_001813685.1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-1.45&CDS=1-2004	YHR031C, YML061C
60	OG0000060	snap_masked-NW_001813678.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.13&CDS=1-2847, snap_masked-NW_001813681.1-processed-gene-9.111-mRNA-1_1&gene=snap_masked-NW_001813681.1-processed-gene-9.111&CDS=1-3123	YGR240C, YMR205C
61	OG0000061	maker-NW_001813682.1-augustus-gene-9.72-mRNA-1_1&gene=maker-NW_001813682.1-augustus-gene-9.72&CDS=1-477, snap_masked-NW_001813678.1-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.38&CDS=1-375	YDR519W, YNL135C
62	OG0000062	snap_masked-NW_001813678.1-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.79&CDS=1-1458, snap_masked-NW_001813679.1-processed-gene-8.57-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.57&CDS=1-1410	YBR263W, YLR058C
63	OG0000063	maker-NW_001813679.1-snap-gene-0.98-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-0.98&CDS=1-1548, snap_masked-NW_001813685.1-processed-gene-32.44-mRNA-1_1&gene=snap_masked-NW_001813685.1-processed-gene-32.44&CDS=1-1779	YGL003C, YGL116W
64	OG0000064	maker-NW_001813685.1-snap-gene-10.6-mRNA-1_1&gene=maker-NW_001813685.1-snap-gene-10.6&CDS=1-1341, snap_masked-NW_001813679.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.53&CDS=1-1776	YJL193W, YOR307C
65	OG0000065	augustus_masked-NW_001813680.1-processed-gene-11.121-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-11.121&CDS=1-8871, snap_masked-NW_001813679.1-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.63&CDS=1-8187	YLR454W, YPR117W
66	OG0000066	snap_masked-NW_001813679.1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.79&CDS=1-1110, snap_masked-NW_001813679.1-processed-gene-8.30-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.30&CDS=1-1110	YCR105W, YMR318C
