	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034612_Saturnispora_saitoi
10	OG0000010	YAL026C, YGL257C, YNR059W	augustus_masked-flattened_line_14-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.35&CDS=1-5826, augustus_masked-flattened_line_33-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.138&CDS=1-2691, augustus_masked-flattened_line_4-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.155&CDS=1-1677
11	OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
12	OG0000012	YCL037C, YDL051W, YDR515W	augustus_masked-flattened_line_12-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.74&CDS=1-702, augustus_masked-flattened_line_2-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.139&CDS=1-1329, augustus_masked-flattened_line_47-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.69&CDS=1-975
13	OG0000013	YER013W, YGL120C, YKR086W	augustus_masked-flattened_line_0-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.26&CDS=1-2259, maker-flattened_line_8-augustus-gene-1.113-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.113&CDS=1-4167, snap_masked-flattened_line_25-processed-gene-1.40-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.40&CDS=1-2625
14	OG0000014	YFL010C	augustus_masked-flattened_line_23-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.73&CDS=1-477, augustus_masked-flattened_line_33-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.117&CDS=1-561, augustus_masked-flattened_line_37-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.117&CDS=1-426, snap_masked-flattened_line_23-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.37&CDS=1-675, snap_masked-flattened_line_65-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.1&CDS=1-315
15	OG0000015	YGR212W, YML096W	augustus_masked-flattened_line_39-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.19&CDS=1-1320, maker-flattened_line_8-snap-gene-1.110-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.110&CDS=1-3015, snap_masked-flattened_line_2-processed-gene-3.36-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.36&CDS=1-1272, snap_masked-flattened_line_2-processed-gene-3.37-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.37&CDS=1-1407
16	OG0000016	YLR212C, YOL119C, YOR306C	augustus_masked-flattened_line_2-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.1&CDS=1-1593, augustus_masked-flattened_line_27-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.31&CDS=1-1587, augustus_masked-flattened_line_6-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.99&CDS=1-5028
17	OG0000017	YLR256W	augustus_masked-flattened_line_12-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.64&CDS=1-4116, augustus_masked-flattened_line_25-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.159&CDS=1-3279, augustus_masked-flattened_line_4-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.172&CDS=1-3087, genemark-flattened_line_29-processed-gene-0.171-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.171&CDS=1-2754, maker-flattened_line_4-snap-gene-7.7-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-7.7&CDS=1-3009
18	OG0000018	YMR116C, YOL087C, YPR178W	augustus_masked-flattened_line_43-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.136&CDS=1-1092, maker-flattened_line_16-augustus-gene-3.2-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-3.2&CDS=1-939, snap_masked-flattened_line_23-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.116&CDS=1-2898
19	OG0000019	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_59-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_59-snap-gene-0.55&CDS=1-396, maker-flattened_line_59-snap-gene-0.63-mRNA-1_1&gene=maker-flattened_line_59-snap-gene-0.63&CDS=1-690
20	OG0000020	YBL016W, YFL029C	augustus_masked-flattened_line_0-processed-gene-5.151-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.151&CDS=1-969, augustus_masked-flattened_line_12-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.59&CDS=1-1044, augustus_masked-flattened_line_49-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.126&CDS=1-1053
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_0-processed-gene-9.178-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.178&CDS=1-5580
22	OG0000022	YBL056W, YBR125C, YER089C	augustus_masked-flattened_line_22-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.130&CDS=1-1275, augustus_masked-flattened_line_31-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.42&CDS=1-1086
23	OG0000023	YBR015C	augustus_masked-flattened_line_16-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.30&CDS=1-1821, augustus_masked-flattened_line_16-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.112&CDS=1-1854, augustus_masked-flattened_line_22-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.118&CDS=1-2157, maker-flattened_line_8-snap-gene-4.172-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.172&CDS=1-2310
24	OG0000024	YBR182C, YMR042W, YPL089C	augustus_masked-flattened_line_14-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.52&CDS=1-1719, augustus_masked-flattened_line_6-processed-gene-4.176-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.176&CDS=1-651
25	OG0000025	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_2-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.103&CDS=1-3507, augustus_masked-flattened_line_20-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.20&CDS=1-2844
26	OG0000026	YCR010C, YNR002C	augustus_masked-flattened_line_0-processed-gene-8.140-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.140&CDS=1-807, augustus_masked-flattened_line_12-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.74&CDS=1-753, augustus_masked-flattened_line_22-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.49&CDS=1-822
27	OG0000027	YCR105W, YMR318C	augustus_masked-flattened_line_23-processed-gene-1.308-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.308&CDS=1-1080, augustus_masked-flattened_line_6-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.13&CDS=1-1086, augustus_masked-flattened_line_6-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.45&CDS=1-1080
28	OG0000028	YDL138W, YDL194W	augustus_masked-flattened_line_0-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.72&CDS=1-1641, augustus_masked-flattened_line_2-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.2&CDS=1-1644, snap_masked-flattened_line_8-processed-gene-2.104-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.104&CDS=1-1941
29	OG0000029	YDL159W, YOR231W, YPL140C	augustus_masked-flattened_line_10-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.19&CDS=1-1158, augustus_masked-flattened_line_2-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.112&CDS=1-1518
30	OG0000030	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_14-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.20&CDS=1-2076, maker-flattened_line_63-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_63-snap-gene-0.4&CDS=1-2220
31	OG0000031	YDR178W, YLR164W, YOR297C	augustus_masked-flattened_line_0-processed-gene-9.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.45&CDS=1-507, augustus_masked-flattened_line_6-processed-gene-4.165-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.165&CDS=1-474
32	OG0000032	YDR313C, YGL023C	augustus_masked-flattened_line_31-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.57&CDS=1-1116, augustus_masked-flattened_line_35-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.131&CDS=1-1353, genemark-flattened_line_2-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.73&CDS=1-924
33	OG0000033	YER133W, YML016C	augustus_masked-flattened_line_0-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.86&CDS=1-957, augustus_masked-flattened_line_0-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.146&CDS=1-1815, augustus_masked-flattened_line_4-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.41&CDS=1-1614
34	OG0000034	YIL002C, YNL106C, YOR109W	augustus_masked-flattened_line_0-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.87&CDS=1-4143, augustus_masked-flattened_line_4-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.55&CDS=1-3105
35	OG0000035	YJL116C, YKR042W, YNL066W	augustus_masked-flattened_line_2-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.58&CDS=1-1236, augustus_masked-flattened_line_20-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.136&CDS=1-1086
36	OG0000036	YJL172W, YOL153C	augustus_masked-flattened_line_14-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.25&CDS=1-2178, augustus_masked-flattened_line_2-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.142&CDS=1-1686, augustus_masked-flattened_line_8-processed-gene-4.260-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.260&CDS=1-1734
37	OG0000037	YJR061W, YKL201C	augustus_masked-flattened_line_16-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.86&CDS=1-2406, augustus_masked-flattened_line_57-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.35&CDS=1-3315, snap_masked-flattened_line_2-processed-gene-6.167-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.167&CDS=1-2376
38	OG0000038	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
39	OG0000039	YKR039W	augustus_masked-flattened_line_20-processed-gene-2.276-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.276&CDS=1-1767, augustus_masked-flattened_line_4-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.20&CDS=1-1827, augustus_masked-flattened_line_4-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.21&CDS=1-2310, genemark-flattened_line_14-processed-gene-1.127-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.127&CDS=1-1776
40	OG0000040	YMR303C, YOL086C	augustus_masked-flattened_line_20-processed-gene-2.249-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.249&CDS=1-1044, augustus_masked-flattened_line_4-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.159&CDS=1-1110, augustus_masked-flattened_line_49-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.156&CDS=1-1122
41	OG0000041	YAL005C, YLL024C	maker-flattened_line_16-snap-gene-2.51-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-2.51&CDS=1-4575, maker-flattened_line_4-snap-gene-2.100-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.100&CDS=1-3009
42	OG0000042	YAR035W, YER024W	augustus_masked-flattened_line_18-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.104&CDS=1-2100, augustus_masked-flattened_line_8-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.137&CDS=1-2205
43	OG0000043	YBR002C, YMR101C	augustus_masked-flattened_line_23-processed-gene-1.285-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.285&CDS=1-909, augustus_masked-flattened_line_6-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.33&CDS=1-714
44	OG0000044	YBR021W, YIR028W	augustus_masked-flattened_line_16-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.95&CDS=1-1746, augustus_masked-flattened_line_2-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.139&CDS=1-1797
45	OG0000045	YBR067C, YIL011W, YOR010C	augustus_masked-flattened_line_23-processed-gene-1.286-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.286&CDS=1-588
46	OG0000046	YBR089C-A, YDL002C, YPR052C	augustus_masked-flattened_line_2-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.18&CDS=1-993
47	OG0000047	YBR114W, YOR191W	augustus_masked-flattened_line_25-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.76&CDS=1-3126, augustus_masked-flattened_line_6-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.112&CDS=1-2412
48	OG0000048	YBR118W, YPR080W	augustus_masked-flattened_line_22-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.35&CDS=1-1377, augustus_masked-flattened_line_22-processed-gene-2.233-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.233&CDS=1-1377
49	OG0000049	YBR238C, YGL107C	augustus_masked-flattened_line_23-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.220&CDS=1-4083, maker-flattened_line_12-snap-gene-2.4-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.4&CDS=1-3756
50	OG0000050	YBR239C, YJL103C	maker-flattened_line_25-snap-gene-0.54-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-0.54&CDS=1-1596, snap_masked-flattened_line_23-processed-gene-1.197-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.197&CDS=1-1434
51	OG0000051	YBR263W, YLR058C	augustus_masked-flattened_line_14-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.79&CDS=1-1410, augustus_masked-flattened_line_2-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.132&CDS=1-1476
52	OG0000052	YCR008W, YLR076C	augustus_masked-flattened_line_47-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.67&CDS=1-1857, snap_masked-flattened_line_4-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.137&CDS=1-3267
53	OG0000053	YCR034W, YLR372W	augustus_masked-flattened_line_2-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.145&CDS=1-1026, snap_masked-flattened_line_6-processed-gene-4.17-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.17&CDS=1-891
54	OG0000054	YCR065W, YIL131C	augustus_masked-flattened_line_14-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.32&CDS=1-1923, augustus_masked-flattened_line_8-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.81&CDS=1-1710
55	OG0000055	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_4-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.26&CDS=1-1095
