	OrthologID	Metschnikowia_dekortum	Saccharomyces_cerevisiae
10	OG0000010	genemark-dek_s26-processed-gene-1.29-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.29&CDS=1-1785, genemark-dek_s53-processed-gene-0.56-mRNA-1_1&gene=genemark-dek_s53-processed-gene-0.56&CDS=1-1731, genemark-dek_s9-processed-gene-7.65-mRNA-1_1&gene=genemark-dek_s9-processed-gene-7.65&CDS=1-1782	YCL069W, YGR224W, YKR105C, YPR198W
11	OG0000011	augustus_masked-dek_s86-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-dek_s86-processed-gene-1.41&CDS=1-702, augustus_masked-dek_s89-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-dek_s89-processed-gene-0.0&CDS=1-5451, snap_masked-dek_C14959-processed-gene-0.1-mRNA-1_1&gene=snap_masked-dek_C14959-processed-gene-0.1&CDS=1-909, snap_masked-dek_s151-processed-gene-0.15-mRNA-1_1&gene=snap_masked-dek_s151-processed-gene-0.15&CDS=1-807, snap_masked-dek_s26-processed-gene-11.49-mRNA-1_1&gene=snap_masked-dek_s26-processed-gene-11.49&CDS=1-348, snap_masked-dek_s38-processed-gene-0.34-mRNA-1_1&gene=snap_masked-dek_s38-processed-gene-0.34&CDS=1-645	
12	OG0000012	augustus_masked-dek_s1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-dek_s1-processed-gene-0.92&CDS=1-822, augustus_masked-dek_s120-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-dek_s120-processed-gene-0.51&CDS=1-666, augustus_masked-dek_s137-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-0.9&CDS=1-372, genemark-dek_s120-processed-gene-0.22-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.22&CDS=1-1275, genemark-dek_s3-processed-gene-5.3-mRNA-1_1&gene=genemark-dek_s3-processed-gene-5.3&CDS=1-1341, genemark-dek_s96-processed-gene-2.108-mRNA-1_1&gene=genemark-dek_s96-processed-gene-2.108&CDS=1-1275	
13	OG0000013	genemark-dek_s12-processed-gene-1.90-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.90&CDS=1-2271, genemark-dek_s26-processed-gene-1.18-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.18&CDS=1-2220, genemark-dek_s54-processed-gene-1.8-mRNA-1_1&gene=genemark-dek_s54-processed-gene-1.8&CDS=1-2622, genemark-dek_s9-processed-gene-8.93-mRNA-1_1&gene=genemark-dek_s9-processed-gene-8.93&CDS=1-2229	YJR061W, YKL201C
14	OG0000014	genemark-dek_s3-processed-gene-3.15-mRNA-1_1&gene=genemark-dek_s3-processed-gene-3.15&CDS=1-1719, genemark-dek_s35-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s35-processed-gene-0.36&CDS=1-1665	YDR342C, YDR343C, YDR345C, YHR092C
15	OG0000015	genemark-dek_s3-processed-gene-4.50-mRNA-1_1&gene=genemark-dek_s3-processed-gene-4.50&CDS=1-1086	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
16	OG0000016	genemark-dek_s61-processed-gene-2.18-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.18&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
17	OG0000017	genemark-dek_s96-processed-gene-2.153-mRNA-1_1&gene=genemark-dek_s96-processed-gene-2.153&CDS=1-453	YBR067C, YDR542W, YER011W, YIL011W, YOR010C
18	OG0000018		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
19	OG0000019	maker-dek_s120-augustus-gene-0.49-mRNA-1_1&gene=maker-dek_s120-augustus-gene-0.49&CDS=1-615, maker-dek_s26-augustus-gene-7.5-mRNA-1_1&gene=maker-dek_s26-augustus-gene-7.5&CDS=1-1170	YEL066W, YOR283W, YPR193C
20	OG0000020	augustus_masked-dek_s22-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-dek_s22-processed-gene-1.28&CDS=1-2067, genemark-dek_s2-processed-gene-1.69-mRNA-1_1&gene=genemark-dek_s2-processed-gene-1.69&CDS=1-2658, snap_masked-dek_s25-processed-gene-1.22-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-1.22&CDS=1-246	YGR067C, YMR182C
21	OG0000021	maker-dek_s26-snap-gene-7.56-mRNA-1_1&gene=maker-dek_s26-snap-gene-7.56&CDS=1-1488	YBR297W, YFL052W, YGR288W, YPR196W
22	OG0000022	genemark-dek_s53-processed-gene-2.57-mRNA-1_1&gene=genemark-dek_s53-processed-gene-2.57&CDS=1-4521	YBL017C, YIL173W, YJL222W, YNR065C
23	OG0000023	genemark-dek_s96-processed-gene-1.24-mRNA-1_1&gene=genemark-dek_s96-processed-gene-1.24&CDS=1-1107, snap_masked-dek_s61-processed-gene-0.61-mRNA-1_1&gene=snap_masked-dek_s61-processed-gene-0.61&CDS=1-1584	YER045C, YIL036W, YNL167C
24	OG0000024	maker-dek_s92-snap-gene-0.5-mRNA-1_1&gene=maker-dek_s92-snap-gene-0.5&CDS=1-186	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
25	OG0000025	genemark-dek_s10-processed-gene-2.110-mRNA-1_1&gene=genemark-dek_s10-processed-gene-2.110&CDS=1-993	YLL062C, YMR321C, YPL273W
26	OG0000026	genemark-dek_s10-processed-gene-6.78-mRNA-1_1&gene=genemark-dek_s10-processed-gene-6.78&CDS=1-1536	YER056C, YER060W, YER060W-A
27	OG0000027	genemark-dek_s86-processed-gene-1.126-mRNA-1_1&gene=genemark-dek_s86-processed-gene-1.126&CDS=1-501, maker-dek_s25-snap-gene-4.53-mRNA-1_1&gene=maker-dek_s25-snap-gene-4.53&CDS=1-1041, snap_masked-dek_s10-processed-gene-6.42-mRNA-1_1&gene=snap_masked-dek_s10-processed-gene-6.42&CDS=1-645	YLR435W
28	OG0000028	genemark-dek_s10-processed-gene-7.68-mRNA-1_1&gene=genemark-dek_s10-processed-gene-7.68&CDS=1-1287, genemark-dek_s134-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s134-processed-gene-0.1&CDS=1-1278, snap_masked-dek_s12-processed-gene-0.106-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-0.106&CDS=1-1974	YOR049C
29	OG0000029	genemark-dek_s105-processed-gene-0.10-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.10&CDS=1-564, genemark-dek_s138-processed-gene-0.18-mRNA-1_1&gene=genemark-dek_s138-processed-gene-0.18&CDS=1-564	YBR118W, YPR080W
30	OG0000030	genemark-dek_s109-processed-gene-0.30-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.30&CDS=1-2001, genemark-dek_s12-processed-gene-1.104-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.104&CDS=1-2355	YLR098C, YOR337W
31	OG0000031	genemark-dek_s12-processed-gene-0.65-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.65&CDS=1-408, genemark-dek_s53-processed-gene-0.61-mRNA-1_1&gene=genemark-dek_s53-processed-gene-0.61&CDS=1-408	YBR010W, YNL031C
32	OG0000032	genemark-dek_s12-processed-gene-0.41-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.41&CDS=1-309, genemark-dek_s53-processed-gene-0.40-mRNA-1_1&gene=genemark-dek_s53-processed-gene-0.40&CDS=1-309	YBR009C, YNL030W
33	OG0000033	augustus_masked-dek_s35-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-dek_s35-processed-gene-0.26&CDS=1-573, snap_masked-dek_s13-processed-gene-0.81-mRNA-1_1&gene=snap_masked-dek_s13-processed-gene-0.81&CDS=1-300, snap_masked-dek_s52-processed-gene-0.51-mRNA-1_1&gene=snap_masked-dek_s52-processed-gene-0.51&CDS=1-432	YCL074W
34	OG0000034	genemark-dek_s17-processed-gene-0.38-mRNA-1_1&gene=genemark-dek_s17-processed-gene-0.38&CDS=1-774, snap_masked-dek_s137-processed-gene-5.55-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.55&CDS=1-771	YHL033C, YLL045C
35	OG0000035	genemark-dek_s137-processed-gene-5.135-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.135&CDS=1-996	YGR192C, YJL052W, YJR009C
36	OG0000036	genemark-dek_s137-processed-gene-10.67-mRNA-1_1&gene=genemark-dek_s137-processed-gene-10.67&CDS=1-3069, genemark-dek_s9-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s9-processed-gene-0.47&CDS=1-3096	YBR245C, YOR304W
37	OG0000037	snap_masked-dek_s153-processed-gene-0.6-mRNA-1_1&gene=snap_masked-dek_s153-processed-gene-0.6&CDS=1-2568, snap_masked-dek_s9-processed-gene-3.32-mRNA-1_1&gene=snap_masked-dek_s9-processed-gene-3.32&CDS=1-243	YDR458C, YML034W
38	OG0000038	genemark-dek_s19-processed-gene-0.35-mRNA-1_1&gene=genemark-dek_s19-processed-gene-0.35&CDS=1-1530, genemark-dek_s78-processed-gene-0.115-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.115&CDS=1-1572, genemark-dek_s86-processed-gene-1.110-mRNA-1_1&gene=genemark-dek_s86-processed-gene-1.110&CDS=1-1635	YNL189W
39	OG0000039	genemark-dek_s2-processed-gene-0.20-mRNA-1_1&gene=genemark-dek_s2-processed-gene-0.20&CDS=1-2478, genemark-dek_s61-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s61-processed-gene-0.4&CDS=1-2244	YAR035W, YER024W
40	OG0000040	augustus_masked-dek_s2-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-dek_s2-processed-gene-2.114&CDS=1-2874, genemark-dek_s25-processed-gene-6.71-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.71&CDS=1-2622	YFL047W, YHR182W
41	OG0000041	genemark-dek_s23-processed-gene-1.97-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.97&CDS=1-2664	YML111W, YMR275C, YNR069C
42	OG0000042	augustus_masked-dek_s23-processed-gene-1.191-mRNA-1_1&gene=augustus_masked-dek_s23-processed-gene-1.191&CDS=1-2775, maker-dek_s53-augustus-gene-4.97-mRNA-1_1&gene=maker-dek_s53-augustus-gene-4.97&CDS=1-4593	YBR263W, YLR058C
43	OG0000043	augustus_masked-dek_s26-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-dek_s26-processed-gene-11.67&CDS=1-423, augustus_masked-dek_s26-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-dek_s26-processed-gene-2.35&CDS=1-2517	YBR033W, YKL038W
44	OG0000044	genemark-dek_s26-processed-gene-7.100-mRNA-1_1&gene=genemark-dek_s26-processed-gene-7.100&CDS=1-1767, genemark-dek_s3-processed-gene-2.19-mRNA-1_1&gene=genemark-dek_s3-processed-gene-2.19&CDS=1-1725	YJL172W, YOL153C
45	OG0000045	augustus_masked-dek_s26-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-dek_s26-processed-gene-7.69&CDS=1-3246	YDR038C, YDR039C, YDR040C
46	OG0000046	genemark-dek_s26-processed-gene-7.114-mRNA-1_1&gene=genemark-dek_s26-processed-gene-7.114&CDS=1-1722	YBR298C, YDL247W, YJR160C
47	OG0000047	snap_masked-dek_s34-processed-gene-4.119-mRNA-1_1&gene=snap_masked-dek_s34-processed-gene-4.119&CDS=1-2304, snap_masked-dek_s36-processed-gene-0.45-mRNA-1_1&gene=snap_masked-dek_s36-processed-gene-0.45&CDS=1-528, snap_masked-dek_s86-processed-gene-1.84-mRNA-1_1&gene=snap_masked-dek_s86-processed-gene-1.84&CDS=1-1635	YOR080W
48	OG0000048	genemark-dek_s40-processed-gene-0.120-mRNA-1_1&gene=genemark-dek_s40-processed-gene-0.120&CDS=1-1326, snap_masked-dek_s60-processed-gene-1.95-mRNA-1_1&gene=snap_masked-dek_s60-processed-gene-1.95&CDS=1-1671	YBR239C, YJL103C
49	OG0000049	genemark-dek_s72-processed-gene-0.40-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.40&CDS=1-1674	YDR144C, YLR120C, YLR121C
50	OG0000050	snap_masked-dek_s76-processed-gene-0.65-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-0.65&CDS=1-741	YFL060C, YMR095C, YNL334C
51	OG0000051	genemark-dek_s88-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s88-processed-gene-0.2&CDS=1-1644	YOL055C, YPL258C, YPR121W
52	OG0000052		YKL222C, YLR266C, YOR162C, YOR172W
53	OG0000053	maker-dek_C15281-augustus-gene-0.5-mRNA-1_1&gene=maker-dek_C15281-augustus-gene-0.5&CDS=1-4782	YDR223W, YLR223C
54	OG0000054	genemark-dek_C15301-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_C15301-processed-gene-0.2&CDS=1-1530	YBR020W, YDR009W
55	OG0000055	genemark-dek_s1-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s1-processed-gene-0.36&CDS=1-3597	YDR122W, YLR096W
56	OG0000056	genemark-dek_s1-processed-gene-0.56-mRNA-1_1&gene=genemark-dek_s1-processed-gene-0.56&CDS=1-2316	YGL139W, YPL221W
57	OG0000057	genemark-dek_s10-processed-gene-0.59-mRNA-1_1&gene=genemark-dek_s10-processed-gene-0.59&CDS=1-591	YBL072C, YER102W
58	OG0000058	augustus_masked-dek_s10-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-dek_s10-processed-gene-0.83&CDS=1-987	YBR273C, YJL048C
59	OG0000059	genemark-dek_s10-processed-gene-0.57-mRNA-1_1&gene=genemark-dek_s10-processed-gene-0.57&CDS=1-2820, snap_masked-dek_s10-processed-gene-5.25-mRNA-1_1&gene=snap_masked-dek_s10-processed-gene-5.25&CDS=1-405	YPR022C
60	OG0000060	genemark-dek_s10-processed-gene-1.7-mRNA-1_1&gene=genemark-dek_s10-processed-gene-1.7&CDS=1-1059	YJL116C, YKR042W
61	OG0000061	genemark-dek_s10-processed-gene-1.8-mRNA-1_1&gene=genemark-dek_s10-processed-gene-1.8&CDS=1-2001	YBR216C, YGL060W
62	OG0000062	genemark-dek_s10-processed-gene-2.95-mRNA-1_1&gene=genemark-dek_s10-processed-gene-2.95&CDS=1-465	YBR048W, YDR025W
63	OG0000063	genemark-dek_s10-processed-gene-2.113-mRNA-1_1&gene=genemark-dek_s10-processed-gene-2.113&CDS=1-639	YBR014C, YDL010W
64	OG0000064	genemark-dek_s10-processed-gene-2.114-mRNA-1_1&gene=genemark-dek_s10-processed-gene-2.114&CDS=1-1653	YIR031C, YNL117W
65	OG0000065	genemark-dek_s10-processed-gene-2.96-mRNA-1_1&gene=genemark-dek_s10-processed-gene-2.96&CDS=1-1602	YDL042C, YOL068C
66	OG0000066	genemark-dek_s10-processed-gene-2.101-mRNA-1_1&gene=genemark-dek_s10-processed-gene-2.101&CDS=1-1188, snap_masked-dek_s52-processed-gene-0.68-mRNA-1_1&gene=snap_masked-dek_s52-processed-gene-0.68&CDS=1-240	YLR181C
67	OG0000067	genemark-dek_s10-processed-gene-3.87-mRNA-1_1&gene=genemark-dek_s10-processed-gene-3.87&CDS=1-3192	YBL106C, YPR032W
68	OG0000068	snap_masked-dek_s10-processed-gene-3.28-mRNA-1_1&gene=snap_masked-dek_s10-processed-gene-3.28&CDS=1-3966	YGR070W, YLR371W
69	OG0000069	augustus_masked-dek_s10-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-dek_s10-processed-gene-5.64&CDS=1-4347	YNL106C, YOR109W
70	OG0000070	genemark-dek_s10-processed-gene-5.41-mRNA-1_1&gene=genemark-dek_s10-processed-gene-5.41&CDS=1-1320	YNL108C, YOR110W
71	OG0000071	genemark-dek_s10-processed-gene-5.51-mRNA-1_1&gene=genemark-dek_s10-processed-gene-5.51&CDS=1-1041, genemark-dek_s9-processed-gene-1.17-mRNA-1_1&gene=genemark-dek_s9-processed-gene-1.17&CDS=1-1041	YPR086W
72	OG0000072	augustus_masked-dek_s137-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-7.20&CDS=1-3051, genemark-dek_s10-processed-gene-6.69-mRNA-1_1&gene=genemark-dek_s10-processed-gene-6.69&CDS=1-477	YDR204W
73	OG0000073	genemark-dek_s10-processed-gene-6.80-mRNA-1_1&gene=genemark-dek_s10-processed-gene-6.80&CDS=1-876	YMR183C, YPL232W
74	OG0000074	genemark-dek_s10-processed-gene-7.43-mRNA-1_1&gene=genemark-dek_s10-processed-gene-7.43&CDS=1-903	YBR105C, YGR066C
75	OG0000075	genemark-dek_s96-processed-gene-0.24-mRNA-1_1&gene=genemark-dek_s96-processed-gene-0.24&CDS=1-1527, snap_masked-dek_s10-processed-gene-7.99-mRNA-1_1&gene=snap_masked-dek_s10-processed-gene-7.99&CDS=1-453	YHR206W
76	OG0000076	genemark-dek_s10-processed-gene-7.45-mRNA-1_1&gene=genemark-dek_s10-processed-gene-7.45&CDS=1-1797	YGR092W, YPR111W
77	OG0000077	snap_masked-dek_s100-processed-gene-0.53-mRNA-1_1&gene=snap_masked-dek_s100-processed-gene-0.53&CDS=1-1929	YDR475C, YOR019W
78	OG0000078	genemark-dek_s100-processed-gene-0.19-mRNA-1_1&gene=genemark-dek_s100-processed-gene-0.19&CDS=1-459	YGL031C, YGR148C
79	OG0000079	genemark-dek_s105-processed-gene-0.11-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.11&CDS=1-1536	YBR214W, YGL056C
80	OG0000080	genemark-dek_s105-processed-gene-0.8-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.8&CDS=1-2121, maker-dek_s34-snap-gene-2.72-mRNA-1_1&gene=maker-dek_s34-snap-gene-2.72&CDS=1-3741	YGL205W
81	OG0000081	genemark-dek_s25-processed-gene-0.21-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.21&CDS=1-402, snap_masked-dek_s108-processed-gene-0.26-mRNA-1_1&gene=snap_masked-dek_s108-processed-gene-0.26&CDS=1-276	YJR067C
82	OG0000082	genemark-dek_s109-processed-gene-0.22-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.22&CDS=1-1437, genemark-dek_s3-processed-gene-3.19-mRNA-1_1&gene=genemark-dek_s3-processed-gene-3.19&CDS=1-459	YCR054C
83	OG0000083	genemark-dek_s109-processed-gene-0.32-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.32&CDS=1-1110	YEL007W, YHR177W
84	OG0000084	snap_masked-dek_s111-processed-gene-0.26-mRNA-1_1&gene=snap_masked-dek_s111-processed-gene-0.26&CDS=1-465	YKL141W, YMR118C
85	OG0000085	genemark-dek_s111-processed-gene-0.58-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.58&CDS=1-966	YBL068W, YER099C
86	OG0000086	genemark-dek_s114-processed-gene-0.14-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.14&CDS=1-3501	YJR127C, YML081W
87	OG0000087	genemark-dek_s12-processed-gene-0.52-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.52&CDS=1-1902	YER059W, YIL050W
88	OG0000088	genemark-dek_s12-processed-gene-0.64-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.64&CDS=1-369	YOR234C, YPL143W
89	OG0000089	genemark-dek_s12-processed-gene-1.64-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.64&CDS=1-1455	YOR231W, YPL140C
