	OrthologID	Metschnikowia_santaceciliae	Saccharomyces_cerevisiae
10	OG0000010	genemark-sce_s622-processed-gene-1.57-mRNA-1_1&gene=genemark-sce_s622-processed-gene-1.57&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
11	OG0000011	augustus_masked-sce_s332-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sce_s332-processed-gene-0.44&CDS=1-2406, genemark-sce_s17-processed-gene-0.84-mRNA-1_1&gene=genemark-sce_s17-processed-gene-0.84&CDS=1-1722, snap_masked-sce_C45722-processed-gene-0.6-mRNA-1_1&gene=snap_masked-sce_C45722-processed-gene-0.6&CDS=1-1671	YBR298C, YDL247W, YGR289C, YJR160C
12	OG0000012	augustus_masked-sce_s118-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-sce_s118-processed-gene-0.80&CDS=1-1950, genemark-sce_s33-processed-gene-0.67-mRNA-1_1&gene=genemark-sce_s33-processed-gene-0.67&CDS=1-1884, genemark-sce_s359-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s359-processed-gene-0.12&CDS=1-2181, genemark-sce_s520-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s520-processed-gene-0.9&CDS=1-1455, genemark-sce_s741-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s741-processed-gene-0.10&CDS=1-1548	YFL021W, YKR034W
13	OG0000013	genemark-sce_s151-processed-gene-1.64-mRNA-1_1&gene=genemark-sce_s151-processed-gene-1.64&CDS=1-3318, genemark-sce_s21-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s21-processed-gene-0.16&CDS=1-1638, genemark-sce_s323-processed-gene-1.187-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.187&CDS=1-2496, genemark-sce_s455-processed-gene-0.17-mRNA-1_1&gene=genemark-sce_s455-processed-gene-0.17&CDS=1-1155	YAR019C, YDR523C, YHR102W
14	OG0000014	augustus_masked-sce_s45-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-0.27&CDS=1-2601, genemark-sce_s231-processed-gene-0.41-mRNA-1_1&gene=genemark-sce_s231-processed-gene-0.41&CDS=1-4182, genemark-sce_s455-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s455-processed-gene-0.12&CDS=1-1764	YCL024W, YDR477W, YDR507C, YPL150W
15	OG0000015	augustus_masked-sce_s295-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-sce_s295-processed-gene-1.174&CDS=1-2412, genemark-sce_s248-processed-gene-0.40-mRNA-1_1&gene=genemark-sce_s248-processed-gene-0.40&CDS=1-966, genemark-sce_s43-processed-gene-2.116-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.116&CDS=1-957	YBL068W, YER099C, YHL011C, YOL061W
16	OG0000016	augustus_masked-sce_s591-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sce_s591-processed-gene-0.8&CDS=1-1290, genemark-sce_s122-processed-gene-0.78-mRNA-1_1&gene=genemark-sce_s122-processed-gene-0.78&CDS=1-1905, snap_masked-sce_s3-processed-gene-3.204-mRNA-1_1&gene=snap_masked-sce_s3-processed-gene-3.204&CDS=1-969	YKL139W, YPL031C, YPR161C
17	OG0000017	augustus_masked-sce_s136-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sce_s136-processed-gene-0.35&CDS=1-588, genemark-sce_s139-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s139-processed-gene-0.8&CDS=1-372, genemark-sce_s447-processed-gene-0.113-mRNA-1_1&gene=genemark-sce_s447-processed-gene-0.113&CDS=1-456, snap_masked-sce_s355-processed-gene-0.74-mRNA-1_1&gene=snap_masked-sce_s355-processed-gene-0.74&CDS=1-363	YGL089C, YPL187W
18	OG0000018	genemark-sce_s151-processed-gene-1.82-mRNA-1_1&gene=genemark-sce_s151-processed-gene-1.82&CDS=1-1725, genemark-sce_s151-processed-gene-1.83-mRNA-1_1&gene=genemark-sce_s151-processed-gene-1.83&CDS=1-1698, genemark-sce_s207-processed-gene-0.32-mRNA-1_1&gene=genemark-sce_s207-processed-gene-0.32&CDS=1-1752, genemark-sce_s207-processed-gene-2.185-mRNA-1_1&gene=genemark-sce_s207-processed-gene-2.185&CDS=1-1701	YJL172W, YOL153C
19	OG0000019	genemark-sce_s167-processed-gene-0.77-mRNA-1_1&gene=genemark-sce_s167-processed-gene-0.77&CDS=1-1734, genemark-sce_s246-processed-gene-0.113-mRNA-1_1&gene=genemark-sce_s246-processed-gene-0.113&CDS=1-1815, genemark-sce_s660-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s660-processed-gene-0.10&CDS=1-1722, snap_masked-sce_s374-processed-gene-0.16-mRNA-1_1&gene=snap_masked-sce_s374-processed-gene-0.16&CDS=1-1437	YDR338C, YHR032W
20	OG0000020	genemark-sce_s173-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s173-processed-gene-0.13&CDS=1-2208, genemark-sce_s295-processed-gene-1.90-mRNA-1_1&gene=genemark-sce_s295-processed-gene-1.90&CDS=1-1866, genemark-sce_s436-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s436-processed-gene-0.10&CDS=1-2367	YDL025C, YNL183C, YOR267C
21	OG0000021	genemark-sce_s207-processed-gene-1.153-mRNA-1_1&gene=genemark-sce_s207-processed-gene-1.153&CDS=1-2814, genemark-sce_s711-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s711-processed-gene-0.6&CDS=1-2973	YFR040W, YGL229C, YJL098W, YKR028W
22	OG0000022	augustus_masked-sce_s492-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sce_s492-processed-gene-0.33&CDS=1-1539, genemark-sce_s45-processed-gene-4.82-mRNA-1_1&gene=genemark-sce_s45-processed-gene-4.82&CDS=1-2394, genemark-sce_s622-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s622-processed-gene-0.2&CDS=1-1482, snap_masked-sce_s212-processed-gene-0.7-mRNA-1_1&gene=snap_masked-sce_s212-processed-gene-0.7&CDS=1-240	YHR206W, YOR140W
23	OG0000023	genemark-sce_s222-processed-gene-0.25-mRNA-1_1&gene=genemark-sce_s222-processed-gene-0.25&CDS=1-1527, genemark-sce_s49-processed-gene-0.5-mRNA-1_1&gene=genemark-sce_s49-processed-gene-0.5&CDS=1-1599, genemark-sce_s49-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s49-processed-gene-0.8&CDS=1-1920, snap_masked-sce_s309-processed-gene-0.25-mRNA-1_1&gene=snap_masked-sce_s309-processed-gene-0.25&CDS=1-303	YGR197C, YJR015W
24	OG0000024	genemark-sce_s236-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s236-processed-gene-0.19&CDS=1-1005, genemark-sce_s520-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s520-processed-gene-0.27&CDS=1-1302, genemark-sce_s734-processed-gene-0.34-mRNA-1_1&gene=genemark-sce_s734-processed-gene-0.34&CDS=1-1185	YHL028W, YNL283C, YOL105C
25	OG0000025	augustus_masked-sce_s581-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sce_s581-processed-gene-0.1&CDS=1-2571, genemark-sce_s280-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s280-processed-gene-0.16&CDS=1-2562, genemark-sce_s560-processed-gene-0.14-mRNA-1_1&gene=genemark-sce_s560-processed-gene-0.14&CDS=1-2664	YLL005C, YMR266W, YOL084W
26	OG0000026	genemark-sce_s291-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s291-processed-gene-0.11&CDS=1-2685, genemark-sce_s323-processed-gene-1.227-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.227&CDS=1-1692, genemark-sce_s355-processed-gene-0.48-mRNA-1_1&gene=genemark-sce_s355-processed-gene-0.48&CDS=1-1731	YDR160W, YOR348C, YPL265W
27	OG0000027	genemark-sce_s323-processed-gene-1.172-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.172&CDS=1-1068, genemark-sce_s745-processed-gene-0.88-mRNA-1_1&gene=genemark-sce_s745-processed-gene-0.88&CDS=1-1275	YIL123W, YJL116C, YKR042W, YNL066W
28	OG0000028	augustus_masked-sce_s594-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sce_s594-processed-gene-0.6&CDS=1-1362, augustus_masked-sce_s615-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sce_s615-processed-gene-0.1&CDS=1-420, genemark-sce_s323-processed-gene-1.178-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.178&CDS=1-2295, genemark-sce_s410-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s410-processed-gene-0.20&CDS=1-2091	YGL014W, YGL178W
29	OG0000029	genemark-sce_s33-processed-gene-0.47-mRNA-1_1&gene=genemark-sce_s33-processed-gene-0.47&CDS=1-1653, genemark-sce_s440-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s440-processed-gene-0.7&CDS=1-1728	YDR342C, YDR343C, YDR345C, YHR092C
30	OG0000030	augustus_masked-sce_s332-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sce_s332-processed-gene-0.16&CDS=1-4389, genemark-sce_s45-processed-gene-2.9-mRNA-1_1&gene=genemark-sce_s45-processed-gene-2.9&CDS=1-1602, genemark-sce_s648-processed-gene-0.84-mRNA-1_1&gene=genemark-sce_s648-processed-gene-0.84&CDS=1-969	YDL090C, YML013W, YPR176C
31	OG0000031	augustus_masked-sce_s57-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sce_s57-processed-gene-0.16&CDS=1-3093, genemark-sce_s45-processed-gene-2.12-mRNA-1_1&gene=genemark-sce_s45-processed-gene-2.12&CDS=1-3117, maker-sce_s44-augustus-gene-0.47-mRNA-1_1&gene=maker-sce_s44-augustus-gene-0.47&CDS=1-3186	YBR245C, YFR038W, YOR304W
32	OG0000032	genemark-sce_s47-processed-gene-0.162-mRNA-1_1&gene=genemark-sce_s47-processed-gene-0.162&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
33	OG0000033	genemark-sce_s742-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s742-processed-gene-0.2&CDS=1-999	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
34	OG0000034		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
35	OG0000035	augustus_masked-sce_C41786-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sce_C41786-processed-gene-0.2&CDS=1-774	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
36	OG0000036	genemark-sce_s102-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s102-processed-gene-0.8&CDS=1-408, genemark-sce_s3-processed-gene-3.123-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.123&CDS=1-408, genemark-sce_s455-processed-gene-0.5-mRNA-1_1&gene=genemark-sce_s455-processed-gene-0.5&CDS=1-408	YBR010W, YNL031C
