	OrthologID	Saccharomyces_cerevisiae	Stagonospora_nodorum
10	OG0000010	YIR012W	XP_001793248.1, XP_001793389.1, XP_001793602.1, XP_001793816.1, XP_001794333.1, XP_001794334.1, XP_001794411.1, XP_001794745.1, XP_001800160.1, XP_001800661.1, XP_001805065.1, XP_001805762.1
11	OG0000011	YER185W, YGR213C, YOR049C	XP_001792676.1, XP_001799385.1, XP_001799884.1, XP_001800373.1, XP_001803283.1, XP_001803578.1, XP_001804304.1, XP_001805080.1
12	OG0000012	YJR152W, YLR004C	XP_001791548.1, XP_001793069.1, XP_001793539.1, XP_001795260.1, XP_001799171.1, XP_001800458.1, XP_001804406.1, XP_001806066.1, XP_001806492.1
13	OG0000013	YAL063C, YAL064C-A, YAL065C, YAR050W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
14	OG0000014	YDR242W	XP_001790769.1, XP_001792268.1, XP_001792839.1, XP_001794610.1, XP_001799608.1, XP_001801211.1, XP_001803341.1, XP_001804373.1, XP_001805796.1
15	OG0000015	YDR519W, YLR449W, YML074C, YNL135C, YPL162C	XP_001791519.1, XP_001793269.1, XP_001794091.1, XP_001799751.1, XP_001802894.1
16	OG0000016	YBL042C, YBR021W, YIR028W	XP_001794100.1, XP_001794832.1, XP_001796993.1, XP_001801292.1, XP_001805833.1, XP_001806209.1
17	OG0000017	YBR160W, YKL139W, YPL031C, YPR161C	XP_001791471.1, XP_001792697.1, XP_001799700.1, XP_001801494.1, XP_001803266.1
18	OG0000018	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	XP_001794469.1, XP_001798303.1, XP_001799130.1
19	OG0000019	YLL052C, YLL053C, YPR192W	XP_001790802.1, XP_001791202.1, XP_001792096.1, XP_001795222.1, XP_001795313.1, XP_001804375.1
20	OG0000020	YLR014C, YLR278C	XP_001793208.1, XP_001796566.1, XP_001796893.1, XP_001798734.1, XP_001799202.1, XP_001800079.1, XP_001801031.1
21	OG0000021		XP_001795174.1, XP_001795967.1, XP_001797954.1, XP_001798667.1, XP_001799819.1, XP_001802089.1, XP_001802904.1, XP_001804978.1, XP_001805210.1
22	OG0000022	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	XP_001797928.1, XP_001800932.1, XP_001803058.1
23	OG0000023	YCR102C, YLR460C, YNL134C	XP_001790885.1, XP_001791001.1, XP_001798191.1, XP_001799427.1, XP_001802688.1
24	OG0000024	YJR149W	XP_001790984.1, XP_001793609.1, XP_001794094.1, XP_001800033.1, XP_001801355.1, XP_001803802.1, XP_001804661.1
25	OG0000025	YNR055C	XP_001798075.1, XP_001799508.1, XP_001801210.1, XP_001803003.1, XP_001804620.1, XP_001805267.1, XP_001805795.1
26	OG0000026	YOL119C	XP_001791756.1, XP_001793098.1, XP_001798220.1, XP_001799564.1, XP_001801744.1, XP_001804160.1, XP_001804199.1
27	OG0000027	YPL092W	XP_001794833.1, XP_001796532.1, XP_001797541.1, XP_001800608.1, XP_001804207.1, XP_001805007.1, XP_001805245.1
28	OG0000028	YPL113C	XP_001791150.1, XP_001792470.1, XP_001798735.1, XP_001799101.1, XP_001799182.1, XP_001803372.1, XP_001805594.1
29	OG0000029		XP_001795792.1, XP_001796737.1, XP_001798311.1, XP_001799194.1, XP_001800433.1, XP_001801881.1, XP_001801898.1, XP_001803693.1
30	OG0000030	YBR164C, YDL137W, YDL192W, YOR094W	XP_001797240.1, XP_001798490.1, XP_001800815.1
31	OG0000031	YBR199W, YIL085C, YNL029C, YOR099W	XP_001799003.1, XP_001800912.1, XP_001801115.1
32	OG0000032	YCL036W, YDR514C	XP_001796175.1, XP_001802506.1, XP_001802638.1, XP_001802640.1, XP_001802684.1
33	OG0000033	YCR018C, YIR013C, YLR013W, YPL021W	XP_001791500.1, XP_001802277.1, XP_001804394.1
34	OG0000034	YDR011W, YNR070W	XP_001794118.1, XP_001794314.1, XP_001796666.1, XP_001801205.1, XP_001804441.1
35	OG0000035	YDR054C, YMR022W	XP_001792012.1, XP_001792952.1, XP_001796830.1, XP_001799404.1, XP_001801349.1
36	OG0000036	YDR155C, YLR216C	XP_001790747.1, XP_001794502.1, XP_001794755.1, XP_001796037.1, XP_001802932.1
37	OG0000037	YDR368W, YOR120W	XP_001792803.1, XP_001797809.1, XP_001798515.1, XP_001803726.1, XP_001805126.1
38	OG0000038	YFL039C, YJL081C, YLR085C	XP_001791794.1, XP_001793103.1, XP_001796054.1, XP_001804754.1
39	OG0000039	YGR289C	XP_001791294.1, XP_001791785.1, XP_001793484.1, XP_001794470.1, XP_001798302.1, XP_001800660.1
40	OG0000040	YHR179W, YPL171C	XP_001792787.1, XP_001793205.1, XP_001794614.1, XP_001799909.1, XP_001803927.1
41	OG0000041	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	XP_001800735.1, XP_001806503.1
42	OG0000042	YLR057W	XP_001797084.1, XP_001801988.1, XP_001802494.1, XP_001802918.1, XP_001803911.1, XP_001804398.1
43	OG0000043	YLR059C	XP_001791898.1, XP_001792771.1, XP_001798699.1, XP_001799910.1, XP_001800031.1, XP_001806478.1
44	OG0000044	YLR098C, YOR337W	XP_001792370.1, XP_001799035.1, XP_001799876.1, XP_001800162.1, XP_001802503.1
45	OG0000045	YLR229C, YNL090W, YPR165W	XP_001791017.1, XP_001795250.1, XP_001798394.1, XP_001803205.1
46	OG0000046	YNL094W	XP_001791002.1, XP_001795972.1, XP_001797706.1, XP_001803361.1, XP_001804468.1, XP_001806033.1
47	OG0000047	YNR063W	XP_001791151.1, XP_001793973.1, XP_001795649.1, XP_001799310.1, XP_001804198.1, XP_001805284.1
48	OG0000048	YBL026W, YDR378C, YGR074W	XP_001794420.1, XP_001802179.1, XP_001805317.1
49	OG0000049	YCR002C, YJR076C, YLR314C	XP_001793427.1, XP_001795695.1, XP_001803676.1
50	OG0000050	YDL114W	XP_001791880.1, XP_001793280.1, XP_001796524.1, XP_001797957.1, XP_001804481.1
51	OG0000051	YDL124W, YJR096W	XP_001791188.1, XP_001792398.1, XP_001794097.1, XP_001797214.1
52	OG0000052	YDL134C, YDR075W, YNR032W	XP_001798822.1, XP_001798987.1, XP_001804186.1
53	OG0000053	YDL243C, YJR155W, YNL331C	XP_001798207.1, XP_001802146.1, XP_001806612.1
54	OG0000054	YDL246C, YJR159W, YLR070C	XP_001801634.1, XP_001804369.1, XP_001805323.1
55	OG0000055	YDR038C, YDR039C, YDR040C	XP_001799925.1, XP_001801404.1, XP_001805854.1
56	OG0000056	YDR092W, YLR306W, YOR339C	XP_001796943.1, XP_001798158.1, XP_001804414.1
57	OG0000057	YDR524C, YGL181W, YIL044C	XP_001793926.1, XP_001794084.1, XP_001802518.1
58	OG0000058	YDR533C, YMR322C, YOR391C, YPL280W	XP_001791189.1, XP_001794724.1
59	OG0000059	YDR541C, YGL039W, YGL157W, YOL151W	XP_001792472.1, XP_001798314.1
60	OG0000060	YEL063C, YNL270C, YPL265W	XP_001790717.1, XP_001793706.1, XP_001801023.1
61	OG0000061	YER013W, YKR086W, YNR011C	XP_001793874.1, XP_001795051.1, XP_001799002.1
62	OG0000062	YFR041C, YIR004W, YNL007C	XP_001791429.1, XP_001794089.1, XP_001799566.1
63	OG0000063	YGR121C, YNL142W, YPR138C	XP_001793852.1, XP_001797319.1, XP_001799254.1
64	OG0000064	YGR263C	XP_001800092.1, XP_001800312.1, XP_001803386.1, XP_001804096.1, XP_001805505.1
65	OG0000065	YIL120W, YIL121W, YNL065W	XP_001795995.1, XP_001802746.1, XP_001805427.1
66	OG0000066	YIL124W	XP_001794890.1, XP_001798170.1, XP_001798703.1, XP_001801352.1, XP_001801525.1
67	OG0000067	YJL024C, YJR058C, YLR170C	XP_001793849.1, XP_001800897.1, XP_001805721.1
68	OG0000068	YJR126C, YOR256C, YPL176C	XP_001791225.1, XP_001798675.1, XP_001805704.1
69	OG0000069	YKL071W	XP_001792842.1, XP_001801482.1, XP_001802920.1, XP_001803256.1, XP_001806605.1
70	OG0000070	YKL174C	XP_001792257.1, XP_001792956.1, XP_001792971.1, XP_001799730.1, XP_001804292.1
71	OG0000071	YNL229C	XP_001790911.1, XP_001796193.1, XP_001797938.1, XP_001801969.1, XP_001805236.1
72	OG0000072	YOL158C	XP_001791245.1, XP_001800427.1, XP_001801070.1, XP_001803004.1, XP_001804626.1
73	OG0000073		XP_001790915.1, XP_001791907.1, XP_001800179.1, XP_001801374.1, XP_001801460.1, XP_001805018.1
74	OG0000074	YAL051W, YOR363C	XP_001797406.1, XP_001798918.1, XP_001801638.1
75	OG0000075	YAR019C, YDR523C	XP_001794473.1, XP_001795581.1, XP_001801189.1
76	OG0000076	YBL017C, YIL173W, YJL222W, YNR065C	XP_001806659.1
77	OG0000077	YBR028C, YPL203W	XP_001798661.1, XP_001799866.1, XP_001803215.1
78	OG0000078	YBR297W, YFL052W, YGR288W, YPR196W	XP_001798875.1
79	OG0000079	YCR023C	XP_001796894.1, XP_001800081.1, XP_001801337.1, XP_001802584.1
80	OG0000080	YCR105W, YMR318C	XP_001805388.1, XP_001805702.1, XP_001806537.1
81	OG0000081	YDL132W, YGR003W	XP_001793394.1, XP_001803518.1, XP_001806191.1
82	OG0000082	YDL138W	XP_001794530.1, XP_001799703.1, XP_001799983.1, XP_001802395.1
83	OG0000083	YDL159W, YOR231W, YPL140C	XP_001796049.1, XP_001802154.1
84	OG0000084	YDL244W, YFL058W, YJR156C, YNL332W	XP_001802007.1
85	OG0000085	YDR021W, YJL138C, YKR059W	XP_001795091.1, XP_001801383.1
86	OG0000086	YDR247W, YHR082C, YPL026C	XP_001792265.1, XP_001798453.1
87	OG0000087	YDR371W	XP_001790960.1, XP_001795131.1, XP_001802474.1, XP_001804658.1
88	OG0000088	YDR415C	XP_001791947.1, XP_001795850.1, XP_001802824.1, XP_001804498.1
89	OG0000089	YDR477W, YER129W, YGL179C	XP_001795900.1, XP_001799499.1
90	OG0000090	YDR505C, YLR177W	XP_001793949.1, XP_001795685.1, XP_001796621.1
91	OG0000091	YGL120C, YKL078W	XP_001797593.1, XP_001799078.1, XP_001805906.1
92	OG0000092	YGL215W, YHR071W	XP_001792710.1, XP_001797903.1, XP_001806222.1
93	OG0000093	YGR087C, YLR044C, YLR134W	XP_001802109.1, XP_001802439.1
94	OG0000094	YGR108W, YLR210W, YPR119W	XP_001797460.1, XP_001800716.1
95	OG0000095	YGR154C, YKR076W, YMR251W	XP_001793190.1, XP_001804291.1
96	OG0000096	YGR282C	XP_001792206.1, XP_001802636.1, XP_001803099.1, XP_001804125.1
97	OG0000097	YHR175W, YLR411W	XP_001793502.1, XP_001795123.1, XP_001803429.1
98	OG0000098	YIL043C, YKL150W	XP_001799967.1, XP_001801691.1, XP_001806619.1
99	OG0000099	YIL067C	XP_001794459.1, XP_001802995.1, XP_001803174.1, XP_001805621.1
100	OG0000100	YIL123W, YJL116C, YKR042W, YNL066W	XP_001800857.1
101	OG0000101	YIL134W	XP_001793285.1, XP_001802025.1, XP_001805479.1, XP_001805482.1
102	OG0000102	YIL160C	XP_001794577.1, XP_001796515.1, XP_001798317.1, XP_001803652.1
103	OG0000103	YJL158C, YJL160C, YKL164C	XP_001798120.1, XP_001800417.1
104	OG0000104	YKL015W	XP_001792321.1, XP_001793583.1, XP_001799102.1, XP_001801997.1
105	OG0000105	YLR155C, YLR157C, YLR158C, YLR160C	XP_001799015.1
106	OG0000106	YLR178C, YLR179C	XP_001800147.1, XP_001802598.1, XP_001805343.1
107	OG0000107	YLR212C, YML085C	XP_001792393.1, XP_001794687.1, XP_001800993.1
108	OG0000108	YLR262C, YOR089C	XP_001791758.1, XP_001802059.1, XP_001804276.1
109	OG0000109	YLR300W, YOR190W	XP_001791287.1, XP_001796974.1, XP_001804464.1
110	OG0000110	YML076C	XP_001792220.1, XP_001802882.1, XP_001805334.1, XP_001805605.1
111	OG0000111	YMR215W, YOL030W	XP_001798829.1, XP_001800856.1, XP_001805614.1
112	OG0000112	YOL137W	XP_001792367.1, XP_001797130.1, XP_001805228.1, XP_001806610.1
113	OG0000113	YPL150W, YPL209C	XP_001794095.1, XP_001795795.1, XP_001802854.1
114	OG0000114	YAL036C, YGR173W	XP_001799646.1, XP_001802047.1
115	OG0000115	YAL046C, YGL220W	XP_001793731.1, XP_001803031.1
116	OG0000116	YAL049C	XP_001794479.1, XP_001795483.1, XP_001806010.1
117	OG0000117	YAL060W, YAL061W	XP_001800412.1, XP_001805703.1
118	OG0000118	YBL016W, YHR030C	XP_001793869.1, XP_001796161.1
119	OG0000119	YBL032W, YBR233W	XP_001802378.1, XP_001804851.1
120	OG0000120	YBL037W, YPR029C	XP_001798457.1, XP_001801987.1
121	OG0000121	YBR009C, YNL030W	XP_001793888.1, XP_001805074.1
122	OG0000122	YBR041W	XP_001797532.1, XP_001797679.1, XP_001799306.1
123	OG0000123	YBR054W, YDR033W	XP_001791031.1, XP_001791479.1
124	OG0000124	YBR073W, YGL163C	XP_001792600.1, XP_001793875.1
125	OG0000125	YBR147W, YOL092W	XP_001795739.1, XP_001801365.1
126	OG0000126	YBR151W, YML050W	XP_001791791.1, XP_001796887.1
127	OG0000127	YBR183W, YPL087W	XP_001797154.1, XP_001797181.1
128	OG0000128	YBR213W, YKR069W	XP_001791077.1, XP_001796245.1
129	OG0000129	YBR249C, YDR035W	XP_001792725.1, XP_001794438.1
130	OG0000130	YBR263W, YLR058C	XP_001793492.1, XP_001802344.1
131	OG0000131	YBR294W, YLR092W	XP_001799192.1, XP_001804475.1
132	OG0000132	YBR296C	XP_001795644.1, XP_001802593.1, XP_001805677.1
133	OG0000133	YCL026C-A, YCL026C-B	XP_001799879.1, XP_001803185.1
134	OG0000134	YCL039W, YMR146C	XP_001792230.1, XP_001805640.1
135	OG0000135	YCL040W, YDR516C	XP_001801091.1, XP_001805764.1
136	OG0000136	YCL064C, YIL167W	XP_001794343.1, XP_001799749.1
137	OG0000137	YCL069W, YGR224W, YKR105C, YPR198W	
138	OG0000138	YCR008W, YOR267C	XP_001799064.1, XP_001799495.1
139	OG0000139	YDL003W, YPR007C	XP_001793505.1, XP_001797919.1
140	OG0000140	YDL056W, YLR182W	XP_001796202.1, XP_001800663.1
141	OG0000141	YDL061C, YLR388W	XP_001800628.1, XP_001804948.1
142	OG0000142	YDL081C, YDL130W	XP_001795803.1, XP_001796774.1
143	OG0000143	YDL122W, YPL072W	XP_001798550.1, XP_001806208.1
144	OG0000144	YDL156W, YOL138C	XP_001791197.1, XP_001793644.1
145	OG0000145	YDL174C	XP_001790930.1, XP_001801673.1, XP_001802031.1
146	OG0000146	YDL208W, YEL026W	XP_001800578.1, XP_001800954.1
147	OG0000147	YDL237W	XP_001798474.1, XP_001801230.1, XP_001806190.1
148	OG0000148	YDR059C, YDR177W	XP_001793346.1, XP_001799373.1
149	OG0000149	YDR099W, YER177W	XP_001794188.1, XP_001801874.1
150	OG0000150	YDR131C, YJL149W	XP_001792466.1, XP_001802665.1
151	OG0000151	YDR139C, YLL039C	XP_001797032.1, XP_001799914.1
152	OG0000152	YDR144C, YLR120C, YLR121C	XP_001792431.1
153	OG0000153	YDR258C, YLL026W	XP_001792623.1, XP_001797402.1
154	OG0000154	YDR276C	XP_001799031.1, XP_001800835.1, XP_001805646.1
155	OG0000155	YDR536W	XP_001791836.1, XP_001798221.1, XP_001804408.1
156	OG0000156	YER056C, YER060W, YER060W-A	XP_001800038.1
157	OG0000157	YER057C, YIL051C	XP_001797501.1, XP_001800172.1
158	OG0000158	YER065C, YPR006C	XP_001796025.1, XP_001798021.1
159	OG0000159	YER099C, YOL061W	XP_001792125.1, XP_001797865.1
160	OG0000160	YER112W, YLR147C	XP_001796422.1, XP_001800508.1
161	OG0000161	YFL050C, YOL130W	XP_001793487.1, XP_001799405.1
162	OG0000162	YFL060C, YMR095C, YNL334C	XP_001799886.1
163	OG0000163	YGL003C, YGL116W	XP_001790787.1, XP_001801665.1
164	OG0000164	YGL006W	XP_001794748.1, XP_001798947.1, XP_001800481.1
165	OG0000165	YGL059W, YIL042C	XP_001796258.1, XP_001801171.1
166	OG0000166	YGL076C, YPL198W	XP_001792709.1, XP_001796785.1
167	OG0000167	YGL155W, YPR176C	XP_001794170.1, XP_001794223.1
168	OG0000168	YGL194C, YNL330C	XP_001791144.1, XP_001791192.1
169	OG0000169	YGR143W, YPR159W	XP_001796323.1, XP_001798028.1
170	OG0000170	YGR189C	XP_001799954.1, XP_001799977.1, XP_001801794.1
171	OG0000171	YGR209C, YLR043C	XP_001793624.1, XP_001799253.1
172	OG0000172	YGR276C, YPL103C	XP_001792714.1, XP_001806641.1
173	OG0000173	YHL002W, YJL020C	XP_001802709.1, XP_001803769.1
174	OG0000174	YHR005C	XP_001800368.1, XP_001800995.1, XP_001803507.1
175	OG0000175	YHR065C, YNR038W	XP_001792635.1, XP_001798228.1
176	OG0000176	YHR172W, YNL126W	XP_001792299.1, XP_001795872.1
177	OG0000177	YHR207C	XP_001796480.1, XP_001804761.1, XP_001806151.1
178	OG0000178	YIL078W, YKL194C	XP_001802251.1, XP_001804404.1
179	OG0000179	YIL165C	XP_001794607.1, XP_001796773.1, XP_001800434.1
180	OG0000180	YIR023W	XP_001791847.1, XP_001795153.1, XP_001798647.1
181	OG0000181	YJL105W, YKR029C	XP_001803845.1, XP_001805771.1
182	OG0000182	YJL155C, YLR345W	XP_001800865.1, XP_001805808.1
183	OG0000183	YJL194W, YML065W	XP_001794145.1, XP_001797292.1
184	OG0000184	YJR040W	XP_001799144.1, XP_001803066.1, XP_001804045.1
185	OG0000185	YJR061W, YKL201C	XP_001791269.1, XP_001792363.1
186	OG0000186	YJR099W	XP_001790761.1, XP_001792569.1, XP_001804244.1
187	OG0000187	YJR107W	XP_001791298.1, XP_001794468.1, XP_001796872.1
188	OG0000188	YJR124C, YNR033W	XP_001794928.1, XP_001796012.1
189	OG0000189	YKL046C	XP_001793438.1, XP_001799814.1, XP_001805692.1
190	OG0000190	YKL128C	XP_001790822.1, XP_001792231.1, XP_001796518.1
191	OG0000191	YKL188C, YPL147W	XP_001797664.1, XP_001801639.1
192	OG0000192	YKL222C, YLR266C, YOR162C, YOR172W	
193	OG0000193	YKR070W	XP_001791051.1, XP_001798514.1, XP_001800981.1
194	OG0000194	YKR099W, YMR213W	XP_001797442.1, XP_001803610.1
195	OG0000195	YLL056C	XP_001792147.1, XP_001796162.1, XP_001805483.1
196	OG0000196	YLL062C, YMR321C, YPL273W	XP_001805918.1
197	OG0000197	YLR200W	XP_001802426.1, XP_001802427.1, XP_001802428.1
198	OG0000198	YLR222C, YMR029C	XP_001794134.1, XP_001799519.1
199	OG0000199	YLR245C	XP_001793810.1, XP_001794545.1, XP_001799288.1
200	OG0000200	YLR251W, YOR292C	XP_001797490.1, XP_001801590.1
201	OG0000201	YLR284C, YOR180C	XP_001791346.1, XP_001792313.1
202	OG0000202	YMR006C, YMR008C, YOL011W	XP_001796806.1
203	OG0000203	YMR183C, YPL232W	XP_001791326.1, XP_001800855.1
204	OG0000204	YMR222C, YOR280C	XP_001791424.1, XP_001801517.1
205	OG0000205	YMR253C, YPL264C	XP_001795231.1, XP_001795857.1
206	OG0000206	YNL083W, YPR011C	XP_001793485.1, XP_001797559.1
207	OG0000207	YNL154C, YPL204W	XP_001791012.1, XP_001795428.1
208	OG0000208	YNR074C	XP_001792711.1, XP_001800345.1, XP_001803236.1
209	OG0000209	YOL062C, YPL259C	XP_001799674.1, XP_001801294.1
210	OG0000210	YOR153W	XP_001796548.1, XP_001797539.1, XP_001802852.1
211	OG0000211	YOR237W, YPL145C	XP_001798749.1, XP_001799014.1
212	OG0000212	YOR275C, YPL084W	XP_001795415.1, XP_001802875.1
213	OG0000213	YPR013C, YPR015C	XP_001794655.1, XP_001798049.1
214	OG0000214	YPR105C	XP_001792552.1, XP_001793700.1, XP_001804267.1
215	OG0000215	YPR127W	XP_001795587.1, XP_001797180.1, XP_001797595.1
216	OG0000216	YAL007C, YOR016C	XP_001801168.1
217	OG0000217	YAL015C, YOL043C	XP_001800828.1
218	OG0000218	YAL017W, YOL045W	XP_001801899.1
219	OG0000219	YAL018C	XP_001790855.1, XP_001793881.1
220	OG0000220	YAL030W, YOR327C	XP_001805691.1
221	OG0000221	YAL034C, YOR338W	XP_001792386.1
222	OG0000222	YAL062W, YOR375C	XP_001795637.1
223	OG0000223	YAR042W, YDL019C	XP_001792847.1
224	OG0000224	YBL002W, YDR224C	XP_001804794.1
225	OG0000225	YBL027W, YBR084C-A	XP_001793720.1
226	OG0000226	YBL056W, YER089C	XP_001795665.1
227	OG0000227	YBL064C	XP_001791462.1, XP_001793381.1
228	OG0000228	YBL067C, YER098W	XP_001794661.1
229	OG0000229	YBL068W-A, YBL069W, YER101C	
230	OG0000230	YBL072C, YER102W	XP_001805801.1
231	OG0000231	YBL079W, YER105C	XP_001802789.1
232	OG0000232	YBL085W, YER114C	XP_001801543.1
233	OG0000233	YBL087C, YER117W	XP_001791157.1
234	OG0000234	YBL089W, YER119C	XP_001793431.1
235	OG0000235	YBL091C	XP_001795338.1, XP_001800491.1
236	OG0000236	YBL091C-A, YER120W	XP_001795418.1
237	OG0000237	YBL106C, YPR032W	XP_001805866.1
238	OG0000238	YBR006W	XP_001791566.1, XP_001795618.1
239	OG0000239	YBR007C	XP_001794741.1, XP_001794904.1
240	OG0000240	YBR010W, YNL031C	XP_001805520.1
241	OG0000241	YBR014C, YDL010W	XP_001798857.1
242	OG0000242	YBR015C, YJL186W	XP_001805670.1
243	OG0000243	YBR020W, YDR009W	XP_001798292.1
244	OG0000244	YBR031W, YDR012W	XP_001802098.1
245	OG0000245	YBR042C	XP_001793181.1, XP_001806564.1
246	OG0000246	YBR048W, YDR025W	XP_001803831.1
247	OG0000247	YBR049C, YDR026C	XP_001793782.1
248	OG0000248	YBR066C, YDR043C	XP_001797430.1
249	OG0000249	YBR078W, YDR055W	XP_001795727.1
250	OG0000250	YBR089C-A, YPR052C	XP_001798689.1
251	OG0000251	YBR096W	XP_001792169.1, XP_001799397.1
252	OG0000252	YBR105C, YGR066C	XP_001805249.1
253	OG0000253	YBR111C	XP_001796315.1, XP_001797931.1
254	OG0000254	YBR118W, YPR080W	XP_001801902.1
255	OG0000255	YBR132C	XP_001796395.1, XP_001797416.1
256	OG0000256	YBR137W	XP_001798251.1, XP_001799440.1
257	OG0000257	YBR150C, YOL089C	XP_001798014.1
258	OG0000258	YBR161W, YPL057C	XP_001799475.1
259	OG0000259	YBR169C, YPL106C	XP_001796450.1
260	OG0000260	YBR172C, YPL105C	XP_001796288.1
261	OG0000261	YBR175W	XP_001801397.1, XP_001804366.1
262	OG0000262	YBR181C, YPL090C	XP_001797870.1
263	OG0000263	YBR191W, YPL079W	XP_001791647.1
264	OG0000264	YBR214W, YGL056C	XP_001804785.1
265	OG0000265	YBR216C, YGL060W	XP_001800718.1
266	OG0000266	YBR218C, YGL062W	XP_001794065.1
267	OG0000267	YBR241C, YGL104C	XP_001806264.1
268	OG0000268	YBR242W, YGL101W	XP_001802942.1
269	OG0000269	YBR244W, YIR037W	XP_001800668.1
270	OG0000270	YBR265W	XP_001795193.1, XP_001797125.1
271	OG0000271	YBR273C, YJL048C	XP_001791016.1
272	OG0000272	YBR274W	XP_001795588.1, XP_001806373.1
273	OG0000273	YBR286W	XP_001791850.1, XP_001803774.1
274	OG0000274	YBR291C	XP_001799877.1, XP_001802368.1
275	OG0000275	YCL011C, YNL004W	XP_001793367.1
276	OG0000276	YCL035C, YDR513W	XP_001802021.1
277	OG0000277	YCL037C, YDR515W	XP_001805144.1
278	OG0000278	YCL038C	XP_001804697.1, XP_001806216.1
279	OG0000279	YCL043C	XP_001799285.1, XP_001802478.1
280	OG0000280	YCL050C, YDR530C	XP_001791667.1
281	OG0000281	YCL067C, YCR039C, YCR096C	
282	OG0000282	YCR010C, YNR002C	XP_001791624.1
283	OG0000283	YCR014C	XP_001797207.1, XP_001803994.1
284	OG0000284	YCR019W	XP_001796384.1, XP_001798422.1
285	OG0000285	YCR026C, YEL016C	XP_001794668.1
286	OG0000286	YCR028C	XP_001804374.1, XP_001805429.1
287	OG0000287	YCR048W, YNR019W	XP_001793386.1
288	OG0000288	YCR052W, YNR023W	XP_001796708.1
289	OG0000289	YCR060W	XP_001803784.1, XP_001804847.1
290	OG0000290	YCR068W	XP_001792692.1, XP_001793546.1
291	OG0000291	YCR073C, YNR031C	XP_001797547.1
292	OG0000292	YCR073W-A, YNR034W	XP_001791568.1
293	OG0000293	YCR094W, YNR048W	XP_001792385.1
294	OG0000294	YCR098C	XP_001802658.1, XP_001806533.1
