	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_kudriavzevii
10	OG0000010	YAL024C, YGR199W, YOR321W	augustus_masked-Skud_15-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-8.17&CDS=1-2259, augustus_masked-Skud_7-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-8.74&CDS=1-4707, maker-Skud_1-augustus-gene-0.234-mRNA-1_1&gene=maker-Skud_1-augustus-gene-0.234&CDS=1-6513
11	OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-Skud_2-snap-gene-4.137-mRNA-1_1&gene=maker-Skud_2-snap-gene-4.137&CDS=1-2757
12	OG0000012	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-Skud_2-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.89&CDS=1-5067, snap_masked-Skud_14-processed-gene-6.204-mRNA-1_1&gene=snap_masked-Skud_14-processed-gene-6.204&CDS=1-4710
13	OG0000013	YCR104W, YIR041W, YLL025W, YLR037C, YMR325W	augustus_masked-Skud_12-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-Skud_12-processed-gene-2.27&CDS=1-372
14	OG0000014	YDL066W, YLR174W, YNL009W	augustus_masked-Skud_4-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-3.17&CDS=1-1287, maker-Skud_12-augustus-gene-4.0-mRNA-1_1&gene=maker-Skud_12-augustus-gene-4.0&CDS=1-2733, maker-Skud_14-augustus-gene-5.145-mRNA-1_1&gene=maker-Skud_14-augustus-gene-5.145&CDS=1-1395
15	OG0000015	YDL245C, YEL069C, YJR158W, YNR072W	augustus_masked-Skud_14-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-6.40&CDS=1-1692, augustus_masked-Skud_4-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-0.49&CDS=1-1719
16	OG0000016	YDR011W, YNR070W, YPL058C	augustus_masked-Skud_14-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-6.39&CDS=1-4272, augustus_masked-Skud_16-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-Skud_16-processed-gene-4.127&CDS=1-4533, augustus_masked-Skud_4-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-4.62&CDS=1-4503
17	OG0000017	YDR406W, YOR153W, YOR328W	augustus_masked-Skud_15-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-5.17&CDS=1-6207, augustus_masked-Skud_15-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-8.19&CDS=1-4692, snap_masked-Skud_4-processed-gene-12.99-mRNA-1_1&gene=snap_masked-Skud_4-processed-gene-12.99&CDS=1-4578
18	OG0000018	YGR032W, YLR342W, YMR306W	augustus_masked-Skud_7-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-5.68&CDS=1-5676, genemark-Skud_13-processed-gene-7.115-mRNA-1_1&gene=genemark-Skud_13-processed-gene-7.115&CDS=1-5061, snap_masked-Skud_12-processed-gene-7.24-mRNA-1_1&gene=snap_masked-Skud_12-processed-gene-7.24&CDS=1-5649
19	OG0000019	YIL009W, YMR246W, YOR317W	augustus_masked-Skud_13-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-Skud_13-processed-gene-7.12&CDS=1-2082, augustus_masked-Skud_15-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-8.15&CDS=1-2100, augustus_masked-Skud_9-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-Skud_9-processed-gene-3.121&CDS=1-2082
20	OG0000020	YDR312W, YHR066W, YHR068W	augustus_masked-Skud_4-processed-gene-10.60-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-10.60&CDS=1-1353, augustus_masked-Skud_8-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-Skud_8-processed-gene-2.54&CDS=1-3387
21	OG0000021	YER061C, YER062C, YIL053W	augustus_masked-Skud_5-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-Skud_5-processed-gene-2.90&CDS=1-2130, augustus_masked-Skud_9-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-Skud_9-processed-gene-2.116&CDS=1-750
22	OG0000022	YFL059W, YMR096W, YNL333W	augustus_masked-Skud_13-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-Skud_13-processed-gene-4.57&CDS=1-891, genemark-Skud_10-processed-gene-0.3-mRNA-1_1&gene=genemark-Skud_10-processed-gene-0.3&CDS=1-894
23	OG0000023	YGR087C, YLR044C, YLR134W	augustus_masked-Skud_12-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-Skud_12-processed-gene-2.31&CDS=1-1689, augustus_masked-Skud_12-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-Skud_12-processed-gene-4.54&CDS=1-1689
24	OG0000024	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-Skud_15-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-4.53&CDS=1-633
25	OG0000025	YGR192C, YJL052W, YJR009C	augustus_masked-Skud_10-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-Skud_10-processed-gene-4.126&CDS=1-996, genemark-Skud_10-processed-gene-2.37-mRNA-1_1&gene=genemark-Skud_10-processed-gene-2.37&CDS=1-996
26	OG0000026	YHL003C, YKL008C	augustus_masked-Skud_11-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-Skud_11-processed-gene-4.119&CDS=1-1254, augustus_masked-Skud_3-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.54&CDS=1-1224, augustus_masked-Skud_8-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-Skud_8-processed-gene-0.78&CDS=1-1233
27	OG0000027	YHR216W, YLR432W, YML056C	augustus_masked-Skud_12-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-Skud_12-processed-gene-8.131&CDS=1-1569, maker-Skud_13-augustus-gene-1.6-mRNA-1_1&gene=maker-Skud_13-augustus-gene-1.6&CDS=1-1572
28	OG0000028	YJL138C, YKR056W, YKR059W	augustus_masked-Skud_11-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-Skud_11-processed-gene-5.69&CDS=1-5925, maker-Skud_10-snap-gene-1.136-mRNA-1_1&gene=maker-Skud_10-snap-gene-1.136&CDS=1-2583
29	OG0000029	YKL220C, YNR060W, YOR381W	augustus_masked-Skud_14-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-6.37&CDS=1-2157, genemark-Skud_15-processed-gene-9.79-mRNA-1_1&gene=genemark-Skud_15-processed-gene-9.79&CDS=1-2121
30	OG0000030	YMR006C, YMR008C, YOL011W	genemark-Skud_15-processed-gene-2.79-mRNA-1_1&gene=genemark-Skud_15-processed-gene-2.79&CDS=1-2046, maker-Skud_13-snap-gene-2.144-mRNA-1_1&gene=maker-Skud_13-snap-gene-2.144&CDS=1-4092
31	OG0000031	YMR186W, YPL240C, YPL242C	augustus_masked-Skud_13-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-Skud_13-processed-gene-6.54&CDS=1-5595, genemark-Skud_16-processed-gene-0.115-mRNA-1_1&gene=genemark-Skud_16-processed-gene-0.115&CDS=1-7341
32	OG0000032	YOL055C, YPL258C, YPR121W	augustus_masked-Skud_15-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-1.119&CDS=1-1653, augustus_masked-Skud_16-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-Skud_16-processed-gene-0.70&CDS=1-1659
33	OG0000033	YAL017W, YOL045W	augustus_masked-Skud_1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.29&CDS=1-4068, genemark-Skud_15-processed-gene-2.61-mRNA-1_1&gene=genemark-Skud_15-processed-gene-2.61&CDS=1-3303
34	OG0000034	YAL029C, YOR326W	augustus_masked-Skud_1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.59&CDS=1-4413, augustus_masked-Skud_15-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-8.18&CDS=1-4722
35	OG0000035	YAL038W, YOR348C	augustus_masked-Skud_1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.21&CDS=1-1500, augustus_masked-Skud_15-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-9.132&CDS=1-3357
36	OG0000036	YAL062W, YOR375C	augustus_masked-Skud_15-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-9.142&CDS=1-1362, genemark-Skud_1-processed-gene-0.74-mRNA-1_1&gene=genemark-Skud_1-processed-gene-0.74&CDS=1-1371
37	OG0000037	YAL064C-A, YHR213W	augustus_masked-Skud_6-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-Skud_6-processed-gene-0.29&CDS=1-3465, genemark-Skud_11-processed-gene-5.35-mRNA-1_1&gene=genemark-Skud_11-processed-gene-5.35&CDS=1-1095
38	OG0000038	YAR042W, YDL019C	augustus_masked-Skud_4-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-4.71&CDS=1-3882, maker-Skud_1-augustus-gene-0.232-mRNA-1_1&gene=maker-Skud_1-augustus-gene-0.232&CDS=1-5526
39	OG0000039	YAR066W, YHR214W	snap_masked-Skud_8-processed-gene-3.72-mRNA-1_1&gene=snap_masked-Skud_8-processed-gene-3.72&CDS=1-1041, snap_masked-Skud_9-processed-gene-0.83-mRNA-1_1&gene=snap_masked-Skud_9-processed-gene-0.83&CDS=1-2346
40	OG0000040	YBL002W, YDR224C	augustus_masked-Skud_2-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.50&CDS=1-393, augustus_masked-Skud_4-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-8.83&CDS=1-393
41	OG0000041	YBL003C, YDR225W	augustus_masked-Skud_2-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.62&CDS=1-396, augustus_masked-Skud_4-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-8.66&CDS=1-396
42	OG0000042	YBL027W, YBR084C-A	genemark-Skud_2-processed-gene-3.135-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.135&CDS=1-600, snap_masked-Skud_2-processed-gene-1.23-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-1.23&CDS=1-570
43	OG0000043	YBL030C, YBR085W	augustus_masked-Skud_2-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.84&CDS=1-954, augustus_masked-Skud_2-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.66&CDS=1-921
44	OG0000044	YBL039C, YJR103W	augustus_masked-Skud_10-processed-gene-5.220-mRNA-1_1&gene=augustus_masked-Skud_10-processed-gene-5.220&CDS=1-1740, augustus_masked-Skud_2-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.81&CDS=1-1737
45	OG0000045	YBL069W, YER101C	augustus_masked-Skud_2-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.89&CDS=1-2232, augustus_masked-Skud_5-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-Skud_5-processed-gene-3.39&CDS=1-1290
46	OG0000046	YBL072C, YER102W	augustus_masked-Skud_2-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.105&CDS=1-600, augustus_masked-Skud_5-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-Skud_5-processed-gene-3.26&CDS=1-600
47	OG0000047	YBL079W, YER105C	augustus_masked-Skud_2-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.87&CDS=1-4521, augustus_masked-Skud_5-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-Skud_5-processed-gene-3.40&CDS=1-4167
48	OG0000048	YBL087C, YER117W	genemark-Skud_2-processed-gene-0.65-mRNA-1_1&gene=genemark-Skud_2-processed-gene-0.65&CDS=1-345, genemark-Skud_5-processed-gene-4.117-mRNA-1_1&gene=genemark-Skud_5-processed-gene-4.117&CDS=1-345
49	OG0000049	YBL104C, YPR032W	augustus_masked-Skud_16-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-Skud_16-processed-gene-6.110&CDS=1-3099, augustus_masked-Skud_2-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.92&CDS=1-8466
50	OG0000050	YBR001C, YDR001C	augustus_masked-Skud_2-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.64&CDS=1-2340, augustus_masked-Skud_4-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-4.76&CDS=1-2253
51	OG0000051	YBR021W, YIR028W	augustus_masked-Skud_2-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.56&CDS=1-2370, genemark-Skud_9-processed-gene-3.86-mRNA-1_1&gene=genemark-Skud_9-processed-gene-3.86&CDS=1-1908
52	OG0000052	YBR031W, YDR012W	augustus_masked-Skud_2-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.59&CDS=1-1086, augustus_masked-Skud_4-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-4.63&CDS=1-1086
53	OG0000053	YBR082C, YDR058C	augustus_masked-Skud_2-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.86&CDS=1-444, maker-Skud_4-snap-gene-5.150-mRNA-1_1&gene=maker-Skud_4-snap-gene-5.150&CDS=1-1953
54	OG0000054	YBR084W, YGR204W	augustus_masked-Skud_2-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.65&CDS=1-2925, augustus_masked-Skud_7-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-8.75&CDS=1-3246
55	OG0000055	YBR117C, YPR074C	augustus_masked-Skud_16-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-Skud_16-processed-gene-6.144&CDS=1-2040, augustus_masked-Skud_2-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.32&CDS=1-2043
56	OG0000056	YBR121C, YPR081C	augustus_masked-Skud_16-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-Skud_16-processed-gene-6.147&CDS=1-1839, augustus_masked-Skud_2-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.34&CDS=1-1995
57	OG0000057	YBR140C, YOL081W	augustus_masked-Skud_15-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-1.101&CDS=1-9240, augustus_masked-Skud_2-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-5.5&CDS=1-9270
58	OG0000058	YBR181C, YPL090C	augustus_masked-Skud_16-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-Skud_16-processed-gene-3.37&CDS=1-714, snap_masked-Skud_2-processed-gene-5.149-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-5.149&CDS=1-708
59	OG0000059	YBR189W, YPL081W	maker-Skud_16-snap-gene-3.2-mRNA-1_1&gene=maker-Skud_16-snap-gene-3.2&CDS=1-1020, maker-Skud_2-snap-gene-5.2-mRNA-1_1&gene=maker-Skud_2-snap-gene-5.2&CDS=1-999
60	OG0000060	YBR214W, YGL056C	augustus_masked-Skud_2-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-6.94&CDS=1-4164, maker-Skud_7-augustus-gene-4.144-mRNA-1_1&gene=maker-Skud_7-augustus-gene-4.144&CDS=1-2430
61	OG0000061	YBR218C, YGL062W	snap_masked-Skud_2-processed-gene-6.49-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-6.49&CDS=1-3540, snap_masked-Skud_7-processed-gene-4.92-mRNA-1_1&gene=snap_masked-Skud_7-processed-gene-4.92&CDS=1-3534
62	OG0000062	YBR245C, YOR304W	augustus_masked-Skud_15-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-8.12&CDS=1-3366, augustus_masked-Skud_2-processed-gene-6.138-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-6.138&CDS=1-3207
63	OG0000063	YBR294W, YLR092W	augustus_masked-Skud_12-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-Skud_12-processed-gene-3.84&CDS=1-2679, snap_masked-Skud_2-processed-gene-6.44-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-6.44&CDS=1-2589
64	OG0000064	YCL024W, YDR507C	augustus_masked-Skud_3-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-0.17&CDS=1-3051, augustus_masked-Skud_4-processed-gene-13.205-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-13.205&CDS=1-3405
65	OG0000065	YCL025C, YDR508C	augustus_masked-Skud_3-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-0.40&CDS=1-1899, augustus_masked-Skud_4-processed-gene-13.206-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-13.206&CDS=1-1989
66	OG0000066	YCL039W, YDR516C	augustus_masked-Skud_4-processed-gene-13.209-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-13.209&CDS=1-1500, maker-Skud_3-augustus-gene-0.0-mRNA-1_1&gene=maker-Skud_3-augustus-gene-0.0&CDS=1-3756
67	OG0000067	YCR005C, YNR001C	augustus_masked-Skud_14-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-6.12&CDS=1-1440, augustus_masked-Skud_3-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.41&CDS=1-1380
68	OG0000068	YCR037C, YJL198W	augustus_masked-Skud_10-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-Skud_10-processed-gene-0.43&CDS=1-2646, genemark-Skud_3-processed-gene-1.142-mRNA-1_1&gene=genemark-Skud_3-processed-gene-1.142&CDS=1-2781
69	OG0000069	YCR053W, YNR019W	augustus_masked-Skud_14-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-6.20&CDS=1-1929, augustus_masked-Skud_3-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.22&CDS=1-5547
70	OG0000070	YCR067C, YNR026C	augustus_masked-Skud_14-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-6.49&CDS=1-1413, augustus_masked-Skud_3-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.67&CDS=1-2976
71	OG0000071	YCR073C, YNR031C	augustus_masked-Skud_14-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-Skud_14-processed-gene-6.51&CDS=1-4737, augustus_masked-Skud_3-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.69&CDS=1-4002
72	OG0000072	YCR091W, YNR047W	augustus_masked-Skud_3-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.33&CDS=1-2094, genemark-Skud_14-processed-gene-6.97-mRNA-1_1&gene=genemark-Skud_14-processed-gene-6.97&CDS=1-2691
73	OG0000073	YCR102C, YLR460C, YNL134C	maker-Skud_14-augustus-gene-3.3-mRNA-1_1&gene=maker-Skud_14-augustus-gene-3.3&CDS=1-1554
74	OG0000074	YCR105W, YMR318C	augustus_masked-Skud_13-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-Skud_13-processed-gene-7.71&CDS=1-1080, augustus_masked-Skud_3-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.38&CDS=1-1083
75	OG0000075	YCR106W, YPL088W	augustus_masked-Skud_16-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-Skud_16-processed-gene-3.21&CDS=1-1026, augustus_masked-Skud_3-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-Skud_3-processed-gene-1.39&CDS=1-4170
76	OG0000076	YDL022W, YOL059W	augustus_masked-Skud_15-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-Skud_15-processed-gene-1.107&CDS=1-1176, augustus_masked-Skud_4-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-4.49&CDS=1-1173
77	OG0000077	YDL075W, YLR406C	augustus_masked-Skud_12-processed-gene-8.157-mRNA-1_1&gene=augustus_masked-Skud_12-processed-gene-8.157&CDS=1-339, augustus_masked-Skud_4-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-3.14&CDS=1-339
78	OG0000078	YDL082W, YMR142C	augustus_masked-Skud_13-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-Skud_13-processed-gene-5.31&CDS=1-597, augustus_masked-Skud_4-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-3.13&CDS=1-597
79	OG0000079	YDL109C, YGL144C	augustus_masked-Skud_4-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-2.144&CDS=1-1935, augustus_masked-Skud_7-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-Skud_7-processed-gene-2.30&CDS=1-5070
80	OG0000080	YDL131W, YDL182W	augustus_masked-Skud_4-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-1.70&CDS=1-1284, snap_masked-Skud_4-processed-gene-2.18-mRNA-1_1&gene=snap_masked-Skud_4-processed-gene-2.18&CDS=1-1320
81	OG0000081	YDL134C, YDL188C	augustus_masked-Skud_4-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-1.84&CDS=1-1131, augustus_masked-Skud_4-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-Skud_4-processed-gene-2.136&CDS=1-1107
