	OrthologID	Cyberlindnera_jadinii	Saccharomyces_cerevisiae
10	OG0000010	genemark-scaffold_1-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.104&CDS=1-1686, genemark-scaffold_1-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.28&CDS=1-1476, maker-scaffold_3-snap-gene-4.54-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.54&CDS=1-1848	YDR144C, YLR120C, YLR121C, YPL098C
11	OG0000011	genemark-scaffold_1-processed-gene-7.172-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.172&CDS=1-1191, genemark-scaffold_11-processed-gene-3.179-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.179&CDS=1-1134, genemark-scaffold_16-processed-gene-1.175-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.175&CDS=1-1098, genemark-scaffold_9-processed-gene-2.161-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.161&CDS=1-1182, genemark-scaffold_9-processed-gene-3.314-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.314&CDS=1-1134, maker-scaffold_18-augustus-gene-1.59-mRNA-1_1&gene=maker-scaffold_18-augustus-gene-1.59&CDS=1-1551	YLL057C
12	OG0000012	genemark-scaffold_1-processed-gene-11.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.53&CDS=1-1491, genemark-scaffold_15-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.32&CDS=1-1557, genemark-scaffold_2-processed-gene-1.1-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.1&CDS=1-1500, maker-scaffold_6-snap-gene-3.2-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.2&CDS=1-1935	YER073W, YOR374W, YPL061W
13	OG0000013	augustus_masked-scaffold_3-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.94&CDS=1-1257, genemark-scaffold_1-processed-gene-17.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.44&CDS=1-1227, genemark-scaffold_2-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.43&CDS=1-840, genemark-scaffold_9-processed-gene-1.100-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.100&CDS=1-858	YGL128C, YLR090W, YNL064C
14	OG0000014	genemark-scaffold_2-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.19&CDS=1-2676, genemark-scaffold_27-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_27-processed-gene-0.43&CDS=1-2646, genemark-scaffold_4-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.99&CDS=1-2658, maker-scaffold_27-augustus-gene-0.10-mRNA-1_1&gene=maker-scaffold_27-augustus-gene-0.10&CDS=1-279	YAL051W, YLL054C, YOR363C
15	OG0000015	genemark-scaffold_1-processed-gene-6.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.31&CDS=1-1905, genemark-scaffold_4-processed-gene-3.41-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.41&CDS=1-1701, genemark-scaffold_5-processed-gene-6.33-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.33&CDS=1-1635, maker-scaffold_1-augustus-gene-0.133-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.133&CDS=1-2190, maker-scaffold_30-augustus-gene-0.11-mRNA-1_1&gene=maker-scaffold_30-augustus-gene-0.11&CDS=1-2178	YBR015C
16	OG0000016	genemark-scaffold_1-processed-gene-1.110-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.110&CDS=1-1080, genemark-scaffold_15-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.70&CDS=1-1056, genemark-scaffold_3-processed-gene-5.40-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.40&CDS=1-531, genemark-scaffold_8-processed-gene-1.132-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.132&CDS=1-1482	YBR062C, YDR143C
17	OG0000017	augustus_masked-scaffold_5-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.22&CDS=1-552, genemark-scaffold_1-processed-gene-1.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.113&CDS=1-1839, genemark-scaffold_13-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.22&CDS=1-759, genemark-scaffold_13-processed-gene-2.107-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.107&CDS=1-1890, genemark-scaffold_4-processed-gene-7.141-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.141&CDS=1-1206	YDR207C
18	OG0000018	augustus_masked-scaffold_4-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.28&CDS=1-1119, genemark-scaffold_1-processed-gene-2.165-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.165&CDS=1-1092, genemark-scaffold_1-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.23&CDS=1-1077, genemark-scaffold_11-processed-gene-1.137-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.137&CDS=1-1098	YGL185C, YPL113C
19	OG0000019	genemark-scaffold_1-processed-gene-9.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.3&CDS=1-561, genemark-scaffold_13-processed-gene-1.29-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.29&CDS=1-486, genemark-scaffold_2-processed-gene-3.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.30&CDS=1-672	YDR155C, YDR304C, YML078W
20	OG0000020	augustus_masked-scaffold_12-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-3.11&CDS=1-2718, genemark-scaffold_1-processed-gene-9.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.41&CDS=1-1371, genemark-scaffold_12-processed-gene-3.126-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.126&CDS=1-1266, genemark-scaffold_4-processed-gene-5.38-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.38&CDS=1-1476, snap_masked-scaffold_12-processed-gene-3.61-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-3.61&CDS=1-1467	YLR392C
21	OG0000021	genemark-scaffold_1-processed-gene-16.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.113&CDS=1-1761, genemark-scaffold_16-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.98&CDS=1-1611	YBR298C, YDL247W, YGR289C, YJR160C
22	OG0000022	augustus_masked-scaffold_10-processed-gene-3.186-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.186&CDS=1-3777, genemark-scaffold_17-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.24&CDS=1-1143, genemark-scaffold_5-processed-gene-4.30-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.30&CDS=1-1185	YAL060W, YAL061W, YBL023C
23	OG0000023	genemark-scaffold_11-processed-gene-3.187-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.187&CDS=1-2049, maker-scaffold_14-snap-gene-2.9-mRNA-1_1&gene=maker-scaffold_14-snap-gene-2.9&CDS=1-3486	YKL220C, YNR060W, YOR381W, YOR384W
24	OG0000024	genemark-scaffold_5-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.31&CDS=1-1113, maker-scaffold_14-snap-gene-1.148-mRNA-1_1&gene=maker-scaffold_14-snap-gene-1.148&CDS=1-594	YDR253C, YKL062W, YMR037C, YPL038W
25	OG0000025	genemark-scaffold_23-processed-gene-0.119-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.119&CDS=1-2268, genemark-scaffold_3-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.29&CDS=1-1662, genemark-scaffold_4-processed-gene-6.27-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.27&CDS=1-2088, genemark-scaffold_9-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.83&CDS=1-2679	YGL257C, YNR059W
26	OG0000026	augustus_masked-scaffold_9-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.31&CDS=1-5481, genemark-scaffold_27-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_27-processed-gene-0.13&CDS=1-1470, genemark-scaffold_5-processed-gene-6.42-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.42&CDS=1-1458, genemark-scaffold_5-processed-gene-6.49-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.49&CDS=1-1755	YEL061C, YHR032W
27	OG0000027	genemark-scaffold_3-processed-gene-9.146-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.146&CDS=1-2004, maker-scaffold_9-snap-gene-3.3-mRNA-1_1&gene=maker-scaffold_9-snap-gene-3.3&CDS=1-7218, maker-scaffold_9-snap-gene-3.5-mRNA-1_1&gene=maker-scaffold_9-snap-gene-3.5&CDS=1-4005	YMR006C, YMR008C, YOL011W
28	OG0000028	genemark-scaffold_4-processed-gene-3.47-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.47&CDS=1-4575, genemark-scaffold_4-processed-gene-5.32-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.32&CDS=1-4476	YBL017C, YIL173W, YJL222W, YNR065C
29	OG0000029	genemark-scaffold_1-processed-gene-0.129-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.129&CDS=1-933, genemark-scaffold_15-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.43&CDS=1-915, genemark-scaffold_7-processed-gene-4.184-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.184&CDS=1-939	YDR368W, YOR120W
30	OG0000030	genemark-scaffold_1-processed-gene-1.125-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.125&CDS=1-1023, genemark-scaffold_12-processed-gene-2.131-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.131&CDS=1-1014, genemark-scaffold_2-processed-gene-6.13-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.13&CDS=1-1005	YDL078C, YKL085W
31	OG0000031	genemark-scaffold_1-processed-gene-2.177-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.177&CDS=1-1218, genemark-scaffold_2-processed-gene-7.113-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.113&CDS=1-1479	YBL089W, YER119C, YIL088C
32	OG0000032	augustus_masked-scaffold_4-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.122&CDS=1-1521, genemark-scaffold_1-processed-gene-5.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.30&CDS=1-3033, genemark-scaffold_16-processed-gene-1.179-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.179&CDS=1-1479	YAR019C, YDR523C
33	OG0000033	genemark-scaffold_1-processed-gene-6.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.25&CDS=1-807, genemark-scaffold_7-processed-gene-4.252-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.252&CDS=1-837, maker-scaffold_1-snap-gene-9.164-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.164&CDS=1-1599	YCR010C, YNR002C
34	OG0000034	genemark-scaffold_1-processed-gene-6.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.49&CDS=1-2463, genemark-scaffold_12-processed-gene-3.172-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.172&CDS=1-2568	YCR037C, YJL198W, YNR013C
35	OG0000035	genemark-scaffold_1-processed-gene-9.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.31&CDS=1-1629, genemark-scaffold_11-processed-gene-3.216-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.216&CDS=1-3084	YJR130C, YML082W, YML096W
36	OG0000036	genemark-scaffold_1-processed-gene-12.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.59&CDS=1-1050, genemark-scaffold_2-processed-gene-11.19-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.19&CDS=1-1107, genemark-scaffold_4-processed-gene-1.113-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.113&CDS=1-1104, genemark-scaffold_8-processed-gene-3.16-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.16&CDS=1-1044	YMR083W
37	OG0000037	genemark-scaffold_1-processed-gene-12.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.47&CDS=1-1689, genemark-scaffold_3-processed-gene-10.206-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.206&CDS=1-1761, snap_masked-scaffold_3-processed-gene-10.68-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.68&CDS=1-1677	YEL063C, YNL268W
38	OG0000038	genemark-scaffold_33-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_33-processed-gene-0.7&CDS=1-1479, genemark-scaffold_5-processed-gene-6.59-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.59&CDS=1-1479, snap_masked-scaffold_1-processed-gene-14.91-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.91&CDS=1-2061	YGL160W, YLR047C
39	OG0000039	genemark-scaffold_1-processed-gene-14.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.13&CDS=1-1086	YLR155C, YLR157C, YLR158C, YLR160C
40	OG0000040	genemark-scaffold_11-processed-gene-1.116-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.116&CDS=1-708	YDR533C, YMR322C, YOR391C, YPL280W
41	OG0000041	genemark-scaffold_12-processed-gene-3.162-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.162&CDS=1-1671, genemark-scaffold_25-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.24&CDS=1-1686, genemark-scaffold_4-processed-gene-9.174-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.174&CDS=1-1623, maker-scaffold_11-snap-gene-1.174-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.174&CDS=1-1653	YDL174C
42	OG0000042	genemark-scaffold_11-processed-gene-2.100-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.100&CDS=1-849, genemark-scaffold_9-processed-gene-2.141-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.141&CDS=1-849, maker-scaffold_2-augustus-gene-5.51-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-5.51&CDS=1-3237	YER175C, YHR209W
43	OG0000043	genemark-scaffold_12-processed-gene-2.140-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.140&CDS=1-3204, genemark-scaffold_6-processed-gene-3.146-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.146&CDS=1-3186	YDR038C, YDR039C, YDR040C
44	OG0000044	augustus_masked-scaffold_16-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.64&CDS=1-906, genemark-scaffold_12-processed-gene-3.155-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.155&CDS=1-849	YFR032C, YHL034C, YLL046C
45	OG0000045	augustus_masked-scaffold_15-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-0.62&CDS=1-2136, genemark-scaffold_34-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_34-processed-gene-0.3&CDS=1-1893	YOR389W, YPL277C, YPL278C
46	OG0000046	snap_masked-scaffold_15-processed-gene-1.145-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-1.145&CDS=1-2232	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
47	OG0000047	maker-scaffold_17-snap-gene-1.205-mRNA-1_1&gene=maker-scaffold_17-snap-gene-1.205&CDS=1-16128, maker-scaffold_20-snap-gene-0.161-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.161&CDS=1-8634	YDR406W, YOR153W, YOR328W
48	OG0000048	genemark-scaffold_37-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_37-processed-gene-0.12&CDS=1-1005, genemark-scaffold_37-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_37-processed-gene-0.13&CDS=1-1419, maker-scaffold_19-augustus-gene-0.327-mRNA-1_1&gene=maker-scaffold_19-augustus-gene-0.327&CDS=1-3312	YAR014C, YBR017C
49	OG0000049	genemark-scaffold_2-processed-gene-8.44-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.44&CDS=1-309, genemark-scaffold_2-processed-gene-9.22-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.22&CDS=1-390	YCR083W, YGR209C, YLR043C
50	OG0000050	genemark-scaffold_2-processed-gene-9.18-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.18&CDS=1-1812, genemark-scaffold_8-processed-gene-3.20-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.20&CDS=1-2037, genemark-scaffold_9-processed-gene-3.304-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.304&CDS=1-1419	YHR206W, YOR140W
51	OG0000051	augustus_masked-scaffold_4-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.46&CDS=1-1767, genemark-scaffold_25-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.28&CDS=1-837, genemark-scaffold_25-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.29&CDS=1-885	YDL119C, YGL154C
52	OG0000052	genemark-scaffold_26-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.103&CDS=1-1023	YDL244W, YFL058W, YJR156C, YNL332W
53	OG0000053	maker-scaffold_3-snap-gene-3.62-mRNA-1_1&gene=maker-scaffold_3-snap-gene-3.62&CDS=1-1203	YBR067C, YER011W, YIL011W, YOR010C
54	OG0000054	genemark-scaffold_3-processed-gene-10.183-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.183&CDS=1-1560, genemark-scaffold_3-processed-gene-9.152-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.152&CDS=1-1539	YER056C, YER060W, YER060W-A
55	OG0000055	genemark-scaffold_4-processed-gene-1.105-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.105&CDS=1-1722, maker-scaffold_4-snap-gene-0.144-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.144&CDS=1-3006, maker-scaffold_5-augustus-gene-2.85-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.85&CDS=1-3420	YJL172W, YOL153C
56	OG0000056	genemark-scaffold_4-processed-gene-4.32-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.32&CDS=1-1659, genemark-scaffold_5-processed-gene-6.20-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.20&CDS=1-1764	YLR237W, YOR071C, YOR192C
57	OG0000057	genemark-scaffold_5-processed-gene-3.11-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.11&CDS=1-1164, genemark-scaffold_7-processed-gene-3.44-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.44&CDS=1-1041	YNL283C, YOL105C, YOR008C
58	OG0000058	augustus_masked-scaffold_6-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.50&CDS=1-1791	YCL069W, YGR224W, YKR105C, YPR198W
59	OG0000059	genemark-scaffold_1-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.93&CDS=1-684, genemark-scaffold_5-processed-gene-2.121-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.121&CDS=1-2148	YDR043C, YGR067C
60	OG0000060	genemark-scaffold_1-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.95&CDS=1-1773, genemark-scaffold_7-processed-gene-4.239-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.239&CDS=1-1581	YDR037W, YNL073W
61	OG0000061	genemark-scaffold_1-processed-gene-0.130-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.130&CDS=1-1701, genemark-scaffold_2-processed-gene-8.38-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.38&CDS=1-1671, maker-scaffold_7-snap-gene-0.93-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.93&CDS=1-1812	YOR348C
62	OG0000062	genemark-scaffold_1-processed-gene-2.166-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.166&CDS=1-2274, genemark-scaffold_17-processed-gene-1.57-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.57&CDS=1-2724	YER017C, YMR089C
63	OG0000063	genemark-scaffold_1-processed-gene-2.167-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.167&CDS=1-408, genemark-scaffold_7-processed-gene-3.11-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.11&CDS=1-408	YBR010W, YNL031C
