	OrthologID	Saccharomyces_cerevisiae	yHAB166_Kazachstania_yakushimaensis
10	OG0000010	YHR179W	augustus_masked-scf7180000044583-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-scf7180000044583-processed-gene-0.152&CDS=1-1200, augustus_masked-scf7180000044583-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-scf7180000044583-processed-gene-0.180&CDS=1-1200, augustus_masked-scf7180000044588-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000044588-processed-gene-0.32&CDS=1-1200, augustus_masked-scf7180000044629-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-scf7180000044629-processed-gene-0.190&CDS=1-1200, augustus_masked-scf7180000044632-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-0.18&CDS=1-1200, maker-scf7180000044621-augustus-gene-0.4-mRNA-1_1&gene=maker-scf7180000044621-augustus-gene-0.4&CDS=1-1158
11	OG0000011	YLR450W, YML075C	augustus_masked-scf7180000044609-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000044609-processed-gene-0.79&CDS=1-3213, snap_masked-scf7180000043837-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000043837-processed-gene-0.2&CDS=1-1293, snap_masked-scf7180000043838-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000043838-processed-gene-0.2&CDS=1-1293, snap_masked-scf7180000043839-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000043839-processed-gene-0.1&CDS=1-1293, snap_masked-scf7180000044572-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scf7180000044572-processed-gene-0.70&CDS=1-3948
12	OG0000012	YAR042W, YDL019C	augustus_masked-scf7180000043856-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000043856-processed-gene-0.0&CDS=1-1254, augustus_masked-scf7180000044574-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000044574-processed-gene-0.82&CDS=1-3978, augustus_masked-scf7180000044581-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000044581-processed-gene-0.12&CDS=1-1683, maker-scf7180000044633-augustus-gene-0.48-mRNA-1_1&gene=maker-scf7180000044633-augustus-gene-0.48&CDS=1-5517
13	OG0000013	YBR197C, YPL077C	augustus_masked-scf7180000043832-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000043832-processed-gene-0.3&CDS=1-1014, augustus_masked-scf7180000044594-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-scf7180000044594-processed-gene-0.150&CDS=1-504, augustus_masked-scf7180000044612-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000044612-processed-gene-0.11&CDS=1-1113, augustus_masked-scf7180000044628-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000044628-processed-gene-0.45&CDS=1-1290
14	OG0000014	YCL009C	augustus_masked-scf7180000044597-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-scf7180000044597-processed-gene-1.43&CDS=1-2373, augustus_masked-scf7180000044597-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-scf7180000044597-processed-gene-1.44&CDS=1-1632, augustus_masked-scf7180000044597-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scf7180000044597-processed-gene-1.47&CDS=1-1533, maker-scf7180000044597-snap-gene-1.9-mRNA-1_1&gene=maker-scf7180000044597-snap-gene-1.9&CDS=1-1317, snap_masked-scf7180000044597-processed-gene-1.194-mRNA-1_1&gene=snap_masked-scf7180000044597-processed-gene-1.194&CDS=1-2754
15	OG0000015	YCL075W	augustus_masked-scf7180000043992-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000043992-processed-gene-0.2&CDS=1-423, augustus_masked-scf7180000044578-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000044578-processed-gene-0.11&CDS=1-1911, snap_masked-scf7180000044606-processed-gene-0.63-mRNA-1_1&gene=snap_masked-scf7180000044606-processed-gene-0.63&CDS=1-501, snap_masked-scf7180000044611-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scf7180000044611-processed-gene-1.69&CDS=1-732, snap_masked-scf7180000044639-processed-gene-3.191-mRNA-1_1&gene=snap_masked-scf7180000044639-processed-gene-3.191&CDS=1-300
16	OG0000016	YER011W, YOR009W, YOR010C	augustus_masked-scf7180000044641-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scf7180000044641-processed-gene-1.108&CDS=1-735, snap_masked-scf7180000044634-processed-gene-0.161-mRNA-1_1&gene=snap_masked-scf7180000044634-processed-gene-0.161&CDS=1-1275, snap_masked-scf7180000044634-processed-gene-0.163-mRNA-1_1&gene=snap_masked-scf7180000044634-processed-gene-0.163&CDS=1-693
17	OG0000017	YKL081W, YPL048W	augustus_masked-scf7180000044549-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000044549-processed-gene-0.12&CDS=1-1236, augustus_masked-scf7180000044626-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000044626-processed-gene-0.24&CDS=1-1182, augustus_masked-scf7180000044627-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000044627-processed-gene-0.6&CDS=1-1446, augustus_masked-scf7180000044645-processed-gene-4.170-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-4.170&CDS=1-1236
18	OG0000018	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-scf7180000044553-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000044553-processed-gene-0.4&CDS=1-1425
19	OG0000019	YML116W, YMR279C	augustus_masked-scf7180000043868-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000043868-processed-gene-0.2&CDS=1-1176, augustus_masked-scf7180000044629-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-scf7180000044629-processed-gene-0.162&CDS=1-1626, augustus_masked-scf7180000044633-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-scf7180000044633-processed-gene-0.136&CDS=1-1725, augustus_masked-scf7180000044645-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-0.8&CDS=1-1695
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-scf7180000044596-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-0.27&CDS=1-5190
21	OG0000021	YBR145W, YMR083W, YMR303C, YOL086C	maker-scf7180000044574-augustus-gene-0.78-mRNA-1_1&gene=maker-scf7180000044574-augustus-gene-0.78&CDS=1-2418
22	OG0000022	YBR245C, YOR304W	augustus_masked-scf7180000044627-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-scf7180000044627-processed-gene-2.101&CDS=1-3423, augustus_masked-scf7180000044629-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-scf7180000044629-processed-gene-0.210&CDS=1-3396, augustus_masked-scf7180000044634-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000044634-processed-gene-0.17&CDS=1-3120
23	OG0000023	YBR258C	augustus_masked-scf7180000043840-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000043840-processed-gene-0.5&CDS=1-315, augustus_masked-scf7180000043842-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043842-processed-gene-0.1&CDS=1-330, snap_masked-scf7180000043809-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000043809-processed-gene-0.5&CDS=1-237, snap_masked-scf7180000044528-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000044528-processed-gene-0.3&CDS=1-381
24	OG0000024	YCR048W, YNR019W	augustus_masked-scf7180000044564-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000044564-processed-gene-0.14&CDS=1-1920, augustus_masked-scf7180000044648-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000044648-processed-gene-0.13&CDS=1-1647, snap_masked-scf7180000044586-processed-gene-0.58-mRNA-1_1&gene=snap_masked-scf7180000044586-processed-gene-0.58&CDS=1-1761
25	OG0000025	YCR102C, YLR460C, YNL134C	augustus_masked-scf7180000044564-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000044564-processed-gene-0.22&CDS=1-1116, maker-scf7180000044564-augustus-gene-0.55-mRNA-1_1&gene=maker-scf7180000044564-augustus-gene-0.55&CDS=1-2229
26	OG0000026	YDL224C, YNL197C	augustus_masked-scf7180000044533-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044533-processed-gene-0.2&CDS=1-774, genemark-scf7180000044646-processed-gene-1.63-mRNA-1_1&gene=genemark-scf7180000044646-processed-gene-1.63&CDS=1-2160, snap_masked-scf7180000044642-processed-gene-0.191-mRNA-1_1&gene=snap_masked-scf7180000044642-processed-gene-0.191&CDS=1-2289
27	OG0000027	YDR125C, YLR099C	augustus_masked-scf7180000043857-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000043857-processed-gene-0.2&CDS=1-1101, augustus_masked-scf7180000043858-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043858-processed-gene-0.1&CDS=1-1083, augustus_masked-scf7180000044643-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-scf7180000044643-processed-gene-1.188&CDS=1-1293
28	OG0000028	YDR185C, YLR168C, YLR193C	maker-scf7180000044594-snap-gene-0.141-mRNA-1_1&gene=maker-scf7180000044594-snap-gene-0.141&CDS=1-1704, snap_masked-scf7180000044632-processed-gene-2.97-mRNA-1_1&gene=snap_masked-scf7180000044632-processed-gene-2.97&CDS=1-1194
29	OG0000029	YDR369C, YDR370C	augustus_masked-scf7180000044068-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044068-processed-gene-0.0&CDS=1-549, augustus_masked-scf7180000044640-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-1.14&CDS=1-3885, snap_masked-scf7180000044302-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044302-processed-gene-0.1&CDS=1-237
30	OG0000030	YDR440W	augustus_masked-scf7180000043820-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000043820-processed-gene-0.3&CDS=1-1140, augustus_masked-scf7180000043821-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000043821-processed-gene-0.3&CDS=1-1029, augustus_masked-scf7180000044490-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044490-processed-gene-0.0&CDS=1-2562, genemark-scf7180000044556-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000044556-processed-gene-0.0&CDS=1-2562
31	OG0000031	YEL063C, YNL268W	augustus_masked-scf7180000043853-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043853-processed-gene-0.1&CDS=1-939, augustus_masked-scf7180000044489-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000044489-processed-gene-0.5&CDS=1-1704, augustus_masked-scf7180000044646-processed-gene-2.173-mRNA-1_1&gene=augustus_masked-scf7180000044646-processed-gene-2.173&CDS=1-1812
32	OG0000032	YER111C	augustus_masked-scf7180000043933-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000043933-processed-gene-0.0&CDS=1-930, augustus_masked-scf7180000043936-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000043936-processed-gene-0.2&CDS=1-771, augustus_masked-scf7180000044593-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scf7180000044593-processed-gene-0.95&CDS=1-3225, augustus_masked-scf7180000044595-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-scf7180000044595-processed-gene-1.152&CDS=1-3240
33	OG0000033	YGR021W, YGR023W, YLR332W	augustus_masked-scf7180000044321-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044321-processed-gene-0.2&CDS=1-360, augustus_masked-scf7180000044631-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-scf7180000044631-processed-gene-1.170&CDS=1-2661
34	OG0000034	YGR049W, YLR356W	augustus_masked-scf7180000044611-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-scf7180000044611-processed-gene-3.4&CDS=1-627, augustus_masked-scf7180000044631-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-scf7180000044631-processed-gene-1.161&CDS=1-633, snap_masked-scf7180000044183-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044183-processed-gene-0.1&CDS=1-282
35	OG0000035	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-scf7180000044600-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000044600-processed-gene-0.51&CDS=1-1245
36	OG0000036	YGR197C, YJR015W	augustus_masked-scf7180000044574-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scf7180000044574-processed-gene-0.81&CDS=1-1842, augustus_masked-scf7180000044631-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-scf7180000044631-processed-gene-1.144&CDS=1-1587, augustus_masked-scf7180000044631-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-scf7180000044631-processed-gene-1.173&CDS=1-1518
37	OG0000037	YHL009W-A, YHL009W-B, YJL113W, YJL114W, YPL060C-A	
38	OG0000038	YIL068C	augustus_masked-scf7180000043807-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043807-processed-gene-0.1&CDS=1-1338, augustus_masked-scf7180000043823-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043823-processed-gene-0.1&CDS=1-1452, augustus_masked-scf7180000044642-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000044642-processed-gene-0.59&CDS=1-2403, snap_masked-scf7180000043824-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000043824-processed-gene-0.2&CDS=1-1395
39	OG0000039	YJR092W, YJR094W-A, YPR043W	augustus_masked-scf7180000044648-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-scf7180000044648-processed-gene-2.34&CDS=1-4038, snap_masked-scf7180000044630-processed-gene-1.81-mRNA-1_1&gene=snap_masked-scf7180000044630-processed-gene-1.81&CDS=1-2499
40	OG0000040	YJR127C, YML081W	augustus_masked-scf7180000043879-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000043879-processed-gene-0.0&CDS=1-1137, maker-scf7180000044634-augustus-gene-0.122-mRNA-1_1&gene=maker-scf7180000044634-augustus-gene-0.122&CDS=1-3669, snap_masked-scf7180000043874-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000043874-processed-gene-0.1&CDS=1-1128
41	OG0000041	YKR039W	augustus_masked-scf7180000044629-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-scf7180000044629-processed-gene-0.219&CDS=1-1797, augustus_masked-scf7180000044646-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-scf7180000044646-processed-gene-2.140&CDS=1-1785, maker-scf7180000044574-snap-gene-1.200-mRNA-1_1&gene=maker-scf7180000044574-snap-gene-1.200&CDS=1-3588, maker-scf7180000044627-snap-gene-1.78-mRNA-1_1&gene=maker-scf7180000044627-snap-gene-1.78&CDS=1-3540
42	OG0000042	YLR178C, YLR179C	augustus_masked-scf7180000044592-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000044592-processed-gene-0.94&CDS=1-591, augustus_masked-scf7180000044617-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-scf7180000044617-processed-gene-0.146&CDS=1-585, augustus_masked-scf7180000044637-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000044637-processed-gene-0.13&CDS=1-609
43	OG0000043	YLR342W, YMR306W	maker-scf7180000044647-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000044647-snap-gene-0.1&CDS=1-5412, snap_masked-scf7180000044611-processed-gene-3.137-mRNA-1_1&gene=snap_masked-scf7180000044611-processed-gene-3.137&CDS=1-5718, snap_masked-scf7180000044631-processed-gene-1.36-mRNA-1_1&gene=snap_masked-scf7180000044631-processed-gene-1.36&CDS=1-5472
44	OG0000044	YNR045W	augustus_masked-scf7180000043803-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000043803-processed-gene-0.2&CDS=1-483, augustus_masked-scf7180000043812-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000043812-processed-gene-0.2&CDS=1-483, augustus_masked-scf7180000044567-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000044567-processed-gene-0.42&CDS=1-1461, snap_masked-scf7180000044549-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000044549-processed-gene-0.14&CDS=1-483
45	OG0000045	YOL119C	augustus_masked-scf7180000044592-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000044592-processed-gene-0.78&CDS=1-1494, augustus_masked-scf7180000044592-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000044592-processed-gene-0.79&CDS=1-1473, augustus_masked-scf7180000044601-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000044601-processed-gene-0.40&CDS=1-1530, snap_masked-scf7180000044592-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000044592-processed-gene-0.42&CDS=1-1395
46	OG0000046	YPL058C	augustus_masked-scf7180000044482-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000044482-processed-gene-0.5&CDS=1-1974, augustus_masked-scf7180000044501-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044501-processed-gene-0.0&CDS=1-981, augustus_masked-scf7180000044506-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044506-processed-gene-0.0&CDS=1-1926, augustus_masked-scf7180000044628-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000044628-processed-gene-0.51&CDS=1-1974
47	OG0000047	YAL018C, YOL048C	augustus_masked-scf7180000044580-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.151&CDS=1-897, augustus_masked-scf7180000044641-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-scf7180000044641-processed-gene-2.14&CDS=1-2889
48	OG0000048	YAL028W, YOR324C	augustus_masked-scf7180000044580-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.148&CDS=1-2193, snap_masked-scf7180000044641-processed-gene-2.91-mRNA-1_1&gene=snap_masked-scf7180000044641-processed-gene-2.91&CDS=1-1677
49	OG0000049	YAL054C, YLR153C	augustus_masked-scf7180000044572-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000044572-processed-gene-0.22&CDS=1-2151, augustus_masked-scf7180000044589-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-scf7180000044589-processed-gene-1.143&CDS=1-2022
