	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034988_Candida_fructus
20	OG0000020	YBR240C	augustus_masked-flattened_line_12-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.31&CDS=1-1701, augustus_masked-flattened_line_59-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.7&CDS=1-777, augustus_masked-flattened_line_77-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_77-processed-gene-0.6&CDS=1-501, augustus_masked-flattened_line_8-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.23&CDS=1-1818
21	OG0000021	YBR297W, YFL052W, YGR288W, YPR196W	maker-flattened_line_221-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_221-snap-gene-0.1&CDS=1-1986
22	OG0000022	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_179-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_179-processed-gene-0.16&CDS=1-1362
23	OG0000023	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_123-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.8&CDS=1-4305, augustus_masked-flattened_line_127-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.60&CDS=1-3732
24	OG0000024	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_28-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.143&CDS=1-2799, maker-flattened_line_87-snap-gene-0.123-mRNA-1_1&gene=maker-flattened_line_87-snap-gene-0.123&CDS=1-2631
25	OG0000025	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_113-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_113-processed-gene-0.82&CDS=1-1038
26	OG0000026	YDR242W	augustus_masked-flattened_line_2-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.109&CDS=1-1719, augustus_masked-flattened_line_42-processed-gene-0.231-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.231&CDS=1-1632, augustus_masked-flattened_line_87-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.21&CDS=1-1638, snap_masked-flattened_line_189-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_189-processed-gene-0.5&CDS=1-1689
27	OG0000027	YDR380W, YLR044C	augustus_masked-flattened_line_0-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.2&CDS=1-1851, augustus_masked-flattened_line_195-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_195-processed-gene-0.1&CDS=1-1728, augustus_masked-flattened_line_2-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.126&CDS=1-1686
28	OG0000028	YDR385W, YKL173W, YOR133W	augustus_masked-flattened_line_103-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_103-processed-gene-0.23&CDS=1-2526, augustus_masked-flattened_line_46-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.183&CDS=1-2931
29	OG0000029	YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-flattened_line_18-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.32&CDS=1-2331
30	OG0000030	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_24-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.104&CDS=1-1530, maker-flattened_line_30-augustus-gene-0.124-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-0.124&CDS=1-3387
31	OG0000031	YGR192C, YJL052W, YJR009C	augustus_masked-flattened_line_14-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.17&CDS=1-996, augustus_masked-flattened_line_63-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.138&CDS=1-993
32	OG0000032	YGR197C, YJR015W	augustus_masked-flattened_line_48-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.169&CDS=1-1515, augustus_masked-flattened_line_59-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.13&CDS=1-1461, augustus_masked-flattened_line_59-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.40&CDS=1-1701
33	OG0000033	YIL002C, YNL106C, YOR109W	augustus_masked-flattened_line_79-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.30&CDS=1-3129, maker-flattened_line_38-augustus-gene-0.180-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.180&CDS=1-3105
34	OG0000034	YJL042W, YOR227W, YPL137C	augustus_masked-flattened_line_2-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.125&CDS=1-3717, augustus_masked-flattened_line_4-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.107&CDS=1-3501
35	OG0000035	YJL081C, YPR034W	augustus_masked-flattened_line_105-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.108&CDS=1-1416, augustus_masked-flattened_line_52-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.201&CDS=1-1266, augustus_masked-flattened_line_8-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.21&CDS=1-1392
36	OG0000036	YJL089W, YPL248C	augustus_masked-flattened_line_14-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.15&CDS=1-1260, snap_masked-flattened_line_10-processed-gene-2.122-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.122&CDS=1-720, snap_masked-flattened_line_93-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_93-processed-gene-0.73&CDS=1-3174
37	OG0000037	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
38	OG0000038	YLR098C, YOR337W	augustus_masked-flattened_line_42-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.203&CDS=1-1713, augustus_masked-flattened_line_75-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_75-processed-gene-0.107&CDS=1-1662, genemark-flattened_line_195-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_195-processed-gene-0.9&CDS=1-2337
39	OG0000039	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-flattened_line_103-snap-gene-0.105-mRNA-1_1&gene=maker-flattened_line_103-snap-gene-0.105&CDS=1-180
40	OG0000040	YML072C, YNL087W, YOR086C	augustus_masked-flattened_line_0-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.24&CDS=1-4779, augustus_masked-flattened_line_54-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.181&CDS=1-3528
41	OG0000041	YMR303C, YOL086C	augustus_masked-flattened_line_10-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.21&CDS=1-1155, augustus_masked-flattened_line_161-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_161-processed-gene-0.23&CDS=1-1044, augustus_masked-flattened_line_8-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.27&CDS=1-1044
42	OG0000042	YAL023C, YGR199W	augustus_masked-flattened_line_14-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.39&CDS=1-2259, augustus_masked-flattened_line_48-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.209&CDS=1-2325
43	OG0000043	YAL054C, YLR153C	augustus_masked-flattened_line_121-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.63&CDS=1-2016, augustus_masked-flattened_line_137-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_137-processed-gene-0.40&CDS=1-2025
44	OG0000044	YAR035W, YER024W	augustus_masked-flattened_line_44-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.41&CDS=1-2232, augustus_masked-flattened_line_52-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.210&CDS=1-2550
45	OG0000045	YBL002W, YDR224C	augustus_masked-flattened_line_6-processed-gene-2.164-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.164&CDS=1-390, augustus_masked-flattened_line_83-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.8&CDS=1-390
46	OG0000046	YBL011W, YKR067W	augustus_masked-flattened_line_48-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.184&CDS=1-2307, augustus_masked-flattened_line_57-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.41&CDS=1-2025
47	OG0000047	YBL052C, YOR244W	augustus_masked-flattened_line_0-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.101&CDS=1-2475, augustus_masked-flattened_line_38-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.49&CDS=1-1422
48	OG0000048	YBR008C	augustus_masked-flattened_line_163-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_163-processed-gene-0.4&CDS=1-1644, augustus_masked-flattened_line_18-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.42&CDS=1-1641, augustus_masked-flattened_line_22-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.80&CDS=1-1647
49	OG0000049	YBR009C, YNL030W	augustus_masked-flattened_line_129-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_129-processed-gene-0.59&CDS=1-309, augustus_masked-flattened_line_16-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.239&CDS=1-309
50	OG0000050	YBR011C, YMR267W	augustus_masked-flattened_line_20-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.143&CDS=1-984, augustus_masked-flattened_line_79-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.28&CDS=1-852
51	OG0000051	YBR019C, YHR210C, YNR071C	snap_masked-flattened_line_155-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_155-processed-gene-0.8&CDS=1-1197
52	OG0000052	YBR021W, YIR028W	augustus_masked-flattened_line_6-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.95&CDS=1-1776, maker-flattened_line_24-augustus-gene-0.81-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.81&CDS=1-2439
53	OG0000053	YBR025C, YHL014C	augustus_masked-flattened_line_153-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_153-processed-gene-0.37&CDS=1-1227, augustus_masked-flattened_line_18-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.27&CDS=1-1188
54	OG0000054	YBR067C, YIL011W, YOR010C	augustus_masked-flattened_line_24-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.93&CDS=1-441
55	OG0000055	YBR073W, YGL163C	augustus_masked-flattened_line_4-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.99&CDS=1-2775, augustus_masked-flattened_line_95-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.0&CDS=1-2085
56	OG0000056	YBR139W, YMR297W	augustus_masked-flattened_line_125-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.13&CDS=1-1626, augustus_masked-flattened_line_59-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.14&CDS=1-1638
57	OG0000057	YBR150C, YOL089C	augustus_masked-flattened_line_2-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.125&CDS=1-2355, augustus_masked-flattened_line_2-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.126&CDS=1-2307
58	OG0000058	YBR245C, YOR304W	augustus_masked-flattened_line_26-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.120&CDS=1-3186, genemark-flattened_line_28-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.119&CDS=1-3087
59	OG0000059	YBR249C, YDR035W	augustus_masked-flattened_line_50-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.1&CDS=1-1119, augustus_masked-flattened_line_79-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.2&CDS=1-1095
60	OG0000060	YBR263W, YLR058C	augustus_masked-flattened_line_26-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.36&CDS=1-1410, augustus_masked-flattened_line_59-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.42&CDS=1-1467
61	OG0000061	YBR273C, YJL048C	snap_masked-flattened_line_56-processed-gene-0.138-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.138&CDS=1-999, snap_masked-flattened_line_56-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.93&CDS=1-999
62	OG0000062	YBR283C, YLR378C	augustus_masked-flattened_line_32-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.13&CDS=1-1473, augustus_masked-flattened_line_83-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.14&CDS=1-1434
63	OG0000063	YCR028C, YGR260W	augustus_masked-flattened_line_18-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.97&CDS=1-1497, augustus_masked-flattened_line_87-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.20&CDS=1-1437
64	OG0000064	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_105-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.98&CDS=1-1086
65	OG0000065	YCR105W, YMR318C	augustus_masked-flattened_line_0-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.36&CDS=1-1086, genemark-flattened_line_187-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_187-processed-gene-0.1&CDS=1-1095
66	OG0000066	YDL037C, YIR019C	augustus_masked-flattened_line_207-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_207-processed-gene-0.2&CDS=1-984, augustus_masked-flattened_line_247-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_247-processed-gene-0.0&CDS=1-654
67	OG0000067	YDL066W, YLR174W	augustus_masked-flattened_line_12-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.25&CDS=1-1230, augustus_masked-flattened_line_26-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.139&CDS=1-1284
68	OG0000068	YDL093W, YDL095W	augustus_masked-flattened_line_22-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.46&CDS=1-2220, maker-flattened_line_48-augustus-gene-0.153-mRNA-1_1&gene=maker-flattened_line_48-augustus-gene-0.153&CDS=1-6321
69	OG0000069	YDL137W, YDL192W	augustus_masked-flattened_line_0-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.29&CDS=1-540, augustus_masked-flattened_line_67-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_67-processed-gene-0.12&CDS=1-543
70	OG0000070	YDL138W, YDL194W	augustus_masked-flattened_line_187-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_187-processed-gene-0.14&CDS=1-1566, augustus_masked-flattened_line_67-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_67-processed-gene-0.38&CDS=1-2013
