	OrthologID	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
17	OG0000017	augustus_masked-LN736360.1-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-2.108&CDS=1-633, augustus_masked-LN736362.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LN736362.1-processed-gene-0.65&CDS=1-699, augustus_masked-LN736367.1-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-1.31&CDS=1-651, augustus_masked-LN736367.1-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-6.10&CDS=1-642, augustus_masked-LN736367.1-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-6.11&CDS=1-642, snap_masked-LN736367.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.103&CDS=1-651	
18	OG0000018	maker-LN736360.1-snap-gene-2.100-mRNA-1_1&gene=maker-LN736360.1-snap-gene-2.100&CDS=1-1947, snap_masked-LN736363.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.103&CDS=1-1563, snap_masked-LN736373.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-LN736373.1-processed-gene-1.16&CDS=1-1566	YER073W, YOR374W, YPL061W
19	OG0000019	augustus_masked-LN736360.1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-4.24&CDS=1-4482, snap_masked-LN736366.1-processed-gene-2.90-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.90&CDS=1-4509	YBL017C, YIL173W, YJL222W, YNR065C
20	OG0000020	augustus_masked-LN736360.1-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.19&CDS=1-1839, augustus_masked-LN736374.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-LN736374.1-processed-gene-0.66&CDS=1-1422, snap_masked-LN736363.1-processed-gene-6.76-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-6.76&CDS=1-1803	YGL257C, YIL014W, YNR059W
21	OG0000021	maker-LN736360.1-snap-gene-12.0-mRNA-1_1&gene=maker-LN736360.1-snap-gene-12.0&CDS=1-933, snap_masked-LN736369.1-processed-gene-4.110-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-4.110&CDS=1-1926, snap_masked-LN736372.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-2.87&CDS=1-1629	YER133W, YML016C, YPL179W
22	OG0000022	snap_masked-LN736361.1-processed-gene-4.9-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-4.9&CDS=1-1404, snap_masked-LN736363.1-processed-gene-5.14-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-5.14&CDS=1-1746, snap_masked-LN736364.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-4.15&CDS=1-1530	YHR050W, YLR034C, YOL122C
23	OG0000023	snap_masked-LN736363.1-processed-gene-3.105-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.105&CDS=1-1236, snap_masked-LN736363.1-processed-gene-3.138-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.138&CDS=1-1335, snap_masked-LN736363.1-processed-gene-6.75-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-6.75&CDS=1-1173	YBR205W, YDR483W, YOR099W
24	OG0000024	genemark-LN736367.1-processed-gene-4.68-mRNA-1_1&gene=genemark-LN736367.1-processed-gene-4.68&CDS=1-5034, snap_masked-LN736364.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-3.54&CDS=1-4521	YDR011W, YDR406W, YNR070W, YOR153W
25	OG0000025	augustus_masked-LN736366.1-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-3.109&CDS=1-3588, augustus_masked-LN736366.1-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-3.116&CDS=1-2622, snap_masked-LN736366.1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.16&CDS=1-3009	YGR212W, YJR061W, YKL201C
26	OG0000026	maker-LN736367.1-augustus-gene-6.125-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-6.125&CDS=1-6828, snap_masked-LN736366.1-processed-gene-5.75-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-5.75&CDS=1-4503, snap_masked-LN736370.1-processed-gene-3.44-mRNA-1_1&gene=snap_masked-LN736370.1-processed-gene-3.44&CDS=1-2358	YDR135C, YJL200C, YLR304C
27	OG0000027		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
28	OG0000028	snap_masked-LN736360.1-processed-gene-10.45-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.45&CDS=1-1959, snap_masked-LN736365.1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.8&CDS=1-1929	YBL042C, YBR021W, YIR028W
29	OG0000029	snap_masked-LN736360.1-processed-gene-13.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.59&CDS=1-1053, snap_masked-LN736361.1-processed-gene-2.104-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-2.104&CDS=1-1164, snap_masked-LN736369.1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-4.134&CDS=1-1053	YMR303C, YOL086C
30	OG0000030	maker-LN736367.1-augustus-gene-3.36-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-3.36&CDS=1-1392, snap_masked-LN736360.1-processed-gene-15.85-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.85&CDS=1-924, snap_masked-LN736367.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.66&CDS=1-921	YDR368W, YOR120W
31	OG0000031	snap_masked-LN736360.1-processed-gene-17.82-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.82&CDS=1-1689, snap_masked-LN736361.1-processed-gene-5.87-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-5.87&CDS=1-1599, snap_masked-LN736369.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-2.76&CDS=1-1632, snap_masked-LN736371.1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-2.126&CDS=1-1575	YBR008C
32	OG0000032	snap_masked-LN736360.1-processed-gene-17.116-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.116&CDS=1-1842, snap_masked-LN736372.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-2.121&CDS=1-1818	YBR298C, YDL247W, YJR160C
33	OG0000033	augustus_masked-LN736361.1-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-4.87&CDS=1-1353, augustus_masked-LN736366.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.22&CDS=1-975	YIR013C, YLR013W, YMR136W
34	OG0000034	augustus_masked-LN736361.1-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-6.101&CDS=1-2157, augustus_masked-LN736367.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.7&CDS=1-2313	YKL222C, YOR162C, YOR172W
35	OG0000035	snap_masked-LN736361.1-processed-gene-7.6-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-7.6&CDS=1-2445, snap_masked-LN736370.1-processed-gene-3.43-mRNA-1_1&gene=snap_masked-LN736370.1-processed-gene-3.43&CDS=1-2712	YCR037C, YJL198W, YNR013C
36	OG0000036	snap_masked-LN736361.1-processed-gene-8.47-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-8.47&CDS=1-1497, snap_masked-LN736363.1-processed-gene-5.40-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-5.40&CDS=1-1863, snap_masked-LN736364.1-processed-gene-3.35-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-3.35&CDS=1-3519	YDR338C, YHR032W
37	OG0000037	snap_masked-LN736362.1-processed-gene-7.31-mRNA-1_1&gene=snap_masked-LN736362.1-processed-gene-7.31&CDS=1-993, snap_masked-LN736369.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-4.95&CDS=1-996	YGR192C, YJL052W, YJR009C
38	OG0000038	snap_masked-LN736363.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-1.77&CDS=1-1830, snap_masked-LN736365.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-0.32&CDS=1-1692	YDL080C, YLR044C, YLR134W
39	OG0000039	snap_masked-LN736363.1-processed-gene-8.1-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-8.1&CDS=1-1350, snap_masked-LN736371.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-0.65&CDS=1-1044	YIL123W, YKR042W, YNL066W
40	OG0000040	snap_masked-LN736365.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-1.95&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
41	OG0000041	snap_masked-LN736366.1-processed-gene-4.103-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-4.103&CDS=1-1743, snap_masked-LN736371.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-1.46&CDS=1-2397	YDR144C, YLR120C, YLR121C
42	OG0000042	snap_masked-LN736367.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.38&CDS=1-1023	YDR541C, YGL039W, YGL157W, YOL151W
43	OG0000043		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
44	OG0000044	snap_masked-LN736360.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.4&CDS=1-1461, snap_masked-LN736360.1-processed-gene-17.92-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.92&CDS=1-1524, snap_masked-LN736372.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-0.7&CDS=1-1608	YGR260W
45	OG0000045	snap_masked-LN736360.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-2.85&CDS=1-909, snap_masked-LN736367.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.39&CDS=1-909, snap_masked-LN736383.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LN736383.1-processed-gene-0.3&CDS=1-909	YPR058W
46	OG0000046	augustus_masked-LN736360.1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-2.107&CDS=1-1554	YER056C, YER060W, YER060W-A
47	OG0000047	snap_masked-LN736360.1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-3.112&CDS=1-1347, snap_masked-LN736363.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-0.117&CDS=1-2244	YBL052C, YOR244W
48	OG0000048	augustus_masked-LN736360.1-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-4.29&CDS=1-2427, augustus_masked-LN736363.1-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-LN736363.1-processed-gene-1.133&CDS=1-747	YNL148C, YPL174C
49	OG0000049	snap_masked-LN736360.1-processed-gene-4.132-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-4.132&CDS=1-2439, snap_masked-LN736365.1-processed-gene-3.50-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.50&CDS=1-2601	YMR054W, YOR270C
50	OG0000050	augustus_masked-LN736360.1-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-5.117&CDS=1-2943, snap_masked-LN736361.1-processed-gene-7.9-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-7.9&CDS=1-2895	YGR240C, YMR205C
51	OG0000051	snap_masked-LN736360.1-processed-gene-7.61-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.61&CDS=1-2310, snap_masked-LN736364.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-5.7&CDS=1-1818	YGL073W, YOR140W
52	OG0000052	snap_masked-LN736360.1-processed-gene-8.106-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.106&CDS=1-2235, snap_masked-LN736361.1-processed-gene-2.128-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-2.128&CDS=1-2484	YER017C, YMR089C
53	OG0000053	augustus_masked-LN736364.1-processed-gene-4.163-mRNA-1_1&gene=augustus_masked-LN736364.1-processed-gene-4.163&CDS=1-2307, snap_masked-LN736360.1-processed-gene-9.80-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.80&CDS=1-1431	YOL030W, YOL132W
54	OG0000054	snap_masked-LN736360.1-processed-gene-9.62-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.62&CDS=1-1659, snap_masked-LN736363.1-processed-gene-3.120-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.120&CDS=1-1536	YDR256C, YGR088W
55	OG0000055	genemark-LN736360.1-processed-gene-10.23-mRNA-1_1&gene=genemark-LN736360.1-processed-gene-10.23&CDS=1-4818, snap_masked-LN736363.1-processed-gene-7.25-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-7.25&CDS=1-3957	YIL126W, YOR290C
56	OG0000056	snap_masked-LN736360.1-processed-gene-11.70-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.70&CDS=1-2106, snap_masked-LN736360.1-processed-gene-16.106-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.106&CDS=1-2115	YBL011W, YKR067W
57	OG0000057	snap_masked-LN736360.1-processed-gene-11.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.60&CDS=1-1269, snap_masked-LN736363.1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-1.97&CDS=1-1503	YER123W, YHR135C
58	OG0000058	augustus_masked-LN736368.1-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-LN736368.1-processed-gene-4.50&CDS=1-8193, snap_masked-LN736360.1-processed-gene-13.64-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.64&CDS=1-6918	YLR454W, YPR117W
59	OG0000059	augustus_masked-LN736360.1-processed-gene-15.115-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-15.115&CDS=1-3489, augustus_masked-LN736362.1-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-LN736362.1-processed-gene-1.116&CDS=1-1488	YDR369C, YNL026W
60	OG0000060	maker-LN736360.1-snap-gene-17.123-mRNA-1_1&gene=maker-LN736360.1-snap-gene-17.123&CDS=1-4035, snap_masked-LN736370.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-LN736370.1-processed-gene-1.119&CDS=1-6018	YIL159W, YNL271C
61	OG0000061	snap_masked-LN736360.1-processed-gene-17.119-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.119&CDS=1-1680, snap_masked-LN736363.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-1.57&CDS=1-1770, snap_masked-LN736367.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.59&CDS=1-1659	YNL125C
62	OG0000062	augustus_masked-LN736361.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.28&CDS=1-1866, maker-LN736364.1-augustus-gene-3.115-mRNA-1_1&gene=maker-LN736364.1-augustus-gene-3.115&CDS=1-3402	YKL046C, YMR238W
63	OG0000063	augustus_masked-LN736367.1-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.8&CDS=1-1179, maker-LN736361.1-augustus-gene-0.86-mRNA-1_1&gene=maker-LN736361.1-augustus-gene-0.86&CDS=1-2088	YBR025C, YHL014C
