	OrthologID	Hanseniaspora_vinae	Saccharomyces_cerevisiae
11	OG0000011	augustus_masked-JFAV02000210.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000210.1-processed-gene-0.63&CDS=1-2538, augustus_masked-JFAV02000249.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000249.1-processed-gene-0.2&CDS=1-3711, snap_masked-JFAV02000303.1-processed-gene-0.177-mRNA-1_1&gene=snap_masked-JFAV02000303.1-processed-gene-0.177&CDS=1-1386	YBR059C, YIL095W, YNL020C, YPL236C
12	OG0000012	augustus_masked-JFAV02000231.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-JFAV02000231.1-processed-gene-0.50&CDS=1-2211, augustus_masked-JFAV02000293.1-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-1.20&CDS=1-3063, snap_masked-JFAV02000242.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-JFAV02000242.1-processed-gene-0.3&CDS=1-3183	YER040W, YFL021W, YJL110C, YKR034W
13	OG0000013	augustus_masked-JFAV02000053.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000053.1-processed-gene-0.0&CDS=1-1437, augustus_masked-JFAV02000152.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-1.61&CDS=1-4659, augustus_masked-JFAV02000193.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000193.1-processed-gene-0.14&CDS=1-2406, augustus_masked-JFAV02000262.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000262.1-processed-gene-0.27&CDS=1-4740	YOR153W, YPL058C
14	OG0000014	maker-JFAV02000063.1-snap-gene-0.1-mRNA-1_1&gene=maker-JFAV02000063.1-snap-gene-0.1&CDS=1-240, maker-JFAV02000063.1-snap-gene-0.3-mRNA-1_1&gene=maker-JFAV02000063.1-snap-gene-0.3&CDS=1-888	Q0105, Q0110, Q0115, Q0120
15	OG0000015	augustus_masked-JFAV02000090.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000090.1-processed-gene-0.6&CDS=1-1842, augustus_masked-JFAV02000265.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-JFAV02000265.1-processed-gene-0.79&CDS=1-1932, augustus_masked-JFAV02000291.1-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-1.34&CDS=1-2082	YAL005C, YDL229W, YJL034W
16	OG0000016	augustus_masked-JFAV02000126.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-JFAV02000126.1-processed-gene-0.67&CDS=1-1056, augustus_masked-JFAV02000218.1-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-JFAV02000218.1-processed-gene-0.144&CDS=1-1056, augustus_masked-JFAV02000293.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-0.89&CDS=1-1266, genemark-JFAV02000176.1-processed-gene-0.100-mRNA-1_1&gene=genemark-JFAV02000176.1-processed-gene-0.100&CDS=1-1122	YMR303C, YOL086C
17	OG0000017	augustus_masked-JFAV02000303.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000303.1-processed-gene-0.63&CDS=1-1473, snap_masked-JFAV02000142.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-JFAV02000142.1-processed-gene-0.21&CDS=1-849	YIR013C, YLR013W, YMR136W, YPL021W
18	OG0000018	augustus_masked-JFAV02000147.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000147.1-processed-gene-0.82&CDS=1-1413, augustus_masked-JFAV02000176.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.6&CDS=1-1785, augustus_masked-JFAV02000291.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.28&CDS=1-1707	YHR050W, YLR034C, YOL122C
19	OG0000019	maker-JFAV02000206.1-snap-gene-0.1-mRNA-1_1&gene=maker-JFAV02000206.1-snap-gene-0.1&CDS=1-1461, maker-JFAV02000218.1-augustus-gene-0.123-mRNA-1_1&gene=maker-JFAV02000218.1-augustus-gene-0.123&CDS=1-1137	YIL123W, YJL116C, YKR042W, YNL066W
20	OG0000020	augustus_masked-JFAV02000042.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000042.1-processed-gene-0.1&CDS=1-966, augustus_masked-JFAV02000261.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000261.1-processed-gene-0.47&CDS=1-2064, snap_masked-JFAV02000152.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-JFAV02000152.1-processed-gene-1.119&CDS=1-1422	YDL037C, YIR019C
21	OG0000021	snap_masked-JFAV02000059.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-JFAV02000059.1-processed-gene-0.2&CDS=1-1002	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
22	OG0000022	augustus_masked-JFAV02000209.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000209.1-processed-gene-0.1&CDS=1-1005, maker-JFAV02000080.1-snap-gene-0.2-mRNA-1_1&gene=maker-JFAV02000080.1-snap-gene-0.2&CDS=1-1254, maker-JFAV02000080.1-snap-gene-0.3-mRNA-1_1&gene=maker-JFAV02000080.1-snap-gene-0.3&CDS=1-915	YER185W, YGR213C
23	OG0000023	snap_masked-JFAV02000103.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.127&CDS=1-3231	YBR297W, YFL052W, YGR288W, YPR196W
24	OG0000024	augustus_masked-JFAV02000104.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.63&CDS=1-1497, augustus_masked-JFAV02000104.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.64&CDS=1-1593, snap_masked-JFAV02000104.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-0.27&CDS=1-3006, snap_masked-JFAV02000275.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-JFAV02000275.1-processed-gene-0.8&CDS=1-1446	YGR212W
25	OG0000025	augustus_masked-JFAV02000256.1-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-JFAV02000256.1-processed-gene-1.173&CDS=1-3867, snap_masked-JFAV02000113.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-JFAV02000113.1-processed-gene-0.6&CDS=1-2796	YDR303C, YHR054C, YHR056C
26	OG0000026	augustus_masked-JFAV02000122.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000122.1-processed-gene-0.16&CDS=1-588, augustus_masked-JFAV02000181.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000181.1-processed-gene-0.14&CDS=1-546	YDR178W, YLR164W, YOR297C
27	OG0000027	augustus_masked-JFAV02000256.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-JFAV02000256.1-processed-gene-0.99&CDS=1-2001, snap_masked-JFAV02000133.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-JFAV02000133.1-processed-gene-0.58&CDS=1-5388	YCL024W, YDR477W, YDR507C
28	OG0000028	augustus_masked-JFAV02000136.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000136.1-processed-gene-0.2&CDS=1-1215, augustus_masked-JFAV02000143.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000143.1-processed-gene-0.28&CDS=1-1578	YJL139C, YKR061W, YOR099W
29	OG0000029	snap_masked-JFAV02000145.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-JFAV02000145.1-processed-gene-0.16&CDS=1-2145, snap_masked-JFAV02000145.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-JFAV02000145.1-processed-gene-0.20&CDS=1-2061, snap_masked-JFAV02000145.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-JFAV02000145.1-processed-gene-0.21&CDS=1-1824, snap_masked-JFAV02000267.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-JFAV02000267.1-processed-gene-0.14&CDS=1-1638	YJL163C
30	OG0000030	augustus_masked-JFAV02000152.1-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-1.26&CDS=1-2049, augustus_masked-JFAV02000268.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000268.1-processed-gene-0.15&CDS=1-3030, augustus_masked-JFAV02000284.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.81&CDS=1-1317	YPL074W, YPR173C
31	OG0000031	augustus_masked-JFAV02000165.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-JFAV02000165.1-processed-gene-0.40&CDS=1-1632, augustus_masked-JFAV02000291.1-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-2.166&CDS=1-1674	YER056C, YER060W, YER060W-A
32	OG0000032	augustus_masked-JFAV02000177.1-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.128&CDS=1-3072, augustus_masked-JFAV02000296.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000296.1-processed-gene-0.8&CDS=1-3072	YCR037C, YJL198W, YNR013C
33	OG0000033	augustus_masked-JFAV02000219.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000219.1-processed-gene-0.1&CDS=1-3567, augustus_masked-JFAV02000301.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000301.1-processed-gene-0.4&CDS=1-1344	YAR019C, YFR014C, YOL016C
34	OG0000034	augustus_masked-JFAV02000241.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000241.1-processed-gene-0.27&CDS=1-3231, maker-JFAV02000294.1-snap-gene-0.90-mRNA-1_1&gene=maker-JFAV02000294.1-snap-gene-0.90&CDS=1-3648	YFR040W, YJL098W, YKR028W
35	OG0000035	augustus_masked-JFAV02000260.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000260.1-processed-gene-0.15&CDS=1-945, augustus_masked-JFAV02000290.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000290.1-processed-gene-0.0&CDS=1-210, augustus_masked-JFAV02000290.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000290.1-processed-gene-0.1&CDS=1-1728, maker-JFAV02000260.1-augustus-gene-0.34-mRNA-1_1&gene=maker-JFAV02000260.1-augustus-gene-0.34&CDS=1-3441	YCR098C
36	OG0000036	augustus_masked-JFAV02000265.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-JFAV02000265.1-processed-gene-0.76&CDS=1-4917	YBL017C, YIL173W, YJL222W, YNR065C
37	OG0000037	augustus_masked-JFAV02000012.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000012.1-processed-gene-0.0&CDS=1-507, augustus_masked-JFAV02000145.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000145.1-processed-gene-0.12&CDS=1-507, snap_masked-JFAV02000147.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-JFAV02000147.1-processed-gene-0.18&CDS=1-4308	YMR129W
38	OG0000038	augustus_masked-JFAV02000013.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000013.1-processed-gene-0.0&CDS=1-384, maker-JFAV02000245.1-augustus-gene-0.6-mRNA-1_1&gene=maker-JFAV02000245.1-augustus-gene-0.6&CDS=1-2511	YMR253C, YPL264C
39	OG0000039	augustus_masked-JFAV02000032.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000032.1-processed-gene-0.0&CDS=1-243, augustus_masked-JFAV02000152.1-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-1.36&CDS=1-3246	YBR172C, YPL105C
40	OG0000040	augustus_masked-JFAV02000058.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000058.1-processed-gene-0.1&CDS=1-171, augustus_masked-JFAV02000170.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000170.1-processed-gene-0.93&CDS=1-423	YGR008C, YLR327C
41	OG0000041	augustus_masked-JFAV02000068.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-JFAV02000068.1-processed-gene-0.44&CDS=1-309, augustus_masked-JFAV02000211.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000211.1-processed-gene-0.1&CDS=1-309	YBR009C, YNL030W
42	OG0000042	augustus_masked-JFAV02000078.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000078.1-processed-gene-0.2&CDS=1-522, augustus_masked-JFAV02000078.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000078.1-processed-gene-0.3&CDS=1-1326, augustus_masked-JFAV02000299.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000299.1-processed-gene-0.8&CDS=1-2016	YBL042C
43	OG0000043	augustus_masked-JFAV02000080.1-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.194&CDS=1-2871, snap_masked-JFAV02000113.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-JFAV02000113.1-processed-gene-0.10&CDS=1-2073	YDL095W, YDR307W
44	OG0000044	augustus_masked-JFAV02000081.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000081.1-processed-gene-0.12&CDS=1-1980, augustus_masked-JFAV02000299.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000299.1-processed-gene-0.25&CDS=1-1959	YFL041W, YMR058W
45	OG0000045	augustus_masked-JFAV02000084.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000084.1-processed-gene-0.0&CDS=1-1854	YLR237W, YOR071C, YOR192C
46	OG0000046	augustus_masked-JFAV02000093.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-JFAV02000093.1-processed-gene-0.86&CDS=1-3186, augustus_masked-JFAV02000122.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000122.1-processed-gene-0.12&CDS=1-3687	YBR245C, YOR304W
47	OG0000047	augustus_masked-JFAV02000098.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000098.1-processed-gene-0.30&CDS=1-2349, augustus_masked-JFAV02000129.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000129.1-processed-gene-0.27&CDS=1-2340	YJL200C, YLR304C
48	OG0000048	augustus_masked-JFAV02000147.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-JFAV02000147.1-processed-gene-0.100&CDS=1-1035, maker-JFAV02000099.1-augustus-gene-0.27-mRNA-1_1&gene=maker-JFAV02000099.1-augustus-gene-0.27&CDS=1-1050	YDR492W, YOL002C
49	OG0000049	maker-JFAV02000099.1-augustus-gene-0.28-mRNA-1_1&gene=maker-JFAV02000099.1-augustus-gene-0.28&CDS=1-2619, snap_masked-JFAV02000132.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-JFAV02000132.1-processed-gene-0.44&CDS=1-1926	YLR188W, YPL270W
50	OG0000050	augustus_masked-JFAV02000100.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.21&CDS=1-1335, snap_masked-JFAV02000256.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-JFAV02000256.1-processed-gene-0.61&CDS=1-1410	YDR261C, YLR300W
51	OG0000051	augustus_masked-JFAV02000101.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.12&CDS=1-2061, augustus_masked-JFAV02000213.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000213.1-processed-gene-0.3&CDS=1-2064, augustus_masked-JFAV02000255.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000255.1-processed-gene-0.6&CDS=1-2091	YDL141W
52	OG0000052	genemark-JFAV02000123.1-processed-gene-0.87-mRNA-1_1&gene=genemark-JFAV02000123.1-processed-gene-0.87&CDS=1-1860, maker-JFAV02000102.1-snap-gene-0.56-mRNA-1_1&gene=maker-JFAV02000102.1-snap-gene-0.56&CDS=1-3582	YGR224W, YKR105C
53	OG0000053	augustus_masked-JFAV02000104.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.38&CDS=1-2430, augustus_masked-JFAV02000176.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.24&CDS=1-2742	YER017C, YMR089C
54	OG0000054	maker-JFAV02000104.1-snap-gene-0.108-mRNA-1_1&gene=maker-JFAV02000104.1-snap-gene-0.108&CDS=1-5109, maker-JFAV02000206.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000206.1-snap-gene-0.0&CDS=1-4170	YIL126W, YOR290C
55	OG0000055	augustus_masked-JFAV02000106.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.4&CDS=1-1572, augustus_masked-JFAV02000263.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000263.1-processed-gene-0.19&CDS=1-1782	YGR055W, YHL036W
56	OG0000056	augustus_masked-JFAV02000106.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.8&CDS=1-2328, augustus_masked-JFAV02000156.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000156.1-processed-gene-0.11&CDS=1-2220	YAL023C, YGR199W
57	OG0000057	augustus_masked-JFAV02000106.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.12&CDS=1-4890, augustus_masked-JFAV02000291.1-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-1.4&CDS=1-5583	YHR023W, YOR326W
58	OG0000058	augustus_masked-JFAV02000106.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.15&CDS=1-1191, snap_masked-JFAV02000193.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-JFAV02000193.1-processed-gene-0.22&CDS=1-1566	YOR334W, YPL060W
59	OG0000059	augustus_masked-JFAV02000109.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.93&CDS=1-1350, augustus_masked-JFAV02000122.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-JFAV02000122.1-processed-gene-0.39&CDS=1-1416	YKL046C, YMR238W
60	OG0000060	augustus_masked-JFAV02000282.1-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.201&CDS=1-1185, maker-JFAV02000109.1-augustus-gene-0.75-mRNA-1_1&gene=maker-JFAV02000109.1-augustus-gene-0.75&CDS=1-2292	YBR025C, YHL014C
