	OrthologID	Candida_dubliniensis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-NC_012860.1-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-11.82&CDS=1-1161, augustus_masked-NC_012860.1-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-11.83&CDS=1-1800, augustus_masked-NC_012862.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-NC_012862.1-processed-gene-4.79&CDS=1-3810, augustus_masked-NC_012864.1-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-NC_012864.1-processed-gene-3.95&CDS=1-3852, snap_masked-NC_012860.1-processed-gene-8.110-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-8.110&CDS=1-1662, snap_masked-NC_012864.1-processed-gene-6.117-mRNA-1_1&gene=snap_masked-NC_012864.1-processed-gene-6.117&CDS=1-3930	YCL074W
11	OG0000011	genemark-NC_012860.1-processed-gene-20.61-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-20.61&CDS=1-1860, genemark-NC_012864.1-processed-gene-2.122-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-2.122&CDS=1-1881, genemark-NC_012865.1-processed-gene-3.36-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-3.36&CDS=1-2022	YCL069W, YGR224W, YKR105C, YPR198W
12	OG0000012	genemark-NC_012862.1-processed-gene-13.66-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-13.66&CDS=1-3252, genemark-NC_012862.1-processed-gene-13.67-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-13.67&CDS=1-3300, genemark-NC_012862.1-processed-gene-13.68-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-13.68&CDS=1-3030, genemark-NC_012864.1-processed-gene-8.27-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-8.27&CDS=1-3639, genemark-NC_012866.1-processed-gene-7.26-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.26&CDS=1-3351, snap_masked-NC_012862.1-processed-gene-17.226-mRNA-1_1&gene=snap_masked-NC_012862.1-processed-gene-17.226&CDS=1-1383	YLR256W
13	OG0000013	augustus_masked-NC_012862.1-processed-gene-15.10-mRNA-1_1&gene=augustus_masked-NC_012862.1-processed-gene-15.10&CDS=1-5040, maker-NC_012862.1-snap-gene-14.60-mRNA-1_1&gene=maker-NC_012862.1-snap-gene-14.60&CDS=1-10584, maker-NC_012865.1-snap-gene-8.1-mRNA-1_1&gene=maker-NC_012865.1-snap-gene-8.1&CDS=1-7833, maker-NC_012865.1-snap-gene-9.187-mRNA-1_1&gene=maker-NC_012865.1-snap-gene-9.187&CDS=1-7890, maker-NC_012865.1-snap-gene-9.188-mRNA-1_1&gene=maker-NC_012865.1-snap-gene-9.188&CDS=1-4164, snap_masked-NC_012865.1-processed-gene-9.162-mRNA-1_1&gene=snap_masked-NC_012865.1-processed-gene-9.162&CDS=1-5967	YJR004C
14	OG0000014	genemark-NC_012860.1-processed-gene-2.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-2.34&CDS=1-2136, genemark-NC_012866.1-processed-gene-0.94-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.94&CDS=1-1719	YER054C, YIL045W, YLR273C, YOR178C
15	OG0000015	genemark-NC_012860.1-processed-gene-18.2-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.2&CDS=1-3807, genemark-NC_012862.1-processed-gene-11.39-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-11.39&CDS=1-4500, genemark-NC_012862.1-processed-gene-9.49-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-9.49&CDS=1-4539, genemark-NC_012863.1-processed-gene-7.11-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-7.11&CDS=1-4500, snap_masked-NC_012862.1-processed-gene-12.60-mRNA-1_1&gene=snap_masked-NC_012862.1-processed-gene-12.60&CDS=1-4464	YOR153W
16	OG0000016	genemark-NC_012861.1-processed-gene-16.20-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-16.20&CDS=1-1272, genemark-NC_012864.1-processed-gene-11.87-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-11.87&CDS=1-1221, genemark-NC_012864.1-processed-gene-8.20-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-8.20&CDS=1-1119, genemark-NC_012864.1-processed-gene-8.41-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-8.41&CDS=1-1242, snap_masked-NC_012864.1-processed-gene-9.15-mRNA-1_1&gene=snap_masked-NC_012864.1-processed-gene-9.15&CDS=1-1383	YGR263C
17	OG0000017	genemark-NC_012861.1-processed-gene-17.2-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-17.2&CDS=1-2763, genemark-NC_012863.1-processed-gene-2.97-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-2.97&CDS=1-2910, genemark-NC_012867.1-processed-gene-5.18-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-5.18&CDS=1-2712, genemark-NC_012867.1-processed-gene-6.102-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-6.102&CDS=1-2763, maker-NC_012867.1-snap-gene-5.1-mRNA-1_1&gene=maker-NC_012867.1-snap-gene-5.1&CDS=1-5409	YPR194C
18	OG0000018	genemark-NC_012862.1-processed-gene-7.54-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-7.54&CDS=1-1533, genemark-NC_012866.1-processed-gene-8.39-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-8.39&CDS=1-1653, genemark-NC_012866.1-processed-gene-8.43-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-8.43&CDS=1-1824, snap_masked-NC_012862.1-processed-gene-8.86-mRNA-1_1&gene=snap_masked-NC_012862.1-processed-gene-8.86&CDS=1-1485	YGR197C, YJR015W
19	OG0000019	genemark-NC_012860.1-processed-gene-0.58-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-0.58&CDS=1-3201, snap_masked-NC_012866.1-processed-gene-6.35-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-6.35&CDS=1-3228	YDR038C, YDR039C, YDR040C
20	OG0000020	genemark-NC_012860.1-processed-gene-12.74-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.74&CDS=1-3069, genemark-NC_012860.1-processed-gene-4.128-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.128&CDS=1-2586	YCR037C, YJL198W, YNR013C
21	OG0000021	genemark-NC_012860.1-processed-gene-15.44-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.44&CDS=1-1467, genemark-NC_012861.1-processed-gene-13.39-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-13.39&CDS=1-1380, genemark-NC_012861.1-processed-gene-13.40-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-13.40&CDS=1-1356, genemark-NC_012867.1-processed-gene-20.124-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-20.124&CDS=1-1419	YOR049C
22	OG0000022	genemark-NC_012860.1-processed-gene-22.28-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-22.28&CDS=1-1842, genemark-NC_012861.1-processed-gene-2.78-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-2.78&CDS=1-2118, snap_masked-NC_012867.1-processed-gene-11.67-mRNA-1_1&gene=snap_masked-NC_012867.1-processed-gene-11.67&CDS=1-1887	YBR015C, YJL186W
23	OG0000023	genemark-NC_012860.1-processed-gene-25.81-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-25.81&CDS=1-4038, genemark-NC_012864.1-processed-gene-6.71-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-6.71&CDS=1-4455	YCL024W, YDR507C, YKL101W
24	OG0000024	genemark-NC_012860.1-processed-gene-27.88-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-27.88&CDS=1-3789, genemark-NC_012865.1-processed-gene-0.53-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-0.53&CDS=1-2583	YDR466W, YDR471W, YHR010W
25	OG0000025	genemark-NC_012860.1-processed-gene-27.72-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-27.72&CDS=1-4713	YBL017C, YIL173W, YJL222W, YNR065C
26	OG0000026	genemark-NC_012861.1-processed-gene-12.64-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-12.64&CDS=1-2151, genemark-NC_012862.1-processed-gene-14.61-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-14.61&CDS=1-2265, genemark-NC_012862.1-processed-gene-6.32-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-6.32&CDS=1-2154, genemark-NC_012866.1-processed-gene-9.21-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-9.21&CDS=1-2238	YER015W
27	OG0000027	genemark-NC_012861.1-processed-gene-21.83-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-21.83&CDS=1-1095, genemark-NC_012863.1-processed-gene-14.59-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-14.59&CDS=1-1074, genemark-NC_012865.1-processed-gene-9.105-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.105&CDS=1-1071, genemark-NC_012867.1-processed-gene-7.12-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-7.12&CDS=1-1074, maker-NC_012867.1-augustus-gene-7.108-mRNA-1_1&gene=maker-NC_012867.1-augustus-gene-7.108&CDS=1-2457	
28	OG0000028	genemark-NC_012861.1-processed-gene-21.85-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-21.85&CDS=1-1689, genemark-NC_012865.1-processed-gene-3.57-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-3.57&CDS=1-3549	YDR253C, YGR067C, YPL038W
29	OG0000029	augustus_masked-NC_012862.1-processed-gene-13.91-mRNA-1_1&gene=augustus_masked-NC_012862.1-processed-gene-13.91&CDS=1-792, augustus_masked-NC_012862.1-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-NC_012862.1-processed-gene-8.120&CDS=1-789, augustus_masked-NC_012862.1-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-NC_012862.1-processed-gene-8.121&CDS=1-747, snap_masked-NC_012862.1-processed-gene-8.63-mRNA-1_1&gene=snap_masked-NC_012862.1-processed-gene-8.63&CDS=1-738	YIR038C
30	OG0000030	genemark-NC_012863.1-processed-gene-3.75-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-3.75&CDS=1-2715	YML111W, YMR275C, YNR068C, YNR069C
31	OG0000031	genemark-NC_012864.1-processed-gene-11.109-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-11.109&CDS=1-1761	YBR298C, YDL247W, YGR289C, YJR160C
32	OG0000032	genemark-NC_012867.1-processed-gene-21.1-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-21.1&CDS=1-1713, snap_masked-NC_012865.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NC_012865.1-processed-gene-0.32&CDS=1-1740, snap_masked-NC_012867.1-processed-gene-21.93-mRNA-1_1&gene=snap_masked-NC_012867.1-processed-gene-21.93&CDS=1-1728	YCL025C, YDR508C
33	OG0000033	augustus_masked-NC_012867.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NC_012867.1-processed-gene-0.80&CDS=1-7575, genemark-NC_012865.1-processed-gene-7.38-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-7.38&CDS=1-1581, genemark-NC_012867.1-processed-gene-0.47-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-0.47&CDS=1-1581, genemark-NC_012867.1-processed-gene-15.59-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-15.59&CDS=1-1545	YJL039C
34	OG0000034	genemark-NC_012867.1-processed-gene-9.40-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-9.40&CDS=1-504	YBR067C, YER011W, YIL011W, YOR010C
35	OG0000035	genemark-NC_012867.1-processed-gene-19.91-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-19.91&CDS=1-1497	YBR297W, YFL052W, YGR288W, YPR196W
36	OG0000036	genemark-NC_012867.1-processed-gene-19.92-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-19.92&CDS=1-1017	YDL244W, YFL058W, YJR156C, YNL332W
37	OG0000037	genemark-NC_012860.1-processed-gene-4.126-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.126&CDS=1-468, snap_masked-NC_012866.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-1.20&CDS=1-378	YMR073C, YNL111C
38	OG0000038	genemark-NC_012860.1-processed-gene-5.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.59&CDS=1-747	YFL060C, YMR095C, YNL334C
39	OG0000039	genemark-NC_012860.1-processed-gene-6.64-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.64&CDS=1-1026, genemark-NC_012861.1-processed-gene-16.34-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-16.34&CDS=1-1035, snap_masked-NC_012861.1-processed-gene-18.65-mRNA-1_1&gene=snap_masked-NC_012861.1-processed-gene-18.65&CDS=1-1059	YNL274C
40	OG0000040	genemark-NC_012860.1-processed-gene-9.25-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.25&CDS=1-315, genemark-NC_012867.1-processed-gene-14.105-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-14.105&CDS=1-315	YBR009C, YNL030W
41	OG0000041	genemark-NC_012860.1-processed-gene-9.10-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.10&CDS=1-408, genemark-NC_012867.1-processed-gene-14.84-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-14.84&CDS=1-408	YBR010W, YNL031C
42	OG0000042	genemark-NC_012860.1-processed-gene-30.75-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-30.75&CDS=1-1977, genemark-NC_012860.1-processed-gene-9.28-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.28&CDS=1-1941	YER103W, YLL024C
43	OG0000043	genemark-NC_012860.1-processed-gene-11.67-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.67&CDS=1-1914, genemark-NC_012863.1-processed-gene-15.104-mRNA-1_1&gene=genemark-NC_012863.1-processed-gene-15.104&CDS=1-1923	YJL045W, YKL148C
44	OG0000044	genemark-NC_012860.1-processed-gene-12.85-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.85&CDS=1-1632, genemark-NC_012866.1-processed-gene-7.18-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.18&CDS=1-1626	YBR139W, YMR297W
45	OG0000045	augustus_masked-NC_012860.1-processed-gene-15.26-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-15.26&CDS=1-4338, genemark-NC_012861.1-processed-gene-12.53-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-12.53&CDS=1-1443	YER057C, YIL051C
46	OG0000046	genemark-NC_012860.1-processed-gene-16.44-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.44&CDS=1-3051, genemark-NC_012862.1-processed-gene-14.75-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-14.75&CDS=1-3162	YBR245C, YOR304W
47	OG0000047	genemark-NC_012860.1-processed-gene-18.23-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.23&CDS=1-3162, genemark-NC_012862.1-processed-gene-8.46-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-8.46&CDS=1-3294	YJL089W, YMR280C
48	OG0000048	genemark-NC_012860.1-processed-gene-18.26-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.26&CDS=1-990, genemark-NC_012862.1-processed-gene-16.90-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-16.90&CDS=1-975, genemark-NC_012867.1-processed-gene-4.96-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-4.96&CDS=1-921	YKL128C
49	OG0000049	genemark-NC_012860.1-processed-gene-18.30-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.30&CDS=1-1044, genemark-NC_012864.1-processed-gene-11.80-mRNA-1_1&gene=genemark-NC_012864.1-processed-gene-11.80&CDS=1-1290	YMR303C, YOL086C
50	OG0000050	genemark-NC_012860.1-processed-gene-18.18-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.18&CDS=1-1374, genemark-NC_012861.1-processed-gene-17.3-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-17.3&CDS=1-1374	YBR118W, YPR080W
51	OG0000051	genemark-NC_012860.1-processed-gene-19.2-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.2&CDS=1-933	YLL062C, YMR321C, YPL273W
52	OG0000052	genemark-NC_012865.1-processed-gene-6.56-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-6.56&CDS=1-1773, snap_masked-NC_012860.1-processed-gene-20.86-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-20.86&CDS=1-2640, snap_masked-NC_012860.1-processed-gene-20.87-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-20.87&CDS=1-2124	YDR034C
53	OG0000053	genemark-NC_012860.1-processed-gene-24.23-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-24.23&CDS=1-786, genemark-NC_012862.1-processed-gene-12.47-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-12.47&CDS=1-786	YHL033C, YLL045C
54	OG0000054	genemark-NC_012860.1-processed-gene-28.71-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-28.71&CDS=1-5157, genemark-NC_012867.1-processed-gene-0.40-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-0.40&CDS=1-4413	YIL159W, YNL271C
55	OG0000055	genemark-NC_012860.1-processed-gene-30.80-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-30.80&CDS=1-2946, genemark-NC_012862.1-processed-gene-1.43-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-1.43&CDS=1-2367	YGL014W, YGL178W
56	OG0000056	genemark-NC_012861.1-processed-gene-1.72-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-1.72&CDS=1-2823, genemark-NC_012862.1-processed-gene-4.0-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-4.0&CDS=1-2376	YER017C, YMR089C
57	OG0000057	genemark-NC_012861.1-processed-gene-2.58-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-2.58&CDS=1-1059, genemark-NC_012862.1-processed-gene-14.90-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-14.90&CDS=1-996	YCL064C, YIL167W
58	OG0000058	genemark-NC_012861.1-processed-gene-4.6-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-4.6&CDS=1-4989, genemark-NC_012862.1-processed-gene-5.126-mRNA-1_1&gene=genemark-NC_012862.1-processed-gene-5.126&CDS=1-3900	YIL126W, YOR290C
59	OG0000059	genemark-NC_012861.1-processed-gene-11.83-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-11.83&CDS=1-1047, genemark-NC_012861.1-processed-gene-8.91-mRNA-1_1&gene=genemark-NC_012861.1-processed-gene-8.91&CDS=1-1086, genemark-NC_012867.1-processed-gene-20.102-mRNA-1_1&gene=genemark-NC_012867.1-processed-gene-20.102&CDS=1-861	YMR152W
