	OrthologID	Saccharomyces_cerevisiae	Tetrapisispora_blattae
26	OG0000026	YER056C, YER060W, YER060W-A	genemark-NC_020186-processed-gene-11.47-mRNA-1_1&gene=genemark-NC_020186-processed-gene-11.47&CDS=1-1677, genemark-NC_020187-processed-gene-11.9-mRNA-1_1&gene=genemark-NC_020187-processed-gene-11.9&CDS=1-1671
27	OG0000027	YER175C	genemark-NC_020190-processed-gene-9.101-mRNA-1_1&gene=genemark-NC_020190-processed-gene-9.101&CDS=1-873, maker-NC_020186-snap-gene-5.137-mRNA-1_1&gene=maker-NC_020186-snap-gene-5.137&CDS=1-771, snap_masked-NC_020187-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-3.6&CDS=1-867, snap_masked-NC_020187-processed-gene-3.7-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-3.7&CDS=1-858
28	OG0000028	YGR192C, YJL052W, YJR009C	genemark-NC_020186-processed-gene-18.99-mRNA-1_1&gene=genemark-NC_020186-processed-gene-18.99&CDS=1-996, snap_masked-NC_020192-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NC_020192-processed-gene-5.25&CDS=1-999
29	OG0000029	YHL009W-A, YHL009W-B, YJL113W, YJL114W, YPL060C-A	
30	OG0000030	YIL011W	augustus_masked-NC_020185-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-2.17&CDS=1-705, genemark-NC_020194-processed-gene-3.106-mRNA-1_1&gene=genemark-NC_020194-processed-gene-3.106&CDS=1-1269, maker-NC_020185-snap-gene-2.109-mRNA-1_1&gene=maker-NC_020185-snap-gene-2.109&CDS=1-366, snap_masked-NC_020194-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NC_020194-processed-gene-3.31&CDS=1-801
31	OG0000031	YJR134C	augustus_masked-NC_020185-processed-gene-25.165-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-25.165&CDS=1-3222, augustus_masked-NC_020187-processed-gene-10.33-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-10.33&CDS=1-978, snap_masked-NC_020186-processed-gene-22.99-mRNA-1_1&gene=snap_masked-NC_020186-processed-gene-22.99&CDS=1-273, snap_masked-NC_020192-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NC_020192-processed-gene-1.83&CDS=1-198
32	OG0000032	YLR044C	genemark-NC_020186-processed-gene-18.88-mRNA-1_1&gene=genemark-NC_020186-processed-gene-18.88&CDS=1-1689, genemark-NC_020186-processed-gene-23.42-mRNA-1_1&gene=genemark-NC_020186-processed-gene-23.42&CDS=1-1692, genemark-NC_020188-processed-gene-7.73-mRNA-1_1&gene=genemark-NC_020188-processed-gene-7.73&CDS=1-1689, genemark-NC_020189-processed-gene-7.54-mRNA-1_1&gene=genemark-NC_020189-processed-gene-7.54&CDS=1-1689
33	OG0000033	YLR237W, YOR071C, YOR192C	genemark-NC_020185-processed-gene-25.139-mRNA-1_1&gene=genemark-NC_020185-processed-gene-25.139&CDS=1-1905, genemark-NC_020192-processed-gene-1.16-mRNA-1_1&gene=genemark-NC_020192-processed-gene-1.16&CDS=1-2028
34	OG0000034	YLR342W, YMR306W	maker-NC_020187-snap-gene-16.0-mRNA-1_1&gene=maker-NC_020187-snap-gene-16.0&CDS=1-5676, snap_masked-NC_020185-processed-gene-21.112-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-21.112&CDS=1-5658, snap_masked-NC_020191-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NC_020191-processed-gene-3.78&CDS=1-5523
35	OG0000035	YOR162C, YOR172W	snap_masked-NC_020191-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NC_020191-processed-gene-1.3&CDS=1-2754, snap_masked-NC_020191-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NC_020191-processed-gene-1.7&CDS=1-2874, snap_masked-NC_020191-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NC_020191-processed-gene-1.8&CDS=1-2634
36	OG0000036	YAL017W, YOL045W	genemark-NC_020185-processed-gene-11.16-mRNA-1_1&gene=genemark-NC_020185-processed-gene-11.16&CDS=1-3786, genemark-NC_020189-processed-gene-5.72-mRNA-1_1&gene=genemark-NC_020189-processed-gene-5.72&CDS=1-3900
37	OG0000037	YAL028W, YOR324C	augustus_masked-NC_020189-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-NC_020189-processed-gene-6.87&CDS=1-2817, snap_masked-NC_020185-processed-gene-11.86-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-11.86&CDS=1-1887
38	OG0000038	YBL003C, YDR225W	genemark-NC_020190-processed-gene-0.41-mRNA-1_1&gene=genemark-NC_020190-processed-gene-0.41&CDS=1-396, genemark-NC_020193-processed-gene-6.36-mRNA-1_1&gene=genemark-NC_020193-processed-gene-6.36&CDS=1-396
39	OG0000039	YBL043W, YJR115W	augustus_masked-NC_020185-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-9.104&CDS=1-981, snap_masked-NC_020190-processed-gene-6.125-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-6.125&CDS=1-1062
40	OG0000040	YBL052C, YOR244W	augustus_masked-NC_020187-processed-gene-12.54-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-12.54&CDS=1-1920, genemark-NC_020187-processed-gene-4.50-mRNA-1_1&gene=genemark-NC_020187-processed-gene-4.50&CDS=1-1374
41	OG0000041	YBL054W, YER088C	genemark-NC_020185-processed-gene-19.5-mRNA-1_1&gene=genemark-NC_020185-processed-gene-19.5&CDS=1-1563, genemark-NC_020187-processed-gene-12.33-mRNA-1_1&gene=genemark-NC_020187-processed-gene-12.33&CDS=1-2403
42	OG0000042	YBL106C, YPR032W	genemark-NC_020190-processed-gene-1.32-mRNA-1_1&gene=genemark-NC_020190-processed-gene-1.32&CDS=1-4500, genemark-NC_020193-processed-gene-1.125-mRNA-1_1&gene=genemark-NC_020193-processed-gene-1.125&CDS=1-3015
43	OG0000043	YBR009C, YNL030W	genemark-NC_020186-processed-gene-14.50-mRNA-1_1&gene=genemark-NC_020186-processed-gene-14.50&CDS=1-309, genemark-NC_020190-processed-gene-2.3-mRNA-1_1&gene=genemark-NC_020190-processed-gene-2.3&CDS=1-309
44	OG0000044	YBR010W, YNL031C	genemark-NC_020186-processed-gene-14.68-mRNA-1_1&gene=genemark-NC_020186-processed-gene-14.68&CDS=1-408, genemark-NC_020190-processed-gene-2.4-mRNA-1_1&gene=genemark-NC_020190-processed-gene-2.4&CDS=1-408
45	OG0000045	YBR084W, YGR204W	genemark-NC_020186-processed-gene-18.107-mRNA-1_1&gene=genemark-NC_020186-processed-gene-18.107&CDS=1-2865, genemark-NC_020193-processed-gene-5.41-mRNA-1_1&gene=genemark-NC_020193-processed-gene-5.41&CDS=1-2901
46	OG0000046	YBR118W, YPR080W	genemark-NC_020187-processed-gene-5.6-mRNA-1_1&gene=genemark-NC_020187-processed-gene-5.6&CDS=1-1371, genemark-NC_020190-processed-gene-7.88-mRNA-1_1&gene=genemark-NC_020190-processed-gene-7.88&CDS=1-1371
47	OG0000047	YBR161W, YPL057C	genemark-NC_020185-processed-gene-1.0-mRNA-1_1&gene=genemark-NC_020185-processed-gene-1.0&CDS=1-1275, genemark-NC_020192-processed-gene-8.160-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.160&CDS=1-1212
48	OG0000048	YBR177C, YPL095C	genemark-NC_020186-processed-gene-10.37-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.37&CDS=1-1398, genemark-NC_020192-processed-gene-8.180-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.180&CDS=1-1359
49	OG0000049	YBR214W, YGL056C	augustus_masked-NC_020190-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-NC_020190-processed-gene-6.1&CDS=1-1113, genemark-NC_020185-processed-gene-24.20-mRNA-1_1&gene=genemark-NC_020185-processed-gene-24.20&CDS=1-1617
50	OG0000050	YCR031C, YJL191W	genemark-NC_020188-processed-gene-7.97-mRNA-1_1&gene=genemark-NC_020188-processed-gene-7.97&CDS=1-411, snap_masked-NC_020194-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NC_020194-processed-gene-2.36&CDS=1-411
51	OG0000051	YCR073W-A, YNR034W	genemark-NC_020190-processed-gene-9.114-mRNA-1_1&gene=genemark-NC_020190-processed-gene-9.114&CDS=1-1155, genemark-NC_020193-processed-gene-5.57-mRNA-1_1&gene=genemark-NC_020193-processed-gene-5.57&CDS=1-987
52	OG0000052	YCR106W, YLL054C	genemark-NC_020185-processed-gene-10.79-mRNA-1_1&gene=genemark-NC_020185-processed-gene-10.79&CDS=1-2676, snap_masked-NC_020186-processed-gene-11.28-mRNA-1_1&gene=snap_masked-NC_020186-processed-gene-11.28&CDS=1-2331
53	OG0000053	YDL060W, YLR389C	augustus_masked-NC_020185-processed-gene-20.39-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-20.39&CDS=1-6954, genemark-NC_020193-processed-gene-7.73-mRNA-1_1&gene=genemark-NC_020193-processed-gene-7.73&CDS=1-2895
54	OG0000054	YDL066W, YLR174W	genemark-NC_020185-processed-gene-19.24-mRNA-1_1&gene=genemark-NC_020185-processed-gene-19.24&CDS=1-1284, genemark-NC_020187-processed-gene-2.37-mRNA-1_1&gene=genemark-NC_020187-processed-gene-2.37&CDS=1-1254
55	OG0000055	YDL134C, YDL188C	genemark-NC_020185-processed-gene-14.125-mRNA-1_1&gene=genemark-NC_020185-processed-gene-14.125&CDS=1-1161, genemark-NC_020190-processed-gene-5.54-mRNA-1_1&gene=genemark-NC_020190-processed-gene-5.54&CDS=1-1128
56	OG0000056	YDR038C, YDR039C, YDR040C	genemark-NC_020189-processed-gene-6.77-mRNA-1_1&gene=genemark-NC_020189-processed-gene-6.77&CDS=1-3408
57	OG0000057	YDR099W, YER177W	genemark-NC_020189-processed-gene-11.34-mRNA-1_1&gene=genemark-NC_020189-processed-gene-11.34&CDS=1-828, genemark-NC_020190-processed-gene-9.76-mRNA-1_1&gene=genemark-NC_020190-processed-gene-9.76&CDS=1-804
58	OG0000058	YDR107C, YLR083C	genemark-NC_020189-processed-gene-11.55-mRNA-1_1&gene=genemark-NC_020189-processed-gene-11.55&CDS=1-2028, genemark-NC_020192-processed-gene-3.109-mRNA-1_1&gene=genemark-NC_020192-processed-gene-3.109&CDS=1-2019
59	OG0000059	YDR144C, YLR120C	genemark-NC_020189-processed-gene-6.78-mRNA-1_1&gene=genemark-NC_020189-processed-gene-6.78&CDS=1-2067, genemark-NC_020192-processed-gene-3.84-mRNA-1_1&gene=genemark-NC_020192-processed-gene-3.84&CDS=1-2001
60	OG0000060	YDR385W, YOR133W	genemark-NC_020185-processed-gene-19.37-mRNA-1_1&gene=genemark-NC_020185-processed-gene-19.37&CDS=1-2526, genemark-NC_020185-processed-gene-6.64-mRNA-1_1&gene=genemark-NC_020185-processed-gene-6.64&CDS=1-2526
61	OG0000061	YEL063C, YNL268W	genemark-NC_020185-processed-gene-13.71-mRNA-1_1&gene=genemark-NC_020185-processed-gene-13.71&CDS=1-1824, genemark-NC_020185-processed-gene-13.78-mRNA-1_1&gene=genemark-NC_020185-processed-gene-13.78&CDS=1-1818
62	OG0000062	YER040W, YKR034W	genemark-NC_020188-processed-gene-13.123-mRNA-1_1&gene=genemark-NC_020188-processed-gene-13.123&CDS=1-1425, snap_masked-NC_020193-processed-gene-7.26-mRNA-1_1&gene=snap_masked-NC_020193-processed-gene-7.26&CDS=1-3180
63	OG0000063	YER057C, YIL051C	genemark-NC_020188-processed-gene-10.55-mRNA-1_1&gene=genemark-NC_020188-processed-gene-10.55&CDS=1-471, genemark-NC_020194-processed-gene-3.87-mRNA-1_1&gene=genemark-NC_020194-processed-gene-3.87&CDS=1-378
64	OG0000064	YER103W, YLL024C	genemark-NC_020188-processed-gene-1.18-mRNA-1_1&gene=genemark-NC_020188-processed-gene-1.18&CDS=1-1914, genemark-NC_020189-processed-gene-3.27-mRNA-1_1&gene=genemark-NC_020189-processed-gene-3.27&CDS=1-1917
65	OG0000065	YER185W, YGR213C	augustus_masked-NC_020187-processed-gene-16.107-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-16.107&CDS=1-1068, snap_masked-NC_020187-processed-gene-16.177-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-16.177&CDS=1-957
66	OG0000066	YFR024C-A, YHR016C	genemark-NC_020188-processed-gene-12.25-mRNA-1_1&gene=genemark-NC_020188-processed-gene-12.25&CDS=1-1404, snap_masked-NC_020190-processed-gene-8.76-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-8.76&CDS=1-1533
67	OG0000067	YGL135W, YPL220W	genemark-NC_020185-processed-gene-5.62-mRNA-1_1&gene=genemark-NC_020185-processed-gene-5.62&CDS=1-651, snap_masked-NC_020185-processed-gene-15.77-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-15.77&CDS=1-651
68	OG0000068	YGL139W, YPL221W	genemark-NC_020185-processed-gene-5.64-mRNA-1_1&gene=genemark-NC_020185-processed-gene-5.64&CDS=1-2067, maker-NC_020185-snap-gene-5.121-mRNA-1_1&gene=maker-NC_020185-snap-gene-5.121&CDS=1-2529
69	OG0000069	YGL147C, YNL067W	genemark-NC_020186-processed-gene-22.73-mRNA-1_1&gene=genemark-NC_020186-processed-gene-22.73&CDS=1-573, genemark-NC_020189-processed-gene-9.77-mRNA-1_1&gene=genemark-NC_020189-processed-gene-9.77&CDS=1-573
