	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034661_Dipodascus_albidus
23	OG0000023	YLR034C, YOL122C	genemark-flattened_line_182-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_182-processed-gene-0.18&CDS=1-1713, genemark-flattened_line_2-processed-gene-4.29-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.29&CDS=1-1656, genemark-flattened_line_22-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.117&CDS=1-1707, genemark-flattened_line_52-processed-gene-0.204-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.204&CDS=1-2013
24	OG0000024	YLR144C, YNR067C	augustus_masked-flattened_line_30-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.43&CDS=1-2256, genemark-flattened_line_12-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.73&CDS=1-2829, genemark-flattened_line_36-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.79&CDS=1-2148, snap_masked-flattened_line_150-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_150-processed-gene-0.55&CDS=1-2541
25	OG0000025	YOL119C, YOR306C	genemark-flattened_line_196-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_196-processed-gene-0.57&CDS=1-1446, genemark-flattened_line_26-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.27&CDS=1-1416, genemark-flattened_line_98-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.137&CDS=1-1350, maker-flattened_line_126-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_126-snap-gene-0.7&CDS=1-3999
26	OG0000026	Q0045, Q0060, Q0065, Q0070	maker-flattened_line_178-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_178-snap-gene-0.6&CDS=1-1014, maker-flattened_line_178-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_178-snap-gene-0.8&CDS=1-1104
27	OG0000027	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_8-processed-gene-2.18-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.18&CDS=1-4521
28	OG0000028	YBR150C, YOL089C	augustus_masked-flattened_line_0-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.123&CDS=1-1440, genemark-flattened_line_20-processed-gene-1.208-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.208&CDS=1-1629, snap_masked-flattened_line_144-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.65&CDS=1-765
29	OG0000029	YDL035C	genemark-flattened_line_10-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.94&CDS=1-1659, genemark-flattened_line_10-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.32&CDS=1-1626, snap_masked-flattened_line_120-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.92&CDS=1-1770, snap_masked-flattened_line_164-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_164-processed-gene-0.0&CDS=1-1575
30	OG0000030	YDL127W, YDL179W, YNL289W	genemark-flattened_line_210-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_210-processed-gene-0.43&CDS=1-813, genemark-flattened_line_4-processed-gene-2.95-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.95&CDS=1-885
31	OG0000031	YDR406W, YOR153W	genemark-flattened_line_22-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.48&CDS=1-4473, genemark-flattened_line_88-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.82&CDS=1-4179, maker-flattened_line_136-snap-gene-0.108-mRNA-1_1&gene=maker-flattened_line_136-snap-gene-0.108&CDS=1-8697
32	OG0000032	YDR409W, YOR156C	genemark-flattened_line_70-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.63&CDS=1-1809, snap_masked-flattened_line_0-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.48&CDS=1-2649, snap_masked-flattened_line_90-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.139&CDS=1-1407
33	OG0000033	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_106-processed-gene-0.145-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.145&CDS=1-741
34	OG0000034	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_106-processed-gene-0.149-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.149&CDS=1-1107
35	OG0000035	YER017C, YMR089C	augustus_masked-flattened_line_30-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.57&CDS=1-2253, genemark-flattened_line_158-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_158-processed-gene-0.96&CDS=1-2040, genemark-flattened_line_20-processed-gene-1.214-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.214&CDS=1-2034
36	OG0000036	YER056C, YER060W, YER060W-A	genemark-flattened_line_4-processed-gene-2.91-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.91&CDS=1-1515, genemark-flattened_line_44-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.33&CDS=1-1527
37	OG0000037	YGL003C, YGL116W	genemark-flattened_line_10-processed-gene-2.36-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.36&CDS=1-1323, genemark-flattened_line_128-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.7&CDS=1-1800, genemark-flattened_line_4-processed-gene-1.11-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.11&CDS=1-1626
38	OG0000038	YGR052W, YHR082C	genemark-flattened_line_34-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.117&CDS=1-1530, genemark-flattened_line_34-processed-gene-1.182-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.182&CDS=1-1113, genemark-flattened_line_50-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.11&CDS=1-1263
39	OG0000039	YJL042W, YOR227W, YPL137C	augustus_masked-flattened_line_4-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.107&CDS=1-3357, genemark-flattened_line_100-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.128&CDS=1-2820
40	OG0000040	YMR006C, YMR008C, YOL011W	genemark-flattened_line_66-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.48&CDS=1-1827, snap_masked-flattened_line_148-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.51&CDS=1-1854
41	OG0000041	YPR194C	genemark-flattened_line_0-processed-gene-2.11-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.11&CDS=1-2625, genemark-flattened_line_116-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.118&CDS=1-2544, genemark-flattened_line_54-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.49&CDS=1-2532, maker-flattened_line_174-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_174-snap-gene-0.55&CDS=1-4977
42	OG0000042	YAL007C, YOR016C	genemark-flattened_line_76-processed-gene-0.204-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.204&CDS=1-621, snap_masked-flattened_line_116-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.2&CDS=1-717
43	OG0000043	YAL040C	augustus_masked-flattened_line_34-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.23&CDS=1-1008, genemark-flattened_line_225-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_225-processed-gene-0.19&CDS=1-1203, genemark-flattened_line_96-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.152&CDS=1-1002
44	OG0000044	YAL067C	genemark-flattened_line_190-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_190-processed-gene-0.74&CDS=1-1740, genemark-flattened_line_212-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_212-processed-gene-0.40&CDS=1-1770, genemark-flattened_line_86-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.146&CDS=1-1773
45	OG0000045	YAR019C, YLR362W	genemark-flattened_line_2-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.103&CDS=1-1950, genemark-flattened_line_4-processed-gene-2.113-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.113&CDS=1-4113
46	OG0000046	YAR042W, YDL019C	genemark-flattened_line_164-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_164-processed-gene-0.108&CDS=1-3447, genemark-flattened_line_72-processed-gene-0.169-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.169&CDS=1-3507
47	OG0000047	YBL003C, YDR225W	genemark-flattened_line_104-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.130&CDS=1-399, genemark-flattened_line_32-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.92&CDS=1-399
48	OG0000048	YBL009W, YGL021W	genemark-flattened_line_156-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_156-processed-gene-0.102&CDS=1-3237, genemark-flattened_line_24-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.2&CDS=1-2769
49	OG0000049	YBL056W, YER089C	genemark-flattened_line_140-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.12&CDS=1-1323, genemark-flattened_line_70-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.1&CDS=1-1353
50	OG0000050	YBL063W, YEL061C	genemark-flattened_line_40-processed-gene-1.22-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.22&CDS=1-2253, maker-flattened_line_194-snap-gene-0.44-mRNA-1_1&gene=maker-flattened_line_194-snap-gene-0.44&CDS=1-2853
51	OG0000051	YBL072C, YER102W	genemark-flattened_line_10-processed-gene-1.28-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.28&CDS=1-606, genemark-flattened_line_58-processed-gene-0.210-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.210&CDS=1-609
52	OG0000052	YBL087C, YER117W	augustus_masked-flattened_line_146-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.15&CDS=1-411, genemark-flattened_line_28-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.100&CDS=1-411
53	OG0000053	YBR007C	augustus_masked-flattened_line_8-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.74&CDS=1-972, genemark-flattened_line_112-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.134&CDS=1-1692, genemark-flattened_line_54-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.5&CDS=1-1188
54	OG0000054	YBR009C, YNL030W	genemark-flattened_line_122-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.125&CDS=1-309, genemark-flattened_line_152-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.84&CDS=1-309
55	OG0000055	YBR010W, YNL031C	genemark-flattened_line_122-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.102&CDS=1-414, genemark-flattened_line_152-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.100&CDS=1-414
56	OG0000056	YBR015C, YJL186W	genemark-flattened_line_4-processed-gene-1.23-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.23&CDS=1-2028, genemark-flattened_line_98-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.126&CDS=1-1677
57	OG0000057	YBR026C	augustus_masked-flattened_line_12-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.6&CDS=1-1077, augustus_masked-flattened_line_12-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.9&CDS=1-1080, genemark-flattened_line_22-processed-gene-1.45-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.45&CDS=1-1164
