	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035037_Candida_montana
10	OG0000010	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-6.3&CDS=1-900, snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.25&CDS=1-906, snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.71&CDS=1-1587
11	OG0000011	YDR253C, YGR067C, YMR182C, YPL038W	maker-NODE_3_length_939491_cov_21.5647_ID_5-snap-gene-8.4-mRNA-1_1&gene=maker-NODE_3_length_939491_cov_21.5647_ID_5-snap-gene-8.4&CDS=1-540, maker-NODE_4_length_770689_cov_28.8974_ID_7-augustus-gene-5.52-mRNA-1_1&gene=maker-NODE_4_length_770689_cov_28.8974_ID_7-augustus-gene-5.52&CDS=1-6513, snap_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-6.200-mRNA-1_1&gene=snap_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-6.200&CDS=1-2331
12	OG0000012	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-9.24&CDS=1-1065, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.55&CDS=1-1053, augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-1.142&CDS=1-1047
13	OG0000013	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-1.104&CDS=1-5100, maker-NODE_13_length_321718_cov_26.7698_ID_25-snap-gene-2.55-mRNA-1_1&gene=maker-NODE_13_length_321718_cov_26.7698_ID_25-snap-gene-2.55&CDS=1-4755
15	OG0000015	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-1.120&CDS=1-1482, augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-2.89&CDS=1-1383, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-6.45&CDS=1-756
16	OG0000016	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-11.101&CDS=1-1110, augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-1.21&CDS=1-1110, maker-NODE_15_length_311180_cov_37.0353_ID_29-snap-gene-2.123-mRNA-1_1&gene=maker-NODE_15_length_311180_cov_37.0353_ID_29-snap-gene-2.123&CDS=1-2163
17	OG0000017	YDR338C, YHR032W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-14.99-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-14.99&CDS=1-1683, augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-1.34&CDS=1-1656, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-6.54&CDS=1-1458, maker-NODE_21_length_220971_cov_41.4188_ID_41-augustus-gene-1.4-mRNA-1_1&gene=maker-NODE_21_length_220971_cov_41.4188_ID_41-augustus-gene-1.4&CDS=1-2607
18	OG0000018	YDR406W, YOR153W	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-10.90&CDS=1-4533, augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-4.75&CDS=1-4491, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-1.36&CDS=1-4671, maker-NODE_2_length_1027597_cov_21.5416_ID_3-snap-gene-2.90-mRNA-1_1&gene=maker-NODE_2_length_1027597_cov_21.5416_ID_3-snap-gene-2.90&CDS=1-9108
19	OG0000019	YEL063C, YNL268W	augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.69&CDS=1-1668, augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-1.85&CDS=1-1692, augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-5.44&CDS=1-1698, augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-2.66&CDS=1-1716
20	OG0000020	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-7.17&CDS=1-1680, snap_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-0.90&CDS=1-1908
21	OG0000021	YHR176W	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.82&CDS=1-1515, augustus_masked-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-0.23&CDS=1-1425, augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-8.119&CDS=1-1527, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-3.96&CDS=1-1518, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-4.85&CDS=1-1395
22	OG0000022	YJL172W, YOL153C	augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.66-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-13.66&CDS=1-1737, augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-9.35&CDS=1-1704, augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_27_length_108213_cov_26.1925_ID_53-processed-gene-0.119&CDS=1-1680, augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.193-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.193&CDS=1-1725
