	OrthologID	Lachancea_waltii	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-AADM01000118.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000118.1-processed-gene-0.4&CDS=1-957, maker-AADM01000034.1-snap-gene-0.12-mRNA-1_1&gene=maker-AADM01000034.1-snap-gene-0.12&CDS=1-1305, snap_masked-AADM01000119.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000119.1-processed-gene-0.7&CDS=1-1320, snap_masked-AADM01000417.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000417.1-processed-gene-0.2&CDS=1-969, snap_masked-AADM01000446.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000446.1-processed-gene-0.3&CDS=1-1206, snap_masked-AADM01000477.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000477.1-processed-gene-0.2&CDS=1-1320, snap_masked-AADM01000486.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000486.1-processed-gene-0.5&CDS=1-1320	YJL213W
11	OG0000011	augustus_masked-AADM01000554.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-AADM01000554.1-processed-gene-0.0&CDS=1-861	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
12	OG0000012	snap_masked-AADM01000056.1-processed-gene-1.162-mRNA-1_1&gene=snap_masked-AADM01000056.1-processed-gene-1.162&CDS=1-936, snap_masked-AADM01000133.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000133.1-processed-gene-0.25&CDS=1-1113, snap_masked-AADM01000289.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-AADM01000289.1-processed-gene-0.45&CDS=1-651, snap_masked-AADM01000299.1-processed-gene-0.204-mRNA-1_1&gene=snap_masked-AADM01000299.1-processed-gene-0.204&CDS=1-1569, snap_masked-AADM01000299.1-processed-gene-0.205-mRNA-1_1&gene=snap_masked-AADM01000299.1-processed-gene-0.205&CDS=1-1128, snap_masked-AADM01000299.1-processed-gene-0.206-mRNA-1_1&gene=snap_masked-AADM01000299.1-processed-gene-0.206&CDS=1-954	YIL119C
13	OG0000013	snap_masked-AADM01000488.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000488.1-processed-gene-0.1&CDS=1-360	YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C
14	OG0000014	augustus_masked-AADM01000298.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-AADM01000298.1-processed-gene-0.91&CDS=1-1833, snap_masked-AADM01000001.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-AADM01000001.1-processed-gene-0.66&CDS=1-1857, snap_masked-AADM01000265.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000265.1-processed-gene-0.9&CDS=1-1830, snap_masked-AADM01000331.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000331.1-processed-gene-0.1&CDS=1-1854	YHL040C, YHL047C
15	OG0000015	augustus_masked-AADM01000119.1-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-AADM01000119.1-processed-gene-0.142&CDS=1-1500, maker-AADM01000111.1-snap-gene-0.2-mRNA-1_1&gene=maker-AADM01000111.1-snap-gene-0.2&CDS=1-3786, snap_masked-AADM01000001.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-AADM01000001.1-processed-gene-0.82&CDS=1-1701	YNL125C, YOR285W, YOR286W
16	OG0000016	snap_masked-AADM01000018.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-AADM01000018.1-processed-gene-0.73&CDS=1-1497, snap_masked-AADM01000193.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-AADM01000193.1-processed-gene-0.118&CDS=1-1119	YIL123W, YJL116C, YKR042W, YNL066W
17	OG0000017	maker-AADM01000240.1-snap-gene-0.30-mRNA-1_1&gene=maker-AADM01000240.1-snap-gene-0.30&CDS=1-933, snap_masked-AADM01000051.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-AADM01000051.1-processed-gene-0.73&CDS=1-1578, snap_masked-AADM01000156.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000156.1-processed-gene-0.13&CDS=1-1971	YER133W, YML016C, YPL179W
18	OG0000018	maker-AADM01000171.1-snap-gene-0.14-mRNA-1_1&gene=maker-AADM01000171.1-snap-gene-0.14&CDS=1-3585, snap_masked-AADM01000071.1-processed-gene-0.185-mRNA-1_1&gene=snap_masked-AADM01000071.1-processed-gene-0.185&CDS=1-1779, snap_masked-AADM01000194.1-processed-gene-0.108-mRNA-1_1&gene=snap_masked-AADM01000194.1-processed-gene-0.108&CDS=1-1788, snap_masked-AADM01000212.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.10&CDS=1-1761	YGR191W, YKR039W
19	OG0000019	snap_masked-AADM01000126.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000126.1-processed-gene-0.18&CDS=1-993, snap_masked-AADM01000212.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.53&CDS=1-996, snap_masked-AADM01000271.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AADM01000271.1-processed-gene-0.38&CDS=1-996	YGR192C, YJL052W, YJR009C
20	OG0000020	augustus_masked-AADM01000706.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-AADM01000706.1-processed-gene-0.0&CDS=1-621, snap_masked-AADM01000448.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000448.1-processed-gene-0.2&CDS=1-984	YCR107W, YDL243C, YJR155W, YNL331C
21	OG0000021	maker-AADM01000321.1-snap-gene-0.22-mRNA-1_1&gene=maker-AADM01000321.1-snap-gene-0.22&CDS=1-2715, snap_masked-AADM01000001.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-AADM01000001.1-processed-gene-0.93&CDS=1-2037, snap_masked-AADM01000047.1-processed-gene-0.162-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.162&CDS=1-1950	YER103W, YJL034W
22	OG0000022	snap_masked-AADM01000022.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000022.1-processed-gene-0.10&CDS=1-1422	YAR071W, YBR092C, YBR093C, YHR215W
23	OG0000023	augustus_masked-AADM01000024.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-AADM01000024.1-processed-gene-0.28&CDS=1-2190, snap_masked-AADM01000333.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000333.1-processed-gene-0.6&CDS=1-1554	YER056C, YER060W, YER060W-A
24	OG0000024	snap_masked-AADM01000027.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000027.1-processed-gene-0.28&CDS=1-2448, snap_masked-AADM01000181.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000181.1-processed-gene-0.7&CDS=1-2673	YCR037C, YJL198W, YNR013C
25	OG0000025	augustus_masked-AADM01000031.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-AADM01000031.1-processed-gene-0.40&CDS=1-2205, snap_masked-AADM01000152.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-AADM01000152.1-processed-gene-0.47&CDS=1-2235	YKL222C, YOR162C, YOR172W
26	OG0000026	augustus_masked-AADM01000119.1-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-AADM01000119.1-processed-gene-0.136&CDS=1-2274, genemark-AADM01000035.1-processed-gene-0.2-mRNA-1_1&gene=genemark-AADM01000035.1-processed-gene-0.2&CDS=1-3219, genemark-AADM01000072.1-processed-gene-0.11-mRNA-1_1&gene=genemark-AADM01000072.1-processed-gene-0.11&CDS=1-4458, maker-AADM01000214.1-snap-gene-0.271-mRNA-1_1&gene=maker-AADM01000214.1-snap-gene-0.271&CDS=1-4761, snap_masked-AADM01000476.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000476.1-processed-gene-0.1&CDS=1-1245	
27	OG0000027	snap_masked-AADM01000051.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000051.1-processed-gene-0.57&CDS=1-1839	YBR298C, YDL247W, YGR289C, YJR160C
28	OG0000028	augustus_masked-AADM01000161.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-AADM01000161.1-processed-gene-0.7&CDS=1-1515, snap_masked-AADM01000113.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-AADM01000113.1-processed-gene-0.42&CDS=1-1947	YBL042C, YBR021W, YIR028W
29	OG0000029	genemark-AADM01000300.1-processed-gene-0.32-mRNA-1_1&gene=genemark-AADM01000300.1-processed-gene-0.32&CDS=1-4941, snap_masked-AADM01000116.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000116.1-processed-gene-0.30&CDS=1-5316	YGR032W, YLR342W, YMR306W
30	OG0000030	augustus_masked-AADM01000307.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-AADM01000307.1-processed-gene-0.30&CDS=1-1311, snap_masked-AADM01000140.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-AADM01000140.1-processed-gene-0.39&CDS=1-1419	YIR013C, YLR013W, YMR136W
31	OG0000031	snap_masked-AADM01000212.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.0&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
32	OG0000032	snap_masked-AADM01000283.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000283.1-processed-gene-0.3&CDS=1-1026	YDR541C, YGL039W, YGL157W, YOL151W
33	OG0000033	snap_masked-AADM01000435.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000435.1-processed-gene-0.1&CDS=1-309	YBR297W, YFL052W, YGR288W, YPR196W
34	OG0000034	snap_masked-AADM01000005.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.18&CDS=1-3300	YDR038C, YDR039C, YDR040C
35	OG0000035	snap_masked-AADM01000005.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.21&CDS=1-1776	YLR237W, YOR071C, YOR192C
36	OG0000036	augustus_masked-AADM01000014.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-AADM01000014.1-processed-gene-0.9&CDS=1-1266, snap_masked-AADM01000353.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000353.1-processed-gene-0.1&CDS=1-1233	YDL066W, YLR174W
37	OG0000037	snap_masked-AADM01000014.1-processed-gene-0.134-mRNA-1_1&gene=snap_masked-AADM01000014.1-processed-gene-0.134&CDS=1-1380, snap_masked-AADM01000261.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.40&CDS=1-1254, snap_masked-AADM01000296.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-AADM01000296.1-processed-gene-0.67&CDS=1-1629	YNL234W
38	OG0000038	snap_masked-AADM01000015.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000015.1-processed-gene-0.16&CDS=1-1695, snap_masked-AADM01000214.1-processed-gene-0.234-mRNA-1_1&gene=snap_masked-AADM01000214.1-processed-gene-0.234&CDS=1-1731, snap_masked-AADM01000346.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000346.1-processed-gene-0.7&CDS=1-1692	YDL210W
39	OG0000039	augustus_masked-AADM01000018.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-AADM01000018.1-processed-gene-0.3&CDS=1-4683, augustus_masked-AADM01000021.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-AADM01000021.1-processed-gene-0.103&CDS=1-2784	YBR038W, YNL192W
40	OG0000040	snap_masked-AADM01000018.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-AADM01000018.1-processed-gene-0.71&CDS=1-3903, snap_masked-AADM01000111.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000111.1-processed-gene-0.27&CDS=1-4800	YIL126W, YOR290C
41	OG0000041	augustus_masked-AADM01000024.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-AADM01000024.1-processed-gene-0.73&CDS=1-1983, snap_masked-AADM01000021.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000021.1-processed-gene-0.57&CDS=1-2301	YHR035W, YPR181C
42	OG0000042	snap_masked-AADM01000024.1-processed-gene-0.190-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.190&CDS=1-5721, snap_masked-AADM01000080.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-AADM01000080.1-processed-gene-0.100&CDS=1-4665	YHR023W, YOR326W
43	OG0000043	snap_masked-AADM01000024.1-processed-gene-0.238-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.238&CDS=1-2463, snap_masked-AADM01000108.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000108.1-processed-gene-0.35&CDS=1-2616	YHR028C, YOR219C
44	OG0000044	snap_masked-AADM01000024.1-processed-gene-0.246-mRNA-1_1&gene=snap_masked-AADM01000024.1-processed-gene-0.246&CDS=1-1530, snap_masked-AADM01000140.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-AADM01000140.1-processed-gene-0.50&CDS=1-1413	YHR050W, YLR034C
45	OG0000045	maker-AADM01000024.1-snap-gene-0.283-mRNA-1_1&gene=maker-AADM01000024.1-snap-gene-0.283&CDS=1-1923, snap_masked-AADM01000075.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000075.1-processed-gene-0.21&CDS=1-1566	YER073W, YOR374W
46	OG0000046	snap_masked-AADM01000027.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000027.1-processed-gene-0.24&CDS=1-2880, snap_masked-AADM01000203.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000203.1-processed-gene-0.2&CDS=1-2925	YGR240C, YMR205C
47	OG0000047	augustus_masked-AADM01000294.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-AADM01000294.1-processed-gene-0.41&CDS=1-1863, snap_masked-AADM01000036.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000036.1-processed-gene-0.35&CDS=1-1539, snap_masked-AADM01000296.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-AADM01000296.1-processed-gene-0.66&CDS=1-1533	YDL138W
48	OG0000048	snap_masked-AADM01000037.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.28&CDS=1-3144, snap_masked-AADM01000037.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.51&CDS=1-2628	YJR061W, YKL201C
49	OG0000049	maker-AADM01000055.1-snap-gene-0.0-mRNA-1_1&gene=maker-AADM01000055.1-snap-gene-0.0&CDS=1-4386, snap_masked-AADM01000044.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.101&CDS=1-3696	YLR144C, YNR067C
50	OG0000050	augustus_masked-AADM01000048.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-AADM01000048.1-processed-gene-0.1&CDS=1-4227, snap_masked-AADM01000056.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-AADM01000056.1-processed-gene-0.43&CDS=1-2373	YBR060C, YIL095W
51	OG0000051	snap_masked-AADM01000048.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AADM01000048.1-processed-gene-0.34&CDS=1-309, snap_masked-AADM01000056.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-AADM01000056.1-processed-gene-0.36&CDS=1-309	YBR009C, YNL030W
52	OG0000052	snap_masked-AADM01000062.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000062.1-processed-gene-0.57&CDS=1-2154, snap_masked-AADM01000153.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000153.1-processed-gene-0.21&CDS=1-2373	YER047C, YPL074W
53	OG0000053	snap_masked-AADM01000074.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000074.1-processed-gene-0.8&CDS=1-1068, snap_masked-AADM01000214.1-processed-gene-0.219-mRNA-1_1&gene=snap_masked-AADM01000214.1-processed-gene-0.219&CDS=1-1068	YDL246C, YJR159W
54	OG0000054	augustus_masked-AADM01000075.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-AADM01000075.1-processed-gene-0.49&CDS=1-2832, snap_masked-AADM01000653.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000653.1-processed-gene-0.1&CDS=1-774	YAL051W, YOR363C
55	OG0000055	snap_masked-AADM01000081.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AADM01000081.1-processed-gene-0.33&CDS=1-2220, snap_masked-AADM01000212.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000212.1-processed-gene-0.19&CDS=1-2265	YAL023C, YGR199W
56	OG0000056	snap_masked-AADM01000081.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000081.1-processed-gene-0.20&CDS=1-1710, snap_masked-AADM01000283.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000283.1-processed-gene-0.20&CDS=1-1887	YDR144C, YLR120C
57	OG0000057	snap_masked-AADM01000093.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.14&CDS=1-630	YFL060C, YMR095C, YNL334C
