	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034622_Pichia_occidentalis
10	OG0000010	Q0105, Q0110, Q0115, Q0120	maker-NODE_82_length_30242_cov_1152.93_ID_163-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_82_length_30242_cov_1152.93_ID_163-snap-gene-0.6&CDS=1-375, maker-NODE_82_length_30242_cov_1152.93_ID_163-snap-gene-0.7-mRNA-1_1&gene=maker-NODE_82_length_30242_cov_1152.93_ID_163-snap-gene-0.7&CDS=1-285, maker-NODE_82_length_30242_cov_1152.93_ID_163-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_82_length_30242_cov_1152.93_ID_163-snap-gene-0.9&CDS=1-201
11	OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
12	OG0000012	YDL123W, YDR276C, YDR525W-A, YJL151C	augustus_masked-NODE_63_length_54474_cov_15.5768_ID_125-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_63_length_54474_cov_15.5768_ID_125-processed-gene-0.26&CDS=1-576, snap_masked-NODE_32_length_125017_cov_20.7924_ID_63-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_32_length_125017_cov_20.7924_ID_63-processed-gene-0.32&CDS=1-186
13	OG0000013	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	snap_masked-NODE_50_length_86358_cov_14.1155_ID_99-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_50_length_86358_cov_14.1155_ID_99-processed-gene-0.91&CDS=1-1653
14	OG0000014	YGR212W, YML096W	augustus_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.40&CDS=1-2988, augustus_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.41&CDS=1-1326, snap_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.194-mRNA-1_1&gene=snap_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.194&CDS=1-411, snap_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.220-mRNA-1_1&gene=snap_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.220&CDS=1-1395
15	OG0000015	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-1.9&CDS=1-4635
16	OG0000016	YBL054W, YER088C	augustus_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_10_length_288871_cov_13.1341_ID_19-processed-gene-1.8&CDS=1-1230, augustus_masked-NODE_70_length_41823_cov_16.6496_ID_139-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_70_length_41823_cov_16.6496_ID_139-processed-gene-0.27&CDS=1-1488, snap_masked-NODE_14_length_241051_cov_15.2247_ID_27-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_14_length_241051_cov_15.2247_ID_27-processed-gene-1.6&CDS=1-1482
17	OG0000017	YBR067C, YER011W, YIL011W, YOR010C	snap_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_6_length_336941_cov_13.1986_ID_11-processed-gene-0.37&CDS=1-633
18	OG0000018	YBR089C-A, YDL002C, YPR052C	augustus_masked-NODE_2_length_426856_cov_13.6764_ID_3-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_2_length_426856_cov_13.6764_ID_3-processed-gene-0.102&CDS=1-1422, snap_masked-NODE_59_length_64444_cov_13.1595_ID_117-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_59_length_64444_cov_13.1595_ID_117-processed-gene-0.89&CDS=1-288
19	OG0000019	YBR207W, YER145C	snap_masked-NODE_30_length_127291_cov_23.3968_ID_59-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_30_length_127291_cov_23.3968_ID_59-processed-gene-0.142&CDS=1-1227, snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-1.17&CDS=1-1269, snap_masked-NODE_89_length_24783_cov_14.361_ID_177-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_89_length_24783_cov_14.361_ID_177-processed-gene-0.29&CDS=1-1167
20	OG0000020	YCL024W, YDR507C, YKL101W	snap_masked-NODE_34_length_122449_cov_15.1049_ID_67-processed-gene-0.129-mRNA-1_1&gene=snap_masked-NODE_34_length_122449_cov_15.1049_ID_67-processed-gene-0.129&CDS=1-3810, snap_masked-NODE_46_length_93283_cov_13.2941_ID_91-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_46_length_93283_cov_13.2941_ID_91-processed-gene-0.35&CDS=1-3669
21	OG0000021	YCR010C, YNR002C	genemark-NODE_8_length_292825_cov_17.2616_ID_15-processed-gene-1.185-mRNA-1_1&gene=genemark-NODE_8_length_292825_cov_17.2616_ID_15-processed-gene-1.185&CDS=1-822, snap_masked-NODE_43_length_95476_cov_25.2629_ID_85-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_43_length_95476_cov_25.2629_ID_85-processed-gene-0.32&CDS=1-828, snap_masked-NODE_57_length_67361_cov_26.3817_ID_113-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_57_length_67361_cov_26.3817_ID_113-processed-gene-0.64&CDS=1-831
22	OG0000022	YDL210W	genemark-NODE_43_length_95476_cov_25.2629_ID_85-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_43_length_95476_cov_25.2629_ID_85-processed-gene-0.111&CDS=1-1659, genemark-NODE_94_length_21659_cov_18.8819_ID_187-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_94_length_21659_cov_18.8819_ID_187-processed-gene-0.2&CDS=1-1686, snap_masked-NODE_15_length_212988_cov_14.2066_ID_29-processed-gene-1.164-mRNA-1_1&gene=snap_masked-NODE_15_length_212988_cov_14.2066_ID_29-processed-gene-1.164&CDS=1-1668, snap_masked-NODE_26_length_148938_cov_14.7594_ID_51-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_26_length_148938_cov_14.7594_ID_51-processed-gene-0.20&CDS=1-1683
23	OG0000023	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-NODE_41_length_97040_cov_14.4426_ID_81-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_41_length_97040_cov_14.4426_ID_81-processed-gene-0.14&CDS=1-1014
24	OG0000024	YDR144C, YLR120C, YLR121C	maker-NODE_3_length_408721_cov_12.9935_ID_5-snap-gene-2.44-mRNA-1_1&gene=maker-NODE_3_length_408721_cov_12.9935_ID_5-snap-gene-2.44&CDS=1-3375, snap_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-2.39-mRNA-1_1&gene=snap_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-2.39&CDS=1-1821
25	OG0000025	YDR216W, YJR127C, YML081W	genemark-NODE_9_length_291294_cov_14.1555_ID_17-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_9_length_291294_cov_14.1555_ID_17-processed-gene-1.52&CDS=1-4950, snap_masked-NODE_13_length_248499_cov_14.793_ID_25-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_13_length_248499_cov_14.793_ID_25-processed-gene-0.12&CDS=1-4089
26	OG0000026	YDR385W, YKL173W, YOR133W	snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-4.31-mRNA-1_1&gene=snap_masked-NODE_1_length_588352_cov_13.099_ID_1-processed-gene-4.31&CDS=1-2970, snap_masked-NODE_77_length_37524_cov_13.4899_ID_153-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_77_length_37524_cov_13.4899_ID_153-processed-gene-0.6&CDS=1-3480
27	OG0000027	YGL044C, YGR156W	augustus_masked-NODE_256_length_842_cov_17.3911_ID_511-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_256_length_842_cov_17.3911_ID_511-processed-gene-0.1&CDS=1-564, augustus_masked-NODE_641_length_243_cov_7.45082_ID_1281-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_641_length_243_cov_7.45082_ID_1281-processed-gene-0.0&CDS=1-219, snap_masked-NODE_43_length_95476_cov_25.2629_ID_85-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_43_length_95476_cov_25.2629_ID_85-processed-gene-0.24&CDS=1-1365
28	OG0000028	YGL073W, YOR140W	augustus_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-3.15&CDS=1-2526, snap_masked-NODE_64_length_46996_cov_12.8187_ID_127-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_64_length_46996_cov_12.8187_ID_127-processed-gene-0.14&CDS=1-2406, snap_masked-NODE_72_length_41271_cov_26.8656_ID_143-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_72_length_41271_cov_26.8656_ID_143-processed-gene-0.0&CDS=1-3015
29	OG0000029	YHL007C, YNL298W, YOL113W	snap_masked-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_21_length_167276_cov_13.7398_ID_41-processed-gene-0.141&CDS=1-4212, snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-2.6-mRNA-1_1&gene=snap_masked-NODE_5_length_351971_cov_13.5911_ID_9-processed-gene-2.6&CDS=1-2667
30	OG0000030	YHR023W, YOR326W	maker-NODE_12_length_279119_cov_14.1565_ID_23-snap-gene-1.254-mRNA-1_1&gene=maker-NODE_12_length_279119_cov_14.1565_ID_23-snap-gene-1.254&CDS=1-4488, maker-NODE_3_length_408721_cov_12.9935_ID_5-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_3_length_408721_cov_12.9935_ID_5-snap-gene-0.5&CDS=1-4578, snap_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_3_length_408721_cov_12.9935_ID_5-processed-gene-0.107&CDS=1-4413
31	OG0000031	YJR152W	snap_masked-NODE_64_length_46996_cov_12.8187_ID_127-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_64_length_46996_cov_12.8187_ID_127-processed-gene-0.22&CDS=1-1572, snap_masked-NODE_72_length_41271_cov_26.8656_ID_143-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_72_length_41271_cov_26.8656_ID_143-processed-gene-0.14&CDS=1-1581, snap_masked-NODE_8_length_292825_cov_17.2616_ID_15-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_8_length_292825_cov_17.2616_ID_15-processed-gene-0.66&CDS=1-1620, snap_masked-NODE_9_length_291294_cov_14.1555_ID_17-processed-gene-1.217-mRNA-1_1&gene=snap_masked-NODE_9_length_291294_cov_14.1555_ID_17-processed-gene-1.217&CDS=1-1572
