	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034654_Aciculoconidium_aculeatum
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_17_length_317208_cov_34.3659_ID_33-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NODE_17_length_317208_cov_34.3659_ID_33-processed-gene-2.47&CDS=1-2094, augustus_masked-NODE_80_length_55728_cov_33.3517_ID_159-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_80_length_55728_cov_33.3517_ID_159-processed-gene-0.45&CDS=1-2157, augustus_masked-NODE_91_length_42780_cov_34.7684_ID_181-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_91_length_42780_cov_34.7684_ID_181-processed-gene-0.36&CDS=1-2058
11	OG0000011	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_37_length_152874_cov_34.0814_ID_73-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_37_length_152874_cov_34.0814_ID_73-processed-gene-0.13&CDS=1-1773, augustus_masked-NODE_49_length_123471_cov_34.9033_ID_97-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_49_length_123471_cov_34.9033_ID_97-processed-gene-0.12&CDS=1-1722, augustus_masked-NODE_79_length_56883_cov_31.9443_ID_157-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_79_length_56883_cov_31.9443_ID_157-processed-gene-0.12&CDS=1-1773
12	OG0000012	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-2.100&CDS=1-1125, augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_899148_cov_35.27_ID_3-processed-gene-4.16&CDS=1-2499, augustus_masked-NODE_33_length_164750_cov_33.4327_ID_65-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_33_length_164750_cov_33.4327_ID_65-processed-gene-0.61&CDS=1-3096
13	OG0000013	YLR286C	augustus_masked-NODE_16_length_320525_cov_33.7835_ID_31-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NODE_16_length_320525_cov_33.7835_ID_31-processed-gene-2.123&CDS=1-1080, augustus_masked-NODE_1_length_997750_cov_35.0829_ID_1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_1_length_997750_cov_35.0829_ID_1-processed-gene-0.73&CDS=1-1083, augustus_masked-NODE_203_length_3266_cov_56.7377_ID_405-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_203_length_3266_cov_56.7377_ID_405-processed-gene-0.0&CDS=1-1023, augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.60&CDS=1-1053, augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.73&CDS=1-1047, augustus_masked-NODE_79_length_56883_cov_31.9443_ID_157-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_79_length_56883_cov_31.9443_ID_157-processed-gene-0.10&CDS=1-1065
14	OG0000014	YOR388C	augustus_masked-NODE_45_length_132219_cov_34.3838_ID_89-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_45_length_132219_cov_34.3838_ID_89-processed-gene-0.123&CDS=1-1143, augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_55_length_97654_cov_35.1189_ID_109-processed-gene-0.61&CDS=1-1146, augustus_masked-NODE_59_length_86289_cov_33.4173_ID_117-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_59_length_86289_cov_33.4173_ID_117-processed-gene-0.30&CDS=1-1143, augustus_masked-NODE_68_length_74480_cov_35.2063_ID_135-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_68_length_74480_cov_35.2063_ID_135-processed-gene-0.2&CDS=1-1146, augustus_masked-NODE_80_length_55728_cov_33.3517_ID_159-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_80_length_55728_cov_33.3517_ID_159-processed-gene-0.42&CDS=1-1140, snap_masked-NODE_79_length_56883_cov_31.9443_ID_157-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_79_length_56883_cov_31.9443_ID_157-processed-gene-0.42&CDS=1-1110
15	OG0000015	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
16	OG0000016	YBR290W	augustus_masked-NODE_285_length_1729_cov_65.3961_ID_569-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_285_length_1729_cov_65.3961_ID_569-processed-gene-0.2&CDS=1-663, augustus_masked-NODE_286_length_1721_cov_33.6481_ID_571-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_286_length_1721_cov_33.6481_ID_571-processed-gene-0.2&CDS=1-327, augustus_masked-NODE_47_length_124665_cov_34.7406_ID_93-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_47_length_124665_cov_34.7406_ID_93-processed-gene-0.26&CDS=1-870, maker-NODE_26_length_186901_cov_35.17_ID_51-augustus-gene-0.76-mRNA-1_1&gene=maker-NODE_26_length_186901_cov_35.17_ID_51-augustus-gene-0.76&CDS=1-1908, snap_masked-NODE_576_length_487_cov_35.582_ID_1151-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_576_length_487_cov_35.582_ID_1151-processed-gene-0.1&CDS=1-300
17	OG0000017	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-1.6&CDS=1-2043, snap_masked-NODE_98_length_34288_cov_31.3655_ID_195-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_98_length_34288_cov_31.3655_ID_195-processed-gene-0.6&CDS=1-1581
18	OG0000018	YJL172W, YOL153C	augustus_masked-NODE_52_length_101915_cov_36.2178_ID_103-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_52_length_101915_cov_36.2178_ID_103-processed-gene-0.20&CDS=1-1698, augustus_masked-NODE_53_length_101593_cov_33.893_ID_105-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_53_length_101593_cov_33.893_ID_105-processed-gene-0.91&CDS=1-1698, augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.85&CDS=1-1698, maker-NODE_46_length_125620_cov_33.9717_ID_91-snap-gene-0.115-mRNA-1_1&gene=maker-NODE_46_length_125620_cov_33.9717_ID_91-snap-gene-0.115&CDS=1-3498
19	OG0000019	YPR194C	augustus_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_13_length_332279_cov_34.6765_ID_25-processed-gene-0.89&CDS=1-2778, augustus_masked-NODE_14_length_331226_cov_34.5996_ID_27-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-NODE_14_length_331226_cov_34.5996_ID_27-processed-gene-2.67&CDS=1-2673, augustus_masked-NODE_150_length_8568_cov_40.3688_ID_299-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_150_length_8568_cov_40.3688_ID_299-processed-gene-0.6&CDS=1-2775, augustus_masked-NODE_246_length_2279_cov_43.2725_ID_491-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_246_length_2279_cov_43.2725_ID_491-processed-gene-0.2&CDS=1-1755, augustus_masked-NODE_282_length_1809_cov_39.4461_ID_563-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_282_length_1809_cov_39.4461_ID_563-processed-gene-0.0&CDS=1-1755
20	OG0000020	Q0105, Q0110, Q0115, Q0120	maker-NODE_77_length_61037_cov_951.503_ID_153-snap-gene-0.28-mRNA-1_1&gene=maker-NODE_77_length_61037_cov_951.503_ID_153-snap-gene-0.28&CDS=1-261, maker-NODE_77_length_61037_cov_951.503_ID_153-snap-gene-0.29-mRNA-1_1&gene=maker-NODE_77_length_61037_cov_951.503_ID_153-snap-gene-0.29&CDS=1-330
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_1_length_997750_cov_35.0829_ID_1-processed-gene-8.218-mRNA-1_1&gene=augustus_masked-NODE_1_length_997750_cov_35.0829_ID_1-processed-gene-8.218&CDS=1-4593
22	OG0000022	YBL068W-A, YBL069W, YER101C, YMR152W	augustus_masked-NODE_22_length_218679_cov_35.0764_ID_43-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_22_length_218679_cov_35.0764_ID_43-processed-gene-0.7&CDS=1-2292
23	OG0000023	YBR008C	augustus_masked-NODE_43_length_136554_cov_31.962_ID_85-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_43_length_136554_cov_31.962_ID_85-processed-gene-0.88&CDS=1-1611, augustus_masked-NODE_53_length_101593_cov_33.893_ID_105-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_53_length_101593_cov_33.893_ID_105-processed-gene-0.102&CDS=1-1656, augustus_masked-NODE_5_length_419891_cov_34.8861_ID_9-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-NODE_5_length_419891_cov_34.8861_ID_9-processed-gene-3.158&CDS=1-1647, augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_64_length_77979_cov_32.7884_ID_127-processed-gene-0.71&CDS=1-1647
24	OG0000024	YBR067C, YIL011W, YOR010C	augustus_masked-NODE_33_length_164750_cov_33.4327_ID_65-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_33_length_164750_cov_33.4327_ID_65-processed-gene-0.4&CDS=1-477, augustus_masked-NODE_8_length_400105_cov_32.716_ID_15-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-NODE_8_length_400105_cov_32.716_ID_15-processed-gene-3.156&CDS=1-525
25	OG0000025	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_23_length_218239_cov_32.4129_ID_45-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_23_length_218239_cov_32.4129_ID_45-processed-gene-0.45&CDS=1-1770
26	OG0000026	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_5_length_419891_cov_34.8861_ID_9-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-NODE_5_length_419891_cov_34.8861_ID_9-processed-gene-2.104&CDS=1-1746
27	OG0000027	YCL024W, YDR507C, YKL101W	augustus_masked-NODE_16_length_320525_cov_33.7835_ID_31-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NODE_16_length_320525_cov_33.7835_ID_31-processed-gene-2.118&CDS=1-5130, maker-NODE_40_length_148413_cov_35.1706_ID_79-snap-gene-0.129-mRNA-1_1&gene=maker-NODE_40_length_148413_cov_35.1706_ID_79-snap-gene-0.129&CDS=1-4791
