	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034748_Lipomyces_oligophaga
10	OG0000010	YCR067C, YNL168C, YNR026C	augustus_masked-NODE_13_length_191982_cov_25.1951_ID_25-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_13_length_191982_cov_25.1951_ID_25-processed-gene-0.106&CDS=1-2076, maker-NODE_11_length_459259_cov_25.0738_ID_21-snap-gene-3.162-mRNA-1_1&gene=maker-NODE_11_length_459259_cov_25.0738_ID_21-snap-gene-3.162&CDS=1-711, snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-13.75-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-13.75&CDS=1-1737
11	OG0000011	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-10.121-mRNA-1_1&gene=augustus_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-10.121&CDS=1-1434, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-22.27-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-22.27&CDS=1-1521, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-22.54-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-22.54&CDS=1-1635
12	OG0000012	YDR402C	augustus_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-1.25&CDS=1-1617, genemark-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-8.7-mRNA-1_1&gene=genemark-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-8.7&CDS=1-1467, maker-NODE_1_length_2488267_cov_24.9357_ID_1-snap-gene-14.56-mRNA-1_1&gene=maker-NODE_1_length_2488267_cov_24.9357_ID_1-snap-gene-14.56&CDS=1-6465, maker-NODE_1_length_2488267_cov_24.9357_ID_1-snap-gene-3.66-mRNA-1_1&gene=maker-NODE_1_length_2488267_cov_24.9357_ID_1-snap-gene-3.66&CDS=1-3102, snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-4.79&CDS=1-1557
13	OG0000013	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-5.118-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-5.118&CDS=1-1008, snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-11.301-mRNA-1_1&gene=snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-11.301&CDS=1-1014
14	OG0000014	YGL120C, YKR086W, YNR011C	augustus_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-10.113-mRNA-1_1&gene=augustus_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-10.113&CDS=1-4641, maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-2.53-mRNA-1_1&gene=maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-2.53&CDS=1-2817, snap_masked-NODE_7_length_759464_cov_25.2552_ID_13-processed-gene-6.199-mRNA-1_1&gene=snap_masked-NODE_7_length_759464_cov_25.2552_ID_13-processed-gene-6.199&CDS=1-2334
15	OG0000015	YHR179W, YPL171C	snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-12.47-mRNA-1_1&gene=snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-12.47&CDS=1-1086, snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-11.52-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-11.52&CDS=1-1086, snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-7.163-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-7.163&CDS=1-1086, snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-3.72&CDS=1-1068
16	OG0000016	YIL124W	maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.203-mRNA-1_1&gene=maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.203&CDS=1-651, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-0.4&CDS=1-840, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-5.73-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-5.73&CDS=1-834, snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-4.44-mRNA-1_1&gene=snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-4.44&CDS=1-342, snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-4.45&CDS=1-255
17	OG0000017	YOL119C	augustus_masked-NODE_14_length_86440_cov_24.7008_ID_27-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_14_length_86440_cov_24.7008_ID_27-processed-gene-0.11&CDS=1-1386, augustus_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-3.57&CDS=1-1437, snap_masked-NODE_13_length_191982_cov_25.1951_ID_25-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_13_length_191982_cov_25.1951_ID_25-processed-gene-0.73&CDS=1-1344, snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-15.105-mRNA-1_1&gene=snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-15.105&CDS=1-1314, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-8.142-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-8.142&CDS=1-1344
18	OG0000018	YAL033W	maker-NODE_6_length_1161583_cov_24.6584_ID_11-augustus-gene-7.84-mRNA-1_1&gene=maker-NODE_6_length_1161583_cov_24.6584_ID_11-augustus-gene-7.84&CDS=1-1743, maker-NODE_8_length_612213_cov_24.9474_ID_15-augustus-gene-4.100-mRNA-1_1&gene=maker-NODE_8_length_612213_cov_24.9474_ID_15-augustus-gene-4.100&CDS=1-1005, maker-NODE_8_length_612213_cov_24.9474_ID_15-snap-gene-1.76-mRNA-1_1&gene=maker-NODE_8_length_612213_cov_24.9474_ID_15-snap-gene-1.76&CDS=1-978, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-19.141-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-19.141&CDS=1-996
19	OG0000019	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-0.7&CDS=1-2877
21	OG0000021	YBR038W, YNL192W	genemark-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-18.90-mRNA-1_1&gene=genemark-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-18.90&CDS=1-3312, maker-NODE_9_length_547499_cov_24.6718_ID_17-augustus-gene-3.13-mRNA-1_1&gene=maker-NODE_9_length_547499_cov_24.6718_ID_17-augustus-gene-3.13&CDS=1-3243, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-4.117-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-4.117&CDS=1-2823
22	OG0000022	YBR126C, YML100W, YMR261C	maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-7.98-mRNA-1_1&gene=maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-7.98&CDS=1-1467, snap_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-2.135&CDS=1-2298
23	OG0000023	YCR065W, YIL131C, YNL068C	maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-9.107-mRNA-1_1&gene=maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-9.107&CDS=1-2088, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-0.26&CDS=1-2649
24	OG0000024	YDL080C, YGR087C, YLR044C, YLR134W	maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-3.9-mRNA-1_1&gene=maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-3.9&CDS=1-1791
