	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041693_Debaryomyces_nepalensis
10	OG0000010	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_18_length_106977_cov_16.0576_ID_3274-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_18_length_106977_cov_16.0576_ID_3274-processed-gene-0.21&CDS=1-1875, augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-3.13&CDS=1-1875
11	OG0000011	YDL170W	augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-5.65&CDS=1-2364, augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-2.65&CDS=1-1785, maker-NODE_19_length_53035_cov_22.1813_ID_3340-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_19_length_53035_cov_22.1813_ID_3340-snap-gene-0.4&CDS=1-1863, maker-NODE_7_length_741361_cov_11.406_ID_2867-augustus-gene-4.3-mRNA-1_1&gene=maker-NODE_7_length_741361_cov_11.406_ID_2867-augustus-gene-4.3&CDS=1-1656, maker-NODE_8_length_604693_cov_13.7067_ID_1552-snap-gene-0.54-mRNA-1_1&gene=maker-NODE_8_length_604693_cov_13.7067_ID_1552-snap-gene-0.54&CDS=1-1785
12	OG0000012	YDR242W, YLL063C	augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-6.51&CDS=1-1725, augustus_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-0.141&CDS=1-3771, maker-NODE_6_length_798714_cov_13.4079_ID_1713-snap-gene-6.222-mRNA-1_1&gene=maker-NODE_6_length_798714_cov_13.4079_ID_1713-snap-gene-6.222&CDS=1-3069, snap_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-6.298-mRNA-1_1&gene=snap_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-6.298&CDS=1-1677
13	OG0000013	YDR402C, YJL039C	augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.94&CDS=1-1572, augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.118&CDS=1-1515, augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.89&CDS=1-1572, maker-NODE_2_length_1047957_cov_13.0036_ID_1457-augustus-gene-6.70-mRNA-1_1&gene=maker-NODE_2_length_1047957_cov_13.0036_ID_1457-augustus-gene-6.70&CDS=1-7329
14	OG0000014	YFR007W, YPL248C	augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.54&CDS=1-2274, augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-3.145&CDS=1-684, maker-NODE_6_length_798714_cov_13.4079_ID_1713-augustus-gene-6.239-mRNA-1_1&gene=maker-NODE_6_length_798714_cov_13.4079_ID_1713-augustus-gene-6.239&CDS=1-3666, maker-NODE_9_length_569813_cov_13.4912_ID_3159-augustus-gene-4.13-mRNA-1_1&gene=maker-NODE_9_length_569813_cov_13.4912_ID_3159-augustus-gene-4.13&CDS=1-3033
15	OG0000015	YGL257C, YIL014W, YNR059W	augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-0.50&CDS=1-2187, augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-6.50&CDS=1-2373, maker-NODE_9_length_569813_cov_13.4912_ID_3159-augustus-gene-4.12-mRNA-1_1&gene=maker-NODE_9_length_569813_cov_13.4912_ID_3159-augustus-gene-4.12&CDS=1-2172
16	OG0000016	YGR281W, YKR104W	augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-3.204-mRNA-1_1&gene=augustus_masked-NODE_11_length_447738_cov_14.2922_ID_1511-processed-gene-3.204&CDS=1-4236, augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.193-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.193&CDS=1-744, augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.194-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.194&CDS=1-3222, augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-4.163-mRNA-1_1&gene=augustus_masked-NODE_9_length_569813_cov_13.4912_ID_3159-processed-gene-4.163&CDS=1-4536
17	OG0000017	YHL034C, YIR001C, YLL046C	augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-2.123&CDS=1-555, augustus_masked-NODE_18_length_106977_cov_16.0576_ID_3274-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_18_length_106977_cov_16.0576_ID_3274-processed-gene-0.17&CDS=1-645, augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-6.41&CDS=1-909
18	OG0000018	YML111W, YMR275C, YNR069C	augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-2.50&CDS=1-2784, augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-6.68&CDS=1-2373, snap_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-5.9-mRNA-1_1&gene=snap_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-5.9&CDS=1-2265
19	OG0000019	Q0105, Q0110, Q0115, Q0120	maker-NODE_22_length_24298_cov_389.934_ID_6606-snap-gene-0.18-mRNA-1_1&gene=maker-NODE_22_length_24298_cov_389.934_ID_6606-snap-gene-0.18&CDS=1-516, maker-NODE_22_length_24298_cov_389.934_ID_6606-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_22_length_24298_cov_389.934_ID_6606-snap-gene-0.9&CDS=1-528
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_2_length_1047957_cov_13.0036_ID_1457-augustus-gene-4.3-mRNA-1_1&gene=maker-NODE_2_length_1047957_cov_13.0036_ID_1457-augustus-gene-4.3&CDS=1-4995
21	OG0000021	YBL089W, YER119C, YIL088C	augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-5.86&CDS=1-1422, augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-4.131&CDS=1-1350
22	OG0000022	YBR033W, YKL038W	augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-4.85&CDS=1-2604, augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-9.125&CDS=1-1329, augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-3.152&CDS=1-2970
23	OG0000023	YBR038W, YNL192W	augustus_masked-NODE_20_length_47766_cov_12.4286_ID_3312-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_20_length_47766_cov_12.4286_ID_3312-processed-gene-0.35&CDS=1-3027, augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-1.141&CDS=1-2958, snap_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-3.25&CDS=1-3060
24	OG0000024	YBR177C, YMR210W, YPL095C	augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-9.149&CDS=1-1278, augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-2.81&CDS=1-1680
25	OG0000025	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-2.87&CDS=1-2052
26	OG0000026	YCL024W, YDR507C, YKL101W	augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-11.92-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-11.92&CDS=1-4395, augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-2.28&CDS=1-3936
27	OG0000027	YCL036W, YDR514C, YKL114C	genemark-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-2.95-mRNA-1_1&gene=genemark-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-2.95&CDS=1-927, maker-NODE_3_length_1003114_cov_11.7128_ID_1650-augustus-gene-2.1-mRNA-1_1&gene=maker-NODE_3_length_1003114_cov_11.7128_ID_1650-augustus-gene-2.1&CDS=1-2040
28	OG0000028	YCL064C, YIL167W, YML020W	augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-1.135&CDS=1-1050, maker-NODE_18_length_106977_cov_16.0576_ID_3274-snap-gene-0.100-mRNA-1_1&gene=maker-NODE_18_length_106977_cov_16.0576_ID_3274-snap-gene-0.100&CDS=1-3660
29	OG0000029	YCR037C, YJL198W, YNR013C	augustus_masked-NODE_13_length_346614_cov_12.9166_ID_3081-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NODE_13_length_346614_cov_12.9166_ID_3081-processed-gene-2.143&CDS=1-2811, augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-2.90&CDS=1-2472
30	OG0000030	YCR065W, YIL131C, YNL068C	augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-4.120&CDS=1-1764, augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-3.89&CDS=1-2103
31	OG0000031	YDL138W, YDL194W	augustus_masked-NODE_16_length_178454_cov_13.9814_ID_3020-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_16_length_178454_cov_13.9814_ID_3020-processed-gene-0.15&CDS=1-2235, augustus_masked-NODE_18_length_106977_cov_16.0576_ID_3274-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_18_length_106977_cov_16.0576_ID_3274-processed-gene-0.44&CDS=1-1581, augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-13.0-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-13.0&CDS=1-1596
32	OG0000032	YDR038C, YDR039C, YDR040C	augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.90&CDS=1-4170, snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-7.118-mRNA-1_1&gene=snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-7.118&CDS=1-3243
33	OG0000033	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_15_length_260885_cov_15.7848_ID_1933-processed-gene-0.48&CDS=1-1293, genemark-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.296-mRNA-1_1&gene=genemark-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-18.296&CDS=1-1275
34	OG0000034	YDR326C, YFL042C, YHR080C	augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-5.76&CDS=1-2655, augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-1.4&CDS=1-2862
35	OG0000035	YEL015W, YGL216W	augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.180-mRNA-1_1&gene=augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.180&CDS=1-1929, augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-NODE_6_length_798714_cov_13.4079_ID_1713-processed-gene-4.147&CDS=1-2808, maker-NODE_9_length_569813_cov_13.4912_ID_3159-augustus-gene-3.112-mRNA-1_1&gene=maker-NODE_9_length_569813_cov_13.4912_ID_3159-augustus-gene-3.112&CDS=1-3252
36	OG0000036	YER015W	augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-2.134&CDS=1-2187, augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.193-mRNA-1_1&gene=augustus_masked-NODE_10_length_472640_cov_12.5405_ID_2051-processed-gene-3.193&CDS=1-2289, augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.79&CDS=1-2286, augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-5.103&CDS=1-2253
37	OG0000037	YER056C, YER060W, YER060W-A	augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-NODE_2_length_1047957_cov_13.0036_ID_1457-processed-gene-9.107&CDS=1-1551, snap_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-6.228-mRNA-1_1&gene=snap_masked-NODE_7_length_741361_cov_11.406_ID_2867-processed-gene-6.228&CDS=1-1527
