	OrthologID	Candida_auris	Saccharomyces_cerevisiae
10	OG0000010	snap_masked-LGST01000004.1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-LGST01000004.1-processed-gene-2.129&CDS=1-4458, snap_masked-LGST01000018.1-processed-gene-4.67-mRNA-1_1&gene=snap_masked-LGST01000018.1-processed-gene-4.67&CDS=1-4524, snap_masked-LGST01000031.1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-1.42&CDS=1-4356, snap_masked-LGST01000041.1-processed-gene-5.100-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-5.100&CDS=1-4407, snap_masked-LGST01000066.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LGST01000066.1-processed-gene-0.56&CDS=1-4416	YDR011W, YOR153W
11	OG0000011	augustus_masked-LGST01000011.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-LGST01000011.1-processed-gene-0.126&CDS=1-2820	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
12	OG0000012	snap_masked-LGST01000003.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-LGST01000003.1-processed-gene-1.29&CDS=1-1746, snap_masked-LGST01000046.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.29&CDS=1-1758	YCL069W, YGR224W, YKR105C, YPR198W
13	OG0000013	augustus_masked-LGST01000020.1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-LGST01000020.1-processed-gene-1.126&CDS=1-1566, maker-LGST01000003.1-augustus-gene-2.230-mRNA-1_1&gene=maker-LGST01000003.1-augustus-gene-2.230&CDS=1-2337, maker-LGST01000052.1-snap-gene-0.54-mRNA-1_1&gene=maker-LGST01000052.1-snap-gene-0.54&CDS=1-2289	YDL170W, YEL066W, YPR193C
14	OG0000014	genemark-LGST01000043.1-processed-gene-1.83-mRNA-1_1&gene=genemark-LGST01000043.1-processed-gene-1.83&CDS=1-2166, maker-LGST01000047.1-snap-gene-0.165-mRNA-1_1&gene=maker-LGST01000047.1-snap-gene-0.165&CDS=1-1662, snap_masked-LGST01000008.1-processed-gene-3.66-mRNA-1_1&gene=snap_masked-LGST01000008.1-processed-gene-3.66&CDS=1-2241, snap_masked-LGST01000011.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LGST01000011.1-processed-gene-0.45&CDS=1-2100, snap_masked-LGST01000018.1-processed-gene-4.65-mRNA-1_1&gene=snap_masked-LGST01000018.1-processed-gene-4.65&CDS=1-2205, snap_masked-LGST01000021.1-processed-gene-2.5-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.5&CDS=1-2034	
15	OG0000015	snap_masked-LGST01000013.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LGST01000013.1-processed-gene-0.11&CDS=1-2037, snap_masked-LGST01000016.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-1.71&CDS=1-915, snap_masked-LGST01000019.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LGST01000019.1-processed-gene-0.38&CDS=1-2619	YDR253C, YGR067C, YPL038W
16	OG0000016	snap_masked-LGST01000016.1-processed-gene-2.53-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-2.53&CDS=1-1908, snap_masked-LGST01000016.1-processed-gene-4.66-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-4.66&CDS=1-1893	YER054C, YIL045W, YLR273C, YOR178C
17	OG0000017	snap_masked-LGST01000016.1-processed-gene-2.93-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-2.93&CDS=1-1932, snap_masked-LGST01000017.1-processed-gene-1.148-mRNA-1_1&gene=snap_masked-LGST01000017.1-processed-gene-1.148&CDS=1-2028, snap_masked-LGST01000066.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LGST01000066.1-processed-gene-0.37&CDS=1-1941	YAL005C, YJL034W, YLL024C
18	OG0000018	augustus_masked-LGST01000016.1-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-LGST01000016.1-processed-gene-3.14&CDS=1-1704, snap_masked-LGST01000029.1-processed-gene-0.111-mRNA-1_1&gene=snap_masked-LGST01000029.1-processed-gene-0.111&CDS=1-4983, snap_masked-LGST01000041.1-processed-gene-3.61-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-3.61&CDS=1-3813	YIL126W, YKR008W, YOR290C
19	OG0000019	augustus_masked-LGST01000040.1-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-LGST01000040.1-processed-gene-3.100&CDS=1-3030, maker-LGST01000018.1-snap-gene-0.121-mRNA-1_1&gene=maker-LGST01000018.1-snap-gene-0.121&CDS=1-2877, snap_masked-LGST01000041.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-1.27&CDS=1-3213	YBR245C, YFR038W, YOR304W
20	OG0000020	genemark-LGST01000018.1-processed-gene-1.66-mRNA-1_1&gene=genemark-LGST01000018.1-processed-gene-1.66&CDS=1-1992, snap_masked-LGST01000021.1-processed-gene-2.55-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-2.55&CDS=1-2646, snap_masked-LGST01000063.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-LGST01000063.1-processed-gene-0.83&CDS=1-942	YDL230W, YER075C, YOR208W
21	OG0000021	augustus_masked-LGST01000031.1-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-LGST01000031.1-processed-gene-4.36&CDS=1-1197, maker-LGST01000021.1-augustus-gene-0.135-mRNA-1_1&gene=maker-LGST01000021.1-augustus-gene-0.135&CDS=1-2433, snap_masked-LGST01000051.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.95&CDS=1-1503	YGR249W, YHR206W, YOR140W
22	OG0000022	snap_masked-LGST01000021.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-0.49&CDS=1-1020, snap_masked-LGST01000038.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-LGST01000038.1-processed-gene-0.36&CDS=1-1014, snap_masked-LGST01000046.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.34&CDS=1-1035, snap_masked-LGST01000057.1-processed-gene-1.186-mRNA-1_1&gene=snap_masked-LGST01000057.1-processed-gene-1.186&CDS=1-1059	YDR541C, YOL151W
23	OG0000023	maker-LGST01000037.1-snap-gene-1.143-mRNA-1_1&gene=maker-LGST01000037.1-snap-gene-1.143&CDS=1-1953, snap_masked-LGST01000022.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LGST01000022.1-processed-gene-0.42&CDS=1-1536, snap_masked-LGST01000067.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LGST01000067.1-processed-gene-0.32&CDS=1-1497	YMR169C, YMR170C, YOR374W
24	OG0000024	maker-LGST01000054.1-snap-gene-0.39-mRNA-1_1&gene=maker-LGST01000054.1-snap-gene-0.39&CDS=1-4413, snap_masked-LGST01000023.1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-1.65&CDS=1-1554, snap_masked-LGST01000034.1-processed-gene-0.153-mRNA-1_1&gene=snap_masked-LGST01000034.1-processed-gene-0.153&CDS=1-1527, snap_masked-LGST01000041.1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-2.11&CDS=1-1563, snap_masked-LGST01000047.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.2&CDS=1-1521	YGR260W
25	OG0000025	maker-LGST01000067.1-snap-gene-0.60-mRNA-1_1&gene=maker-LGST01000067.1-snap-gene-0.60&CDS=1-1731, snap_masked-LGST01000023.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-1.71&CDS=1-2109, snap_masked-LGST01000066.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-LGST01000066.1-processed-gene-1.28&CDS=1-1677	YDR144C, YLR120C, YLR121C
26	OG0000026	maker-LGST01000031.1-augustus-gene-1.75-mRNA-1_1&gene=maker-LGST01000031.1-augustus-gene-1.75&CDS=1-3162, maker-LGST01000035.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LGST01000035.1-augustus-gene-0.1&CDS=1-2568	YBR034C, YOR389W, YPL277C, YPL278C
27	OG0000027	snap_masked-LGST01000037.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LGST01000037.1-processed-gene-0.63&CDS=1-1533, snap_masked-LGST01000041.1-processed-gene-4.123-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-4.123&CDS=1-1536, snap_masked-LGST01000041.1-processed-gene-5.112-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-5.112&CDS=1-1524	YER056C, YER060W, YER060W-A
28	OG0000028	augustus_masked-LGST01000041.1-processed-gene-7.237-mRNA-1_1&gene=augustus_masked-LGST01000041.1-processed-gene-7.237&CDS=1-432	YBR067C, YDR542W, YER011W, YIL011W, YOR010C
29	OG0000029	snap_masked-LGST01000043.1-processed-gene-2.37-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.37&CDS=1-1383	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
30	OG0000030	maker-LGST01000068.1-augustus-gene-0.70-mRNA-1_1&gene=maker-LGST01000068.1-augustus-gene-0.70&CDS=1-1860, maker-LGST01000068.1-augustus-gene-0.71-mRNA-1_1&gene=maker-LGST01000068.1-augustus-gene-0.71&CDS=1-720, snap_masked-LGST01000002.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LGST01000002.1-processed-gene-0.53&CDS=1-720	YIR038C, YJL031C
31	OG0000031	augustus_masked-LGST01000002.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LGST01000002.1-processed-gene-0.20&CDS=1-1167, augustus_masked-LGST01000018.1-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-LGST01000018.1-processed-gene-2.133&CDS=1-1182, augustus_masked-LGST01000018.1-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-LGST01000018.1-processed-gene-3.42&CDS=1-1110, augustus_masked-LGST01000075.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LGST01000075.1-processed-gene-0.22&CDS=1-1239	YGR263C
32	OG0000032	augustus_masked-LGST01000003.1-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-LGST01000003.1-processed-gene-2.6&CDS=1-1173, snap_masked-LGST01000018.1-processed-gene-4.64-mRNA-1_1&gene=snap_masked-LGST01000018.1-processed-gene-4.64&CDS=1-1182, snap_masked-LGST01000035.1-processed-gene-0.169-mRNA-1_1&gene=snap_masked-LGST01000035.1-processed-gene-0.169&CDS=1-1194	YBR207W, YER145C
33	OG0000033	augustus_masked-LGST01000003.1-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-LGST01000003.1-processed-gene-2.38&CDS=1-3204, snap_masked-LGST01000016.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-0.55&CDS=1-2109, snap_masked-LGST01000025.1-processed-gene-1.199-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-1.199&CDS=1-2124	YLR144C, YNR067C
34	OG0000034	snap_masked-LGST01000003.1-processed-gene-2.206-mRNA-1_1&gene=snap_masked-LGST01000003.1-processed-gene-2.206&CDS=1-1059, snap_masked-LGST01000018.1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-LGST01000018.1-processed-gene-2.62&CDS=1-1851, snap_masked-LGST01000021.1-processed-gene-1.84-mRNA-1_1&gene=snap_masked-LGST01000021.1-processed-gene-1.84&CDS=1-1326	YDR207C, YDR213W
35	OG0000035	augustus_masked-LGST01000008.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LGST01000008.1-processed-gene-0.27&CDS=1-4476, snap_masked-LGST01000003.1-processed-gene-2.210-mRNA-1_1&gene=snap_masked-LGST01000003.1-processed-gene-2.210&CDS=1-6918, snap_masked-LGST01000040.1-processed-gene-4.132-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-4.132&CDS=1-4812	YDR135C, YLL015W
36	OG0000036	augustus_masked-LGST01000003.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-LGST01000003.1-processed-gene-2.65&CDS=1-1734	YBR297W, YFL052W, YGR288W, YPR196W
37	OG0000037	snap_masked-LGST01000003.1-processed-gene-2.221-mRNA-1_1&gene=snap_masked-LGST01000003.1-processed-gene-2.221&CDS=1-3249, snap_masked-LGST01000020.1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-LGST01000020.1-processed-gene-1.55&CDS=1-3222	YDR038C, YDR039C, YDR040C
38	OG0000038	snap_masked-LGST01000005.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LGST01000005.1-processed-gene-0.19&CDS=1-2997, snap_masked-LGST01000008.1-processed-gene-4.53-mRNA-1_1&gene=snap_masked-LGST01000008.1-processed-gene-4.53&CDS=1-2907, snap_masked-LGST01000017.1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-LGST01000017.1-processed-gene-1.97&CDS=1-2955	YBR038W, YNL192W
39	OG0000039	snap_masked-LGST01000006.1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-LGST01000006.1-processed-gene-0.60&CDS=1-2058, snap_masked-LGST01000037.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-LGST01000037.1-processed-gene-1.15&CDS=1-1848, snap_masked-LGST01000062.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LGST01000062.1-processed-gene-0.65&CDS=1-1668	YBR015C, YJL186W
40	OG0000040	snap_masked-LGST01000008.1-processed-gene-0.91-mRNA-1_1&gene=snap_masked-LGST01000008.1-processed-gene-0.91&CDS=1-1308, snap_masked-LGST01000023.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LGST01000023.1-processed-gene-2.100&CDS=1-1662, snap_masked-LGST01000031.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LGST01000031.1-processed-gene-0.23&CDS=1-1305, snap_masked-LGST01000041.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-0.93&CDS=1-1344	YLR380W
41	OG0000041	maker-LGST01000008.1-snap-gene-1.0-mRNA-1_1&gene=maker-LGST01000008.1-snap-gene-1.0&CDS=1-4839, snap_masked-LGST01000008.1-processed-gene-4.67-mRNA-1_1&gene=snap_masked-LGST01000008.1-processed-gene-4.67&CDS=1-3576	YML072C, YNL087W, YOR086C
42	OG0000042	maker-LGST01000008.1-snap-gene-1.1-mRNA-1_1&gene=maker-LGST01000008.1-snap-gene-1.1&CDS=1-3762, maker-LGST01000061.1-augustus-gene-0.91-mRNA-1_1&gene=maker-LGST01000061.1-augustus-gene-0.91&CDS=1-2901, snap_masked-LGST01000018.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-LGST01000018.1-processed-gene-1.15&CDS=1-1809	YEL015W, YGL216W
43	OG0000043	snap_masked-LGST01000008.1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-LGST01000008.1-processed-gene-3.83&CDS=1-1710, snap_masked-LGST01000047.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.32&CDS=1-1620, snap_masked-LGST01000047.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.7&CDS=1-1698, snap_masked-LGST01000051.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.92&CDS=1-1635	YDR242W
44	OG0000044	augustus_masked-LGST01000008.1-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-LGST01000008.1-processed-gene-4.113&CDS=1-3582, snap_masked-LGST01000043.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.17&CDS=1-3687	YJL042W, YOR227W, YPL137C
45	OG0000045	snap_masked-LGST01000013.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-LGST01000013.1-processed-gene-0.36&CDS=1-1215, snap_masked-LGST01000041.1-processed-gene-6.32-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-6.32&CDS=1-1275, snap_masked-LGST01000066.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LGST01000066.1-processed-gene-0.63&CDS=1-1260	YKL106W, YLR027C
46	OG0000046	maker-LGST01000057.1-augustus-gene-1.2-mRNA-1_1&gene=maker-LGST01000057.1-augustus-gene-1.2&CDS=1-4995, snap_masked-LGST01000013.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LGST01000013.1-processed-gene-0.24&CDS=1-1023, snap_masked-LGST01000029.1-processed-gene-0.90-mRNA-1_1&gene=snap_masked-LGST01000029.1-processed-gene-0.90&CDS=1-1377	YBR150C, YOL089C
47	OG0000047	snap_masked-LGST01000016.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-0.51&CDS=1-1905, snap_masked-LGST01000033.1-processed-gene-0.111-mRNA-1_1&gene=snap_masked-LGST01000033.1-processed-gene-0.111&CDS=1-2163, snap_masked-LGST01000064.1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-LGST01000064.1-processed-gene-0.120&CDS=1-1902	YMR008C, YOL011W
48	OG0000048	snap_masked-LGST01000016.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-0.43&CDS=1-4596	YBL017C, YIL173W, YJL222W, YNR065C
49	OG0000049	snap_masked-LGST01000016.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-1.54&CDS=1-2406, snap_masked-LGST01000022.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-LGST01000022.1-processed-gene-0.82&CDS=1-2445	YDR326C, YFL042C, YHR080C
