	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041713_Debaryomyces_maramus
10	OG0000010	YDR541C, YOL151W	augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.17&CDS=1-1023, augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.100&CDS=1-1017, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.247-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.247&CDS=1-1014, augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-4.13&CDS=1-1011, snap_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.101&CDS=1-1014
11	OG0000011	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-3.116&CDS=1-1401, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-8.54&CDS=1-1119, snap_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-12.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-12.95&CDS=1-396
12	OG0000012	YJR019C, YLR396C	augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.28&CDS=1-966, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.151-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.151&CDS=1-984, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.152-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.152&CDS=1-984, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.153-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-6.153&CDS=1-984, maker-NODE_2_length_1781626_cov_27.7105_ID_1459-augustus-gene-6.117-mRNA-1_1&gene=maker-NODE_2_length_1781626_cov_27.7105_ID_1459-augustus-gene-6.117&CDS=1-3051
13	OG0000013	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.19&CDS=1-1872, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-10.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-10.15&CDS=1-1827
14	OG0000014	YDL132W, YGR003W, YJL047C	augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-5.8&CDS=1-2694, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-7.132&CDS=1-2340, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-9.18&CDS=1-2346
15	OG0000015	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.125&CDS=1-708, augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-15.185-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-15.185&CDS=1-708
16	OG0000016	YER073W, YMR169C, YMR170C	augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.19&CDS=1-1506, augustus_masked-NODE_9_length_268801_cov_36.1453_ID_2040-processed-gene-1.272-mRNA-1_1&gene=augustus_masked-NODE_9_length_268801_cov_36.1453_ID_2040-processed-gene-1.272&CDS=1-2313, maker-NODE_3_length_1617016_cov_26.7539_ID_6023-snap-gene-13.109-mRNA-1_1&gene=maker-NODE_3_length_1617016_cov_26.7539_ID_6023-snap-gene-13.109&CDS=1-1959
17	OG0000017	YGR263C, YOR084W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-12.159-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-12.159&CDS=1-1254, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-5.147&CDS=1-1203, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-5.148-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-5.148&CDS=1-1170, maker-NODE_6_length_1095915_cov_30.0014_ID_1528-augustus-gene-9.22-mRNA-1_1&gene=maker-NODE_6_length_1095915_cov_30.0014_ID_1528-augustus-gene-9.22&CDS=1-2247
18	OG0000018	YHL034C, YIR001C, YLL046C	augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.16&CDS=1-645, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-7.6&CDS=1-918, augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-3.1&CDS=1-552
19	OG0000019	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-5.37&CDS=1-1215, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-3.114&CDS=1-1179
20	OG0000020	YKR051W, YNL183C, YOR267C	augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-4.118&CDS=1-2031, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-6.10&CDS=1-3333, augustus_masked-NODE_9_length_268801_cov_36.1453_ID_2040-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_9_length_268801_cov_36.1453_ID_2040-processed-gene-0.118&CDS=1-2511
21	OG0000021	YLL005C, YMR266W, YOL084W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-12.152-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-12.152&CDS=1-2592, augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-5.19&CDS=1-2700, snap_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-3.6&CDS=1-2157
22	OG0000022	YMR130W, YOL062C, YPL259C	augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-9.19-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-9.19&CDS=1-3018, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-6.35&CDS=1-4161, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-8.147-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-8.147&CDS=1-1305
23	OG0000023	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-12.41&CDS=1-4956
24	OG0000024	YBL089W, YER119C, YIL088C	augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-11.124-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-11.124&CDS=1-1410, augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-7.18&CDS=1-1338
25	OG0000025	YBR033W, YKL038W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-17.43&CDS=1-1344, augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-3.43&CDS=1-2937, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-11.139-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-11.139&CDS=1-2619
26	OG0000026	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	
27	OG0000027	YBR139W, YMR297W	augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.34&CDS=1-1665, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-0.12&CDS=1-1632, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-3.129&CDS=1-1644
28	OG0000028	YBR207W, YER145C	augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-8.12&CDS=1-1167, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-9.130&CDS=1-1299, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-1.150&CDS=1-1152
29	OG0000029	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-5.39&CDS=1-1956
30	OG0000030	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-5.21&CDS=1-1716
31	OG0000031	YCL064C, YIL167W, YML020W	augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_11_length_142748_cov_44.3038_ID_2194-processed-gene-0.13&CDS=1-3654, augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-1.13&CDS=1-1050
32	OG0000032	YCR010C, YNR002C	augustus_masked-NODE_16_length_17385_cov_53.3691_ID_2489-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_16_length_17385_cov_53.3691_ID_2489-processed-gene-0.15&CDS=1-777, augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-16.282-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-16.282&CDS=1-801, augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-13.156-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-13.156&CDS=1-801
33	OG0000033	YCR037C, YJL198W, YNR013C	augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-4.136&CDS=1-2850, augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-2.137&CDS=1-2484
34	OG0000034	YCR094W, YNL323W, YNR048W	augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_2_length_1781626_cov_27.7105_ID_1459-processed-gene-0.118&CDS=1-1242, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-10.8&CDS=1-1326
35	OG0000035	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-1.18&CDS=1-1017
36	OG0000036	YDR038C, YDR039C, YDR040C	augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-9.27&CDS=1-3216, augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-12.11-mRNA-1_1&gene=augustus_masked-NODE_4_length_1354523_cov_30.1699_ID_1712-processed-gene-12.11&CDS=1-3237
37	OG0000037	YDR125C, YLR099C	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-4.141&CDS=1-1416, augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-9.41-mRNA-1_1&gene=augustus_masked-NODE_3_length_1617016_cov_26.7539_ID_6023-processed-gene-9.41&CDS=1-1476, augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-5.46&CDS=1-1395
38	OG0000038	YDR253C, YGR067C, YPL038W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-11.159-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-11.159&CDS=1-1884, genemark-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-14.61-mRNA-1_1&gene=genemark-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-14.61&CDS=1-1011
39	OG0000039	YDR276C, YDR525W-A, YJL151C	genemark-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.41-mRNA-1_1&gene=genemark-NODE_5_length_1251503_cov_26.723_ID_1834-processed-gene-11.41&CDS=1-165, genemark-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-5.97-mRNA-1_1&gene=genemark-NODE_7_length_764832_cov_27.519_ID_1967-processed-gene-5.97&CDS=1-408
40	OG0000040	YDR326C, YFL042C, YHR080C	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-1.34&CDS=1-2877, augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-14.131-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-14.131&CDS=1-2646
41	OG0000041	YDR368W, YOR120W	augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1879612_cov_25.5025_ID_1371-processed-gene-0.116&CDS=1-927, augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-9.347-mRNA-1_1&gene=augustus_masked-NODE_6_length_1095915_cov_30.0014_ID_1528-processed-gene-9.347&CDS=1-927, maker-NODE_6_length_1095915_cov_30.0014_ID_1528-augustus-gene-9.16-mRNA-1_1&gene=maker-NODE_6_length_1095915_cov_30.0014_ID_1528-augustus-gene-9.16&CDS=1-927
