	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026142_Citeromyces_matritensis
10	OG0000010	YLR055C	augustus_masked-scf7180000040893-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040893-processed-gene-0.0&CDS=1-1602, augustus_masked-scf7180000040894-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000040894-processed-gene-0.2&CDS=1-1587, snap_masked-scf7180000040105-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000040105-processed-gene-0.2&CDS=1-1587, snap_masked-scf7180000040546-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000040546-processed-gene-0.0&CDS=1-615, snap_masked-scf7180000041039-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000041039-processed-gene-0.0&CDS=1-705, snap_masked-scf7180000041046-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000041046-processed-gene-0.0&CDS=1-690, snap_masked-scf7180000043265-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000043265-processed-gene-0.20&CDS=1-615
11	OG0000011		augustus_masked-scf7180000040740-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000040740-processed-gene-0.1&CDS=1-546, augustus_masked-scf7180000043082-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000043082-processed-gene-0.2&CDS=1-1605, augustus_masked-scf7180000043309-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000043309-processed-gene-0.4&CDS=1-942, genemark-scf7180000042371-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000042371-processed-gene-0.3&CDS=1-969, genemark-scf7180000043314-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000043314-processed-gene-0.5&CDS=1-1017, maker-scf7180000041962-snap-gene-0.7-mRNA-1_1&gene=maker-scf7180000041962-snap-gene-0.7&CDS=1-1488, maker-scf7180000042904-augustus-gene-0.41-mRNA-1_1&gene=maker-scf7180000042904-augustus-gene-0.41&CDS=1-1062, snap_masked-scf7180000042935-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000042935-processed-gene-0.6&CDS=1-1938
12	OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-scf7180000040130-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000040130-processed-gene-0.1&CDS=1-1488, augustus_masked-scf7180000043331-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000043331-processed-gene-0.18&CDS=1-1719, snap_masked-scf7180000041926-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000041926-processed-gene-0.1&CDS=1-1653
13	OG0000013	YGR249W, YOR140W	maker-scf7180000040498-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000040498-snap-gene-0.1&CDS=1-558, snap_masked-scf7180000042067-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000042067-processed-gene-0.1&CDS=1-1338, snap_masked-scf7180000043160-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000043160-processed-gene-0.1&CDS=1-216, snap_masked-scf7180000043169-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000043169-processed-gene-0.5&CDS=1-1080, snap_masked-scf7180000043240-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scf7180000043240-processed-gene-0.44&CDS=1-192
14	OG0000014	YHR105W, YOR357C	augustus_masked-scf7180000042176-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000042176-processed-gene-0.0&CDS=1-360, augustus_masked-scf7180000042186-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000042186-processed-gene-0.3&CDS=1-480, augustus_masked-scf7180000042525-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000042525-processed-gene-0.5&CDS=1-360, augustus_masked-scf7180000042546-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000042546-processed-gene-0.4&CDS=1-480, snap_masked-scf7180000042887-processed-gene-0.189-mRNA-1_1&gene=snap_masked-scf7180000042887-processed-gene-0.189&CDS=1-486
15	OG0000015		augustus_masked-scf7180000042144-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000042144-processed-gene-0.2&CDS=1-2997, augustus_masked-scf7180000043158-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000043158-processed-gene-0.4&CDS=1-1403, snap_masked-scf7180000040688-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000040688-processed-gene-0.2&CDS=1-441, snap_masked-scf7180000041579-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000041579-processed-gene-0.0&CDS=1-441, snap_masked-scf7180000042257-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000042257-processed-gene-0.2&CDS=1-1026, snap_masked-scf7180000042428-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000042428-processed-gene-0.0&CDS=1-441, snap_masked-scf7180000043403-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000043403-processed-gene-0.1&CDS=1-285
16	OG0000016	YBR008C	maker-scf7180000040470-snap-gene-0.20-mRNA-1_1&gene=maker-scf7180000040470-snap-gene-0.20&CDS=1-1125, maker-scf7180000042683-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000042683-snap-gene-0.5&CDS=1-1569, snap_masked-scf7180000042092-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000042092-processed-gene-0.0&CDS=1-1335, snap_masked-scf7180000042983-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scf7180000042983-processed-gene-0.34&CDS=1-1578, snap_masked-scf7180000043204-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scf7180000043204-processed-gene-0.60&CDS=1-1599
17	OG0000017	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-scf7180000042925-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000042925-processed-gene-0.0&CDS=1-1548, snap_masked-scf7180000042925-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000042925-processed-gene-0.1&CDS=1-294
18	OG0000018	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-scf7180000042975-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000042975-processed-gene-0.19&CDS=1-1719, snap_masked-scf7180000043280-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000043280-processed-gene-0.21&CDS=1-1713
19	OG0000019	YCL075W	augustus_masked-scf7180000040584-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040584-processed-gene-0.0&CDS=1-1062, augustus_masked-scf7180000040732-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000040732-processed-gene-0.1&CDS=1-810, augustus_masked-scf7180000041234-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000041234-processed-gene-0.1&CDS=1-765, augustus_masked-scf7180000041585-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000041585-processed-gene-0.0&CDS=1-723, snap_masked-scf7180000040584-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000040584-processed-gene-0.6&CDS=1-207
20	OG0000020	YDL138W, YDL194W	augustus_masked-scf7180000040447-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040447-processed-gene-0.0&CDS=1-822, maker-scf7180000043166-augustus-gene-0.66-mRNA-1_1&gene=maker-scf7180000043166-augustus-gene-0.66&CDS=1-2823, snap_masked-scf7180000043140-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000043140-processed-gene-0.31&CDS=1-1575, snap_masked-scf7180000043154-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000043154-processed-gene-0.7&CDS=1-1578
21	OG0000021	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-scf7180000041965-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000041965-processed-gene-0.3&CDS=1-1023, snap_masked-scf7180000043046-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000043046-processed-gene-0.19&CDS=1-1023
22	OG0000022	YDR132C, YLR108C, YLR143W	genemark-scf7180000042940-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000042940-processed-gene-0.5&CDS=1-2817, snap_masked-scf7180000040513-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000040513-processed-gene-0.4&CDS=1-612, snap_masked-scf7180000041940-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000041940-processed-gene-0.33&CDS=1-1170
23	OG0000023	YEL015W	augustus_masked-scf7180000040906-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040906-processed-gene-0.0&CDS=1-1086, augustus_masked-scf7180000040986-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000040986-processed-gene-0.1&CDS=1-1086, augustus_masked-scf7180000041938-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000041938-processed-gene-0.4&CDS=1-1086, snap_masked-scf7180000040029-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000040029-processed-gene-0.1&CDS=1-1518, snap_masked-scf7180000040054-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000040054-processed-gene-0.3&CDS=1-1503
24	OG0000024	YER054C, YIL045W	augustus_masked-scf7180000040217-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040217-processed-gene-0.0&CDS=1-216, augustus_masked-scf7180000042086-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000042086-processed-gene-0.2&CDS=1-921, augustus_masked-scf7180000042798-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000042798-processed-gene-0.2&CDS=1-216, snap_masked-scf7180000043166-processed-gene-0.46-mRNA-1_1&gene=snap_masked-scf7180000043166-processed-gene-0.46&CDS=1-1518
25	OG0000025	YJR142W	augustus_masked-scf7180000041292-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000041292-processed-gene-0.1&CDS=1-297, augustus_masked-scf7180000043284-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000043284-processed-gene-0.61&CDS=1-297, genemark-scf7180000040988-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000040988-processed-gene-0.1&CDS=1-507, snap_masked-scf7180000043099-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000043099-processed-gene-0.6&CDS=1-933, snap_masked-scf7180000043284-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000043284-processed-gene-0.100&CDS=1-504
26	OG0000026	YKR085C	augustus_masked-scf7180000040146-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000040146-processed-gene-0.4&CDS=1-489, augustus_masked-scf7180000041566-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000041566-processed-gene-0.2&CDS=1-489, augustus_masked-scf7180000042509-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000042509-processed-gene-0.9&CDS=1-489, snap_masked-scf7180000042155-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000042155-processed-gene-0.7&CDS=1-537, snap_masked-scf7180000042159-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000042159-processed-gene-0.7&CDS=1-537
27	OG0000027	YNL095C, YOR092W	augustus_masked-scf7180000040052-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040052-processed-gene-0.0&CDS=1-1497, genemark-scf7180000042736-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000042736-processed-gene-0.0&CDS=1-1293, maker-scf7180000043092-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000043092-snap-gene-0.0&CDS=1-3012, snap_masked-scf7180000040007-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000040007-processed-gene-0.5&CDS=1-1521
28	OG0000028	YOR266W	augustus_masked-scf7180000040519-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000040519-processed-gene-0.0&CDS=1-1137, augustus_masked-scf7180000041934-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000041934-processed-gene-0.8&CDS=1-897, augustus_masked-scf7180000042221-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000042221-processed-gene-0.0&CDS=1-636, augustus_masked-scf7180000042897-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000042897-processed-gene-0.4&CDS=1-1206, augustus_masked-scf7180000043246-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043246-processed-gene-0.1&CDS=1-1137
29	OG0000029	Q0045, Q0050, Q0055, Q0060, Q0065, Q0070	
30	OG0000030	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
31	OG0000031	YBL017C, YIL173W, YJL222W, YNR065C	maker-scf7180000043325-augustus-gene-0.19-mRNA-1_1&gene=maker-scf7180000043325-augustus-gene-0.19&CDS=1-4779
32	OG0000032	YBR072W	augustus_masked-scf7180000042167-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000042167-processed-gene-0.5&CDS=1-531, snap_masked-scf7180000042950-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000042950-processed-gene-0.14&CDS=1-531, snap_masked-scf7180000043186-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scf7180000043186-processed-gene-0.32&CDS=1-543, snap_masked-scf7180000043209-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scf7180000043209-processed-gene-0.18&CDS=1-1428
33	OG0000033	YBR140C, YOL081W	augustus_masked-scf7180000040207-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000040207-processed-gene-0.2&CDS=1-2418, augustus_masked-scf7180000043326-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000043326-processed-gene-0.19&CDS=1-7374, snap_masked-scf7180000040547-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000040547-processed-gene-0.0&CDS=1-951
