	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034865_Zygosaccharomyces_kombuchaensis
10	OG0000010	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	augustus_masked-NODE_126_length_12865_cov_19.7342_ID_251-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_126_length_12865_cov_19.7342_ID_251-processed-gene-0.2&CDS=1-1767, snap_masked-NODE_126_length_12865_cov_19.7342_ID_251-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_126_length_12865_cov_19.7342_ID_251-processed-gene-0.12&CDS=1-1752
11	OG0000011	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_103_length_26248_cov_9.43939_ID_205-processed-gene-0.6&CDS=1-8874, genemark-NODE_66_length_61081_cov_10.8225_ID_131-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_66_length_61081_cov_10.8225_ID_131-processed-gene-0.66&CDS=1-2346, genemark-NODE_84_length_40500_cov_10.6869_ID_167-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_84_length_40500_cov_10.6869_ID_167-processed-gene-0.40&CDS=1-3240, maker-NODE_4_length_248975_cov_10.4936_ID_7-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_4_length_248975_cov_10.4936_ID_7-augustus-gene-1.3&CDS=1-3606
12	OG0000012	YDL080C, YLR044C, YLR134W	augustus_masked-NODE_182_length_1704_cov_42.9612_ID_363-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_182_length_1704_cov_42.9612_ID_363-processed-gene-0.0&CDS=1-1638, augustus_masked-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-1.222-mRNA-1_1&gene=augustus_masked-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-1.222&CDS=1-2898, augustus_masked-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.0&CDS=1-1617, genemark-NODE_71_length_53331_cov_17.9727_ID_141-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_71_length_53331_cov_17.9727_ID_141-processed-gene-0.16&CDS=1-1689
13	OG0000013	YDR436W, YER133W, YML016C, YPL179W	augustus_masked-NODE_47_length_80422_cov_10.2449_ID_93-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_47_length_80422_cov_10.2449_ID_93-processed-gene-0.118&CDS=1-2610, genemark-NODE_33_length_103731_cov_10.142_ID_65-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_33_length_103731_cov_10.142_ID_65-processed-gene-0.23&CDS=1-972, genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.32&CDS=1-1377
14	OG0000014	YDR483W, YKR008W, YOR099W	augustus_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_102_length_27121_cov_10.1562_ID_203-processed-gene-0.4&CDS=1-3465, genemark-NODE_51_length_76526_cov_10.4101_ID_101-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_51_length_76526_cov_10.4101_ID_101-processed-gene-0.35&CDS=1-3015, genemark-NODE_79_length_46407_cov_10.0834_ID_157-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_79_length_46407_cov_10.0834_ID_157-processed-gene-0.25&CDS=1-1416, genemark-NODE_91_length_38186_cov_10.3333_ID_181-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_91_length_38186_cov_10.3333_ID_181-processed-gene-0.36&CDS=1-1170
15	OG0000015	YEL076C, YEL076C-A, YFL065C, YHR218W, YLR464W, YPR203W	genemark-NODE_150_length_4625_cov_49.0867_ID_299-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_150_length_4625_cov_49.0867_ID_299-processed-gene-0.0&CDS=1-771
16	OG0000016	YJL158C, YJL160C, YKL163W, YKL164C	genemark-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-0.30&CDS=1-1899, genemark-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-0.5&CDS=1-1296, maker-NODE_1_length_271579_cov_10.1807_ID_1-augustus-gene-0.46-mRNA-1_1&gene=maker-NODE_1_length_271579_cov_10.1807_ID_1-augustus-gene-0.46&CDS=1-1272
17	OG0000017	YAL063C, YAL064C-A, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_100_length_29638_cov_59.8999_ID_199-processed-gene-0.1&CDS=1-1179
18	OG0000018	YAR071W, YBR092C, YBR093C, YHR215W	genemark-NODE_12_length_156093_cov_10.091_ID_23-processed-gene-0.202-mRNA-1_1&gene=genemark-NODE_12_length_156093_cov_10.091_ID_23-processed-gene-0.202&CDS=1-1404, genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.54&CDS=1-1446
19	OG0000019	YDR125C, YLR098C	augustus_masked-NODE_46_length_81813_cov_10.0578_ID_91-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_46_length_81813_cov_10.0578_ID_91-processed-gene-0.110&CDS=1-3078, augustus_masked-NODE_92_length_36614_cov_11.1093_ID_183-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_92_length_36614_cov_11.1093_ID_183-processed-gene-0.1&CDS=1-1134, genemark-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.20&CDS=1-1782, maker-NODE_7_length_230505_cov_10.5646_ID_13-snap-gene-0.96-mRNA-1_1&gene=maker-NODE_7_length_230505_cov_10.5646_ID_13-snap-gene-0.96&CDS=1-3018
20	OG0000020	YHR050W, YLR034C, YOL122C	genemark-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-1.176-mRNA-1_1&gene=genemark-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-1.176&CDS=1-1398, genemark-NODE_20_length_132078_cov_10.6674_ID_39-processed-gene-0.213-mRNA-1_1&gene=genemark-NODE_20_length_132078_cov_10.6674_ID_39-processed-gene-0.213&CDS=1-1614, genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.31&CDS=1-1524
21	OG0000021	YIL123W, YJL116C, YKR042W, YNL066W	genemark-NODE_74_length_49301_cov_9.68972_ID_147-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_74_length_49301_cov_9.68972_ID_147-processed-gene-0.82&CDS=1-1116, maker-NODE_17_length_134973_cov_10.1453_ID_33-snap-gene-0.183-mRNA-1_1&gene=maker-NODE_17_length_134973_cov_10.1453_ID_33-snap-gene-0.183&CDS=1-1545
22	OG0000022	YOR389W, YPL277C	augustus_masked-NODE_86_length_39638_cov_10.8208_ID_171-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_86_length_39638_cov_10.8208_ID_171-processed-gene-0.7&CDS=1-1866, genemark-NODE_123_length_13727_cov_10.9109_ID_245-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_123_length_13727_cov_10.9109_ID_245-processed-gene-0.5&CDS=1-1872, genemark-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_89_length_38488_cov_10.2649_ID_177-processed-gene-0.31&CDS=1-1812, maker-NODE_92_length_36614_cov_11.1093_ID_183-augustus-gene-0.19-mRNA-1_1&gene=maker-NODE_92_length_36614_cov_11.1093_ID_183-augustus-gene-0.19&CDS=1-522
23	OG0000023	YAL023C, YGR199W, YOR321W	augustus_masked-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.25&CDS=1-6246, genemark-NODE_59_length_68813_cov_10.7158_ID_117-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_59_length_68813_cov_10.7158_ID_117-processed-gene-0.14&CDS=1-2175
24	OG0000024	YBL042C, YBR021W, YIR028W	genemark-NODE_46_length_81813_cov_10.0578_ID_91-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_46_length_81813_cov_10.0578_ID_91-processed-gene-0.12&CDS=1-1806, maker-NODE_5_length_237353_cov_10.2062_ID_9-augustus-gene-1.158-mRNA-1_1&gene=maker-NODE_5_length_237353_cov_10.2062_ID_9-augustus-gene-1.158&CDS=1-2511
25	OG0000025	YCR102C, YLR460C, YNL134C	genemark-NODE_110_length_22568_cov_10.4364_ID_219-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_110_length_22568_cov_10.4364_ID_219-processed-gene-0.13&CDS=1-1107, genemark-NODE_87_length_38849_cov_20.0425_ID_173-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_87_length_38849_cov_20.0425_ID_173-processed-gene-0.12&CDS=1-1032
26	OG0000026	YDL244W, YFL058W, YJR156C, YNL332W	genemark-NODE_19_length_133711_cov_10.4439_ID_37-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_19_length_133711_cov_10.4439_ID_37-processed-gene-0.150&CDS=1-1020
27	OG0000027	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_27_length_119109_cov_10.1131_ID_53-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_27_length_119109_cov_10.1131_ID_53-processed-gene-0.6&CDS=1-4704, genemark-NODE_9_length_194024_cov_10.486_ID_17-processed-gene-0.262-mRNA-1_1&gene=genemark-NODE_9_length_194024_cov_10.486_ID_17-processed-gene-0.262&CDS=1-1506
28	OG0000028	YDR533C, YMR322C, YOR391C, YPL280W	genemark-NODE_117_length_18999_cov_22.8255_ID_233-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_117_length_18999_cov_22.8255_ID_233-processed-gene-0.1&CDS=1-702
29	OG0000029	YER040W, YJL110C	genemark-NODE_12_length_156093_cov_10.091_ID_23-processed-gene-0.191-mRNA-1_1&gene=genemark-NODE_12_length_156093_cov_10.091_ID_23-processed-gene-0.191&CDS=1-951, genemark-NODE_32_length_108046_cov_9.68771_ID_63-processed-gene-0.167-mRNA-1_1&gene=genemark-NODE_32_length_108046_cov_9.68771_ID_63-processed-gene-0.167&CDS=1-2349, genemark-NODE_74_length_49301_cov_9.68972_ID_147-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_74_length_49301_cov_9.68972_ID_147-processed-gene-0.86&CDS=1-1122
30	OG0000030	YHL040C, YHL047C	genemark-NODE_110_length_22568_cov_10.4364_ID_219-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_110_length_22568_cov_10.4364_ID_219-processed-gene-0.14&CDS=1-1971, genemark-NODE_61_length_65637_cov_10.5637_ID_121-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_61_length_65637_cov_10.5637_ID_121-processed-gene-0.33&CDS=1-2097, genemark-NODE_87_length_38849_cov_20.0425_ID_173-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_87_length_38849_cov_20.0425_ID_173-processed-gene-0.14&CDS=1-1860
31	OG0000031	YHR179W, YPL171C	genemark-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-0.74&CDS=1-1200, genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.34&CDS=1-1191, maker-NODE_7_length_230505_cov_10.5646_ID_13-snap-gene-0.98-mRNA-1_1&gene=maker-NODE_7_length_230505_cov_10.5646_ID_13-snap-gene-0.98&CDS=1-2322
32	OG0000032	YIR013C, YLR013W, YMR136W	genemark-NODE_66_length_61081_cov_10.8225_ID_131-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_66_length_61081_cov_10.8225_ID_131-processed-gene-0.86&CDS=1-1269, snap_masked-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NODE_1_length_271579_cov_10.1807_ID_1-processed-gene-1.55&CDS=1-1428
33	OG0000033	YJR152W	genemark-NODE_112_length_22344_cov_21.8653_ID_223-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_112_length_22344_cov_21.8653_ID_223-processed-gene-0.7&CDS=1-1635, genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.98&CDS=1-1554, genemark-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-1.135-mRNA-1_1&gene=genemark-NODE_4_length_248975_cov_10.4936_ID_7-processed-gene-1.135&CDS=1-1527, snap_masked-NODE_157_length_3621_cov_13.8654_ID_313-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_157_length_3621_cov_13.8654_ID_313-processed-gene-0.3&CDS=1-1323
34	OG0000034	YLR266C, YOR162C, YOR172W	augustus_masked-NODE_55_length_72100_cov_9.9165_ID_109-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_55_length_72100_cov_9.9165_ID_109-processed-gene-0.29&CDS=1-2571, augustus_masked-NODE_55_length_72100_cov_9.9165_ID_109-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_55_length_72100_cov_9.9165_ID_109-processed-gene-0.30&CDS=1-2244
35	OG0000035	Q0105, Q0110, Q0115, Q0120	maker-NODE_140_length_6996_cov_644.921_ID_279-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_140_length_6996_cov_644.921_ID_279-snap-gene-0.1&CDS=1-276
36	OG0000036	YAL018C, YOL047C	genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.94&CDS=1-897, maker-NODE_8_length_199619_cov_10.5096_ID_15-augustus-gene-0.231-mRNA-1_1&gene=maker-NODE_8_length_199619_cov_10.5096_ID_15-augustus-gene-0.231&CDS=1-2193
37	OG0000037	YAL054C, YLR153C	augustus_masked-NODE_19_length_133711_cov_10.4439_ID_37-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_19_length_133711_cov_10.4439_ID_37-processed-gene-0.30&CDS=1-2844, genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.84&CDS=1-2025
38	OG0000038	YBL003C, YDR225W	genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-0.26&CDS=1-396, genemark-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.21&CDS=1-396
39	OG0000039	YBL011W, YKR067W	genemark-NODE_13_length_142792_cov_10.4105_ID_25-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_13_length_142792_cov_10.4105_ID_25-processed-gene-0.63&CDS=1-2226, genemark-NODE_41_length_91025_cov_9.81865_ID_81-processed-gene-0.140-mRNA-1_1&gene=genemark-NODE_41_length_91025_cov_9.81865_ID_81-processed-gene-0.140&CDS=1-2136
40	OG0000040	YBL052C, YOR244W	genemark-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.57&CDS=1-1308, genemark-NODE_52_length_73801_cov_10.2265_ID_103-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_52_length_73801_cov_10.2265_ID_103-processed-gene-0.37&CDS=1-2235
41	OG0000041	YBR008C	augustus_masked-NODE_121_length_14315_cov_20.6887_ID_241-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_121_length_14315_cov_20.6887_ID_241-processed-gene-0.6&CDS=1-1575, genemark-NODE_68_length_58707_cov_9.77837_ID_135-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_68_length_58707_cov_9.77837_ID_135-processed-gene-0.13&CDS=1-1623, maker-NODE_128_length_12141_cov_9.52573_ID_255-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_128_length_12141_cov_9.52573_ID_255-snap-gene-0.5&CDS=1-4800
42	OG0000042	YBR015C, YJL186W	augustus_masked-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-0.107&CDS=1-2568, genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_23_length_125485_cov_9.78924_ID_45-processed-gene-0.98&CDS=1-1740
43	OG0000043	YBR025C, YHL014C	genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.28&CDS=1-1179, maker-NODE_96_length_33163_cov_10.2154_ID_191-augustus-gene-0.35-mRNA-1_1&gene=maker-NODE_96_length_33163_cov_10.2154_ID_191-augustus-gene-0.35&CDS=1-2097
44	OG0000044	YBR038W, YNL192W	augustus_masked-NODE_24_length_123266_cov_9.9853_ID_47-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_24_length_123266_cov_9.9853_ID_47-processed-gene-0.34&CDS=1-4443, genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.29-mRNA-1_1&gene=genemark-NODE_5_length_237353_cov_10.2062_ID_9-processed-gene-1.29&CDS=1-2850
45	OG0000045	YBR059C, YIL095W	genemark-NODE_18_length_133720_cov_10.4426_ID_35-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_18_length_133720_cov_10.4426_ID_35-processed-gene-0.95&CDS=1-2121, genemark-NODE_60_length_67311_cov_10.1206_ID_119-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_60_length_67311_cov_10.1206_ID_119-processed-gene-0.75&CDS=1-3051
46	OG0000046	YBR139W, YMR297W	genemark-NODE_11_length_172022_cov_10.5353_ID_21-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_11_length_172022_cov_10.5353_ID_21-processed-gene-0.144&CDS=1-1458, genemark-NODE_37_length_96101_cov_10.3271_ID_73-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_37_length_96101_cov_10.3271_ID_73-processed-gene-0.47&CDS=1-1590
