	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035268_Wickerhamomyces_hampshirensis
10	OG0000010	YGL257C, YNR059W	augustus_masked-NODE_575_length_389_cov_0.942446_ID_8272-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_575_length_389_cov_0.942446_ID_8272-processed-gene-0.1&CDS=1-387, genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-1.141&CDS=1-2280, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-4.37-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-4.37&CDS=1-1974, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-8.28-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-8.28&CDS=1-2322, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-6.222-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-6.222&CDS=1-2178, genemark-NODE_9_length_350230_cov_29.1439_ID_4503-processed-gene-2.71-mRNA-1_1&gene=genemark-NODE_9_length_350230_cov_29.1439_ID_4503-processed-gene-2.71&CDS=1-2088, maker-NODE_16_length_214857_cov_18.8876_ID_4634-snap-gene-0.112-mRNA-1_1&gene=maker-NODE_16_length_214857_cov_18.8876_ID_4634-snap-gene-0.112&CDS=1-3741
11	OG0000011	YOL119C, YOR306C	genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-3.142-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-3.142&CDS=1-1500, genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-6.27-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-6.27&CDS=1-1521, genemark-NODE_23_length_32030_cov_20.5874_ID_4869-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_23_length_32030_cov_20.5874_ID_4869-processed-gene-0.14&CDS=1-1503, genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-3.132-mRNA-1_1&gene=genemark-NODE_6_length_661877_cov_25.9127_ID_4294-processed-gene-3.132&CDS=1-1320, genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-0.124-mRNA-1_1&gene=genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-0.124&CDS=1-1464, genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-1.47&CDS=1-1464, genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-3.143-mRNA-1_1&gene=genemark-NODE_7_length_646881_cov_19.7783_ID_6034-processed-gene-3.143&CDS=1-1512
12	OG0000012	YBR015C, YJL186W	genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-1.31&CDS=1-1752, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.42-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.42&CDS=1-1992, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-6.37-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-6.37&CDS=1-1923, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-1.21-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-1.21&CDS=1-1614, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.0-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.0&CDS=1-1791, snap_masked-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-4.39&CDS=1-1788
13	OG0000013	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_15_length_246556_cov_32.6908_ID_5762-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_15_length_246556_cov_32.6908_ID_5762-processed-gene-0.107&CDS=1-1014, genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-16.43-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-16.43&CDS=1-1041, genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-5.162-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-5.162&CDS=1-1053, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.94-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-10.94&CDS=1-1050
14	OG0000014	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-7.129-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-7.129&CDS=1-2172, genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-5.150-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-5.150&CDS=1-2514, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-4.146-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-4.146&CDS=1-2748, snap_masked-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-8.85-mRNA-1_1&gene=snap_masked-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-8.85&CDS=1-3813
15	OG0000015	YHR176W	genemark-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-1.42-mRNA-1_1&gene=genemark-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-1.42&CDS=1-1416, genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-1.64&CDS=1-1560, genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.60-mRNA-1_1&gene=genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.60&CDS=1-1536, genemark-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.157-mRNA-1_1&gene=genemark-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.157&CDS=1-1434, genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-1.125-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-1.125&CDS=1-1455, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-2.147-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-2.147&CDS=1-1392, snap_masked-NODE_14_length_278270_cov_29.3736_ID_3947-processed-gene-1.193-mRNA-1_1&gene=snap_masked-NODE_14_length_278270_cov_29.3736_ID_3947-processed-gene-1.193&CDS=1-1527
16	OG0000016	YJL172W, YOL153C	augustus_masked-NODE_18_length_169703_cov_34.7428_ID_8995-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-NODE_18_length_169703_cov_34.7428_ID_8995-processed-gene-0.225&CDS=1-1743, augustus_masked-NODE_18_length_169703_cov_34.7428_ID_8995-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-NODE_18_length_169703_cov_34.7428_ID_8995-processed-gene-0.226&CDS=1-1743, genemark-NODE_19_length_137538_cov_25.1073_ID_4721-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_19_length_137538_cov_25.1073_ID_4721-processed-gene-0.66&CDS=1-1725, genemark-NODE_21_length_62229_cov_19.6615_ID_10144-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_21_length_62229_cov_19.6615_ID_10144-processed-gene-0.30&CDS=1-1671, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-4.168-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-4.168&CDS=1-1734, snap_masked-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NODE_10_length_326157_cov_19.9824_ID_4243-processed-gene-1.50&CDS=1-1725
17	OG0000017	YJR152W	genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-13.117-mRNA-1_1&gene=genemark-NODE_1_length_2064379_cov_23.1478_ID_10436-processed-gene-13.117&CDS=1-1557, genemark-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.195-mRNA-1_1&gene=genemark-NODE_20_length_122089_cov_36.9871_ID_4685-processed-gene-0.195&CDS=1-1560, genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-10.156-mRNA-1_1&gene=genemark-NODE_2_length_1379909_cov_21.984_ID_3444-processed-gene-10.156&CDS=1-1590, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.49-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.49&CDS=1-1566, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-6.8-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-6.8&CDS=1-1572, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-0.115&CDS=1-1557, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.6-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-5.6&CDS=1-1587
18	OG0000018	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-0.5&CDS=1-1377, genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.49-mRNA-1_1&gene=genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.49&CDS=1-1368
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-11.150-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-11.150&CDS=1-1752, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-3.108-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-3.108&CDS=1-1782, genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-9.28-mRNA-1_1&gene=genemark-NODE_4_length_1185655_cov_19.7506_ID_4185-processed-gene-9.28&CDS=1-1710
20	OG0000020	YDR155C, YDR304C, YML078W	genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-1.84-mRNA-1_1&gene=genemark-NODE_12_length_295672_cov_30.6484_ID_4147-processed-gene-1.84&CDS=1-486, genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.63-mRNA-1_1&gene=genemark-NODE_13_length_282211_cov_32.6201_ID_4070-processed-gene-1.63&CDS=1-657, genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.65-mRNA-1_1&gene=genemark-NODE_3_length_1364554_cov_21.9612_ID_3295-processed-gene-12.65&CDS=1-696, genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-2.12-mRNA-1_1&gene=genemark-NODE_5_length_756861_cov_23.9656_ID_3894-processed-gene-2.12&CDS=1-558
