	OrthologID	Saccharomyces_cerevisiae	Xylona_heveae
46	OG0000046	YCR107W, YDL243C, YJR155W, YNL331C	XP_018184903.1
47	OG0000047	YDL106C, YDR451C, YML027W	XP_018189202.1, XP_018192129.1
48	OG0000048	YDL155W, YGR108W, YPR119W	XP_018187878.1, XP_018192089.1
49	OG0000049	YDL159W, YOR231W, YPL140C	XP_018184555.1, XP_018189706.1
50	OG0000050	YDL237W	XP_018185963.1, XP_018187011.1, XP_018189471.1, XP_018192101.1
51	OG0000051	YDL244W, YFL058W, YJR156C, YNL332W	XP_018185147.1
52	OG0000052	YDR021W, YJL138C, YKR059W	XP_018185768.1, XP_018191453.1
53	OG0000053	YDR074W, YML100W, YMR261C	XP_018187304.1, XP_018192458.1
54	OG0000054	YDR213W, YLR228C	XP_018189194.1, XP_018191991.1, XP_018192110.1
55	OG0000055	YDR247W, YHR082C, YPL026C	XP_018185341.1, XP_018188088.1
56	OG0000056	YDR338C	XP_018184491.1, XP_018187298.1, XP_018188684.1, XP_018188941.1
57	OG0000057	YDR533C, YMR322C, YOR391C, YPL280W	XP_018192456.1
58	OG0000058	YEL046C	XP_018184366.1, XP_018185165.1, XP_018189246.1, XP_018192494.1
59	OG0000059	YER020W, YHR005C	XP_018189013.1, XP_018189156.1, XP_018189177.1
60	OG0000060	YFL004W, YJL012C, YPL019C	XP_018186285.1, XP_018187897.1
61	OG0000061	YFL050C, YKL064W, YOL130W	XP_018186877.1, XP_018190079.1
62	OG0000062	YGL059W, YIL042C	XP_018185517.1, XP_018185898.1, XP_018188721.1
63	OG0000063	YGL215W, YHR071W	XP_018185222.1, XP_018186479.1, XP_018192287.1
64	OG0000064	YGR121C, YNL142W, YPR138C	XP_018187983.1, XP_018191833.1
65	OG0000065	YGR281W, YLL048C	XP_018184724.1, XP_018190321.1, XP_018191774.1
66	OG0000066	YHL007C, YNL298W, YOL113W	XP_018184702.1, XP_018186682.1
67	OG0000067	YIL120W, YIL121W	XP_018187251.1, XP_018187458.1, XP_018191086.1
68	OG0000068	YIL123W, YJL116C, YKR042W, YNL066W	XP_018189104.1
69	OG0000069	YJR040W	XP_018184933.1, XP_018187053.1, XP_018187169.1, XP_018192058.1
70	OG0000070	YJR126C, YOR256C, YPL176C	XP_018185336.1, XP_018189992.1
71	OG0000071	YKL150W, YOR037W	XP_018186974.1, XP_018187591.1, XP_018190902.1
72	OG0000072	YLR014C	XP_018189484.1, XP_018190631.1, XP_018191985.1, XP_018191986.1
73	OG0000073	YLR027C	XP_018185508.1, XP_018187172.1, XP_018189420.1, XP_018191084.1
74	OG0000074	YLR057W	XP_018187269.1, XP_018187491.1, XP_018188497.1, XP_018191003.1
75	OG0000075	YML111W, YMR275C, YNR069C	XP_018184360.1, XP_018189876.1
76	OG0000076	YMR116C, YOL087C	XP_018184496.1, XP_018184896.1, XP_018186194.1
77	OG0000077	YNL229C	XP_018187305.1, XP_018187727.1, XP_018189049.1, XP_018191439.1
78	OG0000078	YOR153W	XP_018184539.1, XP_018186668.1, XP_018189400.1, XP_018190843.1
79	OG0000079	YOR351C, YPR106W	XP_018184414.1, XP_018184673.1, XP_018185130.1
80	OG0000080	YPL092W	XP_018184669.1, XP_018185843.1, XP_018188341.1, XP_018189556.1
81	OG0000081	YAL023C, YDL095W	XP_018186070.1, XP_018186163.1
82	OG0000082	YBL037W, YPR029C	XP_018187697.1, XP_018188334.1
83	OG0000083	YBL047C, YIR006C	XP_018186144.1, XP_018192413.1
84	OG0000084	YBL095W, YER182W	XP_018186450.1, XP_018191869.1
85	OG0000085	YBR072W, YDR171W	XP_018189664.1, XP_018190198.1
86	OG0000086	YBR073W, YGL163C	XP_018187398.1, XP_018189633.1
87	OG0000087	YBR104W, YPR058W	XP_018189424.1, XP_018190111.1
88	OG0000088	YBR109C, YPR188C	XP_018187267.1, XP_018190626.1
89	OG0000089	YBR147W, YOL092W	XP_018185809.1, XP_018191237.1
90	OG0000090	YBR151W, YML050W	XP_018186973.1, XP_018190402.1
91	OG0000091	YBR183W, YPL087W	XP_018188441.1, XP_018191850.1
92	OG0000092	YBR199W, YOR099W	XP_018184939.1, XP_018185923.1
93	OG0000093	YBR213W, YKR069W	XP_018184790.1, XP_018188905.1
94	OG0000094	YBR244W, YIR037W, YKL026C	XP_018189107.1
95	OG0000095	YBR249C, YDR035W	XP_018188440.1, XP_018192373.1
96	OG0000096	YBR298C, YDL247W, YJR160C	XP_018187148.1
97	OG0000097	YCL026C-A, YCL026C-B	XP_018185713.1, XP_018187301.1
98	OG0000098	YCL039W, YLR208W	XP_018185755.1, XP_018191916.1
99	OG0000099	YCL067C, YCR039C, YCR096C, YPL177C	
100	OG0000100	YCL069W, YGR224W, YKR105C, YPR198W	
101	OG0000101	YCR048W, YNR019W	XP_018185680.1, XP_018187698.1
102	OG0000102	YCR051W, YGR232W	XP_018184384.1, XP_018189935.1
103	OG0000103	YCR066W, YOL054W	XP_018188295.1, XP_018188788.1
104	OG0000104	YDL056W, YLR182W	XP_018185206.1, XP_018188909.1
105	OG0000105	YDL122W, YPL072W	XP_018186699.1, XP_018192190.1
106	OG0000106	YDL126C, YLR397C	XP_018186757.1, XP_018192507.1
107	OG0000107	YDL137W, YOR094W	XP_018185182.1, XP_018192049.1
108	OG0000108	YDL230W, YOR208W	XP_018188263.1, XP_018190118.1
109	OG0000109	YDR038C, YDR039C, YDR040C	XP_018190425.1
110	OG0000110	YDR144C, YLR120C, YLR121C	XP_018186853.1
111	OG0000111	YDR179W-A, YML104C	XP_018187762.1, XP_018191940.1
112	OG0000112	YDR243C, YOR204W	XP_018190288.1, XP_018190339.1
113	OG0000113	YDR245W, YJL183W	XP_018185497.1, XP_018189270.1
114	OG0000114	YDR253C, YGR067C, YPL038W	XP_018190481.1
115	OG0000115	YDR258C, YLL026W	XP_018189635.1, XP_018192025.1
116	OG0000116	YDR313C, YGL023C	XP_018188018.1, XP_018189554.1
117	OG0000117	YDR457W, YER125W	XP_018185377.1, XP_018191178.1
118	OG0000118	YEL007W	XP_018186845.1, XP_018187324.1, XP_018188186.1
119	OG0000119	YEL041W, YJR049C	XP_018189225.1, XP_018192185.1
120	OG0000120	YEL047C, YJR051W	XP_018184749.1, XP_018191656.1
121	OG0000121	YEL056W, YOL138C	XP_018185903.1, XP_018190024.1
122	OG0000122	YER057C, YIL051C	XP_018187902.1, XP_018190037.1
123	OG0000123	YER133W, YGR123C	XP_018188153.1, XP_018190683.1
124	OG0000124	YER172C, YGR271W	XP_018186774.1, XP_018191484.1
125	OG0000125	YER173W, YNL290W	XP_018186104.1, XP_018189390.1
126	OG0000126	YER185W, YGR213C	XP_018188530.1, XP_018191992.1
127	OG0000127	YFL005W, YFL038C	XP_018186195.1, XP_018186759.1
128	OG0000128	YFL016C, YOR275C	XP_018190912.1, XP_018191347.1
129	OG0000129	YFL037W, YLR212C	XP_018187787.1, XP_018189120.1
130	OG0000130	YFL059W, YMR096W, YNL333W	XP_018184743.1
131	OG0000131	YFL060C, YMR095C, YNL334C	XP_018187252.1
132	OG0000132	YFR004W, YLR073C	XP_018190063.1, XP_018190235.1
133	OG0000133	YFR038W, YOR304W	XP_018184617.1, XP_018189031.1
134	OG0000134	YGL003C, YGL116W	XP_018187515.1, XP_018190593.1
135	OG0000135	YGL073W, YHR206W	XP_018186093.1, XP_018187415.1
136	OG0000136	YGL125W, YPL023C	XP_018185870.1, XP_018190925.1
137	OG0000137	YGL255W, YLR130C	XP_018188385.1, XP_018189775.1
138	OG0000138	YGR087C, YLR044C, YLR134W	XP_018184427.1
139	OG0000139	YGR141W, YPR157W	XP_018185616.1, XP_018186005.1
140	OG0000140	YGR192C, YJL052W, YJR009C	XP_018186155.1
141	OG0000141	YGR276C, YLR107W	XP_018189203.1, XP_018189241.1
142	OG0000142	YHR037W	XP_018186892.1, XP_018189425.1, XP_018191846.1
143	OG0000143	YHR063C	XP_018186066.1, XP_018187008.1, XP_018190331.1
144	OG0000144	YHR098C, YNL049C	XP_018187315.1, XP_018187358.1
145	OG0000145	YHR107C, YLR314C	XP_018185914.1, XP_018188912.1
146	OG0000146	YHR113W, YKL103C	XP_018185943.1, XP_018190594.1
147	OG0000147	YHR135C, YPL204W	XP_018184836.1, XP_018191187.1
148	OG0000148	YHR172W, YNL126W	XP_018184594.1, XP_018190920.1
149	OG0000149	YHR179W, YPL171C	XP_018187548.1, XP_018191381.1
150	OG0000150	YIL078W, YKL194C	XP_018187496.1, XP_018187640.1
151	OG0000151	YIL099W	XP_018188754.1, XP_018191045.1, XP_018191979.1
152	OG0000152	YIL153W, YPL152W	XP_018186555.1, XP_018189222.1
153	OG0000153	YIR013C, YLR013W	XP_018185211.1, XP_018189872.1
154	OG0000154	YJL042W, YOR227W, YPL137C	XP_018185219.1
155	OG0000155	YJL095W, YLR362W	XP_018184428.1, XP_018188093.1
156	OG0000156	YJL100W, YLR032W	XP_018188979.1, XP_018192253.1
157	OG0000157	YJL130C, YJR109C	XP_018188666.1, XP_018191479.1
158	OG0000158	YJL194W, YML065W	XP_018191864.1, XP_018192452.1
159	OG0000159	YJL200C, YLR304C	XP_018184460.1, XP_018191278.1
160	OG0000160	YJL212C	XP_018184368.1, XP_018186741.1, XP_018188640.1
161	OG0000161	YJR061W, YKL201C	XP_018186199.1, XP_018189980.1
162	OG0000162	YJR084W, YOL072W	XP_018187613.1, XP_018190736.1
163	OG0000163	YJR096W	XP_018184668.1, XP_018190056.1, XP_018191364.1
164	OG0000164	YJR130C, YML082W	XP_018184437.1, XP_018186508.1
165	OG0000165	YKL141W, YMR118C	XP_018185851.1, XP_018191034.1
166	OG0000166	YKL188C, YPL147W	XP_018185448.1, XP_018187607.1
167	OG0000167	YKL215C	XP_018185650.1, XP_018185686.1, XP_018190246.1
168	OG0000168	YKL222C, YLR266C, YOR162C, YOR172W	
169	OG0000169	YKR001C, YLL001W	XP_018185757.1, XP_018189378.1
170	OG0000170	YKR070W	XP_018184821.1, XP_018185303.1, XP_018189146.1
171	OG0000171	YLL016W, YLR310C	XP_018191372.1, XP_018192081.1
172	OG0000172	YLL062C, YMR321C, YPL273W	XP_018185070.1
173	OG0000173	YLR023C, YOL002C	XP_018185349.1, XP_018190358.1
174	OG0000174	YLR300W, YOR190W	XP_018189874.1, XP_018190052.1
175	OG0000175	YML054C, YMR073C	XP_018186780.1, XP_018189749.1
176	OG0000176	YML099C	XP_018184651.1, XP_018185575.1, XP_018185606.1
177	OG0000177	YML106W, YMR271C	XP_018189379.1, XP_018190926.1
178	OG0000178	YMR006C, YMR008C, YOL011W	XP_018191737.1
179	OG0000179	YMR183C, YPL232W	XP_018185201.1, XP_018189788.1
180	OG0000180	YMR215W, YOL030W	XP_018184925.1, XP_018189151.1
181	OG0000181	YMR222C, YOR280C	XP_018184844.1, XP_018189468.1
182	OG0000182	YNL014W, YPL226W	XP_018186317.1, XP_018188883.1
183	OG0000183	YNL032W, YNL056W	XP_018191310.1, XP_018191522.1
184	OG0000184	YNL083W, YPR011C	XP_018184920.1, XP_018185678.1
185	OG0000185	YNR064C	XP_018187109.1, XP_018190837.1, XP_018192053.1
186	OG0000186	YOL055C, YPL258C, YPR121W	XP_018188305.1
187	OG0000187	YOL062C, YPL259C	XP_018185939.1, XP_018188111.1
188	OG0000188	YOL158C	XP_018184413.1, XP_018189461.1, XP_018191769.1
189	OG0000189	YOR049C	XP_018186620.1, XP_018188442.1, XP_018188605.1
190	OG0000190	YOR144C, YOR217W	XP_018185555.1, XP_018192473.1
191	OG0000191	YPL155C	XP_018190696.1, XP_018192176.1, XP_018192429.1
192	OG0000192	YPR013C, YPR015C	XP_018186424.1, XP_018191468.1
193	OG0000193		XP_018189162.1, XP_018190329.1, XP_018190378.1, XP_018190710.1
194	OG0000194	YAL012W	XP_018189167.1, XP_018189345.1
195	OG0000195	YAL017W, YOL045W	XP_018187773.1
196	OG0000196	YAL018C	XP_018184783.1, XP_018187308.1
197	OG0000197	YAL030W, YOR327C	XP_018186327.1
198	OG0000198	YAL034C, YOR338W	XP_018186268.1
199	OG0000199	YAL060W, YAL061W	XP_018185089.1
200	OG0000200	YAR002C-A, YGL002W	XP_018191169.1
201	OG0000201	YAR042W, YDL019C	XP_018189686.1
202	OG0000202	YBL002W, YDR224C	XP_018184445.1
203	OG0000203	YBL011W	XP_018189310.1, XP_018190409.1
204	OG0000204	YBL027W, YBR084C-A	XP_018186999.1
205	OG0000205	YBL055C	XP_018190229.1, XP_018191344.1
206	OG0000206	YBL056W, YER089C	XP_018191150.1
207	OG0000207	YBL067C, YER098W	XP_018191564.1
208	OG0000208	YBL072C, YER102W	XP_018185393.1
209	OG0000209	YBL079W, YER105C	XP_018190937.1
210	OG0000210	YBL085W, YER114C	XP_018189830.1
211	OG0000211	YBL087C, YER117W	XP_018190061.1
212	OG0000212	YBL089W, YER119C	XP_018188595.1
213	OG0000213	YBL091C-A, YER120W	XP_018191247.1
214	OG0000214	YBL106C, YPR032W	XP_018184420.1
215	OG0000215	YBR007C	XP_018189406.1, XP_018191556.1
216	OG0000216	YBR009C, YNL030W	XP_018187240.1
217	OG0000217	YBR010W, YNL031C	XP_018190764.1
218	OG0000218	YBR014C, YDL010W	XP_018191888.1
219	OG0000219	YBR020W, YDR009W	XP_018185351.1
220	OG0000220	YBR021W, YIR028W	XP_018189191.1
221	OG0000221	YBR031W, YDR012W	XP_018185708.1
222	OG0000222	YBR048W, YDR025W	XP_018189728.1
223	OG0000223	YBR066C, YDR043C	XP_018191946.1
224	OG0000224	YBR089C-A, YPR052C	XP_018188056.1
225	OG0000225	YBR118W, YPR080W	XP_018187723.1
226	OG0000226	YBR140C, YOL081W	XP_018190770.1
227	OG0000227	YBR169C, YPL106C	XP_018188919.1
228	OG0000228	YBR172C, YPL105C	XP_018188944.1
229	OG0000229	YBR181C, YPL090C	XP_018185374.1
230	OG0000230	YBR191W, YPL079W	XP_018186041.1
231	OG0000231	YBR192W	XP_018186040.1, XP_018187862.1
232	OG0000232	YBR214W, YGL056C	XP_018184431.1
233	OG0000233	YBR233W	XP_018187777.1, XP_018189926.1
234	OG0000234	YBR241C, YGL104C	XP_018185188.1
235	OG0000235	YBR242W, YGL101W	XP_018191017.1
236	OG0000236	YBR267W, YLR387C	XP_018186713.1
237	OG0000237	YBR273C, YJL048C	XP_018186063.1
238	OG0000238	YBR294W, YLR092W	XP_018191451.1
239	OG0000239	YCL011C, YNL004W	XP_018187402.1
240	OG0000240	YCL029C	XP_018185449.1, XP_018191502.1
241	OG0000241	YCL035C, YDR513W	XP_018187690.1
242	OG0000242	YCL036W, YDR514C	XP_018189711.1
243	OG0000243	YCL040W, YDR516C	XP_018186500.1
244	OG0000244	YCL050C, YDR530C	XP_018190539.1
245	OG0000245	YCL064C, YIL167W	XP_018190149.1
246	OG0000246	YCR010C, YNR002C	XP_018189743.1
247	OG0000247	YCR026C, YEL016C	XP_018189243.1
248	OG0000248	YCR034W	XP_018185926.1, XP_018188458.1
249	OG0000249	YCR052W, YNR023W	XP_018190816.1
250	OG0000250	YCR067C, YNR026C	XP_018184688.1
251	OG0000251	YCR073C, YNR031C	XP_018191834.1
252	OG0000252	YCR073W-A, YNR034W	XP_018190647.1
253	OG0000253	YCR091W, YNR047W	XP_018185043.1
254	OG0000254	YCR094W, YNR048W	XP_018186271.1
255	OG0000255	YDL003W	XP_018186410.1, XP_018187907.1
256	OG0000256	YDL022W, YOL059W	XP_018192335.1
257	OG0000257	YDL036C, YOL066C	XP_018192114.1
258	OG0000258	YDL042C, YOL068C	XP_018187873.1
259	OG0000259	YDL049C, YJL174W	XP_018187097.1
260	OG0000260	YDL061C, YLR388W	XP_018192206.1
261	OG0000261	YDL075W, YLR406C	XP_018187679.1
262	OG0000262	YDL082W, YMR142C	XP_018188354.1
263	OG0000263	YDL083C, YMR143W	XP_018188301.1
264	OG0000264	YDL085W, YMR145C	XP_018192285.1
265	OG0000265	YDL109C, YGL144C	XP_018186726.1
266	OG0000266	YDL128W	XP_018188849.1, XP_018190439.1
267	OG0000267	YDL130W-A, YDL181W	XP_018187657.1
268	OG0000268	YDL136W, YDL191W	XP_018187831.1
269	OG0000269	YDL144C	XP_018184646.1, XP_018185603.1
270	OG0000270	YDL161W, YLR206W	XP_018190482.1
271	OG0000271	YDL174C	XP_018186031.1, XP_018187527.1
272	OG0000272	YDL175C, YIL079C	XP_018184530.1
273	OG0000273	YDL222C, YNL194C	XP_018184791.1
274	OG0000274	YDL224C, YNL197C	XP_018188532.1
275	OG0000275	YDL238C	XP_018185552.1, XP_018186807.1
276	OG0000276	YDR057W	XP_018189114.1, XP_018189422.1
277	OG0000277	YDR066C, YER139C	XP_018191088.1
278	OG0000278	YDR069C, YER144C	XP_018188062.1
279	OG0000279	YDR090C	XP_018188522.1, XP_018190750.1
280	OG0000280	YDR098C, YER174C	XP_018189373.1
281	OG0000281	YDR107C, YLR083C	XP_018190738.1
282	OG0000282	YDR122W, YLR096W	XP_018191922.1
283	OG0000283	YDR132C, YLR108C	XP_018189511.1
284	OG0000284	YDR146C, YLR131C	XP_018187486.1
285	OG0000285	YDR147W, YLR133W	XP_018189199.1
286	OG0000286	YDR150W	XP_018186977.1, XP_018188502.1
287	OG0000287	YDR178W, YLR164W	XP_018187577.1
288	OG0000288	YDR185C, YLR168C	XP_018188416.1
289	OG0000289	YDR200C, YLR238W	XP_018184801.1
290	OG0000290	YDR252W, YPL037C	XP_018186397.1
291	OG0000291	YDR256C	XP_018187971.1, XP_018188309.1
292	OG0000292	YDR263C, YOR033C	XP_018187387.1
293	OG0000293	YDR264C, YOR034C	XP_018187112.1
294	OG0000294	YDR270W	XP_018185270.1, XP_018187667.1
295	OG0000295	YDR272W, YOR040W	XP_018192184.1
296	OG0000296	YDR284C	XP_018186560.1, XP_018191630.1
297	OG0000297	YDR300C, YHR033W	XP_018190270.1
298	OG0000298	YDR312W, YHR066W	XP_018185268.1
299	OG0000299	YDR326C, YHR080C	XP_018188370.1
300	OG0000300	YDR348C, YHR097C	XP_018187735.1
301	OG0000301	YDR358W, YHR108W	XP_018190255.1
302	OG0000302	YDR368W, YOR120W	XP_018186946.1
303	OG0000303	YDR371W	XP_018187483.1, XP_018191554.1
304	OG0000304	YDR382W, YOL039W	XP_018189316.1
305	OG0000305	YDR385W, YOR133W	XP_018189006.1
306	OG0000306	YDR389W, YOR134W	XP_018189116.1
307	OG0000307	YDR409W, YOR156C	XP_018186822.1
308	OG0000308	YDR418W, YEL054C	XP_018190549.1
309	OG0000309	YDR441C, YML022W	XP_018190038.1
310	OG0000310	YDR447C, YML024W	XP_018191089.1
311	OG0000311	YDR450W, YML026C	XP_018189647.1
312	OG0000312	YDR453C, YML028W	XP_018185420.1
313	OG0000313	YDR458C, YML034W	XP_018187934.1
314	OG0000314	YDR471W, YHR010W	XP_018190807.1
315	OG0000315	YDR477W	XP_018184505.1, XP_018186486.1
316	OG0000316	YDR497C, YOL103W	XP_018191131.1
317	OG0000317	YDR500C, YLR185W	XP_018186027.1
318	OG0000318	YDR505C, YLR177W	XP_018185539.1
319	OG0000319	YDR523C	XP_018185787.1, XP_018192443.1
320	OG0000320	YEL006W, YIL006W	XP_018191225.1
321	OG0000321	YEL034W, YJR047C	XP_018188994.1
322	OG0000322	YEL039C, YJR048W	XP_018185593.1
323	OG0000323	YEL066W, YPR193C	XP_018188907.1
324	OG0000324	YEL070W, YNR073C	XP_018191295.1
325	OG0000325	YER027C, YGL208W	XP_018188220.1
326	OG0000326	YER031C, YGL210W	XP_018186135.1
327	OG0000327	YER053C	XP_018187171.1, XP_018191528.1
328	OG0000328	YER054C, YIL045W	XP_018187229.1
329	OG0000329	YER056C-A, YIL052C	XP_018190017.1
330	OG0000330	YER059W, YIL050W	XP_018192336.1
331	OG0000331	YER062C, YIL053W	XP_018191844.1
332	OG0000332	YER074W, YIL069C	XP_018189810.1
333	OG0000333	YER099C	XP_018185376.1, XP_018189381.1
334	OG0000334	YER129W, YGL179C	XP_018188140.1
335	OG0000335	YER131W, YGL189C	XP_018190127.1
336	OG0000336	YER162C	XP_018186567.1, XP_018191025.1
337	OG0000337	YER177W	XP_018187656.1, XP_018190174.1
338	OG0000338	YFL034C-A, YLR061W	XP_018189124.1
