	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034749_Lipomyces_mesembrius
10	OG0000010	YCR028C	augustus_masked-NODE_29_length_193584_cov_15.3448_ID_57-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_29_length_193584_cov_15.3448_ID_57-processed-gene-0.2&CDS=1-645, augustus_masked-NODE_43_length_130487_cov_14.9211_ID_85-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_43_length_130487_cov_14.9211_ID_85-processed-gene-0.157&CDS=1-831, augustus_masked-NODE_83_length_39603_cov_19.489_ID_165-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_83_length_39603_cov_19.489_ID_165-processed-gene-0.39&CDS=1-1512, maker-NODE_25_length_224029_cov_16.3037_ID_49-augustus-gene-1.2-mRNA-1_1&gene=maker-NODE_25_length_224029_cov_16.3037_ID_49-augustus-gene-1.2&CDS=1-1617, maker-NODE_62_length_67569_cov_15.8204_ID_123-augustus-gene-0.9-mRNA-1_1&gene=maker-NODE_62_length_67569_cov_15.8204_ID_123-augustus-gene-0.9&CDS=1-1602, snap_masked-NODE_19_length_258083_cov_16.6613_ID_37-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_19_length_258083_cov_16.6613_ID_37-processed-gene-0.37&CDS=1-1530, snap_masked-NODE_32_length_173686_cov_17.543_ID_63-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_32_length_173686_cov_17.543_ID_63-processed-gene-0.83&CDS=1-1542
11	OG0000011	YAR019C, YDR523C, YHR102W	augustus_masked-NODE_28_length_198098_cov_14.6317_ID_55-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_28_length_198098_cov_14.6317_ID_55-processed-gene-0.110&CDS=1-1422, maker-NODE_32_length_173686_cov_17.543_ID_63-augustus-gene-0.243-mRNA-1_1&gene=maker-NODE_32_length_173686_cov_17.543_ID_63-augustus-gene-0.243&CDS=1-2499, maker-NODE_5_length_564925_cov_15.4782_ID_9-augustus-gene-4.185-mRNA-1_1&gene=maker-NODE_5_length_564925_cov_15.4782_ID_9-augustus-gene-4.185&CDS=1-1140, maker-NODE_80_length_41548_cov_18.1142_ID_159-augustus-gene-0.69-mRNA-1_1&gene=maker-NODE_80_length_41548_cov_18.1142_ID_159-augustus-gene-0.69&CDS=1-1704
12	OG0000012	YBL042C, YBR021W, YIR028W	augustus_masked-NODE_39_length_154449_cov_17.406_ID_77-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-NODE_39_length_154449_cov_17.406_ID_77-processed-gene-0.161&CDS=1-1695, maker-NODE_35_length_160252_cov_15.5261_ID_69-augustus-gene-0.240-mRNA-1_1&gene=maker-NODE_35_length_160252_cov_15.5261_ID_69-augustus-gene-0.240&CDS=1-1728, maker-NODE_39_length_154449_cov_17.406_ID_77-augustus-gene-0.22-mRNA-1_1&gene=maker-NODE_39_length_154449_cov_17.406_ID_77-augustus-gene-0.22&CDS=1-1671, snap_masked-NODE_39_length_154449_cov_17.406_ID_77-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_39_length_154449_cov_17.406_ID_77-processed-gene-0.44&CDS=1-243
13	OG0000013	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_39_length_154449_cov_17.406_ID_77-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NODE_39_length_154449_cov_17.406_ID_77-processed-gene-0.151&CDS=1-1704, augustus_masked-NODE_68_length_59855_cov_16.9292_ID_135-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_68_length_59855_cov_16.9292_ID_135-processed-gene-0.46&CDS=1-1674, snap_masked-NODE_12_length_360066_cov_17.2837_ID_23-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_12_length_360066_cov_17.2837_ID_23-processed-gene-0.3&CDS=1-1608
14	OG0000014	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	maker-NODE_27_length_211305_cov_14.7586_ID_53-augustus-gene-1.181-mRNA-1_1&gene=maker-NODE_27_length_211305_cov_14.7586_ID_53-augustus-gene-1.181&CDS=1-2160
15	OG0000015	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_23_length_235910_cov_15.3382_ID_45-augustus-gene-1.241-mRNA-1_1&gene=maker-NODE_23_length_235910_cov_15.3382_ID_45-augustus-gene-1.241&CDS=1-1185
16	OG0000016	YBR199W	augustus_masked-NODE_1_length_877097_cov_15.4245_ID_1-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-NODE_1_length_877097_cov_15.4245_ID_1-processed-gene-7.115&CDS=1-1062, augustus_masked-NODE_32_length_173686_cov_17.543_ID_63-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NODE_32_length_173686_cov_17.543_ID_63-processed-gene-0.169&CDS=1-1221, maker-NODE_29_length_193584_cov_15.3448_ID_57-snap-gene-0.118-mRNA-1_1&gene=maker-NODE_29_length_193584_cov_15.3448_ID_57-snap-gene-0.118&CDS=1-1275, maker-NODE_36_length_158621_cov_31.1899_ID_71-augustus-gene-0.263-mRNA-1_1&gene=maker-NODE_36_length_158621_cov_31.1899_ID_71-augustus-gene-0.263&CDS=1-1080, maker-NODE_5_length_564925_cov_15.4782_ID_9-augustus-gene-4.163-mRNA-1_1&gene=maker-NODE_5_length_564925_cov_15.4782_ID_9-augustus-gene-4.163&CDS=1-1206
17	OG0000017	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.48&CDS=1-588, augustus_masked-NODE_73_length_53357_cov_17.5892_ID_145-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_73_length_53357_cov_17.5892_ID_145-processed-gene-0.82&CDS=1-1161
18	OG0000018	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_16_length_279401_cov_15.9753_ID_31-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_16_length_279401_cov_15.9753_ID_31-processed-gene-1.88&CDS=1-1017, augustus_masked-NODE_65_length_63175_cov_16.894_ID_129-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_65_length_63175_cov_16.894_ID_129-processed-gene-0.18&CDS=1-1050, genemark-NODE_16_length_279401_cov_15.9753_ID_31-processed-gene-1.126-mRNA-1_1&gene=genemark-NODE_16_length_279401_cov_15.9753_ID_31-processed-gene-1.126&CDS=1-1062
19	OG0000019	YDR242W	augustus_masked-NODE_23_length_235910_cov_15.3382_ID_45-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_23_length_235910_cov_15.3382_ID_45-processed-gene-0.4&CDS=1-1638, augustus_masked-NODE_25_length_224029_cov_16.3037_ID_49-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-NODE_25_length_224029_cov_16.3037_ID_49-processed-gene-1.153&CDS=1-1665, maker-NODE_30_length_182192_cov_15.3438_ID_59-augustus-gene-0.248-mRNA-1_1&gene=maker-NODE_30_length_182192_cov_15.3438_ID_59-augustus-gene-0.248&CDS=1-1644, maker-NODE_34_length_164680_cov_15.313_ID_67-augustus-gene-0.149-mRNA-1_1&gene=maker-NODE_34_length_164680_cov_15.313_ID_67-augustus-gene-0.149&CDS=1-1638, snap_masked-NODE_15_length_311211_cov_15.4653_ID_29-processed-gene-2.117-mRNA-1_1&gene=snap_masked-NODE_15_length_311211_cov_15.4653_ID_29-processed-gene-2.117&CDS=1-1746
20	OG0000020	YMR111C, YOL116W	augustus_masked-NODE_24_length_235071_cov_15.251_ID_47-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_24_length_235071_cov_15.251_ID_47-processed-gene-1.76&CDS=1-1074, augustus_masked-NODE_36_length_158621_cov_31.1899_ID_71-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_36_length_158621_cov_31.1899_ID_71-processed-gene-0.47&CDS=1-894, augustus_masked-NODE_4_length_601463_cov_15.82_ID_7-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-NODE_4_length_601463_cov_15.82_ID_7-processed-gene-4.140&CDS=1-1080, snap_masked-NODE_46_length_118822_cov_18.328_ID_91-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_46_length_118822_cov_18.328_ID_91-processed-gene-0.30&CDS=1-1977
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_33_length_172057_cov_17.0907_ID_65-processed-gene-0.64&CDS=1-2730
22	OG0000022	YDL080C, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_5_length_564925_cov_15.4782_ID_9-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NODE_5_length_564925_cov_15.4782_ID_9-processed-gene-3.51&CDS=1-1746
23	OG0000023	YDL132W, YGR003W	genemark-NODE_60_length_78334_cov_16.878_ID_119-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_60_length_78334_cov_16.878_ID_119-processed-gene-0.21&CDS=1-2454, maker-NODE_11_length_408093_cov_15.0871_ID_21-augustus-gene-1.59-mRNA-1_1&gene=maker-NODE_11_length_408093_cov_15.0871_ID_21-augustus-gene-1.59&CDS=1-2343, maker-NODE_6_length_504130_cov_14.9719_ID_11-augustus-gene-3.92-mRNA-1_1&gene=maker-NODE_6_length_504130_cov_14.9719_ID_11-augustus-gene-3.92&CDS=1-2256
24	OG0000024	YDL161W, YLR206W	augustus_masked-NODE_24_length_235071_cov_15.251_ID_47-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_24_length_235071_cov_15.251_ID_47-processed-gene-0.100&CDS=1-1581, maker-NODE_23_length_235910_cov_15.3382_ID_45-augustus-gene-0.47-mRNA-1_1&gene=maker-NODE_23_length_235910_cov_15.3382_ID_45-augustus-gene-0.47&CDS=1-1215, snap_masked-NODE_23_length_235910_cov_15.3382_ID_45-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_23_length_235910_cov_15.3382_ID_45-processed-gene-0.97&CDS=1-1377
25	OG0000025	YDL244W, YFL058W, YJR156C, YNL332W	maker-NODE_9_length_460943_cov_15.6853_ID_17-snap-gene-3.176-mRNA-1_1&gene=maker-NODE_9_length_460943_cov_15.6853_ID_17-snap-gene-3.176&CDS=1-1008
