	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035658_Starmera_amethionina
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-flattened_line_18-processed-gene-1.119-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.119&CDS=1-2031, snap_masked-flattened_line_2-processed-gene-2.98-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.98&CDS=1-1815
11	OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_36-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.55&CDS=1-1341
12	OG0000012	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_66-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.15&CDS=1-4482, genemark-flattened_line_38-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.33&CDS=1-5352
13	OG0000013	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	snap_masked-flattened_line_60-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.45&CDS=1-1068
14	OG0000014	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_14-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.57&CDS=1-1065, snap_masked-flattened_line_216-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_216-processed-gene-0.2&CDS=1-1035
15	OG0000015	YEL063C, YNL268W, YPL265W	augustus_masked-flattened_line_216-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_216-processed-gene-0.15&CDS=1-1656, snap_masked-flattened_line_30-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.128&CDS=1-1716, snap_masked-flattened_line_30-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.94&CDS=1-1716
16	OG0000016	YFR014C, YKL171W, YOL016C	augustus_masked-flattened_line_108-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.96&CDS=1-1623, snap_masked-flattened_line_572-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_572-processed-gene-0.3&CDS=1-636, snap_masked-flattened_line_650-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_650-processed-gene-0.0&CDS=1-636
17	OG0000017	YHR050W, YLR034C, YOL122C	augustus_masked-flattened_line_122-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.17&CDS=1-1611, augustus_masked-flattened_line_30-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.38&CDS=1-1542, snap_masked-flattened_line_36-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.23&CDS=1-1617
18	OG0000018	YMR234W	augustus_masked-flattened_line_34-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.225&CDS=1-1098, augustus_masked-flattened_line_34-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.226&CDS=1-1131, snap_masked-flattened_line_102-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.51&CDS=1-1062, snap_masked-flattened_line_102-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.52&CDS=1-831, snap_masked-flattened_line_102-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.53&CDS=1-309
19	OG0000019	YOL054W	maker-flattened_line_8-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-0.10&CDS=1-1140, maker-flattened_line_8-snap-gene-0.15-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-0.15&CDS=1-1857, maker-flattened_line_8-snap-gene-0.17-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-0.17&CDS=1-966, maker-flattened_line_8-snap-gene-0.18-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-0.18&CDS=1-921, snap_masked-flattened_line_8-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.55&CDS=1-669
20	OG0000020	YOL119C, YOR306C	maker-flattened_line_126-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_126-augustus-gene-0.2&CDS=1-4179, snap_masked-flattened_line_14-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.71&CDS=1-1431, snap_masked-flattened_line_4-processed-gene-2.101-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.101&CDS=1-1422, snap_masked-flattened_line_4-processed-gene-2.102-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.102&CDS=1-1500
21	OG0000021	YOR117W, YPR159W	augustus_masked-flattened_line_82-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.0&CDS=1-1182, maker-flattened_line_98-augustus-gene-0.47-mRNA-1_1&gene=maker-flattened_line_98-augustus-gene-0.47&CDS=1-3039, snap_masked-flattened_line_84-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.84&CDS=1-1725, snap_masked-flattened_line_98-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.99&CDS=1-1914
22	OG0000022		augustus_masked-flattened_line_2-processed-gene-2.230-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.230&CDS=1-2808, augustus_masked-flattened_line_4-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.154&CDS=1-2700, augustus_masked-flattened_line_98-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.20&CDS=1-2649, maker-flattened_line_2-snap-gene-2.160-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.160&CDS=1-2892, snap_masked-flattened_line_122-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.80&CDS=1-2577, snap_masked-flattened_line_2-processed-gene-2.85-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.85&CDS=1-3198
23	OG0000023	YAL007C, YDL018C, YOR016C	augustus_masked-flattened_line_182-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_182-processed-gene-0.3&CDS=1-627, snap_masked-flattened_line_18-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.81&CDS=1-624
24	OG0000024	YBR015C	augustus_masked-flattened_line_292-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_292-processed-gene-0.4&CDS=1-1761, genemark-flattened_line_52-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.42&CDS=1-2205, snap_masked-flattened_line_38-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.94&CDS=1-1383, snap_masked-flattened_line_54-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.122&CDS=1-1881
25	OG0000025	YBR021W, YIR028W	augustus_masked-flattened_line_0-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.41&CDS=1-1164, snap_masked-flattened_line_0-processed-gene-2.140-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.140&CDS=1-1767, snap_masked-flattened_line_42-processed-gene-0.216-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.216&CDS=1-1767
26	OG0000026	YBR089C-A, YDL002C, YPR052C	augustus_masked-flattened_line_58-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.184&CDS=1-552, snap_masked-flattened_line_54-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.92&CDS=1-321
27	OG0000027	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_104-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.87&CDS=1-3336, maker-flattened_line_30-augustus-gene-0.224-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-0.224&CDS=1-3708
28	OG0000028	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_0-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.131&CDS=1-1722
29	OG0000029	YDL109C, YDR444W, YGL144C	augustus_masked-flattened_line_118-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.98&CDS=1-3249, snap_masked-flattened_line_16-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.90&CDS=1-1545
30	OG0000030	YDL161W, YLL038C, YLR206W	snap_masked-flattened_line_267-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_267-processed-gene-0.1&CDS=1-639, snap_masked-flattened_line_90-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.40&CDS=1-1401
31	OG0000031	YDL174C	snap_masked-flattened_line_10-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.88&CDS=1-1665, snap_masked-flattened_line_148-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.51&CDS=1-1677, snap_masked-flattened_line_230-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_230-processed-gene-0.8&CDS=1-1671, snap_masked-flattened_line_48-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.57&CDS=1-1632
32	OG0000032	YDR178W, YLR164W, YPR166C	maker-flattened_line_106-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_106-augustus-gene-0.0&CDS=1-768, snap_masked-flattened_line_74-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.5&CDS=1-489
33	OG0000033	YDR216W, YJR127C, YML081W	snap_masked-flattened_line_198-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_198-processed-gene-0.5&CDS=1-3348, snap_masked-flattened_line_44-processed-gene-0.185-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.185&CDS=1-3642
34	OG0000034	YDR338C	augustus_masked-flattened_line_18-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.28&CDS=1-2469, maker-flattened_line_62-snap-gene-0.72-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.72&CDS=1-2697, snap_masked-flattened_line_16-processed-gene-1.44-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.44&CDS=1-1251, snap_masked-flattened_line_186-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_186-processed-gene-0.4&CDS=1-1455
35	OG0000035	YDR380W, YLR044C	augustus_masked-flattened_line_0-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.7&CDS=1-1716, snap_masked-flattened_line_42-processed-gene-0.182-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.182&CDS=1-1698, snap_masked-flattened_line_92-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.53&CDS=1-1797
36	OG0000036	YDR391C, YOR012W, YOR013W	augustus_masked-flattened_line_78-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.39&CDS=1-576, snap_masked-flattened_line_78-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.83&CDS=1-570
37	OG0000037	YER133W, YML016C	maker-flattened_line_8-snap-gene-1.87-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.87&CDS=1-1224, snap_masked-flattened_line_0-processed-gene-2.159-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.159&CDS=1-1554, snap_masked-flattened_line_16-processed-gene-1.41-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.41&CDS=1-1695
38	OG0000038	YFR040W, YGL229C, YKR028W	augustus_masked-flattened_line_140-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.23&CDS=1-2463, snap_masked-flattened_line_218-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_218-processed-gene-0.2&CDS=1-3024
39	OG0000039	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-flattened_line_488-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_488-processed-gene-0.2&CDS=1-1155
40	OG0000040	YJL172W, YOL153C	augustus_masked-flattened_line_106-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.10&CDS=1-1686, snap_masked-flattened_line_126-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.57&CDS=1-1716, snap_masked-flattened_line_62-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.79&CDS=1-1686
41	OG0000041	YKL046C	augustus_masked-flattened_line_302-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_302-processed-gene-0.4&CDS=1-1353, genemark-flattened_line_316-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_316-processed-gene-0.13&CDS=1-1353, snap_masked-flattened_line_10-processed-gene-1.141-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.141&CDS=1-1341, snap_masked-flattened_line_8-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.23&CDS=1-1350
42	OG0000042	YKL055C	maker-flattened_line_10-snap-gene-0.99-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-0.99&CDS=1-729, snap_masked-flattened_line_22-processed-gene-0.174-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.174&CDS=1-783, snap_masked-flattened_line_68-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.99&CDS=1-849, snap_masked-flattened_line_74-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.3&CDS=1-804
43	OG0000043	YLR237W, YOR071C, YOR192C	augustus_masked-flattened_line_162-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_162-processed-gene-0.11&CDS=1-1599, augustus_masked-flattened_line_22-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.220&CDS=1-1764
44	OG0000044	YLR342W, YMR306W	augustus_masked-flattened_line_8-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.116&CDS=1-5793, maker-flattened_line_42-augustus-gene-0.96-mRNA-1_1&gene=maker-flattened_line_42-augustus-gene-0.96&CDS=1-5790, snap_masked-flattened_line_74-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.42&CDS=1-5691
45	OG0000045	YOR032C, YOR344C	augustus_masked-flattened_line_4-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.137&CDS=1-2187, snap_masked-flattened_line_0-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.127&CDS=1-2595, snap_masked-flattened_line_38-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.125&CDS=1-744
46	OG0000046		augustus_masked-flattened_line_122-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.32&CDS=1-2598, augustus_masked-flattened_line_20-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.74&CDS=1-768, maker-flattened_line_36-snap-gene-0.166-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-0.166&CDS=1-3324, snap_masked-flattened_line_306-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_306-processed-gene-0.1&CDS=1-2973, snap_masked-flattened_line_76-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.66&CDS=1-1146
47	OG0000047	YAL023C, YGR199W	snap_masked-flattened_line_0-processed-gene-2.106-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.106&CDS=1-2280, snap_masked-flattened_line_50-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.92&CDS=1-2277
48	OG0000048	YAL060W	augustus_masked-flattened_line_40-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.48&CDS=1-1137, snap_masked-flattened_line_100-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.34&CDS=1-1242, snap_masked-flattened_line_32-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.108&CDS=1-1212
49	OG0000049	YAR035W, YER024W	genemark-flattened_line_236-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_236-processed-gene-0.4&CDS=1-2193, snap_masked-flattened_line_46-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.121&CDS=1-2286
50	OG0000050	YBL002W, YDR224C	snap_masked-flattened_line_350-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_350-processed-gene-0.7&CDS=1-399, snap_masked-flattened_line_376-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_376-processed-gene-0.1&CDS=1-399
51	OG0000051	YBL003C, YDR225W	snap_masked-flattened_line_350-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_350-processed-gene-0.6&CDS=1-393, snap_masked-flattened_line_376-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_376-processed-gene-0.2&CDS=1-393
52	OG0000052	YBL009W, YGL021W	augustus_masked-flattened_line_424-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_424-processed-gene-0.4&CDS=1-1668, augustus_masked-flattened_line_428-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_428-processed-gene-0.0&CDS=1-1518
53	OG0000053	YBL016W, YGR040W	augustus_masked-flattened_line_48-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.159&CDS=1-1200, snap_masked-flattened_line_66-processed-gene-0.154-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.154&CDS=1-1113
54	OG0000054	YBL052C, YOR244W	snap_masked-flattened_line_32-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.71&CDS=1-1380, snap_masked-flattened_line_40-processed-gene-0.166-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.166&CDS=1-2265
55	OG0000055	YBL054W, YER088C	snap_masked-flattened_line_40-processed-gene-0.163-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.163&CDS=1-1131, snap_masked-flattened_line_46-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.124&CDS=1-768
56	OG0000056	YBL063W, YEL061C	genemark-flattened_line_64-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.81&CDS=1-4365, snap_masked-flattened_line_28-processed-gene-0.192-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.192&CDS=1-3066
57	OG0000057	YBR009C, YNL030W	snap_masked-flattened_line_118-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.31&CDS=1-303, snap_masked-flattened_line_54-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.67&CDS=1-303
58	OG0000058	YBR010W, YNL031C	snap_masked-flattened_line_118-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.14&CDS=1-408, snap_masked-flattened_line_54-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.97&CDS=1-408
