	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035695_Hanseniaspora_pseudoguilliermondii
10	OG0000010	YPR194C	augustus_masked-flattened_line_186-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.2&CDS=1-1788, augustus_masked-flattened_line_186-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.3&CDS=1-1041, augustus_masked-flattened_line_62-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.111&CDS=1-2640, maker-flattened_line_34-snap-gene-0.64-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.64&CDS=1-2667, maker-flattened_line_62-snap-gene-0.46-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.46&CDS=1-4806
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_72-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.52&CDS=1-4923
12	OG0000012	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_50-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.112&CDS=1-3441, augustus_masked-flattened_line_6-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.128&CDS=1-3783
13	OG0000013	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_34-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.136&CDS=1-1563, maker-flattened_line_14-snap-gene-1.66-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.66&CDS=1-1695
14	OG0000014	YER001W, YGL257C, YIL014W, YNR059W	genemark-flattened_line_46-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.137&CDS=1-2088
15	OG0000015	YGR249W, YHR206W, YOR140W	augustus_masked-flattened_line_16-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.14&CDS=1-1128, augustus_masked-flattened_line_4-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.60&CDS=1-1350
16	OG0000016	YJL042W, YOR227W, YPL137C	augustus_masked-flattened_line_10-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.40&CDS=1-2679, augustus_masked-flattened_line_20-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.181&CDS=1-1872
17	OG0000017	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
18	OG0000018	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_36-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.92&CDS=1-2736
19	OG0000019	YML111W, YMR275C, YNR068C, YNR069C	maker-flattened_line_2-snap-gene-4.94-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.94&CDS=1-5469
20	OG0000020	YPR013C, YPR015C	augustus_masked-flattened_line_0-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.111&CDS=1-966, augustus_masked-flattened_line_72-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.56&CDS=1-939, genemark-flattened_line_64-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.115&CDS=1-642
21	OG0000021	YAL005C, YJL034W	augustus_masked-flattened_line_54-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.24&CDS=1-2040, augustus_masked-flattened_line_72-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.51&CDS=1-1929
22	OG0000022	YAL051W, YOR363C	snap_masked-flattened_line_60-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.33&CDS=1-2940, snap_masked-flattened_line_60-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.34&CDS=1-2349
23	OG0000023	YBL005W, YER184C, YGL013C	augustus_masked-flattened_line_0-processed-gene-5.232-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.232&CDS=1-3459
24	OG0000024	YBL068W-A, YBL069W, YER101C	augustus_masked-flattened_line_74-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.68&CDS=1-1236
25	OG0000025	YBL088C, YKL203C	augustus_masked-flattened_line_10-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.64&CDS=1-9282, maker-flattened_line_62-snap-gene-0.44-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.44&CDS=1-7935
26	OG0000026	YBR015C	augustus_masked-flattened_line_158-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.2&CDS=1-1830, augustus_masked-flattened_line_76-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.0&CDS=1-1740, maker-flattened_line_30-snap-gene-0.68-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.68&CDS=1-4791
27	OG0000027	YBR139W, YMR297W	augustus_masked-flattened_line_24-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.104&CDS=1-1680, augustus_masked-flattened_line_42-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.111&CDS=1-1479
28	OG0000028	YBR150C, YOL089C	augustus_masked-flattened_line_64-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.28&CDS=1-2763, augustus_masked-flattened_line_64-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.29&CDS=1-3186
29	OG0000029	YBR245C, YOR304W	augustus_masked-flattened_line_2-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.121&CDS=1-3246, snap_masked-flattened_line_0-processed-gene-5.124-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.124&CDS=1-3339
30	OG0000030	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_152-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.3&CDS=1-1179
31	OG0000031	YDL037C, YIR019C	augustus_masked-flattened_line_10-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.37&CDS=1-1536, snap_masked-flattened_line_124-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.6&CDS=1-993
32	OG0000032	YDL210W	augustus_masked-flattened_line_52-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.67&CDS=1-1734, augustus_masked-flattened_line_60-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.71&CDS=1-1770, augustus_masked-flattened_line_78-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.82&CDS=1-1728
33	OG0000033	YDR037W, YNL073W	augustus_masked-flattened_line_12-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.103&CDS=1-1773, augustus_masked-flattened_line_42-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.145&CDS=1-1635
34	OG0000034	YDR041W	augustus_masked-flattened_line_12-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.102&CDS=1-801, augustus_masked-flattened_line_788-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_788-processed-gene-0.0&CDS=1-171, augustus_masked-flattened_line_824-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_824-processed-gene-0.1&CDS=1-171
35	OG0000035	YDR134C, YLR110C	augustus_masked-flattened_line_14-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.152&CDS=1-369, snap_masked-flattened_line_14-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.78&CDS=1-342
36	OG0000036	YDR319C, YGL126W	augustus_masked-flattened_line_48-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.22&CDS=1-804, augustus_masked-flattened_line_54-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.31&CDS=1-849
37	OG0000037	YEL029C, YNR027W	augustus_masked-flattened_line_0-processed-gene-5.209-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.209&CDS=1-981, augustus_masked-flattened_line_64-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.26&CDS=1-984
38	OG0000038	YEL063C, YNL268W, YNL270C	augustus_masked-flattened_line_6-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.121&CDS=1-1788
39	OG0000039	YER040W, YKR034W	augustus_masked-flattened_line_22-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.34&CDS=1-2229, augustus_masked-flattened_line_60-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.70&CDS=1-1293
40	OG0000040	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_34-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.148&CDS=1-1566
41	OG0000041	YER081W, YIL074C	augustus_masked-flattened_line_250-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_250-processed-gene-0.1&CDS=1-864, augustus_masked-flattened_line_270-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_270-processed-gene-0.0&CDS=1-864
42	OG0000042	YER123W, YHR135C	augustus_masked-flattened_line_28-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.38&CDS=1-1515, augustus_masked-flattened_line_90-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.50&CDS=1-1635
43	OG0000043	YER133W, YML016C	augustus_masked-flattened_line_12-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.91&CDS=1-2502, genemark-flattened_line_4-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.18&CDS=1-987
44	OG0000044	YGL019W, YOR039W	augustus_masked-flattened_line_4-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.83&CDS=1-978, augustus_masked-flattened_line_4-processed-gene-3.253-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.253&CDS=1-1329
45	OG0000045	YGL147C, YNL067W	augustus_masked-flattened_line_28-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.9&CDS=1-573, augustus_masked-flattened_line_42-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.139&CDS=1-573
46	OG0000046	YGL166W, YMR021C	augustus_masked-flattened_line_2-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.111&CDS=1-1809, snap_masked-flattened_line_16-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.113&CDS=1-783
47	OG0000047	YGR059W, YHR107C	augustus_masked-flattened_line_4-processed-gene-3.308-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.308&CDS=1-1227, augustus_masked-flattened_line_40-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.88&CDS=1-2220
48	OG0000048	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	
49	OG0000049	YGR240C, YMR205C	augustus_masked-flattened_line_24-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.106&CDS=1-2811, maker-flattened_line_8-snap-gene-2.76-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-2.76&CDS=1-2394
50	OG0000050	YGR281W	augustus_masked-flattened_line_0-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.44&CDS=1-4401, augustus_masked-flattened_line_16-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.46&CDS=1-4224, augustus_masked-flattened_line_72-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.73&CDS=1-4140
51	OG0000051	YHL007C, YNL298W	augustus_masked-flattened_line_110-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.13&CDS=1-2085, augustus_masked-flattened_line_38-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.126&CDS=1-2436
52	OG0000052	YHR023W, YOR326W	augustus_masked-flattened_line_10-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.38&CDS=1-5706, augustus_masked-flattened_line_2-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.74&CDS=1-4899
53	OG0000053	YIL126W, YOR290C	augustus_masked-flattened_line_40-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.95&CDS=1-4017, augustus_masked-flattened_line_42-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.140&CDS=1-3984
54	OG0000054	YIL134W, YPR128C	augustus_masked-flattened_line_4-processed-gene-3.327-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.327&CDS=1-858, augustus_masked-flattened_line_42-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.142&CDS=1-897
55	OG0000055	YKR064W, YLR256W	augustus_masked-flattened_line_36-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.97&CDS=1-3951, snap_masked-flattened_line_12-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.52&CDS=1-3279
56	OG0000056	YLL034C, YNL329C	augustus_masked-flattened_line_0-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.107&CDS=1-2586, augustus_masked-flattened_line_38-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.102&CDS=1-2247
57	OG0000057	YLL052C, YLL053C, YPR192W	augustus_masked-flattened_line_102-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.7&CDS=1-867
58	OG0000058	YLR214W	augustus_masked-flattened_line_6-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.116&CDS=1-2136, augustus_masked-flattened_line_6-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.117&CDS=1-2154, genemark-flattened_line_70-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.110&CDS=1-1842
59	OG0000059	YLR237W, YOR071C, YOR192C	augustus_masked-flattened_line_36-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.109&CDS=1-1881
60	OG0000060	YLR343W, YMR307W	augustus_masked-flattened_line_0-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.35&CDS=1-1770, augustus_masked-flattened_line_16-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.60&CDS=1-1707
61	OG0000061	YMR006C, YMR008C, YOL011W	maker-flattened_line_44-augustus-gene-0.140-mRNA-1_1&gene=maker-flattened_line_44-augustus-gene-0.140&CDS=1-5469
62	OG0000062	YMR035W, YMR150C	augustus_masked-flattened_line_2-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.142&CDS=1-777, augustus_masked-flattened_line_50-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.78&CDS=1-2601
63	OG0000063	YMR083W, YMR303C, YOL086C	augustus_masked-flattened_line_6-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.58&CDS=1-1197
64	OG0000064	YMR169C, YMR170C	augustus_masked-flattened_line_28-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.1&CDS=1-1530, augustus_masked-flattened_line_28-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.49&CDS=1-1512
65	OG0000065	YOR334W, YPL060W	augustus_masked-flattened_line_20-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.57&CDS=1-1737, snap_masked-flattened_line_0-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.85&CDS=1-2373
66	OG0000066	YOR389W, YPL277C, YPL278C	augustus_masked-flattened_line_2-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.140&CDS=1-2055
67	OG0000067	Q0045, Q0065, Q0070	maker-flattened_line_142-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_142-snap-gene-0.7&CDS=1-282
68	OG0000068	YAL018C, YOL048C	augustus_masked-flattened_line_2-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.31&CDS=1-1140
69	OG0000069	YAL039C	augustus_masked-flattened_line_154-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.12&CDS=1-264, augustus_masked-flattened_line_60-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.84&CDS=1-780
70	OG0000070	YAL056W, YOR371C	augustus_masked-flattened_line_64-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.24&CDS=1-2343
71	OG0000071	YAR042W, YDL019C	augustus_masked-flattened_line_30-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.194&CDS=1-3768
72	OG0000072	YBL002W, YDR224C	augustus_masked-flattened_line_32-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.54&CDS=1-384
73	OG0000073	YBL003C, YDR225W	augustus_masked-flattened_line_32-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.30&CDS=1-393
74	OG0000074	YBL009W, YGL021W	snap_masked-flattened_line_4-processed-gene-3.138-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.138&CDS=1-2316
75	OG0000075	YBL027W, YBR084C-A	snap_masked-flattened_line_0-processed-gene-4.91-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.91&CDS=1-621
76	OG0000076	YBL056W, YER089C	augustus_masked-flattened_line_74-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.44&CDS=1-1515
77	OG0000077	YBL061C, YER096W	snap_masked-flattened_line_74-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.87&CDS=1-1851
78	OG0000078	YBL067C, YER098W	augustus_masked-flattened_line_36-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.84&CDS=1-1797
79	OG0000079	YBL072C, YER102W	augustus_masked-flattened_line_74-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.67&CDS=1-597
80	OG0000080	YBL079W, YER105C	augustus_masked-flattened_line_36-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.106&CDS=1-4422
81	OG0000081	YBL085W, YER114C	augustus_masked-flattened_line_10-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.49&CDS=1-2979
82	OG0000082	YBL087C, YER117W	augustus_masked-flattened_line_10-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.65&CDS=1-417
83	OG0000083	YBL089W, YER119C	augustus_masked-flattened_line_64-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.7&CDS=1-1398
84	OG0000084	YBL091C-A, YER120W	augustus_masked-flattened_line_64-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.23&CDS=1-729
85	OG0000085	YBL101C, YPR030W	augustus_masked-flattened_line_74-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.69&CDS=1-2514
86	OG0000086	YBL106C, YPR032W	augustus_masked-flattened_line_74-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.74&CDS=1-3177
