	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034675_Blastobotrys_mokoenaii
10	OG0000010	YKR039W	snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.96&CDS=1-1728, snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-5.106-mRNA-1_1&gene=snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-5.106&CDS=1-1725, snap_masked-NODE_46_length_95220_cov_36.4924_ID_91-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_46_length_95220_cov_36.4924_ID_91-processed-gene-0.48&CDS=1-1755, snap_masked-NODE_49_length_80644_cov_35.6353_ID_97-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_49_length_80644_cov_35.6353_ID_97-processed-gene-0.1&CDS=1-1722, snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.147-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.147&CDS=1-1764, snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-1.6&CDS=1-1743
11	OG0000011		augustus_masked-NODE_285_length_724_cov_647.942_ID_569-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_285_length_724_cov_647.942_ID_569-processed-gene-0.0&CDS=1-576, genemark-NODE_180_length_1351_cov_230.803_ID_359-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_180_length_1351_cov_230.803_ID_359-processed-gene-0.1&CDS=1-1311, genemark-NODE_218_length_1096_cov_294.57_ID_435-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_218_length_1096_cov_294.57_ID_435-processed-gene-0.0&CDS=1-978, genemark-NODE_334_length_506_cov_68.412_ID_667-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_334_length_506_cov_68.412_ID_667-processed-gene-0.0&CDS=1-300, snap_masked-NODE_151_length_1862_cov_93.961_ID_301-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_151_length_1862_cov_93.961_ID_301-processed-gene-0.2&CDS=1-825, snap_masked-NODE_263_length_816_cov_634.697_ID_525-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_263_length_816_cov_634.697_ID_525-processed-gene-0.0&CDS=1-699, snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.160-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.160&CDS=1-1998
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.60-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.60&CDS=1-1332
13	OG0000013	YBR072W, YDR171W	augustus_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-0.125&CDS=1-525, maker-NODE_7_length_514569_cov_35.9165_ID_13-snap-gene-0.105-mRNA-1_1&gene=maker-NODE_7_length_514569_cov_35.9165_ID_13-snap-gene-0.105&CDS=1-555, snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-0.72&CDS=1-561, snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-0.85&CDS=1-702
14	OG0000014	YBR240C, YDR213W, YLR228C	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-2.69-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-2.69&CDS=1-750, snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.43&CDS=1-1968, snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-2.66-mRNA-1_1&gene=snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-2.66&CDS=1-1338
15	OG0000015	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_15_length_249261_cov_35.9522_ID_29-processed-gene-1.129-mRNA-1_1&gene=snap_masked-NODE_15_length_249261_cov_35.9522_ID_29-processed-gene-1.129&CDS=1-1458, snap_masked-NODE_60_length_48957_cov_36.3055_ID_119-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_60_length_48957_cov_36.3055_ID_119-processed-gene-0.37&CDS=1-1938
16	OG0000016	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-1.75&CDS=1-1734, snap_masked-NODE_53_length_73696_cov_34.7263_ID_105-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_53_length_73696_cov_34.7263_ID_105-processed-gene-0.33&CDS=1-1725
17	OG0000017	YDR011W, YDR406W, YOR153W	genemark-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-0.9&CDS=1-4833, maker-NODE_12_length_291457_cov_35.5689_ID_23-snap-gene-1.95-mRNA-1_1&gene=maker-NODE_12_length_291457_cov_35.5689_ID_23-snap-gene-1.95&CDS=1-4389, snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-0.91&CDS=1-4536
18	OG0000018	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_16_length_234033_cov_177.797_ID_31-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_16_length_234033_cov_177.797_ID_31-processed-gene-0.143&CDS=1-1494, snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-7.78-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-7.78&CDS=1-1695, snap_masked-NODE_42_length_106520_cov_36.1385_ID_83-processed-gene-0.157-mRNA-1_1&gene=snap_masked-NODE_42_length_106520_cov_36.1385_ID_83-processed-gene-0.157&CDS=1-1617
19	OG0000019	YDR242W	snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.228-mRNA-1_1&gene=snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.228&CDS=1-1626, snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-0.22&CDS=1-1653, snap_masked-NODE_14_length_262008_cov_38.1084_ID_27-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NODE_14_length_262008_cov_38.1084_ID_27-processed-gene-1.112&CDS=1-1419, snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.201-mRNA-1_1&gene=snap_masked-NODE_26_length_179169_cov_36.8649_ID_51-processed-gene-0.201&CDS=1-1323, snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.65&CDS=1-1659
20	OG0000020	YIR013C, YLR013W, YMR136W, YPL021W	augustus_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.0&CDS=1-2370, genemark-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-1.153-mRNA-1_1&gene=genemark-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-1.153&CDS=1-1374
21	OG0000021	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-NODE_10_length_307126_cov_36.5879_ID_19-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_10_length_307126_cov_36.5879_ID_19-processed-gene-2.36&CDS=1-2721, snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-6.74-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-6.74&CDS=1-2406
22	OG0000022	YAL053W, YGL139W, YPL221W	snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.166-mRNA-1_1&gene=snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.166&CDS=1-2109, snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.49&CDS=1-2286
23	OG0000023	YBR008C	genemark-NODE_123_length_2433_cov_43.2289_ID_245-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_123_length_2433_cov_43.2289_ID_245-processed-gene-0.1&CDS=1-753, maker-NODE_1_length_970412_cov_36.0026_ID_1-snap-gene-8.101-mRNA-1_1&gene=maker-NODE_1_length_970412_cov_36.0026_ID_1-snap-gene-8.101&CDS=1-3315, snap_masked-NODE_10_length_307126_cov_36.5879_ID_19-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_10_length_307126_cov_36.5879_ID_19-processed-gene-0.96&CDS=1-1731, snap_masked-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-1.280-mRNA-1_1&gene=snap_masked-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-1.280&CDS=1-1692
24	OG0000024	YCR065W, YIL131C, YNL068C	snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-1.54&CDS=1-2049, snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-1.157-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-1.157&CDS=1-2259
25	OG0000025	YCR107W, YDL243C, YJR155W, YNL331C	genemark-NODE_20_length_213633_cov_36.2652_ID_39-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_20_length_213633_cov_36.2652_ID_39-processed-gene-0.29&CDS=1-1062
26	OG0000026	YDR107C, YER113C, YLR083C	snap_masked-NODE_42_length_106520_cov_36.1385_ID_83-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_42_length_106520_cov_36.1385_ID_83-processed-gene-0.111&CDS=1-1881, snap_masked-NODE_57_length_53682_cov_38.2443_ID_113-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_57_length_53682_cov_38.2443_ID_113-processed-gene-0.27&CDS=1-1920
27	OG0000027	YDR122W, YKL171W, YLR096W	maker-NODE_3_length_652801_cov_36.0555_ID_5-snap-gene-5.183-mRNA-1_1&gene=maker-NODE_3_length_652801_cov_36.0555_ID_5-snap-gene-5.183&CDS=1-1812, snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.165&CDS=1-2952
28	OG0000028	YDR253C, YPL038W	genemark-NODE_50_length_77115_cov_36.3192_ID_99-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_50_length_77115_cov_36.3192_ID_99-processed-gene-0.12&CDS=1-2802, maker-NODE_14_length_262008_cov_38.1084_ID_27-snap-gene-0.23-mRNA-1_1&gene=maker-NODE_14_length_262008_cov_38.1084_ID_27-snap-gene-0.23&CDS=1-3423, maker-NODE_3_length_652801_cov_36.0555_ID_5-snap-gene-4.59-mRNA-1_1&gene=maker-NODE_3_length_652801_cov_36.0555_ID_5-snap-gene-4.59&CDS=1-2892
29	OG0000029	YDR326C, YFL042C, YHR080C, YLR072W	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.30-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.30&CDS=1-2493
30	OG0000030	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_35_length_132968_cov_35.6456_ID_69-processed-gene-0.50&CDS=1-717
31	OG0000031	YER185W, YGR213C	maker-NODE_30_length_158199_cov_36.4761_ID_59-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_30_length_158199_cov_36.4761_ID_59-snap-gene-0.4&CDS=1-1485, snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.90&CDS=1-822, snap_masked-NODE_44_length_104713_cov_36.3898_ID_87-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_44_length_104713_cov_36.3898_ID_87-processed-gene-0.105&CDS=1-552
32	OG0000032	YGR070W, YLR371W, YLR425W	maker-NODE_6_length_536151_cov_35.7945_ID_11-snap-gene-4.229-mRNA-1_1&gene=maker-NODE_6_length_536151_cov_35.7945_ID_11-snap-gene-4.229&CDS=1-3981, snap_masked-NODE_29_length_161128_cov_35.597_ID_57-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_29_length_161128_cov_35.597_ID_57-processed-gene-0.102&CDS=1-4134
33	OG0000033	YGR212W	augustus_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-6.29&CDS=1-1557, augustus_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-1.79&CDS=1-1434, augustus_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-1.80&CDS=1-1275, snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-0.65&CDS=1-1311
34	OG0000034	YJL137C, YJL146W, YKR058W	augustus_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.166-mRNA-1_1&gene=augustus_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.166&CDS=1-870, snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-2.92&CDS=1-2088
35	OG0000035	YJR149W	snap_masked-NODE_30_length_158199_cov_36.4761_ID_59-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_30_length_158199_cov_36.4761_ID_59-processed-gene-0.89&CDS=1-996, snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-1.17&CDS=1-1062, snap_masked-NODE_48_length_81606_cov_37.5732_ID_95-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_48_length_81606_cov_37.5732_ID_95-processed-gene-0.99&CDS=1-1017, snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-2.67&CDS=1-1077
36	OG0000036	YOL137W	genemark-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.117-mRNA-1_1&gene=genemark-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.117&CDS=1-1335, snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.112&CDS=1-1344, snap_masked-NODE_39_length_115304_cov_35.7936_ID_77-processed-gene-0.152-mRNA-1_1&gene=snap_masked-NODE_39_length_115304_cov_35.7936_ID_77-processed-gene-0.152&CDS=1-1407, snap_masked-NODE_66_length_27755_cov_37.6021_ID_131-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_66_length_27755_cov_37.6021_ID_131-processed-gene-0.7&CDS=1-1326
