	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034611_Saturnispora_mendoncae
13	OG0000013	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
14	OG0000014	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-3.26-mRNA-1_1&gene=genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-3.26&CDS=1-4026
15	OG0000015	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-3.47-mRNA-1_1&gene=genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-3.47&CDS=1-534
16	OG0000016	YBR293W	augustus_masked-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-1.45&CDS=1-1602, genemark-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.1&CDS=1-1581, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-4.8-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-4.8&CDS=1-4497, genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-0.125&CDS=1-1539, snap_masked-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-3.28&CDS=1-1710
17	OG0000017	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.47&CDS=1-3567, genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-2.129-mRNA-1_1&gene=genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-2.129&CDS=1-1416, snap_masked-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.153-mRNA-1_1&gene=snap_masked-NODE_19_length_138995_cov_40.4893_ID_37-processed-gene-0.153&CDS=1-2043
18	OG0000018	YDL165W, YDL170W, YJR044C	genemark-NODE_13_length_255369_cov_41.7759_ID_25-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_13_length_255369_cov_41.7759_ID_25-processed-gene-1.23&CDS=1-1575, maker-NODE_2_length_712999_cov_40.8768_ID_3-snap-gene-3.0-mRNA-1_1&gene=maker-NODE_2_length_712999_cov_40.8768_ID_3-snap-gene-3.0&CDS=1-2220, maker-NODE_9_length_282536_cov_40.9967_ID_17-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_9_length_282536_cov_40.9967_ID_17-snap-gene-0.4&CDS=1-2907
19	OG0000019	YDR380W, YGR087C, YLR044C, YLR134W	genemark-NODE_37_length_34987_cov_42.4626_ID_73-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_37_length_34987_cov_42.4626_ID_73-processed-gene-0.0&CDS=1-1698, genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-1.149-mRNA-1_1&gene=genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-1.149&CDS=1-1734
20	OG0000020	YER013W, YGL120C, YKR086W	genemark-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-3.168-mRNA-1_1&gene=genemark-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-3.168&CDS=1-2844, genemark-NODE_9_length_282536_cov_40.9967_ID_17-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_9_length_282536_cov_40.9967_ID_17-processed-gene-1.33&CDS=1-2547, snap_masked-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-2.70-mRNA-1_1&gene=snap_masked-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-2.70&CDS=1-2259
21	OG0000021	YER133W, YGR123C, YML016C	genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-1.100-mRNA-1_1&gene=genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-1.100&CDS=1-4335, genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-1.119-mRNA-1_1&gene=genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-1.119&CDS=1-987, genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-2.35-mRNA-1_1&gene=genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-2.35&CDS=1-1644
22	OG0000022	YGL257C, YIL014W, YNR059W	augustus_masked-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.102&CDS=1-1716, genemark-NODE_28_length_106324_cov_41.1752_ID_55-processed-gene-0.134-mRNA-1_1&gene=genemark-NODE_28_length_106324_cov_41.1752_ID_55-processed-gene-0.134&CDS=1-2463, snap_masked-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-2.89&CDS=1-1812
23	OG0000023	YJL099W, YKR027W, YMR237W, YOR299W	genemark-NODE_11_length_258595_cov_41.7728_ID_21-processed-gene-1.36-mRNA-1_1&gene=genemark-NODE_11_length_258595_cov_41.7728_ID_21-processed-gene-1.36&CDS=1-2016, genemark-NODE_24_length_112108_cov_42.372_ID_47-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_24_length_112108_cov_42.372_ID_47-processed-gene-0.21&CDS=1-2007
24	OG0000024	YJL130C, YJR109C, YLR454W	augustus_masked-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-2.136&CDS=1-7692, genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-1.142-mRNA-1_1&gene=genemark-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-1.142&CDS=1-6648, genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-2.25-mRNA-1_1&gene=genemark-NODE_6_length_475741_cov_42.113_ID_11-processed-gene-2.25&CDS=1-15198
25	OG0000025	YKR039W, YPL265W	genemark-NODE_18_length_180837_cov_41.9367_ID_35-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_18_length_180837_cov_41.9367_ID_35-processed-gene-0.92&CDS=1-1764, genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-3.118-mRNA-1_1&gene=genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-3.118&CDS=1-1767, maker-NODE_15_length_240345_cov_42.9318_ID_29-snap-gene-1.156-mRNA-1_1&gene=maker-NODE_15_length_240345_cov_42.9318_ID_29-snap-gene-1.156&CDS=1-3387, maker-NODE_30_length_76848_cov_41.9915_ID_59-augustus-gene-0.46-mRNA-1_1&gene=maker-NODE_30_length_76848_cov_41.9915_ID_59-augustus-gene-0.46&CDS=1-3405
26	OG0000026	YLR212C, YOL119C	augustus_masked-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-2.141&CDS=1-2733, genemark-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_22_length_113822_cov_43.625_ID_43-processed-gene-0.47&CDS=1-1356, genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-2.77-mRNA-1_1&gene=genemark-NODE_7_length_360178_cov_41.5782_ID_13-processed-gene-2.77&CDS=1-1419, maker-NODE_18_length_180837_cov_41.9367_ID_35-snap-gene-0.313-mRNA-1_1&gene=maker-NODE_18_length_180837_cov_41.9367_ID_35-snap-gene-0.313&CDS=1-2598
27	OG0000027	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-5.228-mRNA-1_1&gene=augustus_masked-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-5.228&CDS=1-4494
28	OG0000028	YBL056W, YBR125C, YER089C	genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-4.149-mRNA-1_1&gene=genemark-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-4.149&CDS=1-1092, genemark-NODE_8_length_298368_cov_40.3898_ID_15-processed-gene-1.241-mRNA-1_1&gene=genemark-NODE_8_length_298368_cov_40.3898_ID_15-processed-gene-1.241&CDS=1-1275
29	OG0000029	YBR038W, YNL192W	genemark-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_12_length_255420_cov_41.4768_ID_23-processed-gene-0.90&CDS=1-2961, genemark-NODE_18_length_180837_cov_41.9367_ID_35-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_18_length_180837_cov_41.9367_ID_35-processed-gene-0.42&CDS=1-3582, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-2.27-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-2.27&CDS=1-3003
30	OG0000030	YBR089C-A, YDL002C, YPR052C	genemark-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.53&CDS=1-303, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-1.19-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-1.19&CDS=1-939
31	OG0000031	YCR065W, YIL131C, YNL068C	genemark-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-5.124-mRNA-1_1&gene=genemark-NODE_1_length_724845_cov_40.9392_ID_1-processed-gene-5.124&CDS=1-1290, snap_masked-NODE_9_length_282536_cov_40.9967_ID_17-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_9_length_282536_cov_40.9967_ID_17-processed-gene-0.31&CDS=1-1887
32	OG0000032	YDL138W, YDL194W	genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-0.105&CDS=1-1647, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-5.0-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-5.0&CDS=1-1662, maker-NODE_1_length_724845_cov_40.9392_ID_1-augustus-gene-4.61-mRNA-1_1&gene=maker-NODE_1_length_724845_cov_40.9392_ID_1-augustus-gene-4.61&CDS=1-2898
33	OG0000033	YDR144C, YLR120C, YLR121C	genemark-NODE_9_length_282536_cov_40.9967_ID_17-processed-gene-1.0-mRNA-1_1&gene=genemark-NODE_9_length_282536_cov_40.9967_ID_17-processed-gene-1.0&CDS=1-3018, snap_masked-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_5_length_544853_cov_41.9478_ID_9-processed-gene-1.46&CDS=1-1725
34	OG0000034	YDR243C, YNL112W	augustus_masked-NODE_21_length_116788_cov_42.0641_ID_41-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_21_length_116788_cov_42.0641_ID_41-processed-gene-0.105&CDS=1-1566, genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-5.331-mRNA-1_1&gene=genemark-NODE_3_length_680843_cov_41.5593_ID_5-processed-gene-5.331&CDS=1-2793, genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-1.39-mRNA-1_1&gene=genemark-NODE_4_length_635359_cov_41.4667_ID_7-processed-gene-1.39&CDS=1-1581
35	OG0000035	YDR407C	genemark-NODE_29_length_89722_cov_41.7838_ID_57-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_29_length_89722_cov_41.7838_ID_57-processed-gene-0.29&CDS=1-2259, maker-NODE_1_length_724845_cov_40.9392_ID_1-snap-gene-6.8-mRNA-1_1&gene=maker-NODE_1_length_724845_cov_40.9392_ID_1-snap-gene-6.8&CDS=1-5742, snap_masked-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.183-mRNA-1_1&gene=snap_masked-NODE_25_length_110766_cov_39.8115_ID_49-processed-gene-0.183&CDS=1-2280, snap_masked-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_2_length_712999_cov_40.8768_ID_3-processed-gene-0.60&CDS=1-3459
36	OG0000036	YEL063C, YNL268W, YNL270C	maker-NODE_4_length_635359_cov_41.4667_ID_7-snap-gene-3.119-mRNA-1_1&gene=maker-NODE_4_length_635359_cov_41.4667_ID_7-snap-gene-3.119&CDS=1-5013, snap_masked-NODE_175_length_1066_cov_83.469_ID_349-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_175_length_1066_cov_83.469_ID_349-processed-gene-0.2&CDS=1-933
