	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034950_Citeromyces_hawaiiensis
10	OG0000010	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-scf7180000031196-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000031196-processed-gene-0.9&CDS=1-1719, augustus_masked-scf7180000031458-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000031458-processed-gene-0.12&CDS=1-1707
11	OG0000011	YCL011C, YNL004W	maker-scf7180000029474-augustus-gene-0.2-mRNA-1_1&gene=maker-scf7180000029474-augustus-gene-0.2&CDS=1-1269, maker-scf7180000029552-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000029552-augustus-gene-0.1&CDS=1-1269, snap_masked-scf7180000029480-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000029480-processed-gene-0.3&CDS=1-1233, snap_masked-scf7180000030996-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000030996-processed-gene-0.10&CDS=1-1269
12	OG0000012	YCR102C, YLR460C, YNL134C	augustus_masked-scf7180000029427-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029427-processed-gene-0.0&CDS=1-393, augustus_masked-scf7180000031680-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000031680-processed-gene-0.11&CDS=1-1125, snap_masked-scf7180000028861-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000028861-processed-gene-0.13&CDS=1-636
13	OG0000013	YHR179W, YPL171C	augustus_masked-scf7180000028858-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000028858-processed-gene-0.0&CDS=1-414, augustus_masked-scf7180000031204-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000031204-processed-gene-0.1&CDS=1-1221, augustus_masked-scf7180000031619-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000031619-processed-gene-0.14&CDS=1-1206, augustus_masked-scf7180000031625-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000031625-processed-gene-0.45&CDS=1-1206
14	OG0000014	YJR092W	augustus_masked-scf7180000029856-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029856-processed-gene-0.2&CDS=1-1242, augustus_masked-scf7180000030537-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030537-processed-gene-0.0&CDS=1-873, augustus_masked-scf7180000030664-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030664-processed-gene-0.0&CDS=1-897, augustus_masked-scf7180000030962-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030962-processed-gene-0.0&CDS=1-909, snap_masked-scf7180000031614-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000031614-processed-gene-0.25&CDS=1-3081
15	OG0000015	YJR152W	augustus_masked-scf7180000029091-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029091-processed-gene-0.2&CDS=1-1557, augustus_masked-scf7180000031025-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031025-processed-gene-0.0&CDS=1-1560, augustus_masked-scf7180000031357-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000031357-processed-gene-0.8&CDS=1-957, augustus_masked-scf7180000031377-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000031377-processed-gene-0.3&CDS=1-1560, augustus_masked-scf7180000031565-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000031565-processed-gene-0.1&CDS=1-1563
16	OG0000016	YKL185W, YOR141C	augustus_masked-scf7180000030454-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030454-processed-gene-0.2&CDS=1-1128, augustus_masked-scf7180000031042-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000031042-processed-gene-0.18&CDS=1-2118, maker-scf7180000031456-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000031456-augustus-gene-0.0&CDS=1-1839, maker-scf7180000031456-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000031456-snap-gene-0.3&CDS=1-423
17	OG0000017	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-scf7180000030735-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030735-processed-gene-0.2&CDS=1-2073
18	OG0000018	YLL012W, YLR020C	augustus_masked-scf7180000031232-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000031232-processed-gene-0.13&CDS=1-1092, genemark-scf7180000030073-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000030073-processed-gene-0.0&CDS=1-1287, snap_masked-scf7180000028891-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000028891-processed-gene-0.2&CDS=1-1200, snap_masked-scf7180000031687-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000031687-processed-gene-0.1&CDS=1-1200
19	OG0000019	YLR256W	augustus_masked-scf7180000030783-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000030783-processed-gene-0.38&CDS=1-2592, maker-scf7180000031427-augustus-gene-0.21-mRNA-1_1&gene=maker-scf7180000031427-augustus-gene-0.21&CDS=1-2337, maker-scf7180000031427-augustus-gene-0.22-mRNA-1_1&gene=maker-scf7180000031427-augustus-gene-0.22&CDS=1-2892, snap_masked-scf7180000031352-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000031352-processed-gene-0.1&CDS=1-1797, snap_masked-scf7180000031520-processed-gene-0.43-mRNA-1_1&gene=snap_masked-scf7180000031520-processed-gene-0.43&CDS=1-1950
20	OG0000020	YOR205C	augustus_masked-scf7180000028852-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000028852-processed-gene-0.0&CDS=1-573, augustus_masked-scf7180000029655-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000029655-processed-gene-0.3&CDS=1-573, augustus_masked-scf7180000031488-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031488-processed-gene-0.0&CDS=1-573, snap_masked-scf7180000028770-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000028770-processed-gene-0.5&CDS=1-189, snap_masked-scf7180000031542-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000031542-processed-gene-0.14&CDS=1-1830
21	OG0000021	YPL208W	augustus_masked-scf7180000028750-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000028750-processed-gene-0.3&CDS=1-447, augustus_masked-scf7180000030599-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000030599-processed-gene-0.24&CDS=1-630, augustus_masked-scf7180000031387-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031387-processed-gene-0.0&CDS=1-612, snap_masked-scf7180000031393-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000031393-processed-gene-0.28&CDS=1-1458, snap_masked-scf7180000031393-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000031393-processed-gene-0.29&CDS=1-273
22	OG0000022		augustus_masked-scf7180000031227-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000031227-processed-gene-0.2&CDS=1-3459, snap_masked-scf7180000030020-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030020-processed-gene-0.0&CDS=1-3810, snap_masked-scf7180000030632-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030632-processed-gene-0.2&CDS=1-3327, snap_masked-scf7180000031010-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000031010-processed-gene-0.22&CDS=1-516, snap_masked-scf7180000031264-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000031264-processed-gene-0.10&CDS=1-963, snap_masked-scf7180000031600-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000031600-processed-gene-0.16&CDS=1-2535
23	OG0000023	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
24	OG0000024	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-scf7180000031048-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000031048-processed-gene-0.2&CDS=1-4416
25	OG0000025	YBR255W	augustus_masked-scf7180000030788-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030788-processed-gene-0.2&CDS=1-1518, snap_masked-scf7180000031457-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000031457-processed-gene-0.5&CDS=1-258, snap_masked-scf7180000031518-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scf7180000031518-processed-gene-0.23&CDS=1-291, snap_masked-scf7180000031625-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000031625-processed-gene-0.38&CDS=1-255
26	OG0000026	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-scf7180000030518-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030518-processed-gene-0.0&CDS=1-1548
27	OG0000027	YCL074W	augustus_masked-scf7180000029404-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029404-processed-gene-0.2&CDS=1-789, augustus_masked-scf7180000030475-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000030475-processed-gene-0.18&CDS=1-738, augustus_masked-scf7180000030678-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030678-processed-gene-0.2&CDS=1-654, snap_masked-scf7180000031162-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000031162-processed-gene-0.3&CDS=1-720
28	OG0000028	YCR026C, YEL016C	augustus_masked-scf7180000031415-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000031415-processed-gene-0.18&CDS=1-2028, augustus_masked-scf7180000031634-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000031634-processed-gene-0.4&CDS=1-636, snap_masked-scf7180000028729-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000028729-processed-gene-0.1&CDS=1-555
29	OG0000029	YDL042C, YOL068C	augustus_masked-scf7180000029675-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029675-processed-gene-0.0&CDS=1-1056, augustus_masked-scf7180000029922-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029922-processed-gene-0.2&CDS=1-981, genemark-scf7180000028850-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000028850-processed-gene-0.9&CDS=1-1260
30	OG0000030	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-scf7180000031043-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031043-processed-gene-0.0&CDS=1-1023
31	OG0000031	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-scf7180000031535-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000031535-processed-gene-0.14&CDS=1-996
32	OG0000032	YEL047C, YJR051W	augustus_masked-scf7180000028799-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000028799-processed-gene-0.4&CDS=1-1260, augustus_masked-scf7180000029477-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029477-processed-gene-0.2&CDS=1-990, augustus_masked-scf7180000031157-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000031157-processed-gene-0.15&CDS=1-1485
33	OG0000033	YER056C, YER060W, YER060W-A	augustus_masked-scf7180000030921-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000030921-processed-gene-0.5&CDS=1-1539, augustus_masked-scf7180000031573-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000031573-processed-gene-0.36&CDS=1-1548
34	OG0000034	YGR171C	augustus_masked-scf7180000029023-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000029023-processed-gene-0.4&CDS=1-1584, augustus_masked-scf7180000029072-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029072-processed-gene-0.0&CDS=1-1584, augustus_masked-scf7180000030521-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030521-processed-gene-0.1&CDS=1-1584, augustus_masked-scf7180000030611-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000030611-processed-gene-0.11&CDS=1-1584
35	OG0000035	YGR214W, YLR048W	augustus_masked-scf7180000028962-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000028962-processed-gene-0.2&CDS=1-792, augustus_masked-scf7180000031418-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000031418-processed-gene-0.25&CDS=1-792, augustus_masked-scf7180000031523-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000031523-processed-gene-0.7&CDS=1-792
36	OG0000036	YHR078W	augustus_masked-scf7180000028893-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000028893-processed-gene-0.2&CDS=1-1245, snap_masked-scf7180000029089-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000029089-processed-gene-0.1&CDS=1-1398, snap_masked-scf7180000030884-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000030884-processed-gene-0.6&CDS=1-1245, snap_masked-scf7180000031689-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scf7180000031689-processed-gene-0.47&CDS=1-369
37	OG0000037	YHR084W	augustus_masked-scf7180000031397-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000031397-processed-gene-0.7&CDS=1-477, augustus_masked-scf7180000031422-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scf7180000031422-processed-gene-0.88&CDS=1-1191, snap_masked-scf7180000028833-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000028833-processed-gene-0.0&CDS=1-564, snap_masked-scf7180000031272-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000031272-processed-gene-0.11&CDS=1-450
38	OG0000038	YHR105W, YOR357C	genemark-scf7180000029633-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000029633-processed-gene-0.0&CDS=1-201, snap_masked-scf7180000030454-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000030454-processed-gene-0.45&CDS=1-441, snap_masked-scf7180000031050-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000031050-processed-gene-0.10&CDS=1-453
39	OG0000039	YIL112W	augustus_masked-scf7180000029521-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029521-processed-gene-0.2&CDS=1-1194, snap_masked-scf7180000028980-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000028980-processed-gene-0.2&CDS=1-2415, snap_masked-scf7180000029502-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000029502-processed-gene-0.0&CDS=1-783, snap_masked-scf7180000030536-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000030536-processed-gene-0.1&CDS=1-2400
40	OG0000040	YIR033W, YKL020C	genemark-scf7180000030539-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000030539-processed-gene-0.12&CDS=1-3105, snap_masked-scf7180000029580-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000029580-processed-gene-0.2&CDS=1-1503, snap_masked-scf7180000031074-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000031074-processed-gene-0.0&CDS=1-3030
41	OG0000041	YJL005W	augustus_masked-scf7180000028974-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000028974-processed-gene-0.2&CDS=1-1638, genemark-scf7180000028696-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000028696-processed-gene-0.31&CDS=1-5160, snap_masked-scf7180000029501-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000029501-processed-gene-0.0&CDS=1-894, snap_masked-scf7180000031634-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000031634-processed-gene-0.28&CDS=1-1632
42	OG0000042	YJL079C	augustus_masked-scf7180000029081-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029081-processed-gene-0.0&CDS=1-630, augustus_masked-scf7180000030773-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030773-processed-gene-0.2&CDS=1-630, maker-scf7180000031445-snap-gene-0.10-mRNA-1_1&gene=maker-scf7180000031445-snap-gene-0.10&CDS=1-1470, snap_masked-scf7180000029679-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000029679-processed-gene-0.1&CDS=1-630
43	OG0000043	YJL105W, YKR029C	augustus_masked-scf7180000028819-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000028819-processed-gene-0.0&CDS=1-1725, snap_masked-scf7180000030820-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030820-processed-gene-0.2&CDS=1-885, snap_masked-scf7180000031249-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000031249-processed-gene-0.31&CDS=1-885
44	OG0000044	YJR115W	augustus_masked-scf7180000031505-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000031505-processed-gene-0.4&CDS=1-543, snap_masked-scf7180000029408-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000029408-processed-gene-0.3&CDS=1-585, snap_masked-scf7180000031241-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000031241-processed-gene-0.1&CDS=1-540, snap_masked-scf7180000031609-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000031609-processed-gene-0.9&CDS=1-540
45	OG0000045	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-scf7180000031677-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scf7180000031677-processed-gene-0.50&CDS=1-1917
46	OG0000046	YKR048C	augustus_masked-scf7180000028999-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000028999-processed-gene-0.1&CDS=1-1263, augustus_masked-scf7180000030478-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000030478-processed-gene-0.9&CDS=1-465, augustus_masked-scf7180000031524-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000031524-processed-gene-0.4&CDS=1-1275, snap_masked-scf7180000031656-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000031656-processed-gene-0.45&CDS=1-267
47	OG0000047	YLL057C	augustus_masked-scf7180000029024-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029024-processed-gene-0.2&CDS=1-792, augustus_masked-scf7180000031357-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000031357-processed-gene-0.7&CDS=1-1113, augustus_masked-scf7180000031651-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000031651-processed-gene-0.2&CDS=1-1053, maker-scf7180000031274-snap-gene-0.4-mRNA-1_1&gene=maker-scf7180000031274-snap-gene-0.4&CDS=1-1035
48	OG0000048	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-scf7180000031358-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000031358-snap-gene-0.1&CDS=1-234
49	OG0000049	YLR300W, YOR190W	augustus_masked-scf7180000028614-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000028614-processed-gene-0.45&CDS=1-1209, augustus_masked-scf7180000028615-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-scf7180000028615-processed-gene-0.132&CDS=1-768, augustus_masked-scf7180000029475-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029475-processed-gene-0.2&CDS=1-1209
