	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034629_Pichia_exigua
29	OG0000029	YCR105W, YMR318C	augustus_masked-flattened_line_140-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.1&CDS=1-1125, augustus_masked-flattened_line_32-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.90&CDS=1-1128, snap_masked-flattened_line_32-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.101&CDS=1-1074
30	OG0000030	YDL021W, YKL152C, YOL056W	augustus_masked-flattened_line_18-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.60&CDS=1-774, augustus_masked-flattened_line_78-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.95&CDS=1-747
31	OG0000031	YDL114W, YDR145W	augustus_masked-flattened_line_26-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.72&CDS=1-2577, augustus_masked-flattened_line_82-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.49&CDS=1-975, snap_masked-flattened_line_6-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.77&CDS=1-201
32	OG0000032	YDL159W, YOR231W, YPL140C	augustus_masked-flattened_line_52-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.121&CDS=1-1485, augustus_masked-flattened_line_54-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.186&CDS=1-1629
33	OG0000033	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_4-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.105&CDS=1-1017
34	OG0000034	YDR028C, YKR075C, YOR062C	augustus_masked-flattened_line_14-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.58&CDS=1-2049, augustus_masked-flattened_line_38-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.112&CDS=1-3183
35	OG0000035	YDR144C, YLR120C, YLR121C	genemark-flattened_line_86-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.76&CDS=1-1776, snap_masked-flattened_line_86-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.32&CDS=1-3753
36	OG0000036	YDR385W, YKL173W, YOR133W	snap_masked-flattened_line_14-processed-gene-2.67-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.67&CDS=1-2934, snap_masked-flattened_line_18-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.15&CDS=1-3366
37	OG0000037	YDR523C, YHR102W	augustus_masked-flattened_line_10-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.44&CDS=1-1530, genemark-flattened_line_2-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.83&CDS=1-2253, snap_masked-flattened_line_80-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.68&CDS=1-2907
38	OG0000038	YER133W, YML016C	augustus_masked-flattened_line_12-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.127&CDS=1-2253, augustus_masked-flattened_line_22-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.51&CDS=1-954, augustus_masked-flattened_line_68-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.34&CDS=1-1662
39	OG0000039	YFR014C, YKL171W, YOL016C	augustus_masked-flattened_line_2-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.46&CDS=1-1350, augustus_masked-flattened_line_78-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.101&CDS=1-2100
40	OG0000040	YFR031C-A, YIL018W, YLL048C	augustus_masked-flattened_line_56-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.158&CDS=1-765, maker-flattened_line_46-augustus-gene-0.64-mRNA-1_1&gene=maker-flattened_line_46-augustus-gene-0.64&CDS=1-5802
41	OG0000041	YFR038W, YOR304W	augustus_masked-flattened_line_0-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.59&CDS=1-3369, augustus_masked-flattened_line_78-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.125&CDS=1-2265, genemark-flattened_line_62-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.62&CDS=1-3093
42	OG0000042	YGL038C, YGR220C	augustus_masked-flattened_line_0-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.67&CDS=1-2589, augustus_masked-flattened_line_62-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.179&CDS=1-1254, maker-flattened_line_20-augustus-gene-1.221-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.221&CDS=1-2928
43	OG0000043	YGL092W, YKL068W, YMR047C	augustus_masked-flattened_line_54-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.164&CDS=1-3849, snap_masked-flattened_line_82-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.92&CDS=1-3204
44	OG0000044	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-flattened_line_184-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_184-processed-gene-0.3&CDS=1-3141
45	OG0000045	YIL002C, YNL106C, YOR109W	augustus_masked-flattened_line_70-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.109&CDS=1-5781, maker-flattened_line_90-snap-gene-0.69-mRNA-1_1&gene=maker-flattened_line_90-snap-gene-0.69&CDS=1-3309
46	OG0000046	YIL137C, YKL157W	augustus_masked-flattened_line_18-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.13&CDS=1-2856, augustus_masked-flattened_line_8-processed-gene-3.204-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.204&CDS=1-2745, snap_masked-flattened_line_94-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.32&CDS=1-2640
47	OG0000047	YIR013C, YLR013W, YPL021W	augustus_masked-flattened_line_20-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.126&CDS=1-1494, snap_masked-flattened_line_30-processed-gene-0.196-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.196&CDS=1-1758
48	OG0000048	YJL042W, YOR227W, YPL137C	augustus_masked-flattened_line_2-processed-gene-4.198-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.198&CDS=1-3921, augustus_masked-flattened_line_6-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.109&CDS=1-3702
49	OG0000049	YJL105W, YKL005C, YKR029C	augustus_masked-flattened_line_0-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.79&CDS=1-2370, snap_masked-flattened_line_64-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.89&CDS=1-2274
50	OG0000050	YJR061W, YKL201C	augustus_masked-flattened_line_102-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.48&CDS=1-4674, augustus_masked-flattened_line_32-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.91&CDS=1-2220, maker-flattened_line_6-augustus-gene-1.45-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-1.45&CDS=1-4992
51	OG0000051	YKL032C, YMR072W	augustus_masked-flattened_line_12-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.96&CDS=1-720, augustus_masked-flattened_line_4-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.51&CDS=1-1428, augustus_masked-flattened_line_78-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.122&CDS=1-528
52	OG0000052	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
53	OG0000053	YKR089C, YMR313C, YOR081C	augustus_masked-flattened_line_72-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.57&CDS=1-1677, snap_masked-flattened_line_100-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.48&CDS=1-2556
54	OG0000054	YML072C, YNL087W, YOR086C	augustus_masked-flattened_line_0-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.52&CDS=1-5487, augustus_masked-flattened_line_46-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.172&CDS=1-4467
55	OG0000055	YMR303C, YOL086C	augustus_masked-flattened_line_10-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.66&CDS=1-1122, augustus_masked-flattened_line_24-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.97&CDS=1-1137, augustus_masked-flattened_line_6-processed-gene-3.241-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.241&CDS=1-1050
56	OG0000056	YNL095C, YOR092W	augustus_masked-flattened_line_28-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.69&CDS=1-2130, augustus_masked-flattened_line_4-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.92&CDS=1-1575, snap_masked-flattened_line_70-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.94&CDS=1-1359
