	OrthologID	Candida_intermedia	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-10.0-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-10.0&CDS=1-2433, -processed-gene-10.12-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-10.12&CDS=1-1695, -processed-gene-11.218-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.218&CDS=1-1596, -processed-gene-4.168-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.168&CDS=1-3234	YDR034C, YLR237W, YOR071C, YOR192C
11	OG0000011	-augustus-gene-0.69-mRNA-1_1&gene=maker-gi|1002316282|dbj|BCGD01000001.1|-augustus-gene-0.69&CDS=1-1659, -augustus-gene-7.80-mRNA-1_1&gene=maker-gi|1002316277|dbj|BCGD01000006.1|-augustus-gene-7.80&CDS=1-1971, -processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-0.25&CDS=1-1035, -processed-gene-0.5-mRNA-1_1&gene=augustus_masked-gi|1002316272|dbj|BCGD01000011.1|-processed-gene-0.5&CDS=1-894, -processed-gene-11.63-mRNA-1_1&gene=augustus_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.63&CDS=1-14124, -snap-gene-0.70-mRNA-1_1&gene=maker-gi|1002316280|dbj|BCGD01000003.1|-snap-gene-0.70&CDS=1-4554, -snap-gene-0.71-mRNA-1_1&gene=maker-gi|1002316280|dbj|BCGD01000003.1|-snap-gene-0.71&CDS=1-1653	
12	OG0000012	-processed-gene-0.122-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.122&CDS=1-2100, -processed-gene-0.4-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-0.4&CDS=1-2103, -processed-gene-10.94-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-10.94&CDS=1-2106, -processed-gene-11.24-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-11.24&CDS=1-1941, -processed-gene-17.125-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-17.125&CDS=1-2190, -processed-gene-17.6-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-17.6&CDS=1-1968, -snap-gene-1.51-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-snap-gene-1.51&CDS=1-4143	
13	OG0000013	-processed-gene-17.58-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-17.58&CDS=1-1701, -snap-gene-1.52-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-snap-gene-1.52&CDS=1-3291, -snap-gene-1.53-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-snap-gene-1.53&CDS=1-1980	YCL069W, YGR224W, YKR105C, YPR198W
14	OG0000014	-processed-gene-0.35-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-0.35&CDS=1-1539, -processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-0.6&CDS=1-1461, -processed-gene-11.25-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.25&CDS=1-1533, -processed-gene-13.120-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-13.120&CDS=1-1497, -processed-gene-15.16-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-15.16&CDS=1-1446, -processed-gene-6.99-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-6.99&CDS=1-1524	YGR260W
15	OG0000015	-augustus-gene-20.4-mRNA-1_1&gene=maker-gi|1002316282|dbj|BCGD01000001.1|-augustus-gene-20.4&CDS=1-5358, -processed-gene-11.108-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-11.108&CDS=1-1962, -processed-gene-11.18-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-11.18&CDS=1-1905	YLR129W, YMR006C, YMR008C, YOL011W
16	OG0000016	-processed-gene-0.84-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.84&CDS=1-1632, -processed-gene-14.17-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-14.17&CDS=1-1713, -processed-gene-19.38-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-19.38&CDS=1-1629, -processed-gene-2.12-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.12&CDS=1-1671, -processed-gene-4.69-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-4.69&CDS=1-1635	YDR242W
17	OG0000017	-processed-gene-2.133-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.133&CDS=1-1383	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
18	OG0000018	-processed-gene-15.7-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-15.7&CDS=1-1431, -processed-gene-16.24-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-16.24&CDS=1-1815, -processed-gene-3.75-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.75&CDS=1-1716, -processed-gene-4.52-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.52&CDS=1-1734	YDR338C, YHR032W
19	OG0000019	-processed-gene-11.217-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.217&CDS=1-2043, -processed-gene-15.109-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-15.109&CDS=1-2076, -processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.33&CDS=1-2190, -processed-gene-20.186-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-20.186&CDS=1-1863	YLR098C, YOR337W
20	OG0000020	-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-6.86&CDS=1-2028, -processed-gene-8.123-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.123&CDS=1-1332, -processed-gene-8.22-mRNA-1_1&gene=augustus_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-8.22&CDS=1-3021, -processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.39&CDS=1-1164	YBR004C, YMR171C
21	OG0000021	-processed-gene-11.211-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-11.211&CDS=1-1770, -processed-gene-14.79-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-14.79&CDS=1-2769, -processed-gene-14.95-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-14.95&CDS=1-1986, -processed-gene-22.202-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-22.202&CDS=1-1719, -processed-gene-7.69-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-7.69&CDS=1-1620	YBR015C
22	OG0000022	-processed-gene-2.65-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-2.65&CDS=1-1638, -processed-gene-8.116-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-8.116&CDS=1-1641	YDR342C, YDR343C, YDR345C, YHR092C
23	OG0000023	-processed-gene-15.18-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-15.18&CDS=1-1716, -processed-gene-18.163-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-18.163&CDS=1-1722, -processed-gene-18.26-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-18.26&CDS=1-1683, -processed-gene-9.58-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-9.58&CDS=1-1800	YJL172W, YOL153C
24	OG0000024	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-0.16&CDS=1-1764, -processed-gene-1.8-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-1.8&CDS=1-1665, -processed-gene-11.126-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.126&CDS=1-1779, -processed-gene-17.60-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-17.60&CDS=1-1743, -processed-gene-20.47-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-20.47&CDS=1-1665	YBR132C
25	OG0000025	-processed-gene-1.21-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-1.21&CDS=1-1686, -processed-gene-9.61-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-9.61&CDS=1-1365, -processed-gene-9.96-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.96&CDS=1-2316	YGR249W, YHR206W, YOR140W
26	OG0000026	-processed-gene-0.5-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-0.5&CDS=1-1020, -processed-gene-11.18-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.18&CDS=1-1092, -processed-gene-12.12-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-12.12&CDS=1-1032, -processed-gene-12.51-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-12.51&CDS=1-1020	YNL274C, YPL113C
27	OG0000027	-processed-gene-0.108-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.108&CDS=1-1161, -processed-gene-17.126-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-17.126&CDS=1-1176, -processed-gene-18.27-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-18.27&CDS=1-1149, -processed-gene-7.19-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-7.19&CDS=1-1185	YBR207W, YER145C
28	OG0000028	-processed-gene-18.41-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-18.41&CDS=1-2271, -processed-gene-2.121-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-2.121&CDS=1-3210, -processed-gene-4.99-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-4.99&CDS=1-2655	YGL120C, YKR086W, YNR011C
29	OG0000029	-processed-gene-15.42-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-15.42&CDS=1-1035, -processed-gene-6.119-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-6.119&CDS=1-480	YBR189W, YBR191W, YPL079W, YPL081W
30	OG0000030	-processed-gene-0.110-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.110&CDS=1-750, -processed-gene-0.4-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-0.4&CDS=1-777, -processed-gene-14.103-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-14.103&CDS=1-753, -snap-gene-0.53-mRNA-1_1&gene=maker-gi|1002316274|dbj|BCGD01000009.1|-snap-gene-0.53&CDS=1-2154	YKL071W
31	OG0000031	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.27&CDS=1-435	YBR067C, YER011W, YIL011W, YOR010C
32	OG0000032	-augustus-gene-4.205-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-augustus-gene-4.205&CDS=1-4479, -processed-gene-14.53-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-14.53&CDS=1-2928, -processed-gene-2.43-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.43&CDS=1-2901	YBR038W, YNL192W
33	OG0000033	-processed-gene-1.101-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.101&CDS=1-1572, -processed-gene-5.119-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-5.119&CDS=1-1515, -processed-gene-5.97-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-5.97&CDS=1-1746	YGR197C, YJR015W
34	OG0000034	-processed-gene-14.24-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-14.24&CDS=1-1281, -processed-gene-3.98-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.98&CDS=1-1206	YCR094W, YNL323W, YNR048W
35	OG0000035	-processed-gene-3.113-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-3.113&CDS=1-4665, -processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.82&CDS=1-4515, -processed-gene-7.67-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.67&CDS=1-4776	YDR135C, YLL015W
36	OG0000036	-processed-gene-11.100-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-11.100&CDS=1-1242, -processed-gene-16.3-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-16.3&CDS=1-1116, -processed-gene-4.83-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.83&CDS=1-1239, -processed-gene-8.10-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-8.10&CDS=1-1179	YGR263C
37	OG0000037	-processed-gene-22.166-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-22.166&CDS=1-1530, -processed-gene-6.120-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.120&CDS=1-1545	YER056C, YER060W, YER060W-A
38	OG0000038	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-0.15&CDS=1-1779, -processed-gene-0.49-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-0.49&CDS=1-1980, -processed-gene-11.174-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-11.174&CDS=1-1080, -processed-gene-11.96-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.96&CDS=1-2421, -processed-gene-22.171-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-22.171&CDS=1-1737	
39	OG0000039	-processed-gene-11.41-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.41&CDS=1-990, -processed-gene-3.73-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-3.73&CDS=1-999	YGR192C, YJL052W, YJR009C
40	OG0000040	-processed-gene-1.141-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-1.141&CDS=1-2475, -processed-gene-11.88-mRNA-1_1&gene=snap_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.88&CDS=1-2634	YDR326C, YFL042C, YHR080C
41	OG0000041	-processed-gene-0.24-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-0.24&CDS=1-378, -processed-gene-11.64-mRNA-1_1&gene=augustus_masked-gi|1002316277|dbj|BCGD01000006.1|-processed-gene-11.64&CDS=1-1449, -processed-gene-3.98-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-3.98&CDS=1-1452	YDL037C, YIR019C
42	OG0000042	-processed-gene-0.23-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-0.23&CDS=1-1020	YDL244W, YFL058W, YJR156C, YNL332W
43	OG0000043	-processed-gene-12.15-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-12.15&CDS=1-1572, -processed-gene-19.146-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-19.146&CDS=1-1947, -processed-gene-2.72-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-2.72&CDS=1-1503, -processed-gene-2.91-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.91&CDS=1-2661	YDL170W
44	OG0000044	-processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-4.7&CDS=1-4653	YBL017C, YIL173W, YJL222W, YNR065C
45	OG0000045	-processed-gene-11.105-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.105&CDS=1-4338, -processed-gene-5.118-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-5.118&CDS=1-2928	YBL060W, YEL022W, YJR031C
