	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034939_Komagataella_pseudopastoris
18	OG0000018	Q0105, Q0110, Q0115, Q0120	maker-NODE_30_length_5343_cov_1053.95_ID_59-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_30_length_5343_cov_1053.95_ID_59-snap-gene-0.1&CDS=1-1308, maker-NODE_30_length_5343_cov_1053.95_ID_59-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_30_length_5343_cov_1053.95_ID_59-snap-gene-0.2&CDS=1-345, maker-NODE_52_length_1465_cov_1047.87_ID_103-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_52_length_1465_cov_1047.87_ID_103-snap-gene-0.0&CDS=1-624
19	OG0000019	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
20	OG0000020	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_12_length_307513_cov_36.2426_ID_23-processed-gene-1.130-mRNA-1_1&gene=snap_masked-NODE_12_length_307513_cov_36.2426_ID_23-processed-gene-1.130&CDS=1-1404
21	OG0000021	YBR021W, YGR144W, YIR028W	augustus_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-1.49&CDS=1-3651, snap_masked-NODE_24_length_35991_cov_83.3082_ID_47-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_24_length_35991_cov_83.3082_ID_47-processed-gene-0.23&CDS=1-1803, snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-1.120&CDS=1-2658
22	OG0000022	YBR195C, YEL056W, YGL004C	augustus_masked-NODE_16_length_203096_cov_33.4034_ID_31-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NODE_16_length_203096_cov_33.4034_ID_31-processed-gene-1.94&CDS=1-1227, augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-1.109&CDS=1-1146, snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.50-mRNA-1_1&gene=snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.50&CDS=1-1182
23	OG0000023	YDL037C, YIR019C	augustus_masked-NODE_22_length_97672_cov_33.0443_ID_43-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_22_length_97672_cov_33.0443_ID_43-processed-gene-0.54&CDS=1-1635, augustus_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-4.148&CDS=1-1581, augustus_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-4.149-mRNA-1_1&gene=augustus_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-4.149&CDS=1-1458, augustus_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-1.127&CDS=1-1638
24	OG0000024	YDR069C, YER144C, YIL156W, YKR098C	augustus_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-0.74&CDS=1-2835, snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-4.120-mRNA-1_1&gene=snap_masked-NODE_5_length_612577_cov_31.9479_ID_9-processed-gene-4.120&CDS=1-2121
25	OG0000025	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-1.77&CDS=1-1860, snap_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-4.267-mRNA-1_1&gene=snap_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-4.267&CDS=1-1512
26	OG0000026	YGR249W, YHR206W, YOR140W	snap_masked-NODE_2_length_799181_cov_33.4065_ID_3-processed-gene-3.120-mRNA-1_1&gene=snap_masked-NODE_2_length_799181_cov_33.4065_ID_3-processed-gene-3.120&CDS=1-1539, snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-1.51&CDS=1-1671, snap_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-1.166-mRNA-1_1&gene=snap_masked-NODE_7_length_555879_cov_32.5039_ID_13-processed-gene-1.166&CDS=1-2166
27	OG0000027	YHL019C, YOL062C, YPL259C	snap_masked-NODE_19_length_154961_cov_31.7871_ID_37-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_19_length_154961_cov_31.7871_ID_37-processed-gene-0.82&CDS=1-1272, snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-9.108-mRNA-1_1&gene=snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-9.108&CDS=1-1695, snap_masked-NODE_20_length_144930_cov_36.6757_ID_39-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_20_length_144930_cov_36.6757_ID_39-processed-gene-0.138&CDS=1-1362
28	OG0000028	YJL082W, YKR018C, YLR109W	maker-NODE_1_length_1101463_cov_32.2612_ID_1-augustus-gene-7.169-mRNA-1_1&gene=maker-NODE_1_length_1101463_cov_32.2612_ID_1-augustus-gene-7.169&CDS=1-2739, snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-3.151-mRNA-1_1&gene=snap_masked-NODE_10_length_408594_cov_38.2114_ID_19-processed-gene-3.151&CDS=1-492, snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-2.73&CDS=1-510
29	OG0000029	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-0.35&CDS=1-2115, maker-NODE_12_length_307513_cov_36.2426_ID_23-snap-gene-0.137-mRNA-1_1&gene=maker-NODE_12_length_307513_cov_36.2426_ID_23-snap-gene-0.137&CDS=1-2445
30	OG0000030	YKL222C, YLR266C, YOR162C, YOR172W	genemark-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.248-mRNA-1_1&gene=genemark-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.248&CDS=1-2631, maker-NODE_2_length_799181_cov_33.4065_ID_3-snap-gene-3.8-mRNA-1_1&gene=maker-NODE_2_length_799181_cov_33.4065_ID_3-snap-gene-3.8&CDS=1-2733
31	OG0000031	YML111W, YMR275C, YNR069C	snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.135-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.135&CDS=1-2400, snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.136-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.136&CDS=1-2211, snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.137-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-5.137&CDS=1-2286
32	OG0000032	YAL023C, YGR199W, YOR321W	augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.149-mRNA-1_1&gene=augustus_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-4.149&CDS=1-4101, snap_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-3.219-mRNA-1_1&gene=snap_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-3.219&CDS=1-2256
33	OG0000033	YBL089W, YER119C, YIL088C	augustus_masked-NODE_19_length_154961_cov_31.7871_ID_37-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_19_length_154961_cov_31.7871_ID_37-processed-gene-0.113&CDS=1-1770, snap_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_9_length_485800_cov_32.7032_ID_17-processed-gene-0.108&CDS=1-1320
34	OG0000034	YBR089C-A, YDL002C, YPR052C	snap_masked-NODE_13_length_247998_cov_32.6609_ID_25-processed-gene-1.121-mRNA-1_1&gene=snap_masked-NODE_13_length_247998_cov_32.6609_ID_25-processed-gene-1.121&CDS=1-1086, snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-0.45&CDS=1-282
35	OG0000035	YBR177C, YMR210W, YPL095C	snap_masked-NODE_13_length_247998_cov_32.6609_ID_25-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_13_length_247998_cov_32.6609_ID_25-processed-gene-1.153&CDS=1-1353, snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-2.80&CDS=1-1335
36	OG0000036	YBR207W, YER145C	snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-10.11-mRNA-1_1&gene=snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-10.11&CDS=1-1095, snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NODE_4_length_670543_cov_35.4121_ID_7-processed-gene-1.37&CDS=1-1134, snap_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NODE_8_length_499880_cov_32.4034_ID_15-processed-gene-2.56&CDS=1-1191
37	OG0000037	YBR294W, YLR092W, YML072C	maker-NODE_3_length_777129_cov_32.6323_ID_5-augustus-gene-6.22-mRNA-1_1&gene=maker-NODE_3_length_777129_cov_32.6323_ID_5-augustus-gene-6.22&CDS=1-7467, snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NODE_6_length_584922_cov_32.2926_ID_11-processed-gene-1.90&CDS=1-4155
38	OG0000038	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_15_length_232599_cov_41.4502_ID_29-processed-gene-0.105&CDS=1-1644
39	OG0000039	YCR065W, YIL131C, YNL068C	augustus_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.180-mRNA-1_1&gene=augustus_masked-NODE_3_length_777129_cov_32.6323_ID_5-processed-gene-6.180&CDS=1-2718, snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-5.148-mRNA-1_1&gene=snap_masked-NODE_1_length_1101463_cov_32.2612_ID_1-processed-gene-5.148&CDS=1-1374
40	OG0000040	YCR102C, YLR460C, YNL134C	maker-NODE_10_length_408594_cov_38.2114_ID_19-snap-gene-1.122-mRNA-1_1&gene=maker-NODE_10_length_408594_cov_38.2114_ID_19-snap-gene-1.122&CDS=1-2028, snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-2.171-mRNA-1_1&gene=snap_masked-NODE_11_length_354078_cov_37.7079_ID_21-processed-gene-2.171&CDS=1-1047
