	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034999_Cephaloascus_fragrans
10	OG0000010	YLR256W	augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.21&CDS=1-2799, augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.27&CDS=1-3039, augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_14_length_293170_cov_12.5859_ID_27-processed-gene-1.61&CDS=1-3159, augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-1.23&CDS=1-2535, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-2.96&CDS=1-2556, maker-NODE_14_length_293170_cov_12.5859_ID_27-snap-gene-1.110-mRNA-1_1&gene=maker-NODE_14_length_293170_cov_12.5859_ID_27-snap-gene-1.110&CDS=1-318, maker-NODE_14_length_293170_cov_12.5859_ID_27-snap-gene-1.111-mRNA-1_1&gene=maker-NODE_14_length_293170_cov_12.5859_ID_27-snap-gene-1.111&CDS=1-4572
11	OG0000011	YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-16.14-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-16.14&CDS=1-1899, augustus_masked-NODE_29_length_94111_cov_12.1954_ID_57-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_29_length_94111_cov_12.1954_ID_57-processed-gene-0.14&CDS=1-1764, augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-1.106&CDS=1-1845, maker-NODE_12_length_309467_cov_12.1754_ID_23-augustus-gene-2.63-mRNA-1_1&gene=maker-NODE_12_length_309467_cov_12.1754_ID_23-augustus-gene-2.63&CDS=1-3078
12	OG0000012	YCR105W, YMR318C	augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-2.96&CDS=1-1068, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.34&CDS=1-1101, augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-8.82&CDS=1-1092, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-0.88&CDS=1-1074, augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-0.26&CDS=1-1071
13	OG0000013	YDR380W, YLR044C	augustus_masked-NODE_15_length_272457_cov_11.9734_ID_29-processed-gene-1.299-mRNA-1_1&gene=augustus_masked-NODE_15_length_272457_cov_11.9734_ID_29-processed-gene-1.299&CDS=1-1788, augustus_masked-NODE_29_length_94111_cov_12.1954_ID_57-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_29_length_94111_cov_12.1954_ID_57-processed-gene-0.16&CDS=1-1683, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.73&CDS=1-1800, augustus_masked-NODE_36_length_25991_cov_11.3642_ID_71-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_36_length_25991_cov_11.3642_ID_71-processed-gene-0.26&CDS=1-1695, augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-2.239-mRNA-1_1&gene=augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-2.239&CDS=1-1707
14	OG0000014	YJL212C, YPR194C	augustus_masked-NODE_20_length_180764_cov_12.2714_ID_39-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-NODE_20_length_180764_cov_12.2714_ID_39-processed-gene-0.217&CDS=1-2685, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-1.21&CDS=1-2832, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-1.6&CDS=1-2721, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-11.8&CDS=1-2394, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.60-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.60&CDS=1-2727
15	OG0000015	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_10_length_360733_cov_12.93_ID_19-snap-gene-1.90-mRNA-1_1&gene=maker-NODE_10_length_360733_cov_12.93_ID_19-snap-gene-1.90&CDS=1-1680
16	OG0000016	YBR139W, YMR297W	augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-5.6&CDS=1-1692, augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-2.253-mRNA-1_1&gene=augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-2.253&CDS=1-1677, augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-2.258-mRNA-1_1&gene=augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-2.258&CDS=1-1656, maker-NODE_12_length_309467_cov_12.1754_ID_23-augustus-gene-0.46-mRNA-1_1&gene=maker-NODE_12_length_309467_cov_12.1754_ID_23-augustus-gene-0.46&CDS=1-1605
17	OG0000017	YBR237W, YDR243C, YNL112W	augustus_masked-NODE_18_length_201193_cov_12.2024_ID_35-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_18_length_201193_cov_12.2024_ID_35-processed-gene-1.48&CDS=1-1713, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-5.24&CDS=1-2718, maker-NODE_4_length_1243373_cov_12.0868_ID_7-augustus-gene-11.62-mRNA-1_1&gene=maker-NODE_4_length_1243373_cov_12.0868_ID_7-augustus-gene-11.62&CDS=1-1668
18	OG0000018	YDL222C, YML052W, YNL194C	augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-14.10-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-14.10&CDS=1-906, augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-4.17&CDS=1-801, augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-7.63&CDS=1-687
19	OG0000019	YDR338C, YHR032W	augustus_masked-NODE_27_length_134901_cov_12.4581_ID_53-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-NODE_27_length_134901_cov_12.4581_ID_53-processed-gene-0.174&CDS=1-1746, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-3.125&CDS=1-1755, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-6.24&CDS=1-1473, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-6.26&CDS=1-1686
20	OG0000020	YER015W	augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-13.109-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-13.109&CDS=1-2133, augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-9.43-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-9.43&CDS=1-2172, augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NODE_3_length_1365740_cov_12.258_ID_5-processed-gene-2.118&CDS=1-2136, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-4.26&CDS=1-2094, augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_9_length_391580_cov_11.7675_ID_17-processed-gene-0.20&CDS=1-2133
21	OG0000021	YFR040W, YGL229C, YJL098W, YKR028W	augustus_masked-NODE_22_length_160789_cov_12.2417_ID_43-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_22_length_160789_cov_12.2417_ID_43-processed-gene-0.11&CDS=1-3126, augustus_masked-NODE_32_length_58435_cov_13.1255_ID_63-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_32_length_58435_cov_13.1255_ID_63-processed-gene-0.11&CDS=1-2904
22	OG0000022	YGR189C, YLR014C	augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-0.41&CDS=1-1416, augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-2.165&CDS=1-4335, augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-2.192-mRNA-1_1&gene=augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-2.192&CDS=1-1446, augustus_masked-NODE_7_length_529925_cov_12.1952_ID_13-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_7_length_529925_cov_12.1952_ID_13-processed-gene-2.139&CDS=1-1254
23	OG0000023	YGR197C, YJR015W	augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-6.24&CDS=1-1701, augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-NODE_5_length_1066020_cov_12.392_ID_9-processed-gene-6.38&CDS=1-1386, augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-0.1&CDS=1-1602, augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_814577_cov_12.2606_ID_11-processed-gene-2.13&CDS=1-1581
24	OG0000024	YHR050W, YLR034C, YOL122C	augustus_masked-NODE_27_length_134901_cov_12.4581_ID_53-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-NODE_27_length_134901_cov_12.4581_ID_53-processed-gene-0.172&CDS=1-1470, augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-NODE_4_length_1243373_cov_12.0868_ID_7-processed-gene-5.119&CDS=1-1806, augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-3.49&CDS=1-1743
25	OG0000025	YJR061W, YKL201C	augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-7.129&CDS=1-1962, augustus_masked-NODE_21_length_165098_cov_12.4271_ID_41-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_21_length_165098_cov_12.4271_ID_41-processed-gene-0.16&CDS=1-2361, maker-NODE_21_length_165098_cov_12.4271_ID_41-snap-gene-0.189-mRNA-1_1&gene=maker-NODE_21_length_165098_cov_12.4271_ID_41-snap-gene-0.189&CDS=1-5322, snap_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NODE_8_length_448648_cov_12.3749_ID_15-processed-gene-2.90&CDS=1-2337
26	OG0000026	YLL005C, YMR266W, YOL084W	augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_11_length_325871_cov_12.6428_ID_21-processed-gene-1.13&CDS=1-2544, augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-NODE_1_length_1709425_cov_12.0966_ID_1-processed-gene-10.11&CDS=1-2712, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-3.19&CDS=1-2691
27	OG0000027	YMR316W, YNL165W, YOR385W	augustus_masked-NODE_10_length_360733_cov_12.93_ID_19-processed-gene-2.199-mRNA-1_1&gene=augustus_masked-NODE_10_length_360733_cov_12.93_ID_19-processed-gene-2.199&CDS=1-990, augustus_masked-NODE_18_length_201193_cov_12.2024_ID_35-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_18_length_201193_cov_12.2024_ID_35-processed-gene-1.34&CDS=1-1425, augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.7-mRNA-1_1&gene=augustus_masked-NODE_2_length_1483094_cov_12.2697_ID_3-processed-gene-13.7&CDS=1-2793
