	OrthologID	Nakaseomyces_castellii	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-CACA0S27-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-CACA0S27-processed-gene-1.55&CDS=1-2514, genemark-CACA0S15-processed-gene-1.57-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-1.57&CDS=1-2022, genemark-CACA0S15-processed-gene-7.145-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-7.145&CDS=1-2169, snap_masked-CACA0S06-processed-gene-0.3-mRNA-1_1&gene=snap_masked-CACA0S06-processed-gene-0.3&CDS=1-891	YHL007C, YNL298W
11	OG0000011	augustus_masked-CACA0S27-processed-gene-9.34-mRNA-1_1&gene=augustus_masked-CACA0S27-processed-gene-9.34&CDS=1-1461, genemark-CACA0S12-processed-gene-8.133-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-8.133&CDS=1-933, genemark-CACA0S17-processed-gene-0.47-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-0.47&CDS=1-1845	YER133W, YML016C, YPL179W
12	OG0000012	augustus_masked-CACA0S15-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-CACA0S15-processed-gene-0.88&CDS=1-5010, genemark-CACA0S27-processed-gene-4.82-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-4.82&CDS=1-2103, genemark-CACA0S36-processed-gene-8.83-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-8.83&CDS=1-2733	YJR059W, YJR061W, YKL201C
13	OG0000013	genemark-CACA0S15-processed-gene-1.79-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-1.79&CDS=1-1644, genemark-CACA0S17-processed-gene-2.10-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-2.10&CDS=1-1410, genemark-CACA0S27-processed-gene-3.74-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-3.74&CDS=1-1437	YHR050W, YLR034C, YOL122C
14	OG0000014	genemark-CACA0S15-processed-gene-4.10-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-4.10&CDS=1-1215, genemark-CACA0S21-processed-gene-5.49-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-5.49&CDS=1-1401, genemark-CACA0S33-processed-gene-2.77-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-2.77&CDS=1-1074	YJL116C, YKR042W, YNL066W
15	OG0000015	genemark-CACA0S17-processed-gene-5.76-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-5.76&CDS=1-1056, genemark-CACA0S33-processed-gene-10.146-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.146&CDS=1-1032, maker-CACA0S17-snap-gene-5.7-mRNA-1_1&gene=maker-CACA0S17-snap-gene-5.7&CDS=1-2190	YGL039W, YGL157W, YOL151W
16	OG0000016	genemark-CACA0S21-processed-gene-11.21-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-11.21&CDS=1-1425	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
17	OG0000017		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
18	OG0000018	genemark-CACA0S05-processed-gene-7.128-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.128&CDS=1-5637, genemark-CACA0S36-processed-gene-0.58-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-0.58&CDS=1-5421, snap_masked-CACA0S27-processed-gene-11.10-mRNA-1_1&gene=snap_masked-CACA0S27-processed-gene-11.10&CDS=1-5661	YLR342W, YMR306W
19	OG0000019	augustus_masked-CACA0S05-processed-gene-10.43-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-10.43&CDS=1-915, augustus_masked-CACA0S36-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-6.79&CDS=1-1155	YHR021C, YHR022C, YKL156W
20	OG0000020	snap_masked-CACA0S11-processed-gene-0.5-mRNA-1_1&gene=snap_masked-CACA0S11-processed-gene-0.5&CDS=1-201	Q0105, Q0110, Q0115, Q0120
21	OG0000021	maker-CACA0S11-snap-gene-0.0-mRNA-1_1&gene=maker-CACA0S11-snap-gene-0.0&CDS=1-303, maker-CACA0S11-snap-gene-0.2-mRNA-1_1&gene=maker-CACA0S11-snap-gene-0.2&CDS=1-459	Q0045, Q0065, Q0070
22	OG0000022	augustus_masked-CACA0S12-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-2.93&CDS=1-3768, genemark-CACA0S27-processed-gene-9.68-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-9.68&CDS=1-1740	YOR231W, YPL140C, YPL141C
23	OG0000023	genemark-CACA0S12-processed-gene-2.47-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-2.47&CDS=1-1323, snap_masked-CACA0S27-processed-gene-9.113-mRNA-1_1&gene=snap_masked-CACA0S27-processed-gene-9.113&CDS=1-1446	YOR229W, YOR230W, YPL139C
24	OG0000024	augustus_masked-CACA0S33-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-2.46&CDS=1-1518, genemark-CACA0S33-processed-gene-3.3-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-3.3&CDS=1-2466, snap_masked-CACA0S12-processed-gene-11.15-mRNA-1_1&gene=snap_masked-CACA0S12-processed-gene-11.15&CDS=1-3888	YBR080C, YBR083W
25	OG0000025	augustus_masked-CACA0S15-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-CACA0S15-processed-gene-5.43&CDS=1-4581, augustus_masked-CACA0S36-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-6.64&CDS=1-5514, genemark-CACA0S15-processed-gene-2.116-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-2.116&CDS=1-4698	YHR023W, YOR326W
26	OG0000026	genemark-CACA0S15-processed-gene-6.55-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-6.55&CDS=1-2271, genemark-CACA0S27-processed-gene-6.49-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-6.49&CDS=1-2232, genemark-CACA0S27-processed-gene-9.76-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-9.76&CDS=1-2283	YAL023C, YGR199W
27	OG0000027	genemark-CACA0S17-processed-gene-7.97-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-7.97&CDS=1-957, maker-CACA0S17-augustus-gene-0.119-mRNA-1_1&gene=maker-CACA0S17-augustus-gene-0.119&CDS=1-1890	YBL068W, YER099C, YHL011C
28	OG0000028	genemark-CACA0S21-processed-gene-6.22-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-6.22&CDS=1-2634, maker-CACA0S17-augustus-gene-5.0-mRNA-1_1&gene=maker-CACA0S17-augustus-gene-5.0&CDS=1-5202	YLR187W, YNL278W, YNL279W
29	OG0000029	augustus_masked-CACA0S21-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-CACA0S21-processed-gene-7.108&CDS=1-813, genemark-CACA0S33-processed-gene-2.64-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-2.64&CDS=1-594, genemark-CACA0S33-processed-gene-3.41-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-3.41&CDS=1-903	YCR004C, YDR032C
30	OG0000030	genemark-CACA0S21-processed-gene-11.46-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-11.46&CDS=1-711	YDR533C, YMR322C, YOR391C, YPL280W
31	OG0000031	genemark-CACA0S27-processed-gene-7.88-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-7.88&CDS=1-4608	YBL017C, YIL173W, YJL222W, YNR065C
32	OG0000032	augustus_masked-CACA0S33-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-3.88&CDS=1-1380, augustus_masked-CACA0S33-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-4.78&CDS=1-1578, genemark-CACA0S36-processed-gene-8.104-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-8.104&CDS=1-1527	YER123W, YHR135C
33	OG0000033	augustus_masked-CACA0S01-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-CACA0S01-processed-gene-0.1&CDS=1-1677, snap_masked-CACA0S21-processed-gene-7.10-mRNA-1_1&gene=snap_masked-CACA0S21-processed-gene-7.10&CDS=1-3885	YCL068C, YCR038C
34	OG0000034	genemark-CACA0S05-processed-gene-0.12-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.12&CDS=1-1692, genemark-CACA0S17-processed-gene-1.54-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-1.54&CDS=1-1935	YDL080C, YLR044C
35	OG0000035	genemark-CACA0S05-processed-gene-0.21-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.21&CDS=1-1638, genemark-CACA0S33-processed-gene-4.1-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-4.1&CDS=1-1863	YGR197C, YJR015W
36	OG0000036	genemark-CACA0S05-processed-gene-2.34-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.34&CDS=1-1230, genemark-CACA0S36-processed-gene-8.68-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-8.68&CDS=1-1251	YDR247W, YPL026C
37	OG0000037	genemark-CACA0S05-processed-gene-2.43-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.43&CDS=1-1182, genemark-CACA0S21-processed-gene-8.82-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-8.82&CDS=1-1257	YDR218C, YJR076C
38	OG0000038	augustus_masked-CACA0S05-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.54&CDS=1-933, augustus_masked-CACA0S21-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-CACA0S21-processed-gene-8.129&CDS=1-1506	YLR273C, YOR178C
39	OG0000039	augustus_masked-CACA0S05-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.85&CDS=1-2247, genemark-CACA0S36-processed-gene-7.85-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-7.85&CDS=1-2667	YOR162C, YOR172W
40	OG0000040	genemark-CACA0S05-processed-gene-5.66-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-5.66&CDS=1-1083, snap_masked-CACA0S36-processed-gene-9.140-mRNA-1_1&gene=snap_masked-CACA0S36-processed-gene-9.140&CDS=1-489	YDR451C, YML027W
41	OG0000041	augustus_masked-CACA0S05-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-6.70&CDS=1-6684, augustus_masked-CACA0S21-processed-gene-11.92-mRNA-1_1&gene=augustus_masked-CACA0S21-processed-gene-11.92&CDS=1-3357	YJL130C, YJR109C
42	OG0000042	genemark-CACA0S05-processed-gene-7.133-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.133&CDS=1-1284, genemark-CACA0S36-processed-gene-1.19-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-1.19&CDS=1-1281	YDR200C, YLR238W
43	OG0000043	genemark-CACA0S05-processed-gene-7.137-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-7.137&CDS=1-1407, genemark-CACA0S21-processed-gene-10.6-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-10.6&CDS=1-1479	YBR263W, YLR058C
44	OG0000044	augustus_masked-CACA0S05-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-7.92&CDS=1-3279	YDR038C, YDR039C, YDR040C
45	OG0000045	genemark-CACA0S05-processed-gene-8.71-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.71&CDS=1-2034, genemark-CACA0S12-processed-gene-2.38-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-2.38&CDS=1-1419	YBL052C, YOR244W
46	OG0000046	genemark-CACA0S05-processed-gene-8.77-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-8.77&CDS=1-2112, genemark-CACA0S17-processed-gene-7.72-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-7.72&CDS=1-2319	YBL067C, YER098W
47	OG0000047	genemark-CACA0S05-processed-gene-9.69-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-9.69&CDS=1-2667, genemark-CACA0S17-processed-gene-7.102-mRNA-1_1&gene=genemark-CACA0S17-processed-gene-7.102&CDS=1-2910	YBL085W, YER114C
48	OG0000048	genemark-CACA0S05-processed-gene-10.76-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-10.76&CDS=1-1413, genemark-CACA0S27-processed-gene-7.91-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-7.91&CDS=1-1143	YGR010W, YLR328W
49	OG0000049	augustus_masked-CACA0S05-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-11.112&CDS=1-1407, genemark-CACA0S05-processed-gene-10.79-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-10.79&CDS=1-1449	YGR004W, YLR324W
50	OG0000050	genemark-CACA0S05-processed-gene-10.57-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-10.57&CDS=1-2340, genemark-CACA0S05-processed-gene-13.62-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-13.62&CDS=1-3147	YGL049C, YGR162W
51	OG0000051	genemark-CACA0S05-processed-gene-10.90-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-10.90&CDS=1-1866, genemark-CACA0S15-processed-gene-4.48-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-4.48&CDS=1-2205	YKL146W, YNL101W
52	OG0000052	genemark-CACA0S05-processed-gene-10.96-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-10.96&CDS=1-885, genemark-CACA0S27-processed-gene-3.54-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-3.54&CDS=1-873	YDR287W, YHR046C
53	OG0000053	augustus_masked-CACA0S05-processed-gene-12.53-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-12.53&CDS=1-2808, genemark-CACA0S21-processed-gene-9.80-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-9.80&CDS=1-984	YGL115W, YGL116W
54	OG0000054	genemark-CACA0S05-processed-gene-12.34-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-12.34&CDS=1-2382, maker-CACA0S15-snap-gene-1.148-mRNA-1_1&gene=maker-CACA0S15-snap-gene-1.148&CDS=1-1896	YFL050C, YOL130W
55	OG0000055	genemark-CACA0S33-processed-gene-3.24-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-3.24&CDS=1-1581, maker-CACA0S05-augustus-gene-13.148-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-13.148&CDS=1-2049	YEL038W, YJR049C
56	OG0000056	genemark-CACA0S05-processed-gene-13.74-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-13.74&CDS=1-1959, genemark-CACA0S27-processed-gene-7.77-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-7.77&CDS=1-1950	YJR045C, YLR369W
57	OG0000057	genemark-CACA0S05-processed-gene-15.6-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-15.6&CDS=1-2316, genemark-CACA0S33-processed-gene-2.61-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-2.61&CDS=1-2361	YJL200C, YLR304C
58	OG0000058	augustus_masked-CACA0S05-processed-gene-16.15-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-16.15&CDS=1-2445, genemark-CACA0S33-processed-gene-5.10-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-5.10&CDS=1-2808	YMR054W, YOR270C
59	OG0000059	genemark-CACA0S15-processed-gene-5.80-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-5.80&CDS=1-1668, maker-CACA0S05-augustus-gene-16.1-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-16.1&CDS=1-2340	YIR031C, YNL117W
60	OG0000060	genemark-CACA0S05-processed-gene-16.59-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-16.59&CDS=1-1923, genemark-CACA0S27-processed-gene-2.63-mRNA-1_1&gene=genemark-CACA0S27-processed-gene-2.63&CDS=1-1872	YBR021W, YIR028W
61	OG0000061	augustus_masked-CACA0S05-processed-gene-16.38-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-16.38&CDS=1-1113, genemark-CACA0S21-processed-gene-3.96-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-3.96&CDS=1-1044	YGL134W, YPL219W
62	OG0000062	augustus_masked-CACA0S05-processed-gene-17.84-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-17.84&CDS=1-2022, augustus_masked-CACA0S12-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-9.64&CDS=1-2442	YER017C, YMR089C
63	OG0000063	genemark-CACA0S05-processed-gene-18.1-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-18.1&CDS=1-3411, genemark-CACA0S15-processed-gene-6.52-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-6.52&CDS=1-3996	YAL017W, YOL045W
64	OG0000064	augustus_masked-CACA0S05-processed-gene-18.62-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-18.62&CDS=1-1227, augustus_masked-CACA0S12-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-4.11&CDS=1-1821	YGL073W, YOR140W
65	OG0000065	genemark-CACA0S05-processed-gene-18.46-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-18.46&CDS=1-2499, genemark-CACA0S33-processed-gene-0.21-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-0.21&CDS=1-3165	YFR040W, YKR028W
66	OG0000066	augustus_masked-CACA0S05-processed-gene-19.35-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-19.35&CDS=1-1131, snap_masked-CACA0S15-processed-gene-2.32-mRNA-1_1&gene=snap_masked-CACA0S15-processed-gene-2.32&CDS=1-984	YHR146W, YNL173C
67	OG0000067	genemark-CACA0S12-processed-gene-0.61-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-0.61&CDS=1-1152, genemark-CACA0S33-processed-gene-9.68-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.68&CDS=1-1191	YHR208W, YJR148W
68	OG0000068	augustus_masked-CACA0S15-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-CACA0S15-processed-gene-4.65&CDS=1-1536, genemark-CACA0S12-processed-gene-1.37-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-1.37&CDS=1-1698	YNL095C, YOR092W
69	OG0000069	augustus_masked-CACA0S12-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-2.56&CDS=1-801	YAR023C, YCR007C, YHL044W
70	OG0000070	genemark-CACA0S12-processed-gene-10.27-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-10.27&CDS=1-603, maker-CACA0S12-snap-gene-3.139-mRNA-1_1&gene=maker-CACA0S12-snap-gene-3.139&CDS=1-1005	YBR189W, YPL081W
71	OG0000071	genemark-CACA0S12-processed-gene-4.64-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-4.64&CDS=1-2430, snap_masked-CACA0S27-processed-gene-5.23-mRNA-1_1&gene=snap_masked-CACA0S27-processed-gene-5.23&CDS=1-2775	YDR351W, YHR103W
72	OG0000072	augustus_masked-CACA0S12-processed-gene-13.19-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-13.19&CDS=1-1620, genemark-CACA0S12-processed-gene-4.91-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-4.91&CDS=1-1212	YGR059W, YHR107C
73	OG0000073	augustus_masked-CACA0S12-processed-gene-14.78-mRNA-1_1&gene=augustus_masked-CACA0S12-processed-gene-14.78&CDS=1-546, genemark-CACA0S12-processed-gene-5.28-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-5.28&CDS=1-486	YDR155C, YML078W
74	OG0000074	genemark-CACA0S12-processed-gene-7.68-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-7.68&CDS=1-2187, snap_masked-CACA0S21-processed-gene-11.223-mRNA-1_1&gene=snap_masked-CACA0S21-processed-gene-11.223&CDS=1-2316	YBL011W, YKR067W
75	OG0000075	genemark-CACA0S12-processed-gene-7.80-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-7.80&CDS=1-573, genemark-CACA0S21-processed-gene-5.46-mRNA-1_1&gene=genemark-CACA0S21-processed-gene-5.46&CDS=1-573	YGL147C, YNL067W
76	OG0000076	genemark-CACA0S12-processed-gene-9.139-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-9.139&CDS=1-1173, genemark-CACA0S15-processed-gene-3.55-mRNA-1_1&gene=genemark-CACA0S15-processed-gene-3.55&CDS=1-1059	YMR303C, YOL086C
77	OG0000077	augustus_masked-CACA0S17-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-CACA0S17-processed-gene-6.50&CDS=1-1182, genemark-CACA0S12-processed-gene-11.57-mRNA-1_1&gene=genemark-CACA0S12-processed-gene-11.57&CDS=1-1095	YGL082W, YPL191C
