	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034615_Saturnispora_zaruensis
10	OG0000010	YDR346C, YOL119C, YOR306C	genemark-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.197-mRNA-1_1&gene=genemark-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.197&CDS=1-3390, maker-NODE_8_length_383177_cov_39.865_ID_15-augustus-gene-1.170-mRNA-1_1&gene=maker-NODE_8_length_383177_cov_39.865_ID_15-augustus-gene-1.170&CDS=1-2472, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.26&CDS=1-1587, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-1.109&CDS=1-1590
11	OG0000011	YDR380W, YGR087C, YLR044C, YLR134W	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.46-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.46&CDS=1-1794, snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-0.105&CDS=1-1728, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.37&CDS=1-1710
12	OG0000012	YDR385W, YKL173W, YNL163C, YOR133W	genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.10-mRNA-1_1&gene=genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-11.10&CDS=1-3360, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-1.5&CDS=1-2880, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-9.39-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-9.39&CDS=1-2991
13	OG0000013	YGR212W, YPL272C	augustus_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-0.75&CDS=1-1320, snap_masked-NODE_15_length_154211_cov_41.2508_ID_29-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_15_length_154211_cov_41.2508_ID_29-processed-gene-0.62&CDS=1-1341, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.26-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.26&CDS=1-1422, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-3.43-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-3.43&CDS=1-1269, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-3.44-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-3.44&CDS=1-1413
14	OG0000014	YAL026C, YGL257C, YNR059W	maker-NODE_2_length_1328254_cov_42.4867_ID_3-snap-gene-0.77-mRNA-1_1&gene=maker-NODE_2_length_1328254_cov_42.4867_ID_3-snap-gene-0.77&CDS=1-5823, snap_masked-NODE_18_length_120857_cov_42.569_ID_35-processed-gene-0.170-mRNA-1_1&gene=snap_masked-NODE_18_length_120857_cov_42.569_ID_35-processed-gene-0.170&CDS=1-2679, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.131-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.131&CDS=1-1845
15	OG0000015	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
16	OG0000016	YBR015C, YJL186W	genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_10_length_355069_cov_42.3146_ID_19-processed-gene-2.47&CDS=1-1953, snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-2.165-mRNA-1_1&gene=snap_masked-NODE_11_length_338931_cov_41.8878_ID_21-processed-gene-2.165&CDS=1-1803, snap_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.151-mRNA-1_1&gene=snap_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.151&CDS=1-2004, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-10.11-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-10.11&CDS=1-2331
17	OG0000017	YBR073W, YDL206W, YGL163C	augustus_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.182-mRNA-1_1&gene=augustus_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.182&CDS=1-2445, maker-NODE_6_length_515559_cov_44.7286_ID_11-snap-gene-1.101-mRNA-1_1&gene=maker-NODE_6_length_515559_cov_44.7286_ID_11-snap-gene-1.101&CDS=1-4278, snap_masked-NODE_15_length_154211_cov_41.2508_ID_29-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_15_length_154211_cov_41.2508_ID_29-processed-gene-0.25&CDS=1-2511
18	OG0000018	YCL037C, YDL051W, YDR515W	snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.39&CDS=1-750, snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-7.7-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-7.7&CDS=1-696, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-4.140-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-4.140&CDS=1-1353
19	OG0000019	YCR105W, YMR318C	snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-0.133&CDS=1-1086, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.167-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-8.167&CDS=1-1089, snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.373-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-2.373&CDS=1-1086, snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.325-mRNA-1_1&gene=snap_masked-NODE_8_length_383177_cov_39.865_ID_15-processed-gene-2.325&CDS=1-1086
20	OG0000020	YDL124W, YGR007W	genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.63-mRNA-1_1&gene=genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-2.63&CDS=1-936, maker-NODE_10_length_355069_cov_42.3146_ID_19-snap-gene-1.177-mRNA-1_1&gene=maker-NODE_10_length_355069_cov_42.3146_ID_19-snap-gene-1.177&CDS=1-2112, snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-1.30&CDS=1-918, snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.58-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-2.58&CDS=1-942
21	OG0000021	YDL134C, YDR075W, YNR032W	snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.168-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-11.168&CDS=1-996, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-7.127-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-7.127&CDS=1-933, snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_7_length_395067_cov_41.3947_ID_13-processed-gene-0.120&CDS=1-1023
22	OG0000022	YDL138W, YDL194W	maker-NODE_1_length_1371552_cov_40.6037_ID_1-augustus-gene-12.4-mRNA-1_1&gene=maker-NODE_1_length_1371552_cov_40.6037_ID_1-augustus-gene-12.4&CDS=1-2889, snap_masked-NODE_22_length_19071_cov_62.6045_ID_43-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_22_length_19071_cov_62.6045_ID_43-processed-gene-0.2&CDS=1-1647, snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-6.142-mRNA-1_1&gene=snap_masked-NODE_4_length_1115028_cov_40.7497_ID_7-processed-gene-6.142&CDS=1-1638, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-5.124-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-5.124&CDS=1-1647
23	OG0000023	YDR155C, YDR304C, YLR216C	snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-1.5&CDS=1-684, snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-3.125-mRNA-1_1&gene=snap_masked-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-3.125&CDS=1-1059, snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_9_length_358411_cov_42.2046_ID_17-processed-gene-0.11&CDS=1-483
24	OG0000024	YER013W, YGL120C, YKR086W	genemark-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.167-mRNA-1_1&gene=genemark-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.167&CDS=1-2661, maker-NODE_1_length_1371552_cov_40.6037_ID_1-augustus-gene-12.1-mRNA-1_1&gene=maker-NODE_1_length_1371552_cov_40.6037_ID_1-augustus-gene-12.1&CDS=1-3843, maker-NODE_4_length_1115028_cov_40.7497_ID_7-augustus-gene-8.154-mRNA-1_1&gene=maker-NODE_4_length_1115028_cov_40.7497_ID_7-augustus-gene-8.154&CDS=1-4341
25	OG0000025	YKL139W, YPL031C, YPR161C	snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_12_length_267721_cov_48.1709_ID_23-processed-gene-0.102&CDS=1-1308, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-2.15&CDS=1-1602, snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-8.19-mRNA-1_1&gene=snap_masked-NODE_3_length_1190395_cov_43.5002_ID_5-processed-gene-8.19&CDS=1-960
26	OG0000026	YNL123W	augustus_masked-NODE_55_length_830_cov_89.3258_ID_109-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_55_length_830_cov_89.3258_ID_109-processed-gene-0.1&CDS=1-828, genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.227-mRNA-1_1&gene=genemark-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-12.227&CDS=1-1524, genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-9.15-mRNA-1_1&gene=genemark-NODE_2_length_1328254_cov_42.4867_ID_3-processed-gene-9.15&CDS=1-2970, genemark-NODE_41_length_1459_cov_62.787_ID_81-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_41_length_1459_cov_62.787_ID_81-processed-gene-0.2&CDS=1-1365, snap_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.161-mRNA-1_1&gene=snap_masked-NODE_16_length_136973_cov_53.0823_ID_31-processed-gene-0.161&CDS=1-2889
27	OG0000027	YNR055C, YOR374W	maker-NODE_3_length_1190395_cov_43.5002_ID_5-augustus-gene-1.57-mRNA-1_1&gene=maker-NODE_3_length_1190395_cov_43.5002_ID_5-augustus-gene-1.57&CDS=1-3381, snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_13_length_249367_cov_50.2225_ID_25-processed-gene-1.65&CDS=1-1491, snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1371552_cov_40.6037_ID_1-processed-gene-4.134&CDS=1-1557, snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.12-mRNA-1_1&gene=snap_masked-NODE_5_length_949864_cov_43.0886_ID_9-processed-gene-2.12&CDS=1-1554
28	OG0000028	Q0105, Q0110, Q0115, Q0120	maker-NODE_19_length_44348_cov_4743.24_ID_37-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_19_length_44348_cov_4743.24_ID_37-snap-gene-0.3&CDS=1-285, maker-NODE_19_length_44348_cov_4743.24_ID_37-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_19_length_44348_cov_4743.24_ID_37-snap-gene-0.5&CDS=1-903
