	OrthologID	Lachancea_fantastica	Saccharomyces_cerevisiae
10	OG0000010	snap_masked-LAFA0A-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-0.64&CDS=1-1398	YAR071W, YBR092C, YBR093C, YHR215W
11	OG0000011	augustus_masked-LAFA0A-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-LAFA0A-processed-gene-1.106&CDS=1-816, augustus_masked-LAFA0G-processed-gene-20.42-mRNA-1_1&gene=augustus_masked-LAFA0G-processed-gene-20.42&CDS=1-849, snap_masked-LAFA0A-processed-gene-1.62-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-1.62&CDS=1-960, snap_masked-LAFA0F-processed-gene-17.127-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-17.127&CDS=1-1086	YIL119C
12	OG0000012	snap_masked-LAFA0A-processed-gene-6.97-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-6.97&CDS=1-1806	YBR297W, YFL052W, YGR288W, YPR196W
13	OG0000013	snap_masked-LAFA0B-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-0.63&CDS=1-1692, snap_masked-LAFA0E-processed-gene-9.76-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-9.76&CDS=1-1830	YDL080C, YLR044C, YLR134W
14	OG0000014	snap_masked-LAFA0B-processed-gene-2.92-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-2.92&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
15	OG0000015	snap_masked-LAFA0B-processed-gene-7.149-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.149&CDS=1-1539, snap_masked-LAFA0E-processed-gene-19.112-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.112&CDS=1-1542, snap_masked-LAFA0G-processed-gene-22.30-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-22.30&CDS=1-2220, snap_masked-LAFA0G-processed-gene-23.108-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-23.108&CDS=1-1530	YDL138W
16	OG0000016	snap_masked-LAFA0B-processed-gene-7.184-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.184&CDS=1-1023	YDR541C, YGL039W, YGL157W, YOL151W
17	OG0000017	genemark-LAFA0C-processed-gene-0.63-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-0.63&CDS=1-1344, maker-LAFA0F-snap-gene-0.71-mRNA-1_1&gene=maker-LAFA0F-snap-gene-0.71&CDS=1-1623, snap_masked-LAFA0F-processed-gene-3.10-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-3.10&CDS=1-1791, snap_masked-LAFA0F-processed-gene-3.9-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-3.9&CDS=1-1899	YPR198W
18	OG0000018	augustus_masked-LAFA0C-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-LAFA0C-processed-gene-4.90&CDS=1-1161, genemark-LAFA0F-processed-gene-10.135-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-10.135&CDS=1-1389	YIR013C, YLR013W, YMR136W
19	OG0000019	snap_masked-LAFA0C-processed-gene-6.7-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-6.7&CDS=1-4509	YBL017C, YIL173W, YJL222W, YNR065C
20	OG0000020	snap_masked-LAFA0C-processed-gene-9.230-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.230&CDS=1-426, snap_masked-LAFA0E-processed-gene-15.104-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.104&CDS=1-378	YIL014C-A, YIL102C, YJR108W
21	OG0000021	snap_masked-LAFA0D-processed-gene-3.7-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-3.7&CDS=1-1893, snap_masked-LAFA0D-processed-gene-9.72-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-9.72&CDS=1-1965	YBL042C, YBR021W, YIR028W
22	OG0000022	maker-LAFA0E-snap-gene-17.154-mRNA-1_1&gene=maker-LAFA0E-snap-gene-17.154&CDS=1-2727, snap_masked-LAFA0D-processed-gene-5.31-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-5.31&CDS=1-1947	YAL005C, YBL075C, YLL024C
23	OG0000023	genemark-LAFA0E-processed-gene-0.2-mRNA-1_1&gene=genemark-LAFA0E-processed-gene-0.2&CDS=1-1782, snap_masked-LAFA0D-processed-gene-16.55-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-16.55&CDS=1-1365	YBR298C, YDL247W, YJR160C
24	OG0000024	augustus_masked-LAFA0G-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-LAFA0G-processed-gene-6.14&CDS=1-1650, snap_masked-LAFA0E-processed-gene-4.70-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-4.70&CDS=1-1746	YDR144C, YLR120C, YLR121C
25	OG0000025	snap_masked-LAFA0E-processed-gene-15.94-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-15.94&CDS=1-996, snap_masked-LAFA0G-processed-gene-12.43-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-12.43&CDS=1-993	YGR192C, YJL052W, YJR009C
26	OG0000026	snap_masked-LAFA0F-processed-gene-1.66-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-1.66&CDS=1-1752, snap_masked-LAFA0G-processed-gene-2.54-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-2.54&CDS=1-1722	YEL063C, YNL268W, YNL270C
27	OG0000027	augustus_masked-LAFA0F-processed-gene-12.124-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-12.124&CDS=1-2211, snap_masked-LAFA0F-processed-gene-3.7-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-3.7&CDS=1-2307	YKL222C, YOR162C, YOR172W
28	OG0000028	maker-LAFA0G-augustus-gene-3.46-mRNA-1_1&gene=maker-LAFA0G-augustus-gene-3.46&CDS=1-2352, snap_masked-LAFA0F-processed-gene-16.98-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-16.98&CDS=1-2649, snap_masked-LAFA0F-processed-gene-20.61-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.61&CDS=1-2451	YIL130W, YJL206C
29	OG0000029	maker-LAFA0G-snap-gene-15.0-mRNA-1_1&gene=maker-LAFA0G-snap-gene-15.0&CDS=1-285	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
30	OG0000030		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
31	OG0000031	snap_masked-LAFA0A-processed-gene-0.41-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-0.41&CDS=1-1266, snap_masked-LAFA0G-processed-gene-23.115-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-23.115&CDS=1-1266, snap_masked-LAFA0G-processed-gene-23.86-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-23.86&CDS=1-1803	YGR260W
32	OG0000032	snap_masked-LAFA0A-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-0.42&CDS=1-1194, snap_masked-LAFA0F-processed-gene-11.73-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-11.73&CDS=1-1197, snap_masked-LAFA0G-processed-gene-23.114-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-23.114&CDS=1-1194	YFR055W
33	OG0000033	genemark-LAFA0B-processed-gene-3.12-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-3.12&CDS=1-1878, snap_masked-LAFA0A-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-0.55&CDS=1-1860	YFL041W, YMR058W
34	OG0000034	snap_masked-LAFA0A-processed-gene-1.74-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-1.74&CDS=1-5721, snap_masked-LAFA0E-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-0.67&CDS=1-5292	YLR342W, YMR306W
35	OG0000035	snap_masked-LAFA0A-processed-gene-3.93-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-3.93&CDS=1-4641, snap_masked-LAFA0E-processed-gene-5.3-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-5.3&CDS=1-4491	YDR135C, YLL015W
36	OG0000036	snap_masked-LAFA0A-processed-gene-6.61-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-6.61&CDS=1-2322, snap_masked-LAFA0E-processed-gene-10.68-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-10.68&CDS=1-2130	YER047C, YPL074W
37	OG0000037	maker-LAFA0A-augustus-gene-6.4-mRNA-1_1&gene=maker-LAFA0A-augustus-gene-6.4&CDS=1-864, snap_masked-LAFA0B-processed-gene-7.155-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.155&CDS=1-900, snap_masked-LAFA0E-processed-gene-20.190-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-20.190&CDS=1-912	YKL107W
38	OG0000038	snap_masked-LAFA0B-processed-gene-3.89-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-3.89&CDS=1-2616, snap_masked-LAFA0B-processed-gene-4.63-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-4.63&CDS=1-2430	YMR054W, YOR270C
39	OG0000039	snap_masked-LAFA0B-processed-gene-5.106-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.106&CDS=1-2421, snap_masked-LAFA0E-processed-gene-9.93-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-9.93&CDS=1-765	YNL148C, YPL174C
40	OG0000040	augustus_masked-LAFA0B-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-6.78&CDS=1-2196, snap_masked-LAFA0C-processed-gene-9.177-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.177&CDS=1-1566	YER073W, YOR374W
41	OG0000041	augustus_masked-LAFA0B-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-6.80&CDS=1-7146, maker-LAFA0E-augustus-gene-18.0-mRNA-1_1&gene=maker-LAFA0E-augustus-gene-18.0&CDS=1-3951	YER070W, YIL066C
42	OG0000042	snap_masked-LAFA0B-processed-gene-7.127-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.127&CDS=1-1560	YER056C, YER060W, YER060W-A
43	OG0000043	maker-LAFA0D-snap-gene-16.108-mRNA-1_1&gene=maker-LAFA0D-snap-gene-16.108&CDS=1-4020, snap_masked-LAFA0B-processed-gene-7.153-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.153&CDS=1-1653	YJR152W, YLL055W
44	OG0000044	snap_masked-LAFA0C-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.10&CDS=1-2301, snap_masked-LAFA0E-processed-gene-12.153-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-12.153&CDS=1-2001	YHR035W, YPR181C
45	OG0000045	maker-LAFA0D-snap-gene-11.117-mRNA-1_1&gene=maker-LAFA0D-snap-gene-11.117&CDS=1-933, snap_masked-LAFA0C-processed-gene-2.113-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-2.113&CDS=1-1629	YER133W, YPL179W
46	OG0000046	snap_masked-LAFA0C-processed-gene-3.9-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-3.9&CDS=1-3264, snap_masked-LAFA0G-processed-gene-16.67-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-16.67&CDS=1-3057	YBR245C, YOR304W
47	OG0000047	snap_masked-LAFA0C-processed-gene-3.22-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-3.22&CDS=1-2310, snap_masked-LAFA0D-processed-gene-16.0-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-16.0&CDS=1-3342	YGL120C, YKR086W
48	OG0000048	maker-LAFA0C-snap-gene-7.139-mRNA-1_1&gene=maker-LAFA0C-snap-gene-7.139&CDS=1-1902, snap_masked-LAFA0G-processed-gene-21.45-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-21.45&CDS=1-1854	YDL185W, YDL227C
49	OG0000049	snap_masked-LAFA0C-processed-gene-7.75-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.75&CDS=1-309, snap_masked-LAFA0E-processed-gene-20.156-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-20.156&CDS=1-309	YBR009C, YNL030W
50	OG0000050	snap_masked-LAFA0C-processed-gene-7.58-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.58&CDS=1-408, snap_masked-LAFA0E-processed-gene-20.111-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-20.111&CDS=1-408	YBR010W, YNL031C
51	OG0000051	snap_masked-LAFA0D-processed-gene-3.28-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-3.28&CDS=1-3396, snap_masked-LAFA0E-processed-gene-19.117-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-19.117&CDS=1-2316	YLR144C, YNR067C
52	OG0000052	augustus_masked-LAFA0F-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-9.22&CDS=1-3786, snap_masked-LAFA0D-processed-gene-7.101-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-7.101&CDS=1-2238	YER017C, YMR089C
53	OG0000053	genemark-LAFA0D-processed-gene-9.27-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-9.27&CDS=1-798, snap_masked-LAFA0G-processed-gene-4.1-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-4.1&CDS=1-846	YDL049C, YJL174W
54	OG0000054	maker-LAFA0D-snap-gene-9.43-mRNA-1_1&gene=maker-LAFA0D-snap-gene-9.43&CDS=1-390, snap_masked-LAFA0G-processed-gene-3.121-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-3.121&CDS=1-390	YJL190C, YLR367W
55	OG0000055	maker-LAFA0D-snap-gene-9.42-mRNA-1_1&gene=maker-LAFA0D-snap-gene-9.42&CDS=1-4884, snap_masked-LAFA0F-processed-gene-20.63-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.63&CDS=1-3975	YIL126W, YOR290C
56	OG0000056	augustus_masked-LAFA0E-processed-gene-17.93-mRNA-1_1&gene=augustus_masked-LAFA0E-processed-gene-17.93&CDS=1-5124, snap_masked-LAFA0D-processed-gene-15.99-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-15.99&CDS=1-2955	YDR270W, YLR314C
57	OG0000057	augustus_masked-LAFA0D-processed-gene-16.83-mRNA-1_1&gene=augustus_masked-LAFA0D-processed-gene-16.83&CDS=1-3396, snap_masked-LAFA0F-processed-gene-11.57-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-11.57&CDS=1-1599, snap_masked-LAFA0F-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-4.81&CDS=1-1578	YBR008C
58	OG0000058	snap_masked-LAFA0E-processed-gene-1.70-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-1.70&CDS=1-5862, snap_masked-LAFA0E-processed-gene-6.94-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-6.94&CDS=1-6555	YER172C, YGR271W
59	OG0000059	snap_masked-LAFA0E-processed-gene-4.50-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-4.50&CDS=1-1395, snap_masked-LAFA0F-processed-gene-11.56-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-11.56&CDS=1-1413, snap_masked-LAFA0G-processed-gene-23.85-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-23.85&CDS=1-1431	YNL234W
60	OG0000060	snap_masked-LAFA0E-processed-gene-5.16-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-5.16&CDS=1-1224, snap_masked-LAFA0F-processed-gene-21.91-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.91&CDS=1-1311	YDR125C, YGR110W
61	OG0000061	snap_masked-LAFA0E-processed-gene-9.56-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-9.56&CDS=1-1110	YCR102C, YLR460C, YNL134C
62	OG0000062	snap_masked-LAFA0E-processed-gene-10.62-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-10.62&CDS=1-1182, snap_masked-LAFA0G-processed-gene-21.42-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-21.42&CDS=1-1332	YDL131W, YDL182W
63	OG0000063	snap_masked-LAFA0E-processed-gene-11.36-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-11.36&CDS=1-1317, snap_masked-LAFA0F-processed-gene-19.81-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.81&CDS=1-1170	YDR483W, YOR099W
64	OG0000064	snap_masked-LAFA0E-processed-gene-14.87-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-14.87&CDS=1-1881, snap_masked-LAFA0G-processed-gene-3.102-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-3.102&CDS=1-1668	YBR015C, YJL186W
65	OG0000065	snap_masked-LAFA0E-processed-gene-20.188-mRNA-1_1&gene=snap_masked-LAFA0E-processed-gene-20.188&CDS=1-1869, snap_masked-LAFA0F-processed-gene-1.45-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-1.45&CDS=1-1833	YHL040C, YHL047C
66	OG0000066	maker-LAFA0G-snap-gene-1.46-mRNA-1_1&gene=maker-LAFA0G-snap-gene-1.46&CDS=1-3552, snap_masked-LAFA0F-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-0.23&CDS=1-1755, snap_masked-LAFA0F-processed-gene-2.106-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-2.106&CDS=1-1794	YKR039W
67	OG0000067	snap_masked-LAFA0F-processed-gene-2.116-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-2.116&CDS=1-957, snap_masked-LAFA0F-processed-gene-3.25-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-3.25&CDS=1-960	YDR492W, YOL002C
68	OG0000068	snap_masked-LAFA0F-processed-gene-4.98-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-4.98&CDS=1-1746, snap_masked-LAFA0G-processed-gene-23.109-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-23.109&CDS=1-1752	YLL061W, YPL274W
69	OG0000069	snap_masked-LAFA0F-processed-gene-9.44-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-9.44&CDS=1-3657, snap_masked-LAFA0G-processed-gene-1.108-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-1.108&CDS=1-3516	YDR507C, YKL101W
70	OG0000070	genemark-LAFA0F-processed-gene-9.124-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-9.124&CDS=1-654	YFL060C, YMR095C, YNL334C
71	OG0000071	snap_masked-LAFA0F-processed-gene-10.31-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-10.31&CDS=1-1404, snap_masked-LAFA0F-processed-gene-18.53-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.53&CDS=1-1644	YHR050W, YLR034C
72	OG0000072	snap_masked-LAFA0G-processed-gene-6.78-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-6.78&CDS=1-1758	YOL055C, YPL258C, YPR121W
73	OG0000073	snap_masked-LAFA0G-processed-gene-7.56-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-7.56&CDS=1-3270	YDR038C, YDR039C, YDR040C
74	OG0000074	snap_masked-LAFA0G-processed-gene-7.59-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-7.59&CDS=1-1767	YLR237W, YOR071C, YOR192C
75	OG0000075	snap_masked-LAFA0G-processed-gene-11.23-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-11.23&CDS=1-1251, snap_masked-LAFA0G-processed-gene-14.0-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-14.0&CDS=1-1233	YDL066W, YLR174W
76	OG0000076	maker-LAFA0G-snap-gene-12.128-mRNA-1_1&gene=maker-LAFA0G-snap-gene-12.128&CDS=1-1575	YHR216W, YLR432W, YML056C
77	OG0000077		YBR068C, YCL025C, YDR046C, YDR508C
78	OG0000078	snap_masked-LAFA0A-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-0.62&CDS=1-714, snap_masked-LAFA0G-processed-gene-23.90-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-23.90&CDS=1-714	YDR533C
79	OG0000079	maker-LAFA0A-snap-gene-0.77-mRNA-1_1&gene=maker-LAFA0A-snap-gene-0.77&CDS=1-1689, maker-LAFA0G-snap-gene-23.1-mRNA-1_1&gene=maker-LAFA0G-snap-gene-23.1&CDS=1-1740	YLL056C
80	OG0000080	snap_masked-LAFA0A-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-0.54&CDS=1-1062	YDL246C, YJR159W
81	OG0000081	snap_masked-LAFA0A-processed-gene-1.85-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-1.85&CDS=1-321	YGR027C, YLR333C
82	OG0000082	genemark-LAFA0A-processed-gene-1.26-mRNA-1_1&gene=genemark-LAFA0A-processed-gene-1.26&CDS=1-396	YGR034W, YLR344W
83	OG0000083	genemark-LAFA0A-processed-gene-2.0-mRNA-1_1&gene=genemark-LAFA0A-processed-gene-2.0&CDS=1-615	YGR038W, YLR350W
84	OG0000084	snap_masked-LAFA0A-processed-gene-2.73-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-2.73&CDS=1-2220	YJL099W, YKR027W
85	OG0000085	snap_masked-LAFA0A-processed-gene-3.118-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-3.118&CDS=1-3009	YGL049C, YGR162W
86	OG0000086	snap_masked-LAFA0A-processed-gene-4.67-mRNA-1_1&gene=snap_masked-LAFA0A-processed-gene-4.67&CDS=1-1545	YBR020W, YDR009W
