	OrthologID	Saccharomyces_cerevisiae	yHAB136_Kazachstania_bromeliacearum
10	OG0000010	YMR318C	snap_masked-NODE_25_length_134608_cov_22.6927_ID_49-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_25_length_134608_cov_22.6927_ID_49-processed-gene-0.16&CDS=1-1077, snap_masked-NODE_28_length_123417_cov_23.6155_ID_55-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_28_length_123417_cov_23.6155_ID_55-processed-gene-0.0&CDS=1-1074, snap_masked-NODE_29_length_115528_cov_22.4131_ID_57-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_29_length_115528_cov_22.4131_ID_57-processed-gene-0.123&CDS=1-1101, snap_masked-NODE_3_length_402036_cov_21.609_ID_5-processed-gene-3.189-mRNA-1_1&gene=snap_masked-NODE_3_length_402036_cov_21.609_ID_5-processed-gene-3.189&CDS=1-1080, snap_masked-NODE_52_length_67019_cov_23.3557_ID_103-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_52_length_67019_cov_23.3557_ID_103-processed-gene-0.39&CDS=1-1080, snap_masked-NODE_66_length_43350_cov_23.5093_ID_131-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_66_length_43350_cov_23.5093_ID_131-processed-gene-0.10&CDS=1-1086, snap_masked-NODE_80_length_25299_cov_22.07_ID_159-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_80_length_25299_cov_22.07_ID_159-processed-gene-0.1&CDS=1-1077
11	OG0000011		augustus_masked-NODE_160_length_2953_cov_30.4503_ID_319-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_160_length_2953_cov_30.4503_ID_319-processed-gene-0.2&CDS=1-999, augustus_masked-NODE_242_length_1285_cov_74.1411_ID_483-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_242_length_1285_cov_74.1411_ID_483-processed-gene-0.1&CDS=1-1017, augustus_masked-NODE_243_length_1285_cov_72.6403_ID_485-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_243_length_1285_cov_72.6403_ID_485-processed-gene-0.1&CDS=1-906, snap_masked-NODE_109_length_8060_cov_53.1623_ID_217-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_109_length_8060_cov_53.1623_ID_217-processed-gene-0.2&CDS=1-588, snap_masked-NODE_131_length_4918_cov_30.4698_ID_261-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_131_length_4918_cov_30.4698_ID_261-processed-gene-0.1&CDS=1-651, snap_masked-NODE_165_length_2582_cov_55.6891_ID_329-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_165_length_2582_cov_55.6891_ID_329-processed-gene-0.2&CDS=1-1470, snap_masked-NODE_211_length_1714_cov_67.7812_ID_421-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_211_length_1714_cov_67.7812_ID_421-processed-gene-0.0&CDS=1-1647, snap_masked-NODE_295_length_899_cov_79.3123_ID_589-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_295_length_899_cov_79.3123_ID_589-processed-gene-0.1&CDS=1-378
12	OG0000012		augustus_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.34&CDS=1-1599, augustus_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-2.48&CDS=1-1290, augustus_masked-NODE_23_length_135800_cov_19.7169_ID_45-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_23_length_135800_cov_19.7169_ID_45-processed-gene-0.72&CDS=1-504, snap_masked-NODE_162_length_2707_cov_22.2065_ID_323-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_162_length_2707_cov_22.2065_ID_323-processed-gene-0.3&CDS=1-1134, snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.134&CDS=1-816, snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.185-mRNA-1_1&gene=snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.185&CDS=1-1113, snap_masked-NODE_23_length_135800_cov_19.7169_ID_45-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_23_length_135800_cov_19.7169_ID_45-processed-gene-0.19&CDS=1-192, snap_masked-NODE_8_length_292075_cov_22.5245_ID_15-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_8_length_292075_cov_22.5245_ID_15-processed-gene-0.9&CDS=1-2778
13	OG0000013	YDL066W, YLR174W, YLR175W, YNL009W	maker-NODE_1_length_611906_cov_21.093_ID_1-augustus-gene-3.5-mRNA-1_1&gene=maker-NODE_1_length_611906_cov_21.093_ID_1-augustus-gene-3.5&CDS=1-2577, snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.124&CDS=1-1257, snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.199-mRNA-1_1&gene=snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.199&CDS=1-1278
14	OG0000014	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_130_length_5000_cov_51.2312_ID_259-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_130_length_5000_cov_51.2312_ID_259-processed-gene-0.2&CDS=1-1503, augustus_masked-NODE_84_length_20606_cov_21.5516_ID_167-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_84_length_20606_cov_21.5516_ID_167-processed-gene-0.10&CDS=1-1122, snap_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-0.23&CDS=1-903
15	OG0000015	YGR213C	augustus_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-3.47&CDS=1-849, maker-NODE_57_length_56142_cov_22.7723_ID_113-snap-gene-0.30-mRNA-1_1&gene=maker-NODE_57_length_56142_cov_22.7723_ID_113-snap-gene-0.30&CDS=1-1833, snap_masked-NODE_10_length_278180_cov_22.5073_ID_19-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NODE_10_length_278180_cov_22.5073_ID_19-processed-gene-1.117&CDS=1-960, snap_masked-NODE_10_length_278180_cov_22.5073_ID_19-processed-gene-1.118-mRNA-1_1&gene=snap_masked-NODE_10_length_278180_cov_22.5073_ID_19-processed-gene-1.118&CDS=1-987, snap_masked-NODE_10_length_278180_cov_22.5073_ID_19-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_10_length_278180_cov_22.5073_ID_19-processed-gene-1.119&CDS=1-981, snap_masked-NODE_57_length_56142_cov_22.7723_ID_113-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_57_length_56142_cov_22.7723_ID_113-processed-gene-0.38&CDS=1-1755
16	OG0000016	YIL014W	augustus_masked-NODE_5_length_371082_cov_21.955_ID_9-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NODE_5_length_371082_cov_21.955_ID_9-processed-gene-2.119&CDS=1-3480, augustus_masked-NODE_66_length_43350_cov_23.5093_ID_131-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_66_length_43350_cov_23.5093_ID_131-processed-gene-0.35&CDS=1-1926, augustus_masked-NODE_94_length_12554_cov_25.0426_ID_187-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_94_length_12554_cov_25.0426_ID_187-processed-gene-0.7&CDS=1-1230, augustus_masked-NODE_94_length_12554_cov_25.0426_ID_187-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_94_length_12554_cov_25.0426_ID_187-processed-gene-0.9&CDS=1-1938, snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.106&CDS=1-1899, snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.159-mRNA-1_1&gene=snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.159&CDS=1-1608
17	OG0000017	YIR013C, YLR013W, YMR136W	augustus_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-2.17&CDS=1-510, snap_masked-NODE_12_length_246126_cov_21.8889_ID_23-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_12_length_246126_cov_21.8889_ID_23-processed-gene-1.29&CDS=1-1665, snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.138&CDS=1-387, snap_masked-NODE_32_length_114782_cov_21.7396_ID_63-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_32_length_114782_cov_21.7396_ID_63-processed-gene-0.70&CDS=1-624
18	OG0000018	Q0045, Q0065, Q0070	genemark-NODE_210_length_1721_cov_1217.43_ID_419-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_210_length_1721_cov_1217.43_ID_419-processed-gene-0.1&CDS=1-489, maker-NODE_183_length_2172_cov_1317.4_ID_365-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_183_length_2172_cov_1317.4_ID_365-snap-gene-0.0&CDS=1-492, maker-NODE_207_length_1795_cov_1221.94_ID_413-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_207_length_1795_cov_1221.94_ID_413-snap-gene-0.1&CDS=1-492, maker-NODE_221_length_1562_cov_1168.38_ID_441-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_221_length_1562_cov_1168.38_ID_441-snap-gene-0.0&CDS=1-549
19	OG0000019	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
20	OG0000020	YBR009C, YNL030W	snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.138&CDS=1-309, snap_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-4.89&CDS=1-309, snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.149-mRNA-1_1&gene=snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.149&CDS=1-309, snap_masked-NODE_83_length_21755_cov_22.5093_ID_165-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_83_length_21755_cov_22.5093_ID_165-processed-gene-0.16&CDS=1-309
21	OG0000021	YBR010W, YNL031C	snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.187-mRNA-1_1&gene=snap_masked-NODE_16_length_197293_cov_20.9529_ID_31-processed-gene-0.187&CDS=1-408, snap_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-4.105-mRNA-1_1&gene=snap_masked-NODE_1_length_611906_cov_21.093_ID_1-processed-gene-4.105&CDS=1-408, snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_20_length_173093_cov_21.6662_ID_39-processed-gene-0.98&CDS=1-408, snap_masked-NODE_83_length_21755_cov_22.5093_ID_165-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_83_length_21755_cov_22.5093_ID_165-processed-gene-0.22&CDS=1-408
