	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034761_Lipomyces_lipofer
13	OG0000013	YOL137W	augustus_masked-flattened_line_131-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.17&CDS=1-1611, augustus_masked-flattened_line_131-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.24&CDS=1-1611, augustus_masked-flattened_line_288-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_288-processed-gene-0.40&CDS=1-1413, maker-flattened_line_132-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_132-augustus-gene-0.7&CDS=1-1446, maker-flattened_line_680-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_680-snap-gene-0.0&CDS=1-1461
14	OG0000014		augustus_masked-flattened_line_1066-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1066-processed-gene-0.0&CDS=1-441, genemark-flattened_line_1008-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1008-processed-gene-0.0&CDS=1-501, genemark-flattened_line_1590-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1590-processed-gene-0.0&CDS=1-168, genemark-flattened_line_342-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_342-processed-gene-0.18&CDS=1-1512, genemark-flattened_line_942-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_942-processed-gene-0.0&CDS=1-645, maker-flattened_line_938-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_938-snap-gene-0.0&CDS=1-219
15	OG0000015	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_134-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_134-processed-gene-0.97&CDS=1-2799
16	OG0000016	YBL029C-A	augustus_masked-flattened_line_1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.67&CDS=1-327, augustus_masked-flattened_line_1-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.81&CDS=1-327, maker-flattened_line_1-augustus-gene-2.147-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-2.147&CDS=1-468, maker-flattened_line_1-augustus-gene-2.163-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-2.163&CDS=1-468
17	OG0000017	YBR119W, YIR009W	augustus_masked-flattened_line_6-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.31&CDS=1-354, maker-flattened_line_29-augustus-gene-0.56-mRNA-1_1&gene=maker-flattened_line_29-augustus-gene-0.56&CDS=1-597, snap_masked-flattened_line_250-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_250-processed-gene-0.43&CDS=1-759
18	OG0000018	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_382-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_382-processed-gene-0.1&CDS=1-1782
19	OG0000019	YCL075W	augustus_masked-flattened_line_820-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_820-processed-gene-0.0&CDS=1-1428, genemark-flattened_line_348-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_348-processed-gene-0.35&CDS=1-1022, maker-flattened_line_256-snap-gene-0.30-mRNA-1_1&gene=maker-flattened_line_256-snap-gene-0.30&CDS=1-219, maker-flattened_line_710-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_710-snap-gene-0.3&CDS=1-357
20	OG0000020	YDL080C, YGR087C, YLR044C, YLR134W	maker-flattened_line_186-augustus-gene-0.95-mRNA-1_1&gene=maker-flattened_line_186-augustus-gene-0.95&CDS=1-1785
21	OG0000021	YDL170W, YDR213W, YLR228C	augustus_masked-flattened_line_124-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.100&CDS=1-1644, augustus_masked-flattened_line_21-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.127&CDS=1-1803
22	OG0000022	YDL244W, YFL058W, YJR156C, YNL332W	maker-flattened_line_6-augustus-gene-2.171-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-2.171&CDS=1-1029
23	OG0000023	YDR207C, YML099C	augustus_masked-flattened_line_346-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_346-processed-gene-0.17&CDS=1-714, genemark-flattened_line_52-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.78&CDS=1-969, snap_masked-flattened_line_346-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_346-processed-gene-0.6&CDS=1-822
24	OG0000024	YDR242W	genemark-flattened_line_2-processed-gene-2.252-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.252&CDS=1-1641, maker-flattened_line_19-augustus-gene-1.57-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-1.57&CDS=1-1665, maker-flattened_line_78-augustus-gene-0.75-mRNA-1_1&gene=maker-flattened_line_78-augustus-gene-0.75&CDS=1-1668, maker-flattened_line_88-augustus-gene-0.72-mRNA-1_1&gene=maker-flattened_line_88-augustus-gene-0.72&CDS=1-1638
25	OG0000025	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_29-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.112&CDS=1-996
26	OG0000026	YER185W, YGR213C	augustus_masked-flattened_line_23-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.64&CDS=1-879, augustus_masked-flattened_line_328-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_328-processed-gene-0.13&CDS=1-864, augustus_masked-flattened_line_70-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.99&CDS=1-831
27	OG0000027	YFR007W	genemark-flattened_line_152-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.59&CDS=1-693, genemark-flattened_line_82-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.45&CDS=1-693, maker-flattened_line_0-augustus-gene-1.1-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.1&CDS=1-699, snap_masked-flattened_line_0-processed-gene-3.261-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.261&CDS=1-756
28	OG0000028	YFR057W, YLR098C, YOR337W	augustus_masked-flattened_line_152-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.25&CDS=1-2580, maker-flattened_line_374-snap-gene-0.15-mRNA-1_1&gene=maker-flattened_line_374-snap-gene-0.15&CDS=1-2142
29	OG0000029	YIL120W, YIL121W, YNL065W	augustus_masked-flattened_line_21-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.102&CDS=1-1740, maker-flattened_line_102-augustus-gene-0.88-mRNA-1_1&gene=maker-flattened_line_102-augustus-gene-0.88&CDS=1-1617
30	OG0000030	YKL107W	augustus_masked-flattened_line_776-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_776-processed-gene-0.8&CDS=1-1092, maker-flattened_line_19-augustus-gene-1.72-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-1.72&CDS=1-1050, maker-flattened_line_366-augustus-gene-0.10-mRNA-1_1&gene=maker-flattened_line_366-augustus-gene-0.10&CDS=1-1050, maker-flattened_line_852-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_852-snap-gene-0.0&CDS=1-981
31	OG0000031	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
32	OG0000032	YKR064W	augustus_masked-flattened_line_226-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_226-processed-gene-0.23&CDS=1-1932, maker-flattened_line_108-augustus-gene-0.140-mRNA-1_1&gene=maker-flattened_line_108-augustus-gene-0.140&CDS=1-3018, snap_masked-flattened_line_258-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_258-processed-gene-0.41&CDS=1-2178, snap_masked-flattened_line_6-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.111&CDS=1-2058
33	OG0000033		augustus_masked-flattened_line_388-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_388-processed-gene-0.13&CDS=1-1785, maker-flattened_line_1-augustus-gene-1.1-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-1.1&CDS=1-2085, maker-flattened_line_1-augustus-gene-1.2-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-1.2&CDS=1-2112, maker-flattened_line_1-augustus-gene-3.94-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-3.94&CDS=1-2112, maker-flattened_line_1-augustus-gene-3.95-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-3.95&CDS=1-2085
34	OG0000034		augustus_masked-flattened_line_138-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.99&CDS=1-1044, augustus_masked-flattened_line_372-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_372-processed-gene-0.19&CDS=1-924, augustus_masked-flattened_line_42-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.119&CDS=1-1071, snap_masked-flattened_line_102-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.111&CDS=1-954, snap_masked-flattened_line_226-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_226-processed-gene-0.15&CDS=1-1098
35	OG0000035	YAL017W, YOL045W	maker-flattened_line_35-augustus-gene-0.224-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.224&CDS=1-1284, maker-flattened_line_35-snap-gene-0.159-mRNA-1_1&gene=maker-flattened_line_35-snap-gene-0.159&CDS=1-1284
36	OG0000036	YBL067C, YER098W	augustus_masked-flattened_line_31-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.134&CDS=1-1761, maker-flattened_line_31-augustus-gene-0.161-mRNA-1_1&gene=maker-flattened_line_31-augustus-gene-0.161&CDS=1-2100
37	OG0000037	YBL079W, YER105C	augustus_masked-flattened_line_131-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.37&CDS=1-3657, augustus_masked-flattened_line_131-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.4&CDS=1-3657
38	OG0000038	YBR020W, YDR009W	genemark-flattened_line_700-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_700-processed-gene-0.2&CDS=1-1248, maker-flattened_line_19-augustus-gene-0.39-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-0.39&CDS=1-1233
39	OG0000039	YBR033W, YKL038W	augustus_masked-flattened_line_184-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.75&CDS=1-474, augustus_masked-flattened_line_203-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_203-processed-gene-0.58&CDS=1-1002
40	OG0000040	YBR078W, YDR055W, YDR522C	augustus_masked-flattened_line_25-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.47&CDS=1-1236
41	OG0000041	YCL035C, YDR513W	maker-flattened_line_1-snap-gene-0.65-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-0.65&CDS=1-309, maker-flattened_line_1-snap-gene-3.142-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-3.142&CDS=1-309
42	OG0000042	YCR028C	augustus_masked-flattened_line_54-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.48&CDS=1-1533, genemark-flattened_line_413-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_413-processed-gene-0.3&CDS=1-1515, snap_masked-flattened_line_214-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_214-processed-gene-0.69&CDS=1-1533
43	OG0000043	YDL075W, YLR406C	augustus_masked-flattened_line_1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.68&CDS=1-354, augustus_masked-flattened_line_1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.80&CDS=1-354
44	OG0000044	YDL134C, YDL188C	snap_masked-flattened_line_35-processed-gene-0.266-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.266&CDS=1-1116, snap_masked-flattened_line_35-processed-gene-0.281-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.281&CDS=1-1116
45	OG0000045	YDL138W, YDL194W	augustus_masked-flattened_line_144-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_144-processed-gene-0.2&CDS=1-1563, augustus_masked-flattened_line_435-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_435-processed-gene-0.16&CDS=1-1563
46	OG0000046	YDR001C	maker-flattened_line_190-augustus-gene-0.12-mRNA-1_1&gene=maker-flattened_line_190-augustus-gene-0.12&CDS=1-2187, maker-flattened_line_190-augustus-gene-0.13-mRNA-1_1&gene=maker-flattened_line_190-augustus-gene-0.13&CDS=1-2187, maker-flattened_line_9-snap-gene-2.183-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-2.183&CDS=1-2229
47	OG0000047	YDR038C, YDR039C, YDR040C	maker-flattened_line_40-augustus-gene-0.20-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.20&CDS=1-3273
48	OG0000048	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_17-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.61&CDS=1-1617
49	OG0000049	YDR500C, YLR185W	augustus_masked-flattened_line_0-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.62&CDS=1-204, augustus_masked-flattened_line_0-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.145&CDS=1-204
50	OG0000050	YDR501W, YLR183C	augustus_masked-flattened_line_0-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.74&CDS=1-1419, augustus_masked-flattened_line_0-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.115&CDS=1-1419
51	OG0000051	YDR536W	augustus_masked-flattened_line_62-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.90&CDS=1-1674, maker-flattened_line_152-augustus-gene-0.100-mRNA-1_1&gene=maker-flattened_line_152-augustus-gene-0.100&CDS=1-1611, maker-flattened_line_620-augustus-gene-0.6-mRNA-1_1&gene=maker-flattened_line_620-augustus-gene-0.6&CDS=1-1689
52	OG0000052	YEL039C, YJR048W	maker-flattened_line_35-augustus-gene-0.208-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.208&CDS=1-324, maker-flattened_line_35-augustus-gene-0.209-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.209&CDS=1-324
53	OG0000053	YEL047C, YJR051W	maker-flattened_line_35-snap-gene-0.169-mRNA-1_1&gene=maker-flattened_line_35-snap-gene-0.169&CDS=1-1932, maker-flattened_line_35-snap-gene-0.176-mRNA-1_1&gene=maker-flattened_line_35-snap-gene-0.176&CDS=1-1932
54	OG0000054	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_27-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-0.70&CDS=1-1560
55	OG0000055	YER064C, YIL056W	genemark-flattened_line_397-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_397-processed-gene-0.11&CDS=1-1758, snap_masked-flattened_line_132-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.47&CDS=1-1980
56	OG0000056	YER066W, YFL009W	augustus_masked-flattened_line_92-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.98&CDS=1-1059, maker-flattened_line_250-augustus-gene-0.63-mRNA-1_1&gene=maker-flattened_line_250-augustus-gene-0.63&CDS=1-2964
57	OG0000057	YFL059W, YMR096W, YNL333W	maker-flattened_line_344-augustus-gene-0.10-mRNA-1_1&gene=maker-flattened_line_344-augustus-gene-0.10&CDS=1-1056
58	OG0000058	YFL060C, YMR095C, YNL334C	maker-flattened_line_25-augustus-gene-1.102-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.102&CDS=1-753
59	OG0000059	YGL014W, YGL178W	maker-flattened_line_0-augustus-gene-3.326-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.326&CDS=1-1503, maker-flattened_line_0-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-0.1&CDS=1-1575
