	OrthologID	Saccharomyces_cerevisiae	Tetrapisispora_phaffii
10	OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NC_016527.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-0.24&CDS=1-4929
11	OG0000011	YBR009C, YNL030W	snap_masked-NC_016520.1-processed-gene-9.110-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.110&CDS=1-309, snap_masked-NC_016522.1-processed-gene-7.103-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-7.103&CDS=1-309, snap_masked-NC_016526.1-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-1.109&CDS=1-309
12	OG0000012	YBR010W, YNL031C	snap_masked-NC_016520.1-processed-gene-9.121-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.121&CDS=1-408, snap_masked-NC_016522.1-processed-gene-7.127-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-7.127&CDS=1-408, snap_masked-NC_016526.1-processed-gene-1.133-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-1.133&CDS=1-408
13	OG0000013	YBR015C, YJL186W	genemark-NC_016524.1-processed-gene-7.220-mRNA-1_1&gene=genemark-NC_016524.1-processed-gene-7.220&CDS=1-2127, snap_masked-NC_016520.1-processed-gene-9.108-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.108&CDS=1-1926, snap_masked-NC_016522.1-processed-gene-9.196-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-9.196&CDS=1-1701
14	OG0000014	YCL067C, YCR039C, YCR096C	snap_masked-NC_016524.1-processed-gene-7.138-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-7.138&CDS=1-648, snap_masked-NC_016524.1-processed-gene-7.159-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-7.159&CDS=1-648
15	OG0000015	YCL075W	augustus_masked-NC_016528.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NC_016528.1-processed-gene-0.37&CDS=1-621, augustus_masked-NC_016532.1-processed-gene-3.222-mRNA-1_1&gene=augustus_masked-NC_016532.1-processed-gene-3.222&CDS=1-1179, snap_masked-NC_016521.1-processed-gene-7.29-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-7.29&CDS=1-1080, snap_masked-NC_016532.1-processed-gene-3.123-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-3.123&CDS=1-666
16	OG0000016	YDL066W, YLR174W, YNL009W	snap_masked-NC_016521.1-processed-gene-5.50-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-5.50&CDS=1-1299, snap_masked-NC_016521.1-processed-gene-8.17-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-8.17&CDS=1-1266
17	OG0000017	YER130C, YKL062W	snap_masked-NC_016522.1-processed-gene-5.120-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-5.120&CDS=1-1095, snap_masked-NC_016523.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-2.66&CDS=1-1317, snap_masked-NC_016533.1-processed-gene-3.158-mRNA-1_1&gene=snap_masked-NC_016533.1-processed-gene-3.158&CDS=1-1365
18	OG0000018	YGR013W	augustus_masked-NC_016523.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NC_016523.1-processed-gene-1.12&CDS=1-1587, augustus_masked-NC_016530.1-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NC_016530.1-processed-gene-3.3&CDS=1-3666, snap_masked-NC_016523.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-1.68&CDS=1-1596, snap_masked-NC_016533.1-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NC_016533.1-processed-gene-1.103&CDS=1-1854
19	OG0000019	YHR022C, YNL098C, YOR101W	augustus_masked-NC_016524.1-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-NC_016524.1-processed-gene-5.90&CDS=1-1008, genemark-NC_016521.1-processed-gene-6.127-mRNA-1_1&gene=genemark-NC_016521.1-processed-gene-6.127&CDS=1-915
20	OG0000020	YIL009W, YMR246W, YOR317W	snap_masked-NC_016526.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-2.74&CDS=1-2082, snap_masked-NC_016528.1-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-1.64&CDS=1-2106
21	OG0000021	YIL118W, YNL090W, YPR165W	maker-NC_016528.1-snap-gene-6.57-mRNA-1_1&gene=maker-NC_016528.1-snap-gene-6.57&CDS=1-2709, snap_masked-NC_016525.1-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-3.3&CDS=1-633
22	OG0000022	YKL164C	maker-NC_016524.1-snap-gene-7.160-mRNA-1_1&gene=maker-NC_016524.1-snap-gene-7.160&CDS=1-1848, snap_masked-NC_016520.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-6.72&CDS=1-948, snap_masked-NC_016520.1-processed-gene-6.84-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-6.84&CDS=1-831, snap_masked-NC_016524.1-processed-gene-7.82-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-7.82&CDS=1-1086
23	OG0000023	YLR342W, YMR306W	genemark-NC_016520.1-processed-gene-12.20-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-12.20&CDS=1-4974, snap_masked-NC_016525.1-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-2.14&CDS=1-7263, snap_masked-NC_016530.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NC_016530.1-processed-gene-2.88&CDS=1-5655
24	OG0000024	YMR083W, YMR303C, YOL086C	snap_masked-NC_016526.1-processed-gene-6.98-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-6.98&CDS=1-1131, snap_masked-NC_016532.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.39&CDS=1-1050
25	OG0000025	YAL028W, YOR324C	augustus_masked-NC_016527.1-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-NC_016527.1-processed-gene-6.101&CDS=1-1548, snap_masked-NC_016531.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-0.42&CDS=1-873
26	OG0000026	YAL034C, YOR338W	genemark-NC_016527.1-processed-gene-6.16-mRNA-1_1&gene=genemark-NC_016527.1-processed-gene-6.16&CDS=1-1236, snap_masked-NC_016533.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NC_016533.1-processed-gene-0.31&CDS=1-1074
27	OG0000027	YAL056W, YOR371C	augustus_masked-NC_016533.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NC_016533.1-processed-gene-0.36&CDS=1-2544, snap_masked-NC_016527.1-processed-gene-6.184-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-6.184&CDS=1-2463
28	OG0000028	YAR042W, YDL019C	genemark-NC_016527.1-processed-gene-1.106-mRNA-1_1&gene=genemark-NC_016527.1-processed-gene-1.106&CDS=1-3735, snap_masked-NC_016535.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.57&CDS=1-3771
29	OG0000029	YBL002W, YDR224C	snap_masked-NC_016522.1-processed-gene-4.72-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-4.72&CDS=1-384, snap_masked-NC_016531.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-2.76&CDS=1-390
30	OG0000030	YBL003C, YDR225W	genemark-NC_016522.1-processed-gene-4.43-mRNA-1_1&gene=genemark-NC_016522.1-processed-gene-4.43&CDS=1-396, snap_masked-NC_016531.1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-2.58&CDS=1-396
31	OG0000031	YBL027W, YBR084C-A	snap_masked-NC_016520.1-processed-gene-8.59-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-8.59&CDS=1-579, snap_masked-NC_016532.1-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.37&CDS=1-591
32	OG0000032	YBL056W, YER089C	snap_masked-NC_016520.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-1.25&CDS=1-1425, snap_masked-NC_016524.1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-2.98&CDS=1-1530
33	OG0000033	YBL061C, YER096W	augustus_masked-NC_016520.1-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-1.91&CDS=1-1920, snap_masked-NC_016524.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-1.82&CDS=1-1092
34	OG0000034	YBR001C, YDR001C	snap_masked-NC_016520.1-processed-gene-10.7-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-10.7&CDS=1-2394, snap_masked-NC_016527.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-1.57&CDS=1-2580
35	OG0000035	YBR008C	genemark-NC_016520.1-processed-gene-0.112-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-0.112&CDS=1-1701, genemark-NC_016534.1-processed-gene-3.109-mRNA-1_1&gene=genemark-NC_016534.1-processed-gene-3.109&CDS=1-1686, snap_masked-NC_016528.1-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-6.94&CDS=1-1686
36	OG0000036	YBR054W, YDR033W	genemark-NC_016532.1-processed-gene-2.80-mRNA-1_1&gene=genemark-NC_016532.1-processed-gene-2.80&CDS=1-954, snap_masked-NC_016520.1-processed-gene-9.111-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.111&CDS=1-1002
37	OG0000037	YBR068C, YDR046C	genemark-NC_016520.1-processed-gene-8.107-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-8.107&CDS=1-1845, snap_masked-NC_016532.1-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.32&CDS=1-1821
38	OG0000038	YBR089C-A, YPR052C	augustus_masked-NC_016532.1-processed-gene-3.192-mRNA-1_1&gene=augustus_masked-NC_016532.1-processed-gene-3.192&CDS=1-279, snap_masked-NC_016520.1-processed-gene-8.54-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-8.54&CDS=1-279
39	OG0000039	YBR118W, YPR080W	snap_masked-NC_016520.1-processed-gene-5.62-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-5.62&CDS=1-1371, snap_masked-NC_016520.1-processed-gene-7.80-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.80&CDS=1-1371
40	OG0000040	YBR140C, YOL081W	snap_masked-NC_016520.1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-1.21&CDS=1-9600, snap_masked-NC_016532.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.20&CDS=1-8829
41	OG0000041	YBR161W, YPL057C	snap_masked-NC_016528.1-processed-gene-4.129-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-4.129&CDS=1-1122, snap_masked-NC_016531.1-processed-gene-3.8-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-3.8&CDS=1-1149
42	OG0000042	YBR181C, YPL090C	snap_masked-NC_016520.1-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-2.86&CDS=1-708, snap_masked-NC_016528.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-4.95&CDS=1-708
43	OG0000043	YBR189W, YPL081W	maker-NC_016528.1-snap-gene-4.89-mRNA-1_1&gene=maker-NC_016528.1-snap-gene-4.89&CDS=1-930, maker-NC_016531.1-snap-gene-3.45-mRNA-1_1&gene=maker-NC_016531.1-snap-gene-3.45&CDS=1-921
44	OG0000044	YBR218C, YGL062W	snap_masked-NC_016521.1-processed-gene-6.50-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-6.50&CDS=1-3534, snap_masked-NC_016529.1-processed-gene-4.81-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-4.81&CDS=1-3534
45	OG0000045	YBR293W, YMR088C	snap_masked-NC_016520.1-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.37&CDS=1-1908, snap_masked-NC_016526.1-processed-gene-6.73-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-6.73&CDS=1-1800
46	OG0000046	YBR294W, YLR092W	snap_masked-NC_016520.1-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.38&CDS=1-2679, snap_masked-NC_016529.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-1.20&CDS=1-2751
47	OG0000047	YCL026C-A, YCL026C-B	snap_masked-NC_016521.1-processed-gene-10.95-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-10.95&CDS=1-576, snap_masked-NC_016521.1-processed-gene-10.96-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-10.96&CDS=1-576
48	OG0000048	YCL035C, YDR513W	snap_masked-NC_016521.1-processed-gene-10.98-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-10.98&CDS=1-414, snap_masked-NC_016521.1-processed-gene-8.25-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-8.25&CDS=1-318
49	OG0000049	YCL066W, YCR040W	snap_masked-NC_016524.1-processed-gene-7.121-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-7.121&CDS=1-585, snap_masked-NC_016524.1-processed-gene-7.98-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-7.98&CDS=1-585
50	OG0000050	YCR031C, YJL191W	snap_masked-NC_016520.1-processed-gene-5.56-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-5.56&CDS=1-396, snap_masked-NC_016524.1-processed-gene-7.133-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-7.133&CDS=1-402
51	OG0000051	YCR102C, YLR460C, YNL134C	snap_masked-NC_016521.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-0.84&CDS=1-1230
52	OG0000052	YDL082W, YMR142C	snap_masked-NC_016526.1-processed-gene-4.102-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-4.102&CDS=1-597, snap_masked-NC_016526.1-processed-gene-5.64-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-5.64&CDS=1-597
53	OG0000053	YDL083C, YMR143W	genemark-NC_016526.1-processed-gene-4.30-mRNA-1_1&gene=genemark-NC_016526.1-processed-gene-4.30&CDS=1-423, genemark-NC_016526.1-processed-gene-5.33-mRNA-1_1&gene=genemark-NC_016526.1-processed-gene-5.33&CDS=1-423
54	OG0000054	YDL134C, YDL188C	snap_masked-NC_016520.1-processed-gene-7.45-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.45&CDS=1-1005, snap_masked-NC_016535.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.68&CDS=1-1065
55	OG0000055	YDL229W, YNL209W	genemark-NC_016535.1-processed-gene-2.276-mRNA-1_1&gene=genemark-NC_016535.1-processed-gene-2.276&CDS=1-1839, snap_masked-NC_016534.1-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.41&CDS=1-1839
56	OG0000056	YDR038C, YDR039C, YDR040C	maker-NC_016520.1-snap-gene-9.123-mRNA-1_1&gene=maker-NC_016520.1-snap-gene-9.123&CDS=1-6453
57	OG0000057	YDR144C, YLR120C, YLR121C	genemark-NC_016520.1-processed-gene-3.99-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-3.99&CDS=1-1800
58	OG0000058	YDR213W, YLR228C	maker-NC_016522.1-snap-gene-5.146-mRNA-1_1&gene=maker-NC_016522.1-snap-gene-5.146&CDS=1-2598, maker-NC_016531.1-snap-gene-2.41-mRNA-1_1&gene=maker-NC_016531.1-snap-gene-2.41&CDS=1-2547
59	OG0000059	YDR368W, YOR120W	snap_masked-NC_016524.1-processed-gene-3.82-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-3.82&CDS=1-930, snap_masked-NC_016526.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-0.63&CDS=1-933
60	OG0000060	YDR379W, YOR127W	snap_masked-NC_016524.1-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-3.78&CDS=1-3291, snap_masked-NC_016529.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-6.55&CDS=1-2904
61	OG0000061	YDR385W, YOR133W	snap_masked-NC_016524.1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-3.74&CDS=1-2526, snap_masked-NC_016529.1-processed-gene-6.63-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-6.63&CDS=1-2526
62	OG0000062	YDR418W, YEL054C	snap_masked-NC_016524.1-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NC_016524.1-processed-gene-4.68&CDS=1-495, snap_masked-NC_016529.1-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-6.78&CDS=1-495
63	OG0000063	YDR420W, YGR014W	augustus_masked-NC_016530.1-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-NC_016530.1-processed-gene-3.2&CDS=1-2478, snap_masked-NC_016531.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-0.58&CDS=1-3483
64	OG0000064	YDR428C, YDR429C	augustus_masked-NC_016523.1-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-NC_016523.1-processed-gene-5.4&CDS=1-1572, snap_masked-NC_016530.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NC_016530.1-processed-gene-1.49&CDS=1-813
65	OG0000065	YDR447C, YML024W	genemark-NC_016523.1-processed-gene-5.123-mRNA-1_1&gene=genemark-NC_016523.1-processed-gene-5.123&CDS=1-411, genemark-NC_016530.1-processed-gene-0.13-mRNA-1_1&gene=genemark-NC_016530.1-processed-gene-0.13&CDS=1-411
66	OG0000066	YDR450W, YML026C	genemark-NC_016530.1-processed-gene-0.30-mRNA-1_1&gene=genemark-NC_016530.1-processed-gene-0.30&CDS=1-438, snap_masked-NC_016523.1-processed-gene-5.62-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-5.62&CDS=1-438
