	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034998_Cephaloascus_albidus
10	OG0000010	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_101-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_101-processed-gene-0.74&CDS=1-1146, augustus_masked-flattened_line_111-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.19&CDS=1-1359, augustus_masked-flattened_line_361-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_361-processed-gene-0.14&CDS=1-1137, maker-flattened_line_357-snap-gene-0.14-mRNA-1_1&gene=maker-flattened_line_357-snap-gene-0.14&CDS=1-2253
11	OG0000011	YDL037C, YIR019C	augustus_masked-flattened_line_435-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_435-processed-gene-0.1&CDS=1-2784, genemark-flattened_line_1594-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_1594-processed-gene-0.2&CDS=1-744, maker-flattened_line_355-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_355-snap-gene-0.7&CDS=1-6723, snap_masked-flattened_line_815-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_815-processed-gene-0.1&CDS=1-228, snap_masked-flattened_line_825-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_825-processed-gene-0.1&CDS=1-228
12	OG0000012	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_207-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_207-processed-gene-0.65&CDS=1-1227, augustus_masked-flattened_line_213-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_213-processed-gene-0.33&CDS=1-1233, augustus_masked-flattened_line_223-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_223-processed-gene-0.4&CDS=1-1194, augustus_masked-flattened_line_71-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.24&CDS=1-1662
13	OG0000013	YDR342C, YDR343C, YHR092C	augustus_masked-flattened_line_211-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_211-processed-gene-0.59&CDS=1-1665, augustus_masked-flattened_line_623-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_623-processed-gene-0.0&CDS=1-1257, augustus_masked-flattened_line_631-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_631-processed-gene-0.1&CDS=1-1257, maker-flattened_line_211-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_211-snap-gene-0.0&CDS=1-2814
14	OG0000014	YGL257C, YNL094W, YNR059W	augustus_masked-flattened_line_185-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_185-processed-gene-0.18&CDS=1-2001, augustus_masked-flattened_line_253-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_253-processed-gene-0.42&CDS=1-2220, genemark-flattened_line_95-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_95-processed-gene-0.71&CDS=1-1971, maker-flattened_line_53-augustus-gene-0.57-mRNA-1_1&gene=maker-flattened_line_53-augustus-gene-0.57&CDS=1-4344
15	OG0000015	YJR061W, YKL201C	augustus_masked-flattened_line_209-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_209-processed-gene-0.19&CDS=1-2271, augustus_masked-flattened_line_215-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_215-processed-gene-0.2&CDS=1-1977, augustus_masked-flattened_line_387-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_387-processed-gene-0.0&CDS=1-2679, genemark-flattened_line_26-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.16&CDS=1-2064, maker-flattened_line_209-augustus-gene-0.56-mRNA-1_1&gene=maker-flattened_line_209-augustus-gene-0.56&CDS=1-3471
16	OG0000016	YAL056W, YOR371C	augustus_masked-flattened_line_159-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_159-processed-gene-0.70&CDS=1-2715, augustus_masked-flattened_line_219-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_219-processed-gene-0.62&CDS=1-2931, augustus_masked-flattened_line_235-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_235-processed-gene-0.6&CDS=1-2490, augustus_masked-flattened_line_81-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_81-processed-gene-0.10&CDS=1-2745
17	OG0000017	YBR015C	augustus_masked-flattened_line_241-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_241-processed-gene-0.38&CDS=1-1770, augustus_masked-flattened_line_26-processed-gene-0.234-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.234&CDS=1-1815, augustus_masked-flattened_line_35-processed-gene-0.233-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.233&CDS=1-1809, augustus_masked-flattened_line_49-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.44&CDS=1-1677, augustus_masked-flattened_line_49-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.53&CDS=1-1857
18	OG0000018	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_6-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.201&CDS=1-4056, maker-flattened_line_520-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_520-snap-gene-0.2&CDS=1-3057, maker-flattened_line_538-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_538-snap-gene-0.6&CDS=1-3057
19	OG0000019	YDL020C	augustus_masked-flattened_line_143-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_143-processed-gene-0.8&CDS=1-1053, augustus_masked-flattened_line_775-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_775-processed-gene-0.2&CDS=1-579, augustus_masked-flattened_line_819-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_819-processed-gene-0.7&CDS=1-579, genemark-flattened_line_55-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.74&CDS=1-1569, maker-flattened_line_55-augustus-gene-0.122-mRNA-1_1&gene=maker-flattened_line_55-augustus-gene-0.122&CDS=1-1506
20	OG0000020	YGR192C, YJL052W, YJR009C	augustus_masked-flattened_line_203-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_203-processed-gene-0.26&CDS=1-1011, augustus_masked-flattened_line_479-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_479-processed-gene-0.10&CDS=1-1011, augustus_masked-flattened_line_574-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_574-processed-gene-0.5&CDS=1-1011
21	OG0000021	YGR197C, YJR015W	augustus_masked-flattened_line_4-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.34&CDS=1-1788, augustus_masked-flattened_line_4-processed-gene-2.164-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.164&CDS=1-1368, augustus_masked-flattened_line_69-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.40&CDS=1-1491, augustus_masked-flattened_line_8-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.89&CDS=1-1581
22	OG0000022	YHR179W, YPL171C	augustus_masked-flattened_line_125-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.92&CDS=1-1203, augustus_masked-flattened_line_57-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.160&CDS=1-1209, maker-flattened_line_125-snap-gene-0.106-mRNA-1_1&gene=maker-flattened_line_125-snap-gene-0.106&CDS=1-1806, maker-flattened_line_125-snap-gene-0.107-mRNA-1_1&gene=maker-flattened_line_125-snap-gene-0.107&CDS=1-3915
23	OG0000023	YIL049W, YOR373W	augustus_masked-flattened_line_135-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_135-processed-gene-0.74&CDS=1-2232, augustus_masked-flattened_line_369-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_369-processed-gene-0.0&CDS=1-1374, augustus_masked-flattened_line_75-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_75-processed-gene-0.54&CDS=1-2319, genemark-flattened_line_487-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_487-processed-gene-0.2&CDS=1-1626
24	OG0000024	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_14-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.171&CDS=1-2187, augustus_masked-flattened_line_147-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_147-processed-gene-0.60&CDS=1-2007, augustus_masked-flattened_line_169-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_169-processed-gene-0.62&CDS=1-2025
25	OG0000025	YNR018W	augustus_masked-flattened_line_127-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.9&CDS=1-423, augustus_masked-flattened_line_2343-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2343-processed-gene-0.0&CDS=1-207, augustus_masked-flattened_line_933-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_933-processed-gene-0.3&CDS=1-384, augustus_masked-flattened_line_943-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_943-processed-gene-0.3&CDS=1-330, snap_masked-flattened_line_3201-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_3201-processed-gene-0.0&CDS=1-195
26	OG0000026	YOR153W	augustus_masked-flattened_line_12-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.75&CDS=1-4428, augustus_masked-flattened_line_261-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_261-processed-gene-0.35&CDS=1-4452, augustus_masked-flattened_line_329-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_329-processed-gene-0.13&CDS=1-4461, augustus_masked-flattened_line_95-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.98&CDS=1-4446, snap_masked-flattened_line_12-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.1&CDS=1-4131
27	OG0000027	YOR344C	augustus_masked-flattened_line_1472-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1472-processed-gene-0.1&CDS=1-768, augustus_masked-flattened_line_155-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_155-processed-gene-0.62&CDS=1-174, augustus_masked-flattened_line_1819-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1819-processed-gene-0.2&CDS=1-579, augustus_masked-flattened_line_1973-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1973-processed-gene-0.2&CDS=1-351, augustus_masked-flattened_line_2257-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2257-processed-gene-0.0&CDS=1-363
28	OG0000028		augustus_masked-flattened_line_143-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_143-processed-gene-0.7&CDS=1-2133, augustus_masked-flattened_line_269-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_269-processed-gene-0.2&CDS=1-2160, augustus_masked-flattened_line_315-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_315-processed-gene-0.21&CDS=1-1455, augustus_masked-flattened_line_614-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_614-processed-gene-0.5&CDS=1-867, augustus_masked-flattened_line_614-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_614-processed-gene-0.7&CDS=1-855, augustus_masked-flattened_line_753-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_753-processed-gene-0.2&CDS=1-1281
29	OG0000029	YAL018C, YOL048C	augustus_masked-flattened_line_199-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_199-processed-gene-0.82&CDS=1-111, augustus_masked-flattened_line_699-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_699-processed-gene-0.3&CDS=1-1044, maker-flattened_line_608-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_608-augustus-gene-0.0&CDS=1-1044
30	OG0000030	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_93-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_93-processed-gene-0.6&CDS=1-4581
31	OG0000031	YBR010W, YNL031C	augustus_masked-flattened_line_0-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.95&CDS=1-408, augustus_masked-flattened_line_181-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_181-processed-gene-0.74&CDS=1-408, augustus_masked-flattened_line_431-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_431-processed-gene-0.2&CDS=1-408
32	OG0000032	YBR067C	augustus_masked-flattened_line_405-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_405-processed-gene-0.1&CDS=1-729, augustus_masked-flattened_line_59-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.14&CDS=1-327, augustus_masked-flattened_line_59-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.15&CDS=1-318, augustus_masked-flattened_line_99-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.39&CDS=1-606
33	OG0000033	YBR078W, YDR055W, YJR084W	augustus_masked-flattened_line_237-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_237-processed-gene-0.57&CDS=1-1293, maker-flattened_line_0-snap-gene-2.171-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.171&CDS=1-2490
34	OG0000034	YBR084W, YGR204W	augustus_masked-flattened_line_34-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.158&CDS=1-2871, augustus_masked-flattened_line_34-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.207&CDS=1-2871, augustus_masked-flattened_line_95-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.91&CDS=1-2829
35	OG0000035	YBR150C, YOL089C	augustus_masked-flattened_line_55-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.34&CDS=1-2370, augustus_masked-flattened_line_55-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.35&CDS=1-1959, augustus_masked-flattened_line_55-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.7&CDS=1-2472
36	OG0000036	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_115-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_115-processed-gene-0.109&CDS=1-2373
37	OG0000037	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_24-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.107&CDS=1-1686
38	OG0000038	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_32-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.1&CDS=1-1875
39	OG0000039	YDL109C, YDR444W, YGL144C	augustus_masked-flattened_line_111-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.29&CDS=1-2292, augustus_masked-flattened_line_179-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_179-processed-gene-0.44&CDS=1-2226
40	OG0000040	YDL137W, YDL192W, YOR094W	augustus_masked-flattened_line_215-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_215-processed-gene-0.7&CDS=1-543, augustus_masked-flattened_line_53-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.47&CDS=1-525
41	OG0000041	YDR131C, YJL149W	augustus_masked-flattened_line_167-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_167-processed-gene-0.82&CDS=1-1848, augustus_masked-flattened_line_30-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.218&CDS=1-1833, augustus_masked-flattened_line_49-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.47&CDS=1-1824
42	OG0000042	YDR242W	augustus_masked-flattened_line_171-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_171-processed-gene-0.80&CDS=1-1698, augustus_masked-flattened_line_217-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_217-processed-gene-0.80&CDS=1-1638, augustus_masked-flattened_line_79-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.14&CDS=1-1650, augustus_masked-flattened_line_79-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.29&CDS=1-1668
43	OG0000043	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_169-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_169-processed-gene-0.61&CDS=1-720
44	OG0000044	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_355-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_355-processed-gene-0.9&CDS=1-1002
