	OrthologID	Aspergillus_nidulans	Saccharomyces_cerevisiae
23	OG0000023	AN11209, AN1506, AN7147, AN7240, AN8768	YOL137W
24	OG0000024	AN0718, AN11793, AN3356, AN5040, AN5052, AN7073	
25	OG0000025	AN11753, AN6430, AN6832, AN8506, AN8894	YNR063W
26	OG0000026	AN12101, AN5228, AN9177, AN9345	YHR179W, YPL171C
27	OG0000027	AN7346, AN8596	YBR297W, YFL052W, YGR288W, YPR196W
28	OG0000028	AN1189, AN2827, AN4920, AN5088, AN8399	YGL006W
29	OG0000029	AN2200, AN2960, AN4108, AN6739, AN8579	YLL057C
30	OG0000030	AN2196, AN2959, AN3066, AN4106, AN4107	YIL166C
31	OG0000031	AN11111	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
32	OG0000032	AN5628, AN7167, AN7936	YIL120W, YIL121W
33	OG0000033	AN4674, AN5660, AN6927	YHL028W, YOR008C
34	OG0000034	AN0216, AN10399, AN10875, AN3276	YIL124W
35	OG0000035	AN1573, AN6487	YDR144C, YLR120C, YLR121C
36	OG0000036	AN0933, AN11979, AN3053, AN3914	YGR189C
37	OG0000037	AN1061, AN2962, AN4124, AN8990	YKL174C
38	OG0000038	AN1254, AN5003	YGR067C, YMR182C, YPL230W
39	OG0000039	AN0299, AN4871, AN5454, AN7886	YDR371W
40	OG0000040	AN11094, AN8409	YCR102C, YLR460C, YNL134C
41	OG0000041	AN10309, AN1852, AN9380	YLR307W, YLR308W
42	OG0000042	AN11818, AN3290, AN5651, AN6030	YKL015W
43	OG0000043	AN0787, AN2045, AN3566, AN3733	YLR057W
44	OG0000044	AN5977	YDR541C, YGL039W, YGL157W, YOL151W
45	OG0000045	AN10891, AN1797, AN6669, AN8737	YDL138W
46	OG0000046	AN11077, AN3419, AN6393, AN6836	YJL218W
47	OG0000047	AN5397, AN6830, AN9170	YFL041W, YMR058W
48	OG0000048	AN8009	YDL244W, YFL058W, YJR156C, YNL332W
49	OG0000049	AN1650, AN2039, AN3234, AN6659	YKL071W
50	OG0000050	AN11941, AN2666, AN9064	YDL246C, YJR159W
51	OG0000051	AN3249, AN4227, AN5850, AN8896	YDL114W
52	OG0000052	AN0651, AN1016, AN3090	YER020W, YHR005C
53	OG0000053	AN0856, AN10972, AN5275, AN7392	YGL077C
54	OG0000054	AN1599, AN3533, AN6759, AN9147	YML076C
55	OG0000055	AN12429, AN1713	YKR089C, YMR313C, YOR081C
56	OG0000056	AN1675, AN7792	YMR006C, YMR008C, YOL011W
57	OG0000057	AN2932, AN8016	YDR021W, YJL138C, YKR059W
58	OG0000058	AN8880	YBL017C, YIL173W, YJL222W, YNR065C
59	OG0000059	AN2265, AN4935	YDR247W, YHR082C, YPL026C
60	OG0000060	AN1628, AN6642	YDR038C, YDR039C, YDR040C
61	OG0000061	AN0599, AN2158, AN9288	YAL060W, YAL061W
62	OG0000062	AN0486, AN12489, AN2270	YJR127C, YML081W
63	OG0000063	AN2286, AN8979	YBR145W, YMR303C, YOL086C
64	OG0000064	AN0666, AN1872, AN1998, AN8897	YGR263C
65	OG0000065	AN11138, AN3231, AN6940	YFL050C, YOL130W
66	OG0000066	AN4018, AN4925	YJR126C, YOR256C, YPL176C
67	OG0000067	AN0300	YLR155C, YLR157C, YLR158C, YLR160C
68	OG0000068		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
69	OG0000069	AN11152, AN3730, AN7511	YMR307W
70	OG0000070	AN0170, AN8571	YGR209C, YLR043C
71	OG0000071	AN10767	YER056C, YER060W, YER060W-A
72	OG0000072	AN6446, AN7174, AN8377	YKR099W
73	OG0000073	AN3651, AN6197	YBR103W, YOR269W
74	OG0000074	AN1048, AN10496	YJR061W, YKL201C
75	OG0000075	AN3143, AN3479, AN8495	YJL108C
76	OG0000076	AN10006, AN5681	YDR265W, YER116C
77	OG0000077	AN4281, AN6974	YFL005W, YFL038C
78	OG0000078	AN0788, AN12033, AN7292	YNR064C
79	OG0000079	AN1853, AN2343	YCL026C-A, YCL026C-B
80	OG0000080	AN0654, AN1592, AN8143	YPL069C
81	OG0000081	AN2764, AN3186	YER041W, YKL113C
82	OG0000082	AN2130, AN3159	YLL016W, YLR310C
83	OG0000083	AN0485, AN3709, AN6785	YLR380W
84	OG0000084	AN0771, AN10949, AN4749	YOR153W
85	OG0000085	AN3085, AN4549, AN5564	YKR070W
86	OG0000086	AN11106, AN1196, AN1747	YBL095W
87	OG0000087	AN3866, AN4217	YCL064C, YIL167W
88	OG0000088	AN4807, AN7454	YGR141W, YPR157W
89	OG0000089	AN1050, AN5646, AN5878	YIL160C
90	OG0000090	AN2012, AN2346, AN8434	YIL001W
91	OG0000091	AN1893, AN6884, AN6889	YDR421W
92	OG0000092	AN1078, AN10841	YLR284C, YOR180C
93	OG0000093	AN1839, AN5226	YCR010C, YNR002C
94	OG0000094	AN2047, AN6732	YBR109C, YGL106W
95	OG0000095	AN3029, AN5950	YJR005W, YKL135C
96	OG0000096	AN2941, AN5437, AN7727	YDR124W
97	OG0000097	AN10719, AN10966	YDR378C, YPR182W
98	OG0000098	AN11113, AN7465	YDL003W, YPR007C
99	OG0000099	AN10902	YLL052C, YLL053C, YPR192W
100	OG0000100	AN6571, AN6857	YBR015C, YJL186W
101	OG0000101	AN10042, AN12169, AN7282	YER080W
102	OG0000102	AN11221, AN1731, AN6026	YLR142W
103	OG0000103	AN8279	YEL063C, YNL268W, YNL270C
104	OG0000104	AN4355, AN6025, AN9279	YER023W
105	OG0000105	AN3378	YLL062C, YMR321C, YPL273W
106	OG0000106	AN5411, AN6421	YFL061W, YNL335W
107	OG0000107	AN4953, AN5740	YNL090W, YPR165W
108	OG0000108	AN10762	YOL055C, YPL258C, YPR121W
109	OG0000109	AN1212, AN4123, AN5691	YBR240C
110	OG0000110	AN6141	YFL060C, YMR095C, YNL334C
111	OG0000111	AN0351, AN6792	YDL022W, YOL059W
112	OG0000112	AN3494, AN4776	YMR222C, YOR280C
113	OG0000113	AN0734, AN2426	YBR009C, YNL030W
114	OG0000114	AN4248, AN4636	YAL018C, YOL048C
115	OG0000115	AN11016, AN12060, AN9133	YPL092W
116	OG0000116	AN2465, AN8912	YDR497C, YOL103W
117	OG0000117	AN0773, AN4906, AN7662	YLR214W
118	OG0000118	AN1274, AN7954	YDR368W, YOR120W
119	OG0000119	AN2421, AN8741	YPR013C, YPR015C
120	OG0000120	AN4390	YBR078W, YDR055W, YDR522C
121	OG0000121	AN0578, AN1997	YDR253C, YPL038W
122	OG0000122	AN4888	YGR087C, YLR044C, YLR134W
123	OG0000123	AN10273, AN5831	YKR076W, YMR251W
124	OG0000124	AN10078, AN1014	YKL188C, YPL147W
125	OG0000125	AN0890, AN1423, AN4019	YCR023C
126	OG0000126	AN11062, AN9080	YER057C, YIL051C
127	OG0000127	AN6120, AN6709	YDR170C, YPR095C
128	OG0000128	AN3265, AN4170	YFR022W, YOR018W
129	OG0000129	AN3598, AN8343	YDR519W, YNL135C
130	OG0000130	AN10986, AN4810	YJL172W, YOL153C
131	OG0000131	AN8041	YGR192C, YJL052W, YJR009C
132	OG0000132	AN8666, AN8694	YBR150C, YOL089C
133	OG0000133	AN0732, AN8122	YGR138C, YPR156C
134	OG0000134	AN10800, AN9461	YGL059W, YIL042C
135	OG0000135		YBL068W-A, YBL069W, YER101C, YMR152W
136	OG0000136		YCL069W, YGR224W, YKR105C, YPR198W
137	OG0000137		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
138	OG0000138		YKL222C, YLR266C, YOR162C, YOR172W
139	OG0000139	AN2801, AN7708	YJR096W
140	OG0000140	AN11994	YDR389W, YOR134W
141	OG0000141	AN10822	YDR409W, YOR156C
142	OG0000142	AN4615	YDL222C, YNL194C
143	OG0000143	AN10782, AN2977	YER053C
144	OG0000144	AN2464	YHL003C, YKL008C
145	OG0000145	AN0776	YJL177W, YKL180W
146	OG0000146	AN2877	YOR237W, YPL145C
147	OG0000147	AN1166	YLR448W, YML073C
148	OG0000148	AN8793	YKL141W, YMR118C
149	OG0000149	AN10631, AN5480	YHR087W
150	OG0000150	AN10960, AN2161	YGR111W
151	OG0000151	AN2856	YCL036W, YDR514C
152	OG0000152	AN0347	YER031C, YGL210W
153	OG0000153	AN2215	YDR326C, YHR080C
154	OG0000154	AN3255, AN4905	YNL229C
155	OG0000155	AN4189	YOR231W, YPL140C
156	OG0000156	AN4215	YCL035C, YDR513W
157	OG0000157	AN1047	YBR169C, YPL106C
158	OG0000158	AN5671	YIL105C, YNL047C
159	OG0000159	AN2132	YOR390W, YPL279C
160	OG0000160	AN5055, AN5199	YLR244C
161	OG0000161	AN9468	YDL083C, YMR143W
162	OG0000162	AN3493, AN5784	YBL041W
163	OG0000163	AN0681, AN11168	YHR112C
164	OG0000164	AN5800	YNL301C, YOL120C
165	OG0000165	AN0789, AN1876	YOL060C
166	OG0000166	AN11127	YCR067C, YNR026C
167	OG0000167	AN12120	YAL051W, YOR363C
168	OG0000168	AN0908	YNL108C, YOR110W
169	OG0000169	AN0095	YJL083W, YKR019C
170	OG0000170	AN11968, AN6979	YBR153W
171	OG0000171	AN10630, AN4932	YOL002C
172	OG0000172	AN10533	YML100W, YMR261C
173	OG0000173	AN5014	YFL034C-A, YLR061W
174	OG0000174	AN4522	YER056C-A, YIL052C
175	OG0000175	AN10338	YBL089W, YER119C
176	OG0000176	AN1089	YJL084C, YKR021W
177	OG0000177	AN7303	YGL133W, YPL216W
178	OG0000178	AN3916, AN5589	YHL032C
179	OG0000179	AN9464	YBR014C, YDL010W
180	OG0000180	AN1927	YBR033W, YKL038W
181	OG0000181	AN1857, AN5952	YLR231C
182	OG0000182	AN8080, AN8692	YLR109W
183	OG0000183	AN4135, AN6731	YGL055W
184	OG0000184	AN1568, AN6985	YDR109C
185	OG0000185	AN10779	YGR143W, YPR159W
186	OG0000186	AN0179, AN0618	YMR226C
187	OG0000187	AN12246	YJR094W-A, YPR043W
188	OG0000188	AN10740	YBL027W, YBR084C-A
189	OG0000189	AN0369, AN4404	YBL091C
190	OG0000190	AN10915, AN2557	YPL165C
191	OG0000191	AN6330	YDR385W, YOR133W
192	OG0000192	AN7149	YGR197C, YJR015W
193	OG0000193	AN3435	YCR018C, YPL021W
194	OG0000194	AN1218, AN4653	YKL128C
195	OG0000195	AN5224	YGR241C, YHR161C
196	OG0000196	AN5426, AN7564	YEL046C
197	OG0000197	AN4060	YNL302C, YOL121C
198	OG0000198	AN2020	YGL096W, YPL177C
199	OG0000199	AN10681	YDL075W, YLR406C
200	OG0000200	AN2425	YER054C, YIL045W
201	OG0000201	AN8067	YGL082W, YPL191C
202	OG0000202	AN6129, AN9013	YML099C
203	OG0000203	AN3035	YDR263C, YOR033C
204	OG0000204	AN4276, AN4289	YCL074W
205	OG0000205	AN8827	YER129W, YGL179C
206	OG0000206	AN3681, AN4990	YLR220W
207	OG0000207	AN4475	YGR085C, YPR102C
208	OG0000208	AN10158, AN7874	YBR096W
209	OG0000209	AN1288	YCL037C, YDR515W
210	OG0000210	AN1725, AN5027	YEL023C
211	OG0000211	AN0112	YEL022W, YJR031C
212	OG0000212	AN4957	YBR020W, YDR009W
213	OG0000213	AN4873	YDR146C, YLR131C
214	OG0000214	AN11032, AN5674	YDR523C
215	OG0000215	AN0193, AN7239	YJR142W
216	OG0000216	AN1933	YGR038W, YLR350W
217	OG0000217	AN10449	YDL042C, YOL068C
218	OG0000218	AN6060	YGL049C, YGR162W
219	OG0000219	AN11143, AN7402	YIL099W
220	OG0000220	AN4066	YHR155W, YNL257C
221	OG0000221	AN4988	YHR146W, YNL173C
222	OG0000222	AN6095, AN6703	YKL217W
223	OG0000223	AN11129, AN5191	YHR067W
224	OG0000224	AN11332	YPR169W-A, YPR170W-B
225	OG0000225	AN10976, AN7189	YHR178W
226	OG0000226	AN5708	YBR214W, YGL056C
227	OG0000227	AN4082	YJL137C, YKR058W
228	OG0000228	AN10648, AN2684	YGL012W
229	OG0000229	AN3910	YDR458C, YML034W
230	OG0000230	AN11197, AN6733	YPR022C
231	OG0000231	AN5167	YDR103W, YJL157C
232	OG0000232	AN7700	YDL224C, YNL197C
233	OG0000233	AN2492	YDR348C, YHR097C
234	OG0000234	AN2995	YGR136W, YPR154W
235	OG0000235	AN2885	YBR089C-A, YPR052C
236	OG0000236	AN0063	YHL017W, YKL039W
237	OG0000237	AN1867, AN8261	YPL031C
238	OG0000238	AN8762	YGR243W, YHR162W
239	OG0000239	AN8288	YNL106C, YOR109W
240	OG0000240	AN4446	YAR002C-A, YGL002W
241	OG0000241	AN1251	YBR066C, YDR043C
242	OG0000242	AN0830, AN3915	YFL054C
243	OG0000243	AN0229, AN8069	YMR266W
244	OG0000244	AN0454, AN1730	YGL159W
245	OG0000245	AN4655	YOR226C, YPL135W
246	OG0000246	AN6817, AN7199	YML131W
247	OG0000247	AN4387	YEL006W, YIL006W
248	OG0000248	AN4222	YDR471W, YHR010W
249	OG0000249	AN4802	YBR191W, YPL079W
250	OG0000250	AN5630	YHL039W, YPL208W
251	OG0000251	AN1244	YJL082W, YKR018C
252	OG0000252	AN1345	YGR118W, YPR132W
253	OG0000253	AN11956	YDR107C, YLR083C
254	OG0000254	AN4052	YLR300W, YOR190W
255	OG0000255	AN4916	YNL096C, YOR096W
256	OG0000256	AN1697	YMR180C, YPL228W
257	OG0000257	AN10071	YGL014W, YGL178W
258	OG0000258	AN7661	YOR032C, YOR344C
259	OG0000259	AN12102, AN6337	YNL015W
260	OG0000260	AN0069	YKL121W, YMR102C
261	OG0000261	AN3817	YLR450W, YML075C
262	OG0000262	AN6632	YLR264W, YOR167C
263	OG0000263	AN6548, AN7925	YJL055W
264	OG0000264	AN1383	YHR132W-A, YNL157W
265	OG0000265	AN11705, AN12426	YDR276C
266	OG0000266	AN10153	YCR073C, YNR031C
267	OG0000267	AN4232	YDR312W, YHR066W
268	OG0000268	AN12431, AN8000	YHR099W
269	OG0000269	AN10343, AN11011	YBR296C
270	OG0000270	AN10452	YBR183W, YPL087W
271	OG0000271	AN7725	YFL059W, YNL333W
272	OG0000272	AN7107	YGL076C, YPL198W
273	OG0000273	AN4574	YOR389W, YPL277C
274	OG0000274	AN0465	YBL072C, YER102W
275	OG0000275	AN5692	YGR004W, YLR324W
276	OG0000276	AN3808, AN6365	YPL067C
277	OG0000277	AN10524	YCR052W, YNR023W
278	OG0000278	AN1858, AN2509	YJR078W
279	OG0000279	AN0262	YDR418W, YEL054C
280	OG0000280	AN0257, AN5269	YPR128C
281	OG0000281	AN12254, AN9179	YPR127W
282	OG0000282	AN8531	YER175C, YHR209W
283	OG0000283	AN10130	YGR027C, YLR333C
284	OG0000284	AN1176	YLR260W, YOR171C
285	OG0000285	AN10529, AN1102	YDR062W
286	OG0000286	AN10905, AN2287	YDL210W
287	OG0000287	AN3122	YMR237W, YOR299W
288	OG0000288	AN2663, AN3232	YCR028C
289	OG0000289	AN6435, AN8117	YCR034W
290	OG0000290	AN3043, AN8206	YHR176W
291	OG0000291	AN5979	YDR447C, YML024W
292	OG0000292	AN1216	YER062C, YIL053W
293	OG0000293	AN7335	YBR216C, YGL060W
294	OG0000294	AN4780	YLR456W, YPR172W
295	OG0000295	AN0733	YBR010W, YNL031C
296	OG0000296	AN4218	YBR118W, YPR080W
297	OG0000297	AN2241, AN4118	YOR380W
298	OG0000298	AN4292	YGR008C, YLR327C
299	OG0000299	AN11942, AN4382	YFR007W
300	OG0000300	AN0822	YOR233W, YPL141C
301	OG0000301	AN5499	YIL149C, YKR095W
302	OG0000302	AN2145, AN8808	YDL237W
303	OG0000303	AN7687	YHR117W, YNL121C
304	OG0000304	AN5520	YHL033C, YLL045C
305	OG0000305	AN3469	YBL002W, YDR224C
306	OG0000306	AN0660	YBR021W, YIR028W
307	OG0000307	AN1498	YCL050C, YDR530C
308	OG0000308	AN4544	YIL113W, YNL053W
309	OG0000309	AN1745	YGR010W, YLR328W
310	OG0000310	AN7003	YDL082W, YMR142C
311	OG0000311	AN3209, AN3813	YLR411W
312	OG0000312	AN4794	YHR203C, YJR145C
313	OG0000313	AN11411	YDL061C, YLR388W
314	OG0000314	AN10463, AN6173	YLR278C
315	OG0000315	AN10008, AN3939	YGR003W
316	OG0000316	AN7550	YCR026C, YEL016C
317	OG0000317	AN2854	YIL131C, YNL068C
318	OG0000318	AN7459	YFR053C, YGL253W
319	OG0000319	AN2072	YDR069C, YER144C
320	OG0000320	AN4452	YMR194W, YPL249C-A
321	OG0000321	AN6696	YDR501W, YLR183C
322	OG0000322	AN12366	YBR241C, YGL104C
323	OG0000323	AN11097, AN8106	YJR154W
324	OG0000324	AN6228	YBR172C, YPL105C
325	OG0000325	AN5517	YER066W, YFL009W
326	OG0000326	AN6697	YJL116C, YKR042W
327	OG0000327	AN10706, AN6233	YJL073W
328	OG0000328	AN9149	YNL087W, YOR086C
329	OG0000329	AN4632	YDR200C, YLR238W
330	OG0000330	AN5222	YBR048W, YDR025W
331	OG0000331	AN8705	YLR287C-A, YOR182C
332	OG0000332	AN10011, AN3829	YBR006W
333	OG0000333	AN0417	YER019C-A, YER087C-B
334	OG0000334	AN10589, AN12172	YIL067C
335	OG0000335	AN10126, AN8494	YDL144C
336	OG0000336	AN4486, AN4744	YLR451W
337	OG0000337	AN10220, AN5440	YKR066C
338	OG0000338	AN4015	YEL034W, YJR047C
339	OG0000339	AN10257, AN4546	YBR233W
340	OG0000340	AN2846	YBR244W, YIR037W
341	OG0000341	AN2477, AN7165	YBR086C
342	OG0000342	AN4406	YBL091C-A, YER120W
343	OG0000343	AN8404	YLR178C, YLR179C
344	OG0000344	AN10700, AN11951	YER010C
345	OG0000345	AN1355	YMR253C, YPL264C
346	OG0000346	AN8791	YMR177W, YPL224C
347	OG0000347	AN1805, AN5611	YNL036W
348	OG0000348	AN0551, AN5748	YJR131W
349	OG0000349	AN3172	YGR214W, YLR048W
350	OG0000350	AN5891	YJL105W, YKR029C
351	OG0000351	AN2980	YOR234C, YPL143W
352	OG0000352	AN5973	YKL126W, YMR104C
353	OG0000353	AN1182, AN6838	YFL037W
354	OG0000354	AN10395, AN12339	YOR251C
355	OG0000355	AN0030, AN1184	YJL213W
356	OG0000356	AN3648	YGR108W, YPR119W
357	OG0000357	AN0570	YGR034W, YLR344W
358	OG0000358	AN10978	YAL015C, YOL043C
359	OG0000359	AN3522, AN7169	YGR234W
360	OG0000360	AN6181	YHR141C, YNL162W
361	OG0000361	AN7302	YFL048C, YLR080W
362	OG0000362	AN0360	YMR233W, YOR295W
363	OG0000363	AN1901, AN8283	YHR007C
364	OG0000364	AN3661, AN8025	YOR084W
365	OG0000365	AN5447, AN7278	YMR250W
366	OG0000366	AN4208	YCR048W, YNR019W
367	OG0000367	AN2503, AN5712	YOR197W
368	OG0000368	AN4536	YAL017W, YOL045W
369	OG0000369	AN10936	YDL036C, YOL066C
370	OG0000370	AN1186, AN4526	YGL186C
371	OG0000371	AN10527, AN7568	YHL021C
372	OG0000372	AN5083, AN5606	YOR270C
373	OG0000373	AN7621, AN9457	YMR041C
374	OG0000374	AN7567	YDR098C, YER174C
375	OG0000375	AN0775, AN5534	YNL274C
376	OG0000376	AN11873, AN7461	YPL015C
377	OG0000377	AN5099	YAL034C, YOR338W
378	OG0000378	AN4250	YBR104W, YPR058W
379	OG0000379	AN11702, AN5581	YBR151W
380	OG0000380	AN4372, AN8327	YJR153W
381	OG0000381	AN4792, AN9066	YDL174C
382	OG0000382	AN7188, AN7597	YJL212C
383	OG0000383	AN0218, AN4904	YNL275W
384	OG0000384	AN4039	YOR285W, YOR286W
385	OG0000385	AN7492	YLR270W, YOR173W
386	OG0000386	AN6534	YBR161W, YPL057C
387	OG0000387	AN2275	YFR031C-A, YIL018W
388	OG0000388	AN0285	YGR248W, YHR163W
389	OG0000389	AN4998, AN9463	YPL242C
390	OG0000390	AN5048	YDR451C, YML027W
391	OG0000391	AN2479	YEL066W, YPR193C
392	OG0000392	AN4501, AN5744	YER177W
393	OG0000393	AN5041, AN6338	YGL202W
394	OG0000394	AN11897, AN4874	YPL123C
395	OG0000395	AN10355	YNL293W, YOL112W
396	OG0000396	AN5694	YNL299W, YOL115W
397	OG0000397	AN7714	YIL151C, YKR096W
398	OG0000398	AN9097	YER074W, YIL069C
399	OG0000399	AN1136	YDR287W, YHR046C
400	OG0000400	AN0624	YDR132C, YLR108C
401	OG0000401	AN2815	YEL070W, YNR073C
402	OG0000402	AN8176	YBR031W, YDR012W
403	OG0000403	AN5631	YJL098W, YKR028W
404	OG0000404	AN1795	YMR243C, YOR316C
405	OG0000405	AN0929	YDR147W, YLR133W
406	OG0000406	AN4564	YGR238C, YHR158C
407	OG0000407	AN6752, AN6765	YGL205W
408	OG0000408	AN3696	YDL161W, YLR206W
409	OG0000409	AN6570	YER027C, YGL208W
410	OG0000410	AN4216	YHR198C, YHR199C
411	OG0000411	AN3964, AN8861	YJR069C
412	OG0000412	AN10057	YJL079C, YKR013W
413	OG0000413	AN10637	YFL004W, YPL019C
414	OG0000414	AN8751	YGR092W, YPR111W
415	OG0000415	AN1122	YGL135W, YPL220W
416	OG0000416	AN7683	YGR131W, YPR149W
417	OG0000417	AN7666	YEL041W, YJR049C
418	OG0000418	AN0433	YMR242C, YOR312C
419	OG0000419	AN8269	YMR186W, YPL240C
420	OG0000420	AN4785, AN8111	YPL248C
421	OG0000421	AN4494	YBL087C, YER117W
422	OG0000422	AN8689	YCL040W, YDR516C
423	OG0000423	AN11101	YCL024W, YDR507C
424	OG0000424	AN8704	YGL031C, YGR148C
425	OG0000425	AN10296	YEL047C, YJR051W
426	OG0000426	AN1358	YBL056W, YER089C
427	OG0000427	AN5441	YDR450W, YML026C
428	OG0000428	AN1228	YDL136W, YDL191W
429	OG0000429	AN5715	YER131W, YGL189C
430	OG0000430	AN3823	YJL136C, YKR057W
431	OG0000431	AN2442	YMR119W, YNL008C
432	OG0000432	AN7463	YGR121C, YPR138C
433	OG0000433	AN6840	YDR272W, YOR040W
434	OG0000434	AN5884	YML106W, YMR271C
435	OG0000435	AN4425, AN4964	YBL055C
436	OG0000436	AN10110, AN8417	YIR030C
437	OG0000437	AN9357	YIR035C, YIR036C
438	OG0000438	AN4496	YBL085W, YER114C
439	OG0000439	AN9410	YDL109C, YGL144C
440	OG0000440	AN6908	YHR115C, YNL116W
441	OG0000441	AN4016	YIL148W, YKR094C
442	OG0000442	AN3739	YCL011C, YNL004W
443	OG0000443	AN10223, AN3973	YBL064C
444	OG0000444	AN3755	YER059W, YIL050W
445	OG0000445	AN2316	YIL111W, YNL052W
446	OG0000446	AN12206	YBR147W, YOL092W
447	OG0000447	AN3690	YJL133W, YKR052C
448	OG0000448	AN6188	YBR242W, YGL101W
449	OG0000449	AN2979	YGR273C, YMR295C
450	OG0000450	AN3448	YGR056W, YLR357W
451	OG0000451	AN3807	YHR001W, YKR003W
452	OG0000452	AN4618	YBR049C, YDR026C
453	OG0000453	AN2730	YBR294W, YLR092W
454	OG0000454	AN0840	YNL104C, YOR108W
455	OG0000455	AN7474	YJR091C, YPR042C
456	OG0000456	AN1964	YBR181C, YPL090C
457	OG0000457	AN4777	YHR021C, YKL156W
458	OG0000458	AN3727	YGR279C, YMR305C
459	OG0000459	AN1039	YIR033W, YKL020C
460	OG0000460	AN2749	YLR187W, YNL278W
461	OG0000461	AN9465	YGL147C, YNL067W
462	OG0000462	AN0896	YDR178W, YLR164W
463	OG0000463	AN3587	YBL067C, YER098W
464	OG0000464	AN3456	YJR130C, YML082W
465	OG0000465	AN0446	YDR505C, YLR177W
466	OG0000466	AN4890	YBL106C, YPR032W
467	OG0000467	AN4169	YML109W, YMR273C
468	OG0000468	AN1025	YDR379W, YOR127W
469	OG0000469	AN7437, AN7591	YCL038C
470	OG0000470	AN3152	YIR013C, YLR013W
471	OG0000471	AN0430	YKL072W, YMR053C
472	OG0000472	AN10489	YLR449W, YML074C
473	OG0000473	AN4778	YHR123W, YNL130C
474	OG0000474	AN10235	YJR054W, YML047C
475	OG0000475	AN6629	YHL001W, YKL006W
476	OG0000476	AN1798	YLL012W, YLR020C
477	OG0000477	AN2688	YJL134W, YKR053C
478	OG0000478	AN6738	YBL079W, YER105C
479	OG0000479	AN3706	YMR230W, YOR293W
480	OG0000480	AN5824	YDR264C, YOR034C
481	OG0000481	AN1171	YDR122W, YLR096W
482	OG0000482	AN4465	YHR133C, YNL156C
483	OG0000483	AN4295	YDR185C, YLR168C
484	OG0000484	AN3940	YDR489W
485	OG0000485	AN10087	YBR088C
486	OG0000486	AN6878	YBR098W
487	OG0000487	AN5632	YDR486C
488	OG0000488	AN11125	YBR121C
489	OG0000489	AN4875	YDR282C
490	OG0000490	AN0819	YDL072C
491	OG0000491	AN2293	YIL020C
492	OG0000492	AN8860	YDL166C
493	OG0000493	AN9517	YGL131C
494	OG0000494	AN10205	YHR038W
