	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034710_Kluyveromyces_dobzhanskii
10	OG0000010		augustus_masked-NODE_20_length_145039_cov_31.7492_ID_39-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NODE_20_length_145039_cov_31.7492_ID_39-processed-gene-0.158&CDS=1-1728, augustus_masked-NODE_29_length_53210_cov_37.5556_ID_57-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_29_length_53210_cov_37.5556_ID_57-processed-gene-0.16&CDS=1-1863, augustus_masked-NODE_38_length_9308_cov_46.8038_ID_75-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_38_length_9308_cov_46.8038_ID_75-processed-gene-0.4&CDS=1-1293, genemark-NODE_16_length_196327_cov_29.5581_ID_31-processed-gene-0.205-mRNA-1_1&gene=genemark-NODE_16_length_196327_cov_29.5581_ID_31-processed-gene-0.205&CDS=1-1158, genemark-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-0.73&CDS=1-2151, maker-NODE_20_length_145039_cov_31.7492_ID_39-augustus-gene-0.191-mRNA-1_1&gene=maker-NODE_20_length_145039_cov_31.7492_ID_39-augustus-gene-0.191&CDS=1-2880, snap_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.65&CDS=1-753
11	OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
12	OG0000012	YCR010C, YDR384C, YNR002C	maker-NODE_4_length_935921_cov_18.6927_ID_7-snap-gene-8.143-mRNA-1_1&gene=maker-NODE_4_length_935921_cov_18.6927_ID_7-snap-gene-8.143&CDS=1-1737, snap_masked-NODE_22_length_135479_cov_32.0172_ID_43-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_22_length_135479_cov_32.0172_ID_43-processed-gene-0.84&CDS=1-834, snap_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-3.103-mRNA-1_1&gene=snap_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-3.103&CDS=1-831
13	OG0000013	YDR144C, YIL015W, YLR120C, YLR121C	snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-3.14-mRNA-1_1&gene=snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-3.14&CDS=1-1530, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-8.42-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-8.42&CDS=1-1779
14	OG0000014	YDR534C, YOR383C	snap_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.36&CDS=1-1593, snap_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.37&CDS=1-492, snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-2.118-mRNA-1_1&gene=snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-2.118&CDS=1-594, snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-2.119-mRNA-1_1&gene=snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-2.119&CDS=1-1512
15	OG0000015	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_11_length_285983_cov_19.1963_ID_21-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_11_length_285983_cov_19.1963_ID_21-processed-gene-0.40&CDS=1-1068, snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-0.72&CDS=1-1026
16	OG0000016	YER047C, YPL074W, YPR173C	snap_masked-NODE_23_length_127372_cov_30.9239_ID_45-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_23_length_127372_cov_30.9239_ID_45-processed-gene-0.92&CDS=1-1989, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-7.116-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-7.116&CDS=1-2199, snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-2.77&CDS=1-1290
17	OG0000017	YER073W, YOR374W, YPL061W	maker-NODE_1_length_1607026_cov_17.9001_ID_1-snap-gene-0.39-mRNA-1_1&gene=maker-NODE_1_length_1607026_cov_17.9001_ID_1-snap-gene-0.39&CDS=1-1914, snap_masked-NODE_28_length_56091_cov_22.5367_ID_55-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_28_length_56091_cov_22.5367_ID_55-processed-gene-0.47&CDS=1-1521, snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-0.78&CDS=1-1566
18	OG0000018	YER133W, YML016C, YPL179W	snap_masked-NODE_11_length_285983_cov_19.1963_ID_21-processed-gene-1.172-mRNA-1_1&gene=snap_masked-NODE_11_length_285983_cov_19.1963_ID_21-processed-gene-1.172&CDS=1-933, snap_masked-NODE_20_length_145039_cov_31.7492_ID_39-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_20_length_145039_cov_31.7492_ID_39-processed-gene-0.14&CDS=1-1968, snap_masked-NODE_34_length_34291_cov_20.2358_ID_67-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_34_length_34291_cov_20.2358_ID_67-processed-gene-0.34&CDS=1-1494
19	OG0000019	YHR050W, YLR034C, YOL122C	snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-8.86-mRNA-1_1&gene=snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-8.86&CDS=1-1692, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-4.127-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-4.127&CDS=1-1428, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-4.63&CDS=1-1746
20	OG0000020	YIL123W, YJL116C, YKR042W, YNL066W	snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-7.61-mRNA-1_1&gene=snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-7.61&CDS=1-1227, snap_masked-NODE_29_length_53210_cov_37.5556_ID_57-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_29_length_53210_cov_37.5556_ID_57-processed-gene-0.52&CDS=1-1167
21	OG0000021	YJL172W, YOL153C	snap_masked-NODE_29_length_53210_cov_37.5556_ID_57-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_29_length_53210_cov_37.5556_ID_57-processed-gene-0.35&CDS=1-1701, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-5.54-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-5.54&CDS=1-1821, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-6.63-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-6.63&CDS=1-1737, snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-1.76&CDS=1-1740
22	OG0000022	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-8.29&CDS=1-1965, genemark-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-11.46-mRNA-1_1&gene=genemark-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-11.46&CDS=1-2316
23	OG0000023	YAL051W, YOR363C	snap_masked-NODE_24_length_103904_cov_21.7932_ID_47-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_24_length_103904_cov_21.7932_ID_47-processed-gene-0.94&CDS=1-1335, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-4.89&CDS=1-2922, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-4.90-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-4.90&CDS=1-2580
24	OG0000024	YAR066W, YHR214W, YIL169C, YOL155C	augustus_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-0.51&CDS=1-2790
25	OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-2.90&CDS=1-4704
26	OG0000026	YBR015C, YJL186W	snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-2.73-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-2.73&CDS=1-1833, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-3.138&CDS=1-2040, snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-2.126-mRNA-1_1&gene=snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-2.126&CDS=1-1827
27	OG0000027	YBR139W, YMR297W	snap_masked-NODE_16_length_196327_cov_29.5581_ID_31-processed-gene-0.150-mRNA-1_1&gene=snap_masked-NODE_16_length_196327_cov_29.5581_ID_31-processed-gene-0.150&CDS=1-1416, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-2.53-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-2.53&CDS=1-1482, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.74-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.74&CDS=1-1605
28	OG0000028	YBR205W, YOR099W	snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-4.101-mRNA-1_1&gene=snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-4.101&CDS=1-1218, snap_masked-NODE_28_length_56091_cov_22.5367_ID_55-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_28_length_56091_cov_22.5367_ID_55-processed-gene-0.45&CDS=1-1227, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-0.45&CDS=1-1266
29	OG0000029	YCR037C, YJL198W, YNR013C	snap_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.72&CDS=1-2721, snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-9.53-mRNA-1_1&gene=snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-9.53&CDS=1-2577
30	OG0000030	YCR089W, YDR134C, YLR110C	augustus_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-10.200-mRNA-1_1&gene=augustus_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-10.200&CDS=1-3633, genemark-NODE_18_length_188073_cov_18.5781_ID_35-processed-gene-0.148-mRNA-1_1&gene=genemark-NODE_18_length_188073_cov_18.5781_ID_35-processed-gene-0.148&CDS=1-360
31	OG0000031	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-NODE_16_length_196327_cov_29.5581_ID_31-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_16_length_196327_cov_29.5581_ID_31-processed-gene-0.80&CDS=1-1020
32	OG0000032	YDR326C, YFL042C, YHR080C	snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.146&CDS=1-2193, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-1.141-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-1.141&CDS=1-4068
33	OG0000033	YDR533C, YMR322C, YOR391C, YPL280W	maker-NODE_7_length_356351_cov_27.068_ID_13-snap-gene-0.57-mRNA-1_1&gene=maker-NODE_7_length_356351_cov_27.068_ID_13-snap-gene-0.57&CDS=1-1395
34	OG0000034	YER040W, YJL110C	snap_masked-NODE_22_length_135479_cov_32.0172_ID_43-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_22_length_135479_cov_32.0172_ID_43-processed-gene-0.58&CDS=1-2298, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-0.40&CDS=1-1578, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-4.111-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-4.111&CDS=1-2145
35	OG0000035	YGR192C, YJL052W, YJR009C	snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.151-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.151&CDS=1-993, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-0.51&CDS=1-987
36	OG0000036	YIL120W, YIL121W, YNL065W	snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-6.93&CDS=1-1857, snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-6.94&CDS=1-1626
37	OG0000037	YJL158C, YJL160C	snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.111&CDS=1-1050, snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.154-mRNA-1_1&gene=snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.154&CDS=1-951, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-2.109&CDS=1-915
38	OG0000038	YKL046C, YMR238W	snap_masked-NODE_33_length_36264_cov_18.7143_ID_65-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_33_length_36264_cov_18.7143_ID_65-processed-gene-0.24&CDS=1-1350, snap_masked-NODE_33_length_36264_cov_18.7143_ID_65-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_33_length_36264_cov_18.7143_ID_65-processed-gene-0.39&CDS=1-1350, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-4.125-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-4.125&CDS=1-1353
39	OG0000039	YLR237W, YOR071C, YOR192C	snap_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.66&CDS=1-1824, snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-0.25&CDS=1-1737
40	OG0000040	YLR291C, YLR292C	augustus_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NODE_19_length_181920_cov_18.9675_ID_37-processed-gene-0.163&CDS=1-1071, genemark-NODE_96_length_439_cov_37.7635_ID_191-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_96_length_439_cov_37.7635_ID_191-processed-gene-0.0&CDS=1-294, maker-NODE_7_length_356351_cov_27.068_ID_13-augustus-gene-2.231-mRNA-1_1&gene=maker-NODE_7_length_356351_cov_27.068_ID_13-augustus-gene-2.231&CDS=1-1713
41	OG0000041	YLR342W, YMR306W	genemark-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-1.58&CDS=1-5316, snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.126-mRNA-1_1&gene=snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.126&CDS=1-5655, snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-5.21&CDS=1-5283
42	OG0000042	YOR032C, YOR344C	snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-1.113-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-1.113&CDS=1-2757, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-2.74&CDS=1-831, snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-0.95&CDS=1-1245
