	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034973_Danielozyma_ontarioensis
10	OG0000010	YDR541C, YOL151W	augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.150&CDS=1-1005, augustus_masked-NODE_14_length_249592_cov_34.9232_ID_27-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-NODE_14_length_249592_cov_34.9232_ID_27-processed-gene-1.234&CDS=1-996, augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.73&CDS=1-996, augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-1.134&CDS=1-990, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-1.158&CDS=1-1011
11	OG0000011	YBR189W, YBR191W, YPL079W, YPL081W	augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-1.212&CDS=1-480, maker-NODE_3_length_1123224_cov_32.4581_ID_5-augustus-gene-1.6-mRNA-1_1&gene=maker-NODE_3_length_1123224_cov_32.4581_ID_5-augustus-gene-1.6&CDS=1-1041
12	OG0000012	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_12_length_307877_cov_37.9028_ID_23-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-NODE_12_length_307877_cov_37.9028_ID_23-processed-gene-1.147&CDS=1-2454, augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-7.90&CDS=1-2940, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-6.80&CDS=1-3816
13	OG0000013	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.156&CDS=1-1749, maker-NODE_18_length_169719_cov_41.7299_ID_35-augustus-gene-0.250-mRNA-1_1&gene=maker-NODE_18_length_169719_cov_41.7299_ID_35-augustus-gene-0.250&CDS=1-3006
14	OG0000014	YDR342C, YDR343C, YDR345C, YHR092C	augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.123&CDS=1-1638, snap_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-1.113-mRNA-1_1&gene=snap_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-1.113&CDS=1-1641
15	OG0000015	YGL194C, YNL330C, YPR068C	augustus_masked-NODE_16_length_227770_cov_29.655_ID_31-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_16_length_227770_cov_29.655_ID_31-processed-gene-0.100&CDS=1-1338, augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-1.37&CDS=1-1398, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-2.39&CDS=1-1140
16	OG0000016	YGL257C, YNR059W	augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-1.41&CDS=1-2544, augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.72-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.72&CDS=1-1662, snap_masked-NODE_22_length_48845_cov_45.6878_ID_43-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_22_length_48845_cov_45.6878_ID_43-processed-gene-0.19&CDS=1-1419, snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-9.24-mRNA-1_1&gene=snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-9.24&CDS=1-2340
17	OG0000017	YGR249W, YHR206W, YOR140W	augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-17.118-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-17.118&CDS=1-1551, maker-NODE_1_length_1880460_cov_31.0834_ID_1-augustus-gene-16.165-mRNA-1_1&gene=maker-NODE_1_length_1880460_cov_31.0834_ID_1-augustus-gene-16.165&CDS=1-2379, snap_masked-NODE_18_length_169719_cov_41.7299_ID_35-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_18_length_169719_cov_41.7299_ID_35-processed-gene-0.71&CDS=1-1929
18	OG0000018	YGR283C, YMR310C	augustus_masked-NODE_22_length_48845_cov_45.6878_ID_43-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_22_length_48845_cov_45.6878_ID_43-processed-gene-0.68&CDS=1-1704, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-0.54&CDS=1-1650, augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.178-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.178&CDS=1-1404, snap_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-2.154-mRNA-1_1&gene=snap_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-2.154&CDS=1-2640
19	OG0000019	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-0.89&CDS=1-1215, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-7.97&CDS=1-1158
20	OG0000020	YLL005C, YMR266W, YOL084W	augustus_masked-NODE_12_length_307877_cov_37.9028_ID_23-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NODE_12_length_307877_cov_37.9028_ID_23-processed-gene-2.17&CDS=1-2703, augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-7.64&CDS=1-2619, snap_masked-NODE_6_length_479438_cov_34.4106_ID_11-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NODE_6_length_479438_cov_34.4106_ID_11-processed-gene-1.35&CDS=1-1710
21	OG0000021	YLR144C, YNR067C	augustus_masked-NODE_23_length_38735_cov_49.1129_ID_45-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_23_length_38735_cov_49.1129_ID_45-processed-gene-0.33&CDS=1-2727, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-5.125&CDS=1-3216, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.280-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.280&CDS=1-2262, maker-NODE_4_length_992781_cov_33.0108_ID_7-augustus-gene-1.161-mRNA-1_1&gene=maker-NODE_4_length_992781_cov_33.0108_ID_7-augustus-gene-1.161&CDS=1-2586
22	OG0000022	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-1.37&CDS=1-2307, augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-0.65&CDS=1-2367
23	OG0000023	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-1.123&CDS=1-4617
24	OG0000024	YBL056W, YBR125C, YER089C	augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.104&CDS=1-1476, snap_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-0.31&CDS=1-1044
25	OG0000025	YBL068W, YER099C, YHL011C	augustus_masked-NODE_12_length_307877_cov_37.9028_ID_23-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_12_length_307877_cov_37.9028_ID_23-processed-gene-0.47&CDS=1-969, maker-NODE_17_length_219991_cov_30.5381_ID_33-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_17_length_219991_cov_30.5381_ID_33-snap-gene-0.1&CDS=1-1617
26	OG0000026	YBR010W, YNL031C	augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-4.5&CDS=1-408, augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-3.84&CDS=1-408, augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-1.32&CDS=1-408
27	OG0000027	YBR015C	augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-0.21&CDS=1-1995, augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-9.27&CDS=1-2166, augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-4.116&CDS=1-1773, augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-7.103&CDS=1-1671
28	OG0000028	YBR038W, YNL192W	genemark-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-4.59-mRNA-1_1&gene=genemark-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-4.59&CDS=1-2967, genemark-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.87-mRNA-1_1&gene=genemark-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.87&CDS=1-4491, snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-0.125&CDS=1-3099
29	OG0000029	YBR149W, YDR368W, YOR120W	maker-NODE_12_length_307877_cov_37.9028_ID_23-augustus-gene-2.1-mRNA-1_1&gene=maker-NODE_12_length_307877_cov_37.9028_ID_23-augustus-gene-2.1&CDS=1-1638, snap_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-14.127-mRNA-1_1&gene=snap_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-14.127&CDS=1-927
30	OG0000030	YBR150C, YOL089C	augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-2.72&CDS=1-2484, snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-9.47-mRNA-1_1&gene=snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-9.47&CDS=1-861, snap_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-5.29-mRNA-1_1&gene=snap_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-5.29&CDS=1-2535
31	OG0000031	YBR207W, YER145C	augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.168&CDS=1-1182, augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.188&CDS=1-1239, augustus_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.178-mRNA-1_1&gene=augustus_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.178&CDS=1-1143
32	OG0000032	YBR298C, YDL247W, YJR160C	augustus_masked-NODE_20_length_88193_cov_34.0756_ID_39-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_20_length_88193_cov_34.0756_ID_39-processed-gene-0.86&CDS=1-1647, augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.155&CDS=1-1743
33	OG0000033	YCL024W, YDR507C, YKL101W	augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-5.131&CDS=1-4125, genemark-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-10.102-mRNA-1_1&gene=genemark-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-10.102&CDS=1-4170
