	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034594_Starmera_quercuum
10	OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_10-snap-gene-1.165-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.165&CDS=1-4569, snap_masked-flattened_line_10-processed-gene-2.61-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.61&CDS=1-4569, snap_masked-flattened_line_41-processed-gene-0.150-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.150&CDS=1-4551
11	OG0000011	YBR015C	snap_masked-flattened_line_0-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.64&CDS=1-1617, snap_masked-flattened_line_10-processed-gene-2.73-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.73&CDS=1-1620, snap_masked-flattened_line_11-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.66&CDS=1-1758, snap_masked-flattened_line_15-processed-gene-2.258-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.258&CDS=1-1977, snap_masked-flattened_line_39-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.51&CDS=1-1806, snap_masked-flattened_line_57-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.85&CDS=1-1668
12	OG0000012	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_6-processed-gene-1.25-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.25&CDS=1-720, snap_masked-flattened_line_10-processed-gene-1.79-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.79&CDS=1-1221, snap_masked-flattened_line_10-processed-gene-3.9-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.9&CDS=1-1221
13	OG0000013	YDR242W	augustus_masked-flattened_line_33-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.56&CDS=1-1647, maker-flattened_line_53-snap-gene-0.227-mRNA-1_1&gene=maker-flattened_line_53-snap-gene-0.227&CDS=1-3228, snap_masked-flattened_line_29-processed-gene-1.39-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.39&CDS=1-1710, snap_masked-flattened_line_55-processed-gene-0.180-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.180&CDS=1-1635, snap_masked-flattened_line_77-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.128&CDS=1-1527, snap_masked-flattened_line_77-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.130&CDS=1-1704
14	OG0000014	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-flattened_line_35-snap-gene-0.22-mRNA-1_1&gene=maker-flattened_line_35-snap-gene-0.22&CDS=1-2574
15	OG0000015	YDR342C, YDR343C, YDR345C, YHR092C, YLR081W	snap_masked-flattened_line_0-processed-gene-4.26-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.26&CDS=1-1701
16	OG0000016	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_0-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.68&CDS=1-1059, snap_masked-flattened_line_0-processed-gene-1.97-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.97&CDS=1-1056
17	OG0000017	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_43-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.47&CDS=1-1593, snap_masked-flattened_line_115-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.68&CDS=1-1728
18	OG0000018	YJL099W, YKR027W, YMR237W, YOR299W	maker-flattened_line_103-augustus-gene-0.69-mRNA-1_1&gene=maker-flattened_line_103-augustus-gene-0.69&CDS=1-1998, snap_masked-flattened_line_71-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.92&CDS=1-2031
19	OG0000019	YLR342W, YMR306W	snap_masked-flattened_line_10-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.60&CDS=1-5625, snap_masked-flattened_line_10-processed-gene-3.68-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.68&CDS=1-5625, snap_masked-flattened_line_57-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.109&CDS=1-5676, snap_masked-flattened_line_6-processed-gene-3.77-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.77&CDS=1-5727
20	OG0000020	YMR303C, YOL086C	maker-flattened_line_53-snap-gene-0.231-mRNA-1_1&gene=maker-flattened_line_53-snap-gene-0.231&CDS=1-1074, snap_masked-flattened_line_17-processed-gene-1.264-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.264&CDS=1-1122, snap_masked-flattened_line_53-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.63&CDS=1-1113, snap_masked-flattened_line_6-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.131&CDS=1-1131
21	OG0000021	YBR021W, YIR028W	snap_masked-flattened_line_10-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.74&CDS=1-1794, snap_masked-flattened_line_10-processed-gene-3.43-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.43&CDS=1-1794, snap_masked-flattened_line_6-processed-gene-4.110-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.110&CDS=1-1764
22	OG0000022	YBR244W, YIR037W, YKL026C	maker-flattened_line_10-augustus-gene-1.96-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.96&CDS=1-1434, maker-flattened_line_10-augustus-gene-3.85-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-3.85&CDS=1-1434
23	OG0000023	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_6-processed-gene-4.105-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.105&CDS=1-1848
24	OG0000024	YDL072C, YKL065C, YMR040W	snap_masked-flattened_line_105-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.35&CDS=1-576, snap_masked-flattened_line_4-processed-gene-3.123-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.123&CDS=1-621
25	OG0000025	YDL161W, YLL038C, YLR206W	maker-flattened_line_99-snap-gene-0.82-mRNA-1_1&gene=maker-flattened_line_99-snap-gene-0.82&CDS=1-1365, snap_masked-flattened_line_15-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.57&CDS=1-663
26	OG0000026	YDL210W	genemark-flattened_line_53-processed-gene-0.206-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.206&CDS=1-1713, snap_masked-flattened_line_107-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.71&CDS=1-1755, snap_masked-flattened_line_11-processed-gene-3.88-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.88&CDS=1-1701, snap_masked-flattened_line_15-processed-gene-1.79-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.79&CDS=1-1758
27	OG0000027	YDR058C, YGR255C	genemark-flattened_line_10-processed-gene-3.162-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.162&CDS=1-2280, maker-flattened_line_10-augustus-gene-1.103-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.103&CDS=1-3687, snap_masked-flattened_line_10-processed-gene-3.0-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.0&CDS=1-1395
28	OG0000028	YDR475C, YGR237C, YOR019W	snap_masked-flattened_line_67-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.67&CDS=1-1569, snap_masked-flattened_line_87-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.54&CDS=1-1671
29	OG0000029	YFR040W, YGL229C, YKR028W	augustus_masked-flattened_line_69-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.159&CDS=1-2478, snap_masked-flattened_line_71-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.91&CDS=1-2922
30	OG0000030	YGR281W	snap_masked-flattened_line_10-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.84&CDS=1-4128, snap_masked-flattened_line_10-processed-gene-3.33-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.33&CDS=1-4128, snap_masked-flattened_line_73-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.113&CDS=1-4152, snap_masked-flattened_line_8-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.34&CDS=1-3957
31	OG0000031	YHR198C, YHR199C	genemark-flattened_line_21-processed-gene-1.34-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.34&CDS=1-1614, maker-flattened_line_51-augustus-gene-0.162-mRNA-1_1&gene=maker-flattened_line_51-augustus-gene-0.162&CDS=1-2469, snap_masked-flattened_line_85-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.60&CDS=1-1518
32	OG0000032	YJR152W	maker-flattened_line_57-snap-gene-0.209-mRNA-1_1&gene=maker-flattened_line_57-snap-gene-0.209&CDS=1-1638, snap_masked-flattened_line_13-processed-gene-2.187-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.187&CDS=1-1605, snap_masked-flattened_line_21-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.130&CDS=1-1623, snap_masked-flattened_line_29-processed-gene-1.38-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.38&CDS=1-1548
33	OG0000033	YLL057C	snap_masked-flattened_line_107-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.77&CDS=1-1143, snap_masked-flattened_line_47-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.38&CDS=1-1233, snap_masked-flattened_line_47-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.83&CDS=1-1185, snap_masked-flattened_line_57-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.90&CDS=1-1146
34	OG0000034	YMR008C, YNL012W, YOL011W	maker-flattened_line_0-snap-gene-5.4-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.4&CDS=1-1983, snap_masked-flattened_line_51-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.94&CDS=1-2019
35	OG0000035	YNL283C, YOL105C, YOR008C	genemark-flattened_line_27-processed-gene-1.35-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.35&CDS=1-1254, snap_masked-flattened_line_6-processed-gene-2.88-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.88&CDS=1-1200
36	OG0000036	YOR117W, YPR159W	augustus_masked-flattened_line_35-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.169&CDS=1-3243, snap_masked-flattened_line_103-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_103-processed-gene-0.68&CDS=1-2037, snap_masked-flattened_line_83-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.96&CDS=1-2109
37	OG0000037	YOR389W, YPL277C, YPL278C	snap_masked-flattened_line_11-processed-gene-2.106-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.106&CDS=1-1833, snap_masked-flattened_line_61-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.136&CDS=1-1902
38	OG0000038	YAL023C, YGR199W	snap_masked-flattened_line_117-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_117-processed-gene-0.21&CDS=1-2253, snap_masked-flattened_line_21-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.112&CDS=1-2268
39	OG0000039	YAL054C, YLR153C	snap_masked-flattened_line_17-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.35&CDS=1-2046, snap_masked-flattened_line_2-processed-gene-2.43-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.43&CDS=1-2016
40	OG0000040	YAL067C	augustus_masked-flattened_line_107-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_107-processed-gene-0.41&CDS=1-3198, snap_masked-flattened_line_29-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.60&CDS=1-1755, snap_masked-flattened_line_77-processed-gene-0.133-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.133&CDS=1-1728
41	OG0000041	YBL002W, YDR224C	snap_masked-flattened_line_15-processed-gene-2.220-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.220&CDS=1-396, snap_masked-flattened_line_17-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.17&CDS=1-396
42	OG0000042	YBL003C, YDR225W	snap_masked-flattened_line_15-processed-gene-2.186-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.186&CDS=1-396, snap_masked-flattened_line_17-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.0&CDS=1-396
43	OG0000043	YBL005W, YER184C, YGL013C	snap_masked-flattened_line_57-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.124&CDS=1-2136
44	OG0000044	YBL011W, YKR067W	maker-flattened_line_8-snap-gene-1.185-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.185&CDS=1-2091, snap_masked-flattened_line_109-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.42&CDS=1-1953
45	OG0000045	YBL016W, YGR040W	snap_masked-flattened_line_41-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.101&CDS=1-1065, snap_masked-flattened_line_73-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.70&CDS=1-1059
46	OG0000046	YBL052C, YOR244W	snap_masked-flattened_line_19-processed-gene-1.282-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.282&CDS=1-2208, snap_masked-flattened_line_47-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.63&CDS=1-1362
