	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035662_Meyerozyma_caribbica
10	OG0000010	YBR298C, YDL247W, YGR289C, YJR160C	maker-NODE_10_length_506719_cov_18.9381_ID_1110-snap-gene-1.98-mRNA-1_1&gene=maker-NODE_10_length_506719_cov_18.9381_ID_1110-snap-gene-1.98&CDS=1-3462, maker-NODE_21_length_33955_cov_14.8703_ID_2015-snap-gene-0.12-mRNA-1_1&gene=maker-NODE_21_length_33955_cov_14.8703_ID_2015-snap-gene-0.12&CDS=1-3300, snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.154-mRNA-1_1&gene=snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.154&CDS=1-1701
11	OG0000011	YCR102C, YLR460C, YNL134C	snap_masked-NODE_17_length_82857_cov_25.8618_ID_1723-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_17_length_82857_cov_25.8618_ID_1723-processed-gene-0.116&CDS=1-1251, snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-7.15-mRNA-1_1&gene=snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-7.15&CDS=1-1092, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-5.88-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-5.88&CDS=1-1089, snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-0.105&CDS=1-1227
12	OG0000012	YDR338C, YHR032W, YNL288W	maker-NODE_1_length_1511766_cov_19.3565_ID_781-snap-gene-3.0-mRNA-1_1&gene=maker-NODE_1_length_1511766_cov_19.3565_ID_781-snap-gene-3.0&CDS=1-2694, maker-NODE_9_length_596901_cov_18.4558_ID_1197-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_9_length_596901_cov_18.4558_ID_1197-augustus-gene-1.0&CDS=1-2334, snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-4.190-mRNA-1_1&gene=snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-4.190&CDS=1-1443, snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-0.68&CDS=1-1656
13	OG0000013	YDR402C, YER156C	maker-NODE_8_length_605226_cov_19.2795_ID_1056-augustus-gene-1.95-mRNA-1_1&gene=maker-NODE_8_length_605226_cov_19.2795_ID_1056-augustus-gene-1.95&CDS=1-2673, snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.176-mRNA-1_1&gene=snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.176&CDS=1-1497, snap_masked-NODE_19_length_51166_cov_30.8657_ID_1917-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_19_length_51166_cov_30.8657_ID_1917-processed-gene-0.49&CDS=1-1557, snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-14.161-mRNA-1_1&gene=snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-14.161&CDS=1-1545, snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-0.26&CDS=1-1560
14	OG0000014	YDR541C, YOL151W	snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.52&CDS=1-1014, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-2.51-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-2.51&CDS=1-1002, snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-0.43&CDS=1-993, snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-0.67&CDS=1-993, snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-0.79&CDS=1-1014
15	OG0000015	YLR256W	augustus_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.30&CDS=1-1956, augustus_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-7.118&CDS=1-9339, snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.117&CDS=1-2859, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.62-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.62&CDS=1-1380, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.74-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.74&CDS=1-1917, snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-2.115&CDS=1-2991
16	OG0000016	YLR425W	augustus_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-3.168-mRNA-1_1&gene=augustus_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-3.168&CDS=1-807, maker-NODE_5_length_847748_cov_16.1536_ID_963-augustus-gene-1.9-mRNA-1_1&gene=maker-NODE_5_length_847748_cov_16.1536_ID_963-augustus-gene-1.9&CDS=1-4710, snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-0.134&CDS=1-804, snap_masked-NODE_18_length_61333_cov_30.325_ID_1861-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_18_length_61333_cov_30.325_ID_1861-processed-gene-0.51&CDS=1-870, snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-3.6&CDS=1-780, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-5.186-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-5.186&CDS=1-834
17	OG0000017	YAL005C, YJL034W, YLL024C	augustus_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.209-mRNA-1_1&gene=augustus_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.209&CDS=1-4113, maker-NODE_10_length_506719_cov_18.9381_ID_1110-snap-gene-3.106-mRNA-1_1&gene=maker-NODE_10_length_506719_cov_18.9381_ID_1110-snap-gene-3.106&CDS=1-2733, snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-6.186-mRNA-1_1&gene=snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-6.186&CDS=1-1947
18	OG0000018	YBR207W, YER145C	augustus_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-2.129&CDS=1-1662, maker-NODE_6_length_736192_cov_18.5434_ID_1264-snap-gene-3.70-mRNA-1_1&gene=maker-NODE_6_length_736192_cov_18.5434_ID_1264-snap-gene-3.70&CDS=1-1209, snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-1.131-mRNA-1_1&gene=snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-1.131&CDS=1-1152, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-0.80&CDS=1-1176
19	OG0000019	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-5.100&CDS=1-2970, snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.90&CDS=1-3105, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-5.189-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-5.189&CDS=1-2277
20	OG0000020	YER056C, YER060W, YER060W-A	snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.98&CDS=1-1482, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-1.40&CDS=1-1539, snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-0.96&CDS=1-1542
21	OG0000021	YGL120C, YKR086W, YNR011C	augustus_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-3.92&CDS=1-2736, maker-NODE_5_length_847748_cov_16.1536_ID_963-augustus-gene-1.1-mRNA-1_1&gene=maker-NODE_5_length_847748_cov_16.1536_ID_963-augustus-gene-1.1&CDS=1-3942, snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-4.146-mRNA-1_1&gene=snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-4.146&CDS=1-3240
22	OG0000022	YGL257C, YNR059W	snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-4.135-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-4.135&CDS=1-2340, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-6.10-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-6.10&CDS=1-1962, snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-1.145-mRNA-1_1&gene=snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-1.145&CDS=1-2385, snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-3.17&CDS=1-2109
23	OG0000023	YGR187C, YJL172W, YOL153C	augustus_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-1.152&CDS=1-5157, snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.156-mRNA-1_1&gene=snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.156&CDS=1-1713, snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-0.102&CDS=1-1581
24	OG0000024	YJR004C	maker-NODE_2_length_1278474_cov_17.5864_ID_847-augustus-gene-0.108-mRNA-1_1&gene=maker-NODE_2_length_1278474_cov_17.5864_ID_847-augustus-gene-0.108&CDS=1-9468, snap_masked-NODE_13_length_195850_cov_25.4824_ID_1570-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_13_length_195850_cov_25.4824_ID_1570-processed-gene-0.55&CDS=1-4986, snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.110&CDS=1-6444, snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.83&CDS=1-4629, snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-11.101-mRNA-1_1&gene=snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-11.101&CDS=1-2313
25	OG0000025	YJR152W	snap_masked-NODE_19_length_51166_cov_30.8657_ID_1917-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_19_length_51166_cov_30.8657_ID_1917-processed-gene-0.50&CDS=1-1566, snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-6.142-mRNA-1_1&gene=snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-6.142&CDS=1-1578, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-7.78-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-7.78&CDS=1-1575, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.39-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.39&CDS=1-1560, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-0.71&CDS=1-1569
26	OG0000026	YKL071W	maker-NODE_6_length_736192_cov_18.5434_ID_1264-snap-gene-0.156-mRNA-1_1&gene=maker-NODE_6_length_736192_cov_18.5434_ID_1264-snap-gene-0.156&CDS=1-786, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.36-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-9.36&CDS=1-753, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-6.5-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-6.5&CDS=1-747, snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-3.62&CDS=1-753, snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-1.48&CDS=1-753
27	OG0000027	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_13_length_195850_cov_25.4824_ID_1570-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_13_length_195850_cov_25.4824_ID_1570-processed-gene-0.102&CDS=1-4674
28	OG0000028	YBL056W, YBR125C, YER089C	snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-0.155-mRNA-1_1&gene=snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-0.155&CDS=1-1365, snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-1.76&CDS=1-1125
29	OG0000029	YBL089W, YER119C, YIL088C	snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-4.100-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-4.100&CDS=1-1224, snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-2.141-mRNA-1_1&gene=snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-2.141&CDS=1-1407
30	OG0000030	YBR038W, YNL192W	augustus_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-3.64&CDS=1-5250, snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-3.7-mRNA-1_1&gene=snap_masked-NODE_5_length_847748_cov_16.1536_ID_963-processed-gene-3.7&CDS=1-2958, snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-5.102-mRNA-1_1&gene=snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-5.102&CDS=1-2862
31	OG0000031	YCL024W, YDR507C, YKL101W	snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.133&CDS=1-3819, snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-4.160-mRNA-1_1&gene=snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-4.160&CDS=1-4257
